V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_J61,0.0558,0.022,0.0151,0.0503,0.0002,0.3738,0.2488,0.3589,0.3956,0.0013,0.1733,0.1819,0.1576,0.8179,0.0347,0.5569,0.0388,0.0542,0.1443,0.0117,0.0258,0.3551,1.1832,0.1817,4.5669,12.9846,1.7835,25.4836,1.2594,128.5738,0.0123,1.3859,0.5132,2.2035,5.958,22.1289,0.4613,8.0813,2.5436,6.209,1.2496,1.5241,2.8021,1.6549,0.0
CYP_J62_63,0.18,0.005,0.0074,0.0435,0.0022,0.8102,0.07,0.0636,0.1566,0.0167,0.0349,0.0803,0.0608,0.4487,0.0164,0.0896,0.0197,0.0111,0.0217,0.0046,0.0045,0.0793,0.314,0.0849,0.6234,9.7666,0.0164,4.2219,0.2134,4.7802,0.0039,0.8516,0.9083,1.6958,53.5352,50.6098,0.1626,2.9148,0.2915,2.5975,0.3431,0.1441,0.7567,0.228,0.0
CYP_K,6.4362,0.2062,0.2404,1.2501,0.015,27.6538,4.7058,3.9378,8.6319,0.2304,3.2451,6.6336,5.3954,20.5855,0.4771,10.3587,0.6211,0.969,2.5426,0.2503,0.1529,6.1246,2.5598,2.5568,91.699,364.2086,4.4014,284.1796,5.9985,146.0809,0.1275,29.675,7.4634,3.2664,15.0282,624.9175,12.5567,27.4221,18.9657,10.9352,3.4646,6.0173,7.8081,6.5588,0.0
CYP_L,0.0201,0.0,0.0164,0.0652,0.0005,1.7266,0.4338,0.3839,0.572,0.0231,0.1307,0.2225,0.1308,0.731,0.024,0.5002,0.055,0.0609,0.0885,0.0251,0.0405,0.852,0.4653,0.1,2.6668,43.2558,0.1806,13.515,1.3837,16.0187,0.0968,12.4872,1.4347,0.7267,6.0333,27.0143,8.4105,11.1647,1.6065,7.1041,4.8914,3.223,4.0185,4.815,0.0
CYP_M,0.7655,0.007,0.0576,0.1556,0.0019,3.1758,0.2607,0.4323,0.5178,0.0414,0.3206,0.309,0.2444,1.3789,0.0872,0.5546,0.0308,0.0427,0.1274,0.0165,0.0162,0.8147,0.8654,0.7156,7.748,22.8049,0.3998,13.9218,1.6194,16.6734,0.0388,3.2859,2.8726,1.2226,7.0713,24.8875,1.4608,57.751,2.7884,5.2691,1.3964,3.0539,1.7644,2.0377,0.0
CYP_N,0.1242,0.0087,0.0583,0.3107,0.0581,0.9677,0.1053,0.1472,0.2277,0.0217,0.0571,0.1418,0.1156,0.5718,0.0407,0.2939,0.0131,0.0168,0.0577,0.0183,0.0109,0.2982,1.6348,0.1909,8.5288,8.846,0.2073,5.7226,18.3129,19.9647,0.1417,1.218,0.8231,0.6039,9.072,23.3511,0.5291,18.0193,20.6905,2.4682,0.6634,1.3381,0.885,0.736,0.0
CYP_O,0.1494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,0.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8183,0.135,0.0,0.0,0.0,0.7877,0.4464,0.0,0.2216,0.8485,0.0,0.0,23.6745,1.4442,0.1642,74.2592,12.782,39.591,0.4933,0.1316,0.0
CYP_P,0.016,0.0,0.1535,0.4838,0.0017,0.4672,0.0391,0.2599,0.1136,0.0,0.0949,1.1154,0.1081,1.1137,0.0247,0.3098,0.0001,0.0001,0.4656,0.0058,0.0053,0.3493,0.6894,0.1198,1.5935,8.1214,0.0003,6.8602,0.2038,2.8892,0.0182,0.6373,0.464,0.0446,15.1474,70.7042,0.1043,13.7538,0.8683,14.3454,27.5888,1.5247,2.4564,2.387,0.0
CYP_Q,1.9805,0.0004,0.0001,0.0005,0.0,0.0307,0.0045,0.0017,0.0036,0.0001,0.0013,0.0025,0.0014,0.0058,0.0002,0.0026,0.0004,0.0004,0.0005,0.0001,0.0001,0.0038,0.0085,0.2169,0.0227,0.1232,0.0014,0.0501,0.0052,1.2435,0.0072,0.0595,0.0052,0.0024,0.0169,0.251,0.0229,0.1844,0.2915,0.9274,0.0262,12.9304,1.3204,1.1242,0.0
CYP_R,0.3481,0.0016,0.0008,0.0043,0.0,0.3124,0.0249,0.0061,0.1344,0.0003,0.0052,0.0105,0.006,0.0233,0.0042,0.0095,0.0018,0.0015,0.002,0.0005,0.0032,0.0137,0.0371,0.0034,0.082,0.3526,0.0057,41.6251,0.0178,0.4551,0.001,0.5067,2.0963,0.0076,0.0506,1.2982,0.0667,0.1476,0.1234,0.998,0.1486,0.0637,3.0957,1.9242,0.0
CYP_S,0.1088,0.0035,0.0105,0.0831,0.0,0.5031,0.0667,0.0673,0.1291,0.0029,0.0826,0.0684,0.0519,0.4437,0.021,0.3505,0.0095,0.0151,0.0285,0.0055,0.0033,0.4832,0.1655,0.1066,1.6297,13.2481,0.0862,4.5669,0.8644,3.6653,0.0288,28.9088,1.1931,0.1787,2.3285,8.6594,0.1772,5.0276,0.2548,0.4292,0.4421,3.3494,1.3901,1.4548,0.0
CYP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
