V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_A01_02,11.5235,0.0433,0.0096,0.0098,0.003,91.9302,0.0496,16.8724,0.1685,0.0959,0.041,0.0237,0.0445,0.0002,0.0002,0.0008,0.001,0.0007,0.0,0.0,0.0,1.4294,0.0019,0.1166,0.169,0.1173,0.0,0.0,0.0,0.0,0.0,1.5419,0.0662,0.0002,0.0003,0.0001,0.0001,0.0013,0.0005,0.0001,0.0554,0.0,0.0026,0.0116,0.0
LAO_A03,8.4222,3.4375,0.0043,0.0057,0.0017,8.1287,0.0178,1.3714,0.0955,0.0494,0.0101,0.0086,0.0064,0.0001,0.0001,0.0004,0.0005,0.0003,0.0,0.0,0.0,0.7187,0.0009,0.0791,0.0879,0.0563,0.0,0.0,0.0,0.0,0.0,0.9876,0.0784,0.0002,0.0002,0.0001,0.0001,0.0009,0.0003,0.0,0.0233,0.0,0.0017,0.0079,0.0
LAO_B05_06,0.0103,0.0003,2.3799,1.2919,0.2879,0.5384,0.0238,0.0994,0.0005,0.3468,0.0752,0.0031,0.0636,1.9148,0.0085,0.0134,0.0052,0.0059,0.0002,0.0096,0.006,3.4875,2.4012,0.1383,1.5758,49.2444,8.5175,0.0102,0.7818,0.7244,1.1973,5.2458,0.0124,6.5975,0.0008,6.0446,3.527,0.0025,0.3778,11.6363,1.7935,0.7721,0.0224,0.2923,0.0
LAO_B07_08,0.0576,0.0023,5.8897,14.7534,2.1034,1.6123,0.0631,0.3034,0.002,0.8672,0.4451,0.0893,0.3532,12.073,0.1422,0.213,0.0436,0.0488,0.0024,0.0497,0.0278,0.1282,6.883,0.9439,27.5532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0897,0.0,0.0021,0.0,0.0,0.0164,0.0066,0.0,0.0,0.0,0.0794,0.1444,0.0
LAO_B09,0.0384,0.0023,12.1135,3.8025,3.7329,0.7026,0.009,0.3608,0.0008,0.5112,0.1374,0.0081,0.159,1.2978,0.0323,0.0814,0.0037,0.0048,0.0011,0.0153,0.0059,0.0,2.5747,0.4741,5.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592,0.0,0.0004,0.0,0.0,0.0098,0.0015,0.0,0.0,0.0,0.1113,0.0295,0.0
LAO_C10T12,4.9867,0.132,0.0245,0.0286,0.0037,19.1952,0.0038,0.0738,0.0004,0.039,0.0124,0.0059,0.0133,0.004,0.0008,0.0038,0.0225,0.0134,0.0,0.0,0.0,0.0263,0.0026,0.0065,0.0027,0.046,0.0055,0.0006,0.0003,0.0001,0.0001,5.2903,0.0008,0.0008,0.0011,0.004,0.003,0.0061,0.001,0.004,0.0152,0.0021,0.0008,0.007,0.0
LAO_C13T15,2.2546,0.1558,0.0238,0.0271,0.0057,0.1269,15.4894,2.015,0.0193,0.0165,0.0051,0.0023,0.005,0.0079,0.0005,0.0028,0.0376,0.0195,0.0,0.0002,0.0001,0.6882,0.0511,0.1203,0.2993,0.4456,0.029,0.0013,0.0004,0.0003,0.0012,0.663,0.0689,0.0051,0.0457,0.0004,0.0003,0.1305,0.0564,0.5357,0.0196,0.0068,0.0502,0.1379,0.0
LAO_C16,0.1502,0.0026,0.0008,0.001,0.0002,0.6874,0.0565,8.7814,0.0821,0.0875,0.038,0.0086,0.0339,0.0216,0.0007,0.0053,0.0108,0.01,0.0,0.0003,0.0001,0.8439,0.0129,0.0795,0.6775,0.4995,0.0196,0.0011,0.0003,0.0003,0.0474,0.119,0.0306,0.2959,0.0109,0.1779,0.0001,0.051,0.0134,0.8288,0.0365,0.0042,0.0173,0.0838,0.0
LAO_C17_18,0.0079,0.0003,0.0,0.0001,0.0,0.0392,0.0037,0.4505,0.0089,0.0041,0.0016,0.001,0.0018,0.0011,0.0,0.0001,0.0002,0.0002,0.0,0.0,0.0,0.0395,0.0006,0.0063,0.0327,0.0248,0.001,0.0001,0.0,0.0,0.0021,0.0061,0.0046,0.0134,0.0009,0.0081,0.0002,0.0039,0.0007,0.0382,0.0018,0.0003,0.0008,0.0024,0.0
LAO_C19,3.8649,0.1642,0.5371,0.8762,0.1012,1.3125,0.1166,1.3081,0.012,0.4446,0.1708,0.019,0.146,0.0847,0.0608,0.144,0.0506,0.056,0.0005,0.0114,0.0043,0.1481,0.2543,0.0815,2.346,1.7328,0.9489,1.094,0.3278,0.3548,0.0082,0.3461,0.0232,0.0302,0.0101,0.33,0.0152,0.1272,0.1006,1.0098,0.0424,0.0791,0.0193,0.1438,0.0
