V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_A01_02,234.4449,0.2103,0.946,0.2168,0.0289,236.1443,16.0451,85.1703,6.4427,0.0328,2.87,1.7365,4.3271,1.9983,2.7793,4.0801,1.3033,3.8794,4.3602,4.367,1.3382,11.0005,5.2176,1.0685,15.8565,47.8269,6.3278,0.3928,1.4702,3.273,0.722,52.1012,2.7423,3.9659,1.2195,2.5296,2.5141,9.61,2.5982,4.0055,7.5639,6.7915,3.5618,3.8712,0.0
SVN_A03,0.0272,0.1293,0.001,0.001,0.0001,0.8481,0.0218,0.0152,0.0143,0.0002,0.0264,0.0208,0.0176,0.021,0.0197,0.0422,0.0118,0.0397,0.0278,0.0211,0.0027,0.0158,0.0207,0.0038,0.0933,0.7203,0.0308,0.0079,0.0026,0.0058,0.0005,0.4937,0.1475,0.0114,0.0086,0.0198,0.0192,0.0607,0.0228,0.0388,0.0631,0.1367,0.3918,0.0964,0.0
SVN_B05_06,0.1167,0.0003,0.4547,0.0103,0.0153,0.1094,0.1697,0.0303,4.9948,0.0003,1.5495,0.089,0.226,3.362,7.3336,0.0534,0.0273,0.0522,0.0461,0.0414,0.0564,0.1614,144.1554,0.1252,2.0123,2.5529,0.0735,0.0031,0.0042,0.4286,0.0492,0.0418,0.0436,0.1434,0.189,0.1012,0.5061,0.9805,0.2357,0.2824,0.1254,0.1681,0.0699,0.0366,0.0
SVN_B07_08,0.8692,0.0014,0.0466,1.9398,0.0357,2.4308,0.0765,0.0413,0.7717,0.0003,10.6864,0.4553,0.0823,12.7672,5.3146,1.3792,0.0279,1.7529,0.1243,0.1141,0.0089,1.355,0.1443,1.6232,40.7557,1.1793,0.1352,0.0022,0.0077,0.5739,0.0523,0.0777,0.0534,0.0602,0.0111,0.0936,0.673,0.6227,0.1162,0.1306,0.0995,0.0867,0.1399,0.0381,0.0
SVN_B09,0.0679,0.003,0.6212,0.3059,0.1198,0.0399,0.0029,0.0114,0.1111,0.0059,0.2411,0.0222,0.0355,0.4295,0.2244,0.1882,0.0003,0.0019,0.0153,0.0039,0.0002,0.0019,1.167,0.0604,3.4128,0.0279,0.1681,0.0051,0.0002,0.0768,0.0,0.007,0.0004,0.0,0.001,0.0016,0.0881,0.0272,0.0156,0.0252,0.0058,0.0117,0.0135,0.007,0.0
SVN_C10T12,53.2388,0.8206,0.0571,0.2201,0.0044,274.1338,1.8783,0.9492,0.7545,0.0193,5.1135,1.5734,0.4835,0.9778,0.6366,3.5854,0.9664,1.5978,1.7201,0.1381,0.0935,4.2495,1.3259,0.8018,9.6428,58.7279,1.665,0.1798,2.2945,1.3269,0.0199,123.1164,1.8669,1.061,0.5978,1.6247,17.3955,9.7991,5.511,5.4882,30.0426,22.4926,6.6494,1.9172,0.0
SVN_C13T15,1.3287,0.0261,0.3395,0.1499,0.0164,1.8735,242.8266,2.1127,2.7265,0.0171,1.105,0.8766,27.5535,1.1932,1.3456,2.4505,0.5147,1.5888,2.8829,28.4801,1.1157,17.0269,1.1096,0.7714,6.9143,12.9782,2.3996,0.1604,0.2091,1.3688,0.2959,2.5117,0.5436,0.5368,0.5481,2.2377,2.5453,4.0717,1.3298,5.5295,3.0161,6.6979,1.8848,1.9225,0.0
SVN_C16,6.1947,0.0281,1.6561,0.2433,0.0216,2.7061,1.4949,74.2585,13.8414,0.0124,2.8097,1.4575,26.6029,3.6137,1.8009,7.8859,0.6387,5.7656,6.3334,14.7247,0.5235,72.1891,0.8866,0.5686,54.1258,11.612,0.9789,0.0374,0.9262,0.6796,0.0292,0.9135,0.4478,0.3566,0.2185,1.5862,2.4085,7.7128,1.5159,1.2022,1.199,0.7952,0.7561,0.4075,0.0
SVN_C17_18,5.5509,0.0167,0.2066,0.5587,0.0192,28.6568,5.3481,4.9816,237.4629,0.082,12.4532,19.728,8.148,9.796,1.8942,6.5375,4.0254,10.7188,9.5424,5.9503,0.6857,11.9125,2.5008,1.7341,9.2458,67.3418,5.1714,0.2029,0.2063,8.653,0.635,6.8221,29.2246,2.1306,3.2899,13.7962,7.4327,26.5022,5.8567,48.669,16.1082,11.1659,7.1794,21.3883,0.0
SVN_C19,0.1357,0.0004,0.0021,0.0053,0.001,0.0549,0.0243,0.0305,0.0759,0.0024,0.3474,0.1172,0.2189,0.063,0.0556,0.0605,0.0155,0.0458,0.0759,0.0196,0.0033,0.0395,0.0486,0.0227,0.2535,0.15,0.4063,0.0229,0.0404,0.0735,0.0034,0.0318,0.0109,0.0191,0.038,0.031,0.0284,0.0664,0.015,0.0699,0.0356,0.1024,0.011,0.0212,0.0
