V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,1527.064,5.5953,0.7765,1.2756,0.2465,2929.9466,24.5603,105.5565,13.1055,18.3466,16.7896,10.7155,33.6467,14.9325,12.6933,17.0621,17.8924,11.5973,12.6195,16.7374,1.928,13.9339,49.7049,13.0803,84.5021,314.6183,22.2251,1.5948,4.2509,12.1278,1.905,130.1415,9.88,9.7103,2.9645,8.5698,34.6256,27.1201,17.4054,89.6714,9.843,76.6758,12.001,20.8063,0.0
HUN_A03,0.899,2.0701,0.0017,0.0089,0.0007,1.8679,0.0234,0.0084,0.0225,0.0409,0.0323,0.0161,0.0415,0.0634,0.0292,0.0435,0.0369,0.0266,0.0368,0.0489,0.0055,0.0118,0.0433,0.0421,0.2422,1.2273,0.0486,0.019,0.0087,0.073,0.0019,5.2209,0.0192,0.0384,0.0103,0.0709,0.2251,0.0429,0.0773,0.1045,0.056,0.1153,0.2821,0.0475,0.0
HUN_B05_06,1.6251,0.0054,1.0146,0.1102,0.0321,2.0304,0.2227,0.1786,0.4624,48.7207,2.1292,0.2397,0.2973,1.9397,0.4445,1.3019,0.8509,0.5549,0.6475,1.0457,0.0817,0.2884,37.1407,0.4341,3.1302,3.4754,1.3783,0.0635,0.3428,0.9499,0.0638,0.2843,0.1879,0.2398,0.0844,0.5327,0.9188,0.7336,0.5484,1.5267,1.2513,1.5808,0.7207,0.2673,0.0
HUN_B07_08,4.0601,0.0534,0.317,3.6561,0.4888,5.1846,0.2395,0.3288,0.3523,0.5176,6.9205,0.2715,2.1947,58.1549,5.0227,1.517,1.8631,0.7703,2.0702,1.7558,0.0832,0.3177,1.8623,2.8241,105.5538,3.0333,1.0912,0.1279,0.0429,1.1234,0.0087,0.7505,0.1047,0.1805,0.0511,0.1537,3.6877,0.5591,0.4712,2.4378,0.3043,1.3038,0.1763,0.1793,0.0
HUN_B09,0.0932,0.0005,22.7128,0.574,9.5894,0.1175,0.0143,0.0778,0.0378,37.8609,0.1882,0.024,0.5818,0.1031,2.0998,0.0423,0.0868,0.0311,0.158,0.2162,0.0385,0.6013,3.8825,0.1553,7.282,0.3358,0.1096,0.0035,0.0204,0.0857,0.0055,0.0192,0.0461,0.0301,0.0198,0.0465,0.1152,0.3913,0.1902,0.1372,0.1026,0.4258,0.1153,0.0333,0.0
HUN_C10T12,790.0358,1.1256,0.3792,0.2999,0.1036,796.8767,9.35,4.4713,17.2051,11.7587,19.5232,11.0419,8.6174,8.7287,9.6783,7.6138,9.507,9.2116,6.4624,8.8563,1.0766,6.1559,11.3599,3.9892,22.5503,119.5088,6.1498,0.8351,2.7096,1.1997,1.2336,554.3694,3.2848,1.4086,1.3179,2.255,20.1424,21.941,11.3633,43.8834,3.6412,137.6806,2.7375,8.5429,0.0
HUN_C13T15,2.3903,0.0466,0.0965,0.156,0.0303,4.639,148.4415,1.1335,2.7569,1.5058,1.3478,1.5072,12.6428,1.9241,1.8858,2.475,5.397,11.6646,3.4073,13.3245,1.2625,37.2294,1.2137,2.838,11.8374,18.3882,5.4661,0.1708,0.2279,1.1187,0.5443,5.7415,1.5034,0.7504,1.0704,0.6047,5.1055,4.113,5.3422,14.1739,6.2832,13.1912,4.1753,5.6115,0.0
HUN_C16,17.3793,0.2735,0.1186,0.2008,0.0136,8.0122,2.0246,107.9063,3.5405,0.867,5.7312,0.4758,4.4821,11.5545,7.4575,13.3017,6.6936,6.2325,5.1486,15.9177,3.0362,59.0865,3.5683,1.3177,272.6529,37.7929,5.4025,0.6327,0.2784,2.2294,0.1414,2.7486,0.4695,2.4712,0.4642,0.5891,38.9881,12.816,13.6898,1.9106,1.1945,1.4482,0.7543,3.6024,0.0
HUN_C17_18,9.0945,0.054,0.1539,0.3931,0.0184,108.7469,7.0313,11.0946,377.9189,4.0336,18.7345,8.3506,17.6645,9.7232,6.7438,7.1432,36.3823,11.133,9.9259,9.8392,1.3627,13.7253,3.4902,11.8409,20.9022,292.1918,12.4891,0.3873,1.9378,3.2946,11.0803,11.0787,253.0383,4.2003,18.6611,87.3927,126.7042,76.8984,37.701,87.8875,18.6755,28.6388,13.4707,16.4507,0.0
HUN_C19,214.593,1.3389,5.7034,6.9899,3.0261,72.2241,9.2506,10.1732,17.0627,439.2909,447.1751,11.9228,26.3705,59.8781,115.7834,17.4679,19.7631,13.5967,19.2278,39.4542,3.9284,17.9636,181.0825,57.0723,163.6778,259.4725,539.4691,19.6307,56.9703,51.9039,7.5175,23.1461,9.0352,15.6031,14.0679,17.3048,48.82,39.8084,32.4104,53.594,19.3583,32.3828,9.8925,14.3183,0.0
