V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_A01_02,585.3941,21.0461,262.9791,4.2784,20.8302,2663.3817,14.3969,1.053,1.8588,4.5182,10.911,3.562,2.1261,1.2038,2.182,1.5692,0.1732,1.1922,0.2392,0.2099,0.0375,0.5962,0.1024,0.8973,6.9938,1.6757,0.3483,1.2804,0.3313,3.6852,1.4073,57.3464,0.115,0.1677,0.0227,40.2124,0.8347,0.2266,0.7097,6.1857,0.3173,4.8696,0.1963,0.5878,0
EGY_A03,0.0,9.7249,0.0,0.0,0.0,9.9926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,18.2859,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.1781,0.0315,0.3251,0.0006,0.0022,0
EGY_B05_06,0.6065,1.5612,142.2194,0.0575,0.0351,12.7998,2.2688,4.2695,1.5938,4829.2554,3.3116,1.2884,0.0555,21.9027,26.9062,0.1458,0.0031,0.04,0.0024,0.413,0.0015,0.5829,2573.6439,1.7328,0.7168,5.6225,22.2897,5.8831,20.9218,1.4915,0.0041,9.2493,0.1427,0.7341,0.0576,0.1695,0.1457,0.4047,0.2506,0.5122,0.0971,0.741,0.9802,2.7393,0
EGY_B07_08,0.0,0.0,4.27,2.2394,0.2786,0.2196,0.8638,0.0651,0.8197,8.193,20.8213,3.5741,0.1681,47.4535,126.3481,0.4303,0.0843,1.2319,0.0455,0.4062,0.0044,0.8922,0.0024,0.0003,41.7643,0.6483,0.3954,0.0002,0.0001,0.0044,0.0,4.2756,0.0001,0.0004,0.0001,0.0316,0.017,0.0129,0.0162,0.2689,0.1685,0.0442,0.0026,0.0321,0
EGY_B09,2.9375,20.5802,214.2404,1.711,19.3747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0949,0.0,0.0,0.0,0.0,3.2843,1.3722,0.0,0.0,0.0,0.0,39.2679,0.0,0.0,0.0,3.2704,0.0,0.0,0.0,0.0,0
EGY_C10T12,529.0833,28.8173,0.1111,0.2061,0.0245,102.8197,20.7191,0.1855,0.686,1.3698,6.7435,2.6012,0.1274,0.2025,0.1225,0.2026,0.0308,0.1042,0.1336,0.0348,0.0024,0.2256,0.0228,0.0034,0.5058,2.2343,0.2475,5.4308,0.7005,0.521,0.0025,308.7812,0.0463,0.1065,0.0137,0.1436,0.0083,1.1725,1.5152,6.1417,0.8367,14.0917,0.1482,0.6078,0
EGY_C13T15,0.6237,0.0112,0.0678,0.2674,0.1096,0.5701,440.2121,1.772,1.8863,2.1715,1.8327,0.6964,1.4706,0.6196,4.5195,1.3971,0.4868,0.5271,0.1472,1.6795,0.1933,12.8254,0.2538,0.2404,2.6036,2.8955,1.9886,0.6652,6.5773,0.7527,0.0056,4.6542,0.0881,0.2034,0.0261,0.0565,1.3832,0.7804,1.2767,2.719,0.9181,3.6342,0.3183,1.1465,0
EGY_C16,0.0043,0.0,8.1603,0.1373,0.1033,0.139,0.2171,103.9652,2.6282,1.5182,0.5094,0.1982,0.7131,2.6389,24.9867,5.0081,0.2779,3.8204,0.5497,0.5956,0.5476,331.1668,0.0556,0.0751,123.435,1.5019,5.4998,0.0034,0.0003,0.0345,0.0001,0.9631,0.0025,0.0057,0.0007,0.1287,0.2143,0.8936,0.9946,2.0149,1.3758,2.0468,1.0303,2.3427,0
EGY_C17_18,0.2261,0.0169,2.5951,0.579,0.1421,68.9094,16.0816,7.8484,97.4485,5.6504,22.5573,9.0109,6.7942,30.3022,6.1444,10.6186,2.1432,10.1598,3.6069,1.7892,0.0951,9.3209,1.1568,1.3811,10.0356,48.7784,6.8123,0.3933,0.615,9.8117,0.2389,27.1866,5.4044,12.6132,1.4283,14.5369,2.0739,59.5159,37.1209,26.8844,16.9495,28.899,3.6421,8.1709,0
EGY_C19,41.4107,24.7796,13.7891,29.3155,5.1624,314.7991,72.4092,8.2027,7.7121,1214.1831,54.6514,21.2626,13.3435,98.5303,59.9872,39.3992,0.5132,10.2612,2.3968,3.4224,0.4693,14.5456,30.0082,2.5326,284.7389,85.3342,213.0613,145.2376,163.13,34.6766,0.103,87.4169,1.8548,4.0069,0.5146,19.8502,15.4986,2.7013,3.5758,35.2185,1.4462,2.3451,3.0654,1.5174,0
