V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_H52,10.2988,2.3633,4.3503,5.0672,2.2536,53.1124,45.3318,21.4312,10.2701,4.0223,17.5801,1.598,15.1318,11.348,23.2113,36.0422,29.3524,26.6797,2.7478,4.1708,11.8276,5.3406,17.5392,1.5776,84.8159,190.7204,21.8571,72.4302,133.3974,47.1742,27.2795,6.3141,4.1124,8.8731,6.6837,1.6327,28.9404,5.1273,60.1117,21.3181,2.5152,7.1209,3.9667,5.672,0.0
IDN_H53,1.8714,0.1781,0.0178,2.4295,0.632,4.7865,9.3504,0.1399,7.491,0.9661,6.4986,8.2861,12.0499,4.96,11.2677,28.5493,24.215,27.925,1.987,7.1775,8.284,9.9526,0.0054,0.3916,40.4878,426.6009,0.4177,0.0264,0.0001,4.2381,1.3903,1.0257,1.5143,7.24,13.9859,1.7922,53.9466,12.3501,45.7111,2.831,0.4728,6.2565,4.0822,11.3943,0.0
IDN_I,8.1986,5.3824,7.0568,0.8387,9.0258,48.517,72.9448,14.2088,19.7897,8.1506,24.4803,18.736,17.3037,9.0277,30.9421,28.4741,16.8941,9.9791,2.3408,10.9192,43.5206,15.9053,2.2802,6.4341,194.4833,1720.2581,8.6715,6.3088,66.2712,1.9916,0.8562,6.4329,120.5659,19.813,86.4054,13.9466,62.0717,58.9737,168.2478,274.736,14.1322,8.0237,5.4124,55.8501,0.0
IDN_J58T60,0.6657,0.0451,0.2349,2.7119,0.678,300.9786,47.5354,4.1267,24.6624,64.916,132.8128,12.9682,37.1376,5.3007,0.8842,4.3742,20.9665,21.6788,4.7171,27.197,87.324,18.0212,12.6901,8.4492,54.4023,1002.2264,2.1856,2.2361,29.0885,20.6301,22.9877,4.5044,1793.1883,154.7971,55.3141,81.7142,479.0885,79.9987,164.9359,78.4687,185.9176,23.2838,146.6038,8.0,0.0
IDN_J61,3.3382,0.0524,11.6016,33.0931,19.7172,66.9085,71.7564,5.9624,31.5176,4.0479,83.6362,22.7794,21.295,17.1828,30.107,69.1259,35.2245,66.0228,6.4838,11.664,20.6637,33.0528,6.0791,5.0063,193.4714,3985.3404,59.1446,17.7307,20.7781,63.7161,40.2934,11.6403,32.2173,1676.6106,191.5538,75.6872,588.1309,110.5802,521.7084,60.2407,54.379,71.1631,44.4398,125.908,0.0
IDN_J62_63,15.6327,0.3383,11.1528,15.1454,0.347,28.6448,50.4471,10.1797,12.0551,6.3939,11.1887,3.6726,11.9602,6.4662,9.6836,100.3353,144.0464,101.6175,2.5639,22.7412,22.1089,24.0225,41.5354,21.24,307.6115,1340.4625,19.61,8.7958,24.9532,15.1752,14.7245,7.875,110.8147,264.4413,141.0035,94.8662,176.876,15.7293,86.5434,51.8222,31.8893,24.3217,21.1623,58.9706,0.0
IDN_K,126.6867,10.2874,44.8104,61.808,46.0231,206.7189,204.3681,37.4684,101.3664,96.9079,104.2251,15.2255,61.488,17.9542,24.6086,144.461,60.3894,53.2403,9.8425,41.3016,68.6454,36.8293,33.8212,13.3832,296.943,4245.3063,41.2198,19.3507,50.7742,15.5141,119.6046,22.3173,68.0629,226.605,155.2239,441.4316,855.7241,87.5188,394.1016,104.1324,31.7312,37.5189,28.523,50.6409,0.0
IDN_L,0.501,0.5894,18.6759,51.5223,3.6239,18.8961,15.4984,0.7011,20.348,0.926,22.7812,0.1931,22.6561,3.8437,43.0269,84.7512,14.1188,5.6155,6.7337,0.0775,7.2433,0.943,7.1914,5.2677,74.6694,11281.3915,28.3805,1.538,5.4116,5.7849,8.7623,33.9633,26.8858,69.5355,188.0315,26.2015,275.454,162.0513,427.6591,14.344,59.0355,34.1659,24.3989,716.1644,0.0
IDN_M,16.4414,0.3725,11.5798,19.7969,9.4393,25.989,34.047,6.4825,8.4254,4.4389,17.86,7.3638,9.6164,4.6591,14.6044,66.8132,98.7796,75.5253,2.1814,18.2913,51.8101,13.3109,23.1762,12.5584,335.9926,873.2984,11.2915,4.3268,12.4595,11.4553,29.2257,7.8938,95.7768,129.2263,38.71,29.6646,355.9438,55.8927,120.7433,21.7594,17.4811,27.8932,25.6106,38.0999,0.0
IDN_N,56.3836,1.4427,28.1322,50.0307,97.8149,68.4369,104.6795,34.7846,21.998,8.2291,32.84,8.8436,27.2414,14.8142,36.2137,196.692,167.9273,140.137,5.3434,27.6345,94.2608,66.1334,46.2495,34.3391,1023.2166,2479.3969,76.2426,84.335,184.4592,45.7979,118.8071,25.4952,217.3656,458.76,103.928,68.8382,955.7724,81.4076,705.8538,68.9331,49.5395,102.0135,87.1324,109.604,0.0
IDN_O,6.9514,0.0384,23.4195,1.4785,0.2657,6.5499,5.7767,0.6303,5.372,19.3299,12.8054,0.4596,6.6853,0.727,0.7207,1.6927,2.4849,2.85,0.8523,2.8949,6.9175,0.8617,1.1786,13.9181,17.1574,4.0246,0.4155,0.1196,1.0604,0.0613,0.0017,0.966,26.0815,4.5746,20.944,6.0052,207.9335,13.439,34.9636,0.51,1.9534,2.8944,0.5641,2.6409,0.0
IDN_P,0.0,0.0,0.3225,0.4326,0.0477,2.8375,2.7571,0.0692,3.6592,0.4299,1.5706,1.9297,0.263,1.1574,0.6697,0.4639,0.9929,0.8746,1.1721,3.9806,0.2356,0.1236,0.3088,2.002,13.2657,58.0852,1.858,0.4547,2.5892,0.865,11.286,1.4836,4.212,43.4803,70.46,9.8244,0.0286,32.083,63.4291,4.7964,68.7634,35.6106,2.1116,5.2643,0.0
IDN_Q,0.3724,0.0354,2.3688,0.8903,5.3479,9.1035,15.4832,0.3271,15.5482,0.3065,16.7941,14.6583,2.7187,1.5792,62.2803,3.3625,2.9212,1.6263,0.4285,9.9201,8.3938,1.3903,2.643,2.6592,84.4374,98.677,1.5074,0.2083,0.9189,2.2894,31.9824,0.924,6.0304,6.8914,27.328,3.1333,50.4823,34.0018,128.2011,6.1323,2.6936,23.5028,2.6378,18.8198,0.0
IDN_R,0.0,0.0,0.1576,0.0,0.0,306.7769,33.9002,0.0149,73.1073,23.752,159.4399,33.8455,17.3083,0.2234,0.0002,5.1406,44.3187,24.0044,0.0004,18.1733,37.9835,26.1265,1.4366,6.2425,0.0142,119.5669,0.0343,0.0672,18.2925,3.7144,97.3658,4.5585,55.1019,137.5889,71.9713,16.1157,226.3937,84.829,221.5067,9.5785,8.1468,1.3599,372.982,32.896,0.0
IDN_S,60.2086,0.5063,22.0661,70.4495,2.4497,58.2672,31.0875,16.6266,6.1277,25.1078,29.7204,9.4976,10.4528,7.4232,35.2996,64.1662,63.5424,28.2406,5.7061,2.9194,3.2739,1.9157,2.3123,3.1193,60.2703,1174.9054,348.2018,4.2915,4.3671,13.1479,38.3611,2.9309,11.6586,94.4386,238.0059,17.5913,235.1994,140.5526,488.1016,188.2596,25.3833,31.2716,9.968,40.4457,0.0
IDN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
