V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_A01_02,142.7908,0.0313,0.107,0.0288,0.0029,249.9721,13.6617,222.0622,9.7703,0.0495,0.4156,0.0231,0.2531,0.3632,0.022,0.9642,0.0967,0.1118,0.1969,0.0853,0.0467,17.2884,0.6151,1.3058,4.3411,8.7947,1.3074,0.3949,0.1085,3.1793,0.003,12.5045,0.1662,0.2733,0.0925,0.4388,4.2544,1.4333,1.0967,2.1142,1.7648,1.8164,0.7518,0.1918,0.0
EST_A03,0.1191,0.1479,0.0201,0.0039,0.0002,23.8175,0.0638,0.1459,0.0231,0.0123,0.0353,0.0028,0.029,0.073,0.0029,0.084,0.0119,0.0143,0.0255,0.0117,0.0145,0.1468,0.0578,0.0119,0.2307,1.0889,0.24,0.0886,0.0515,0.2052,0.0007,6.4598,0.0196,0.0109,0.0055,0.0174,0.1126,0.0888,0.0904,0.0606,0.2315,0.3955,0.0422,0.0226,0.0
EST_B05_06,0.6749,0.0055,0.1354,0.0019,0.0095,0.0708,0.0072,0.0062,0.0034,14.461,10.9175,1.0694,0.0011,2.4155,0.0034,0.0101,0.0,0.0,0.0119,0.0063,0.0088,0.0798,122.0458,0.0736,0.075,0.3624,0.1109,2.4632,0.0034,0.0082,0.0,0.0181,0.004,0.0019,0.0,0.0,0.3283,0.1347,0.0489,0.2693,0.172,0.1092,0.0001,0.0039,0.0
EST_B07_08,0.3396,0.0232,0.232,0.3821,0.0067,0.5743,0.0248,0.1373,0.1134,0.0075,0.2548,0.001,0.0262,15.9995,0.0087,0.1736,0.0092,0.0192,0.0636,0.0134,0.0061,0.0929,1.1423,0.459,13.3735,0.3192,0.2245,0.7906,0.0103,0.7385,0.0004,0.209,0.0062,0.0087,0.0051,0.0122,0.6217,0.0802,0.0385,0.8615,0.0487,0.0909,0.0416,0.123,0.0
EST_B09,0.0087,0.0028,0.2561,0.0329,0.0016,0.0066,0.0002,0.0045,0.005,0.0224,0.0191,0.0002,0.0019,0.0515,0.0009,0.0117,0.0,0.0001,0.0004,0.0001,0.0,0.0002,0.1517,0.0043,0.3108,0.0033,0.0251,0.0017,0.0,0.0363,0.0,0.0007,0.0,0.0,0.0001,0.0001,0.0116,0.0015,0.0014,0.0023,0.0005,0.001,0.0013,0.0004,0.0
EST_C10T12,40.0931,0.3752,0.0287,0.0072,0.0004,123.0616,0.2097,0.2538,0.0976,0.0,0.7428,0.001,0.3147,0.0094,0.0007,0.3409,0.0004,0.0004,0.0624,0.0013,0.0006,0.3554,0.0072,0.0114,0.8022,10.6462,0.9233,0.1691,0.0986,1.5271,0.0,69.8346,0.5718,0.0088,0.0003,0.1515,0.69,1.5281,1.1532,2.6295,8.2923,5.6109,2.6793,0.0419,0.0
EST_C13T15,0.9046,0.5936,0.259,0.0465,0.0022,1.3307,57.7401,2.2861,0.7567,0.0874,0.6851,0.0088,1.6341,0.4614,0.0092,1.3082,0.6187,0.4264,0.4812,2.9354,0.0699,10.3039,0.3168,0.3282,3.9455,3.4044,0.8918,0.1688,0.1241,0.8724,0.003,0.9856,0.6018,0.2557,0.0456,0.1386,0.8339,1.5534,1.4639,2.3146,0.9572,2.4093,0.9338,2.0568,0.0
EST_C16,3.0299,0.0278,0.8554,0.0397,0.009,3.3495,1.9457,225.7531,1.1737,0.3898,1.1987,0.0227,1.4839,3.6493,0.0267,4.3185,0.1615,0.566,0.7053,0.6528,0.118,92.9853,6.0957,0.2951,172.0663,9.4195,3.163,0.2637,0.0998,4.2832,0.0024,1.3587,0.8203,0.2633,0.2777,0.2829,14.3776,1.9143,1.6178,0.8078,0.6259,0.4178,0.989,0.8366,0.0
EST_C17_18,2.0018,0.0949,0.3506,0.0686,0.0006,12.5744,1.8135,7.2594,28.7444,0.0236,1.2153,0.0983,1.3078,1.7681,0.0041,2.9387,0.2556,0.2831,0.9076,0.329,0.0328,3.7527,0.2336,0.4168,3.1279,37.9238,0.3441,0.0806,0.0693,2.5226,0.0334,1.6198,51.1881,5.671,2.0816,2.1244,2.0122,17.7432,6.022,2.7518,4.6943,1.9013,4.1928,6.2609,0.0
EST_C19,4.5908,0.5197,1.0585,0.2683,0.0095,1.7829,0.351,1.3633,0.2547,0.3778,0.8078,0.0011,0.2765,1.0536,0.021,0.5014,0.0402,0.1452,0.1895,0.0732,0.0266,1.022,2.0788,0.6806,5.0145,4.7313,16.7572,3.118,1.9696,1.3102,0.004,0.3985,0.096,0.2708,0.1487,0.1684,0.5542,0.6698,0.7517,1.3771,0.9875,0.6104,0.3537,0.3451,0.0
EST_C20,15.1964,0.1195,3.531,0.5383,0.0285,8.5006,10.1603,7.7192,5.0504,0.2974,33.7729,0.041,18.0948,5.985,0.2588,5.2201,0.4766,1.1509,1.6663,1.9386,0.1893,7.9337,1.0761,1.7246,12.2183,6.2091,1.3418,0.5299,0.2711,1.3103,0.0093,0.9166,0.4168,0.207,0.7647,0.429,7.4773,3.8936,3.2503,2.0302,1.5478,11.1522,1.0467,2.0623,0.0
EST_C21,0.1147,0.0026,0.0857,0.0135,0.0001,0.2696,0.2622,0.1001,0.0196,0.0042,2.2346,1.8946,0.0252,0.0295,0.0082,0.064,0.008,0.0095,0.0161,0.0093,0.0062,0.0687,0.0343,0.0304,0.1695,0.2436,0.0386,0.0188,0.0053,0.0163,0.016,0.0393,0.009,0.0041,0.003,0.0038,0.0235,0.2013,0.0808,0.1019,0.0288,2.1416,0.0104,0.0067,0.0
EST_C22,2.208,0.2048,0.9479,0.1672,0.0089,16.394,2.3397,4.1901,2.8459,0.1022,1.3596,0.0146,23.2978,1.9451,0.0167,2.3494,1.2041,2.0231,0.9063,1.9856,0.1093,4.1956,0.773,1.1533,72.2192,10.8428,4.8207,0.1052,0.2456,1.0378,0.0084,0.6878,0.3507,0.4312,0.0805,0.3914,2.7235,1.2267,1.4999,1.7077,0.6134,1.0759,0.5431,0.9122,0.0
EST_C23,2.943,0.0552,0.5219,0.2728,0.0045,6.3442,0.6058,9.0184,0.4333,0.1694,1.0226,0.0393,2.7546,38.5329,0.0996,4.7762,0.2834,1.7061,0.7272,0.6753,0.1568,4.1797,1.2552,1.0795,177.3446,8.0338,1.6947,0.499,0.3838,7.8653,0.0044,1.6056,0.2531,0.2102,0.0863,0.2026,12.0018,1.9618,1.2825,3.7286,1.005,1.6197,1.2086,0.894,0.0
EST_C24,0.0296,0.1456,0.0143,0.0014,0.0001,0.2091,0.0402,0.1477,0.0325,0.0008,0.2331,0.0,0.1027,0.1155,0.5787,8.9439,0.1889,0.8877,1.8517,0.532,0.1536,1.1402,0.0908,0.9195,1.4034,0.0089,0.3545,0.0056,0.0018,0.0965,0.0,0.0014,0.0034,0.0004,0.0004,0.0072,0.0866,0.0432,0.0154,0.0297,0.0005,0.0025,0.0092,0.0014,0.0
EST_C25,8.9609,0.5846,2.9274,0.6395,0.0296,11.1804,3.267,17.1125,2.8658,0.7544,7.8332,0.06,4.7887,10.4128,0.1086,61.122,3.5309,5.5447,8.4748,5.1616,1.177,20.0963,6.3977,2.4145,87.0013,14.0751,8.9924,0.9056,1.2951,12.7215,0.0389,1.4231,0.2943,0.9109,0.3354,0.8193,9.6067,4.2463,6.2078,5.6976,1.8796,1.2933,2.091,1.0057,0.0
