V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_A01_02,56698.8654,923.167,626.8337,189.5555,6.5473,91453.8474,27441.8581,5412.9253,3681.8219,2.5624,1940.6081,5544.7767,1199.4774,5566.4395,16.0472,47.4661,6.0195,2.1393,81.575,2.7567,1.0239,3021.8198,160.2087,419.9334,35805.8808,6581.2264,1862.6385,510.3812,328.5153,444.808,0.2733,6854.291,83.0101,16.353,14.633,4.4187,19.1788,1013.9847,384.6947,2.1541,635.7199,307.7844,37.7561,47.5339,0
CHN_A03,1200.7495,10337.5833,0.0,1.9886,0.6441,4748.8779,140.8607,32.1923,60.7182,0.0577,229.5818,12.9088,6.3947,198.0124,1.7554,0.0,0.0,0.0,9.6781,0.4784,0.1209,52.4134,13.7167,19.8485,0.0,735.2862,0.0,169.5059,0.0,0.0,0.3271,6549.2472,4.8178,2.7881,0.0,0.4058,2.2756,120.5717,41.8883,0.2247,146.0414,7.0969,1.6545,5.6433,0
CHN_B05_06,1103.7917,25.0935,2441.6304,405.4665,48.5086,737.2446,820.5154,441.1129,686.7027,51963.7754,10154.3336,37.5563,339.0626,4531.272,6929.4612,398.8237,188.7358,290.7515,1647.2747,691.9282,196.7135,298.7022,43208.1256,343.2614,299.3404,513.9059,1174.0849,58.9972,16.0619,50.2551,22.6841,385.1011,22.8298,0.0,289.9431,108.1849,472.585,778.0824,140.3529,393.6698,1349.219,303.678,182.6128,231.2741,0
CHN_B07_08,90.4213,17.1854,94.3181,2962.8117,4.4952,163.8817,4.2496,7.3579,2.2062,41.7107,6184.2876,180.5602,349.5116,6177.5072,28454.7979,2251.5673,202.1863,1007.9235,1124.2112,253.4706,30.7262,56.1255,138.4132,85.1668,8742.6892,31.4701,105.8379,0.4574,0.2362,8.6562,0.1117,0.774,4.3412,0.0,0.0046,15.8757,31.9338,273.667,10.5763,13.4536,42.2298,10.8957,0.3296,8.4721,0
CHN_B09,0.0,0.0,4428.8307,152.0649,17.0981,84.7146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,61.9454,0.0,508.9371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHN_C10T12,31797.7516,1663.1383,34.0171,230.6128,2.0547,47870.4325,5677.8194,2.8217,106.9414,978.112,4177.0283,1837.0185,194.6172,6.7483,2139.2675,669.5464,1.1652,1210.2289,1686.0301,337.0854,358.713,89.3859,1173.8835,438.7616,465.8805,5832.554,261.9649,88.633,399.3212,40.7131,0.417,27965.5632,1461.3484,44.3565,57.4972,39.9574,1.5886,505.0377,286.3619,917.8852,1485.5963,234.1887,221.8576,519.4546,0
CHN_C13T15,372.6463,5.8444,467.4508,271.5438,14.6726,527.2029,113552.4253,241.7165,910.2618,77.6553,450.6196,76.0019,764.8701,2127.8586,535.9405,548.7584,1303.4051,408.4028,2285.7451,740.8351,89.734,4287.9404,539.5458,246.3598,1758.9133,2743.53,359.499,135.0992,143.2303,228.6414,215.3673,522.8045,231.0124,229.6,196.5112,640.4509,51.9343,614.6745,1330.745,8006.8927,596.8513,647.1529,42.0788,2203.0555,0
CHN_C16,348.733,43.6368,468.4492,86.2151,0.9332,67.2938,136.3843,10315.4497,652.6384,16.8177,143.6265,12.1299,102.6514,829.0693,152.9609,1148.6083,317.2566,555.175,659.333,49.0994,6.4277,3092.392,133.3156,121.7204,12198.8222,572.593,43.1484,12.7436,0.17,8.0649,3.5683,27.9765,102.1362,5.4397,1.1735,13.3374,170.9029,254.7113,66.9805,352.2791,603.2912,257.4983,12.8335,213.3163,0
CHN_C17_18,230.3024,30.5643,79.8342,71.9424,1.5808,3235.2818,1406.4103,362.9308,17392.9048,51.0603,1328.5619,640.6448,803.4294,3121.532,193.1491,477.0309,1901.0477,2446.5269,594.3662,137.8693,15.5035,1043.7931,352.899,146.6231,199.6724,9939.0627,298.5335,18.1234,23.8601,57.5052,984.0385,205.8822,1161.1033,608.9238,3501.4186,1796.2191,123.9337,5061.0722,2084.7388,3692.4692,3074.4226,279.3546,8.1349,296.6084,0
CHN_C19,3216.9183,435.2537,2163.4299,3645.7396,166.9733,550.9191,907.843,453.7323,650.3242,5448.5246,13998.8218,52.4898,645.5175,4857.4991,13753.1323,1193.3107,1343.4266,1417.9189,2560.0732,815.5122,282.9625,597.9382,12665.5717,2279.6854,7907.3809,6329.3065,16109.1411,10871.6761,4593.1897,4305.2227,176.5386,561.9984,230.1908,90.7188,34.1554,1015.543,376.8562,1140.9712,575.0497,1370.1855,497.4368,212.8768,24.8297,145.1481,0
