V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_A01_02,215.541,1.8581,0,0.0005,0.0001,91.5259,4.2949,1.7573,0.2209,0.001,0.2266,0.0246,0.2163,0.0088,0.0001,0.0004,0.0,0.0,0.0,0.0008,0.0002,0.6721,0.0476,0.0256,0.8315,22.1213,0.0855,0.0407,0.0195,0.0377,0.0645,48.0085,0.2482,0.2378,0.4787,0.0172,4.7169,1.0943,0.8961,0.1711,0.1308,0.042,0.3223,0.4762,0
KHM_A03,0.3435,58.439,0,0.0228,0.0067,39.96,0.381,0.6327,0.113,0.0,0.3013,0.1054,0.6722,0.0246,0.0013,0.0001,0.0,0.0,0.0,0.002,0.0009,0.0068,0.8142,0.516,0.0001,15.277,0.0251,0.0226,0.0169,0.0118,0.022,51.2236,0.1659,0.0688,0.0007,0.0052,0.0073,0.0019,0.0015,0.0002,0.0869,0.0073,0.0676,0.09,0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KHM_B07_08,0.1771,0.1418,0,0.4158,0.0333,0.3351,0.2137,0.0013,0.0108,0.4083,0.0013,0.0001,0.0048,0.3602,0.0935,0.0459,0.0,0.0,0.0,0.0008,0.0002,0.303,0.2742,0.1937,16.5721,0.2976,0.0262,0.0055,0.0071,0.0103,0.0411,0.2325,0.007,0.1325,0.0111,0.024,0.2283,0.0704,0.0421,0.0006,0.0133,0.0009,0.0032,0.008,0
KHM_B09,0.1294,0.1037,0,0.1642,0.0853,0.2489,0.1646,0.0013,0.0055,0.4031,0.001,0.0,0.0055,0.114,0.0652,0.0353,0.0,0.0,0.0,0.0006,0.0001,0.2201,0.2229,0.1063,5.4946,0.2188,0.0204,0.0017,0.0039,0.0072,0.1613,0.1704,0.0027,0.0,0.0026,0.0574,0.1669,0.069,0.0236,0.0009,0.0172,0.0006,0.0034,0.0046,0
KHM_C10T12,5.7064,6.5449,0,0.0058,0.0009,33.3901,0.1204,0.0015,0.0027,0.0001,0.0003,0.0,0.0016,0.0014,0.0001,0.0006,0.0,0.0,0.0,0.0001,0.0,0.0834,0.0105,0.0071,0.0097,2.7715,0.0502,0.0254,0.0288,0.02,0.0024,20.2339,0.2138,0.0068,0.0095,0.0046,0.0865,0.0235,0.0179,0.7517,0.091,0.0114,0.369,0.4548,0
KHM_C13T15,2.5809,4.2693,0,0.0269,0.0033,3.2842,196.7117,1.8926,2.1018,0.0571,0.0005,0.0,1.5798,0.0073,0.0029,0.1063,0.0,0.0,0.0008,0.2035,0.0307,0.6339,0.8748,0.6524,1.7488,29.9722,1.8279,0.5092,0.6322,0.7323,0.0553,12.9573,2.7842,0.0862,0.9392,0.0915,10.7913,2.6128,2.8538,9.6846,0.2996,0.1869,2.5985,4.5368,0
KHM_C16,0.0715,0.0514,0,0.0012,0.0002,2.1165,0.5293,0.9783,0.0001,0.0023,0.0013,0.0001,0.0181,0.0185,0.0003,0.0071,0.0,0.0,0.0,0.0048,0.0011,0.1281,0.0256,0.0123,2.1867,0.4559,0.2395,0.0456,0.0385,0.141,0.0105,0.6911,0.0725,0.0254,0.1109,0.3192,1.1971,0.3054,0.2299,0.0,0.0,0.0245,0.0853,0.1862,0
KHM_C17_18,0.0998,0.0714,0,0.0016,0.0001,2.9668,0.6285,0.0015,0.6037,0.0035,0.067,0.0079,0.0449,0.009,0.0004,0.0145,0.0,0.0,0.0,0.0072,0.0009,0.2118,0.0353,0.0179,0.5978,0.6336,0.3297,0.043,0.0933,0.1917,0.017,0.9769,0.5065,0.033,0.225,0.4374,1.6637,0.4656,0.2161,0.0244,0.2078,0.034,0.1411,0.2399,0
KHM_C19,0.4079,0.3255,0,0.375,0.0387,0.7906,0.46,0.0364,0.0,2.2891,0.0079,0.0002,0.1069,0.2019,0.1149,0.0305,0.0,0.0001,0.0,0.0019,0.0004,0.7684,0.8133,0.2216,1.8316,0.6822,0.07,0.0115,0.0255,0.0071,0.1082,0.5234,0.0068,0.1978,0.0525,0.1977,0.524,0.1107,0.1192,0.0023,0.0244,0.002,0.0096,0.0165,0
