V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_H49,30.6295,0.2938,5.7309,4.2881,1.3622,57.6935,14.6517,11.4936,15.089,18.7382,27.4695,3.1266,10.5131,23.8561,15.0627,7.0753,5.9733,8.3296,14.5984,10.4495,1.4191,10.9363,9.8511,3.1625,29.9317,67.9458,62.4857,9.1217,4.3612,17.9334,3.124,3.8673,3.5706,3.0328,1.1094,4.2422,1.0849,5.3038,4.5303,10.9664,6.2627,5.6738,2.1429,8.9585,0
BLR_H50,1.5122,0.0159,0.1169,0.0583,0.0415,2.5028,0.9571,0.1907,0.4559,3.8564,0.8919,0.1725,0.3871,0.5132,0.6577,0.3021,0.3436,0.3896,0.6005,0.6477,0.0962,0.4229,0.8255,0.0749,1.2094,1.306,0.8657,1.7754,0.8943,0.4766,0.0334,0.3975,0.1523,0.2353,0.0662,0.2741,0.084,0.2809,0.2229,0.3431,0.136,0.3236,0.1204,0.287,0
BLR_H51,2.3357,0.0163,0.1017,0.0443,0.0357,3.6734,1.0515,0.2389,0.5736,4.7399,0.8941,0.1595,0.4284,0.5463,0.8475,0.3552,0.3757,0.4571,0.6847,0.8815,0.1236,0.4873,0.9656,0.0693,1.4712,0.7836,0.5294,0.6608,0.5922,0.2851,0.0933,0.4636,0.1347,0.1949,0.1126,0.3576,0.0607,0.4155,0.2674,0.2587,0.0854,0.2982,0.0701,0.2811,0
BLR_H52,3.5446,0.1453,0.3645,0.4185,0.3039,7.1132,1.7544,0.882,1.4203,3.0136,3.4743,0.51,1.1741,2.0344,1.681,0.7453,0.7428,0.9475,1.4414,1.4019,0.2191,1.1062,1.0096,0.3224,2.3316,15.3335,15.1491,27.8864,18.559,10.1216,0.3275,0.5778,0.4276,0.8623,0.1636,0.4483,0.1811,0.8372,0.6742,1.2747,0.2609,0.4284,0.2154,0.7951,0
BLR_H53,0.9078,0.015,0.1082,0.0499,0.0332,1.3946,0.8823,0.2225,0.4091,0.383,1.1299,0.2799,0.3851,0.3776,0.3148,0.2642,0.414,0.4928,0.7171,0.3188,0.0775,0.738,0.9073,0.2716,0.9504,5.6616,1.0225,0.6015,0.3958,0.7303,5.1228,0.5995,1.4756,5.8403,0.4751,3.6412,0.3765,1.8878,1.1173,4.5531,0.7415,1.3041,0.7082,2.1294,0
BLR_I,2.5987,0.0814,0.7289,0.341,0.2187,7.5389,4.232,1.224,1.89,1.5796,5.3935,1.8302,2.4041,2.4913,1.9805,1.657,2.5041,2.1433,4.3185,1.8509,0.6269,3.301,2.6419,1.0081,7.6078,17.1051,5.742,3.9046,12.0588,3.358,0.3894,4.9659,2.7319,3.4429,1.9287,8.1664,1.5351,8.0816,7.1969,14.3635,6.3869,11.871,3.9535,9.8937,0
BLR_J58T60,1.5459,0.0184,0.145,0.1079,0.0621,5.9191,1.8844,0.5594,3.1386,0.6831,3.4475,1.1657,0.9989,1.0168,0.5932,0.5667,1.1489,1.0133,1.4838,0.9206,0.2299,1.529,1.1753,0.4759,2.3857,10.6799,1.4659,0.9386,1.1018,0.8458,0.2924,1.6723,23.7767,6.4729,1.8602,5.7807,0.8166,13.8376,2.9576,7.3566,7.3,2.9133,4.9931,5.6579,0
BLR_J61,4.4546,0.1177,0.827,0.3145,0.1852,6.5855,4.4679,1.3575,2.0245,1.5141,3.9589,1.1929,2.0388,2.2878,1.4937,1.5387,2.9851,2.2134,4.2231,1.9418,0.4715,3.6924,3.7622,1.3519,7.9898,21.4943,5.2434,2.9051,2.8697,2.9169,0.8067,3.305,5.817,83.6324,3.545,14.7057,2.1007,10.5055,5.7454,15.5608,4.9425,7.5484,3.8767,10.2538,0
BLR_J62_63,0.5764,0.0092,0.1409,0.0457,0.0306,1.7097,0.832,0.2505,0.5101,0.4762,0.9895,0.4152,0.3902,0.471,0.4415,0.3157,1.041,0.6042,0.9312,0.5555,0.1588,0.7295,1.3095,0.3171,1.4048,3.9745,0.8487,0.5518,0.7909,0.5155,0.2083,0.3914,1.1318,3.719,4.1337,5.578,0.3517,2.4231,0.9656,4.4722,0.9476,1.3683,0.5531,1.7878,0
BLR_K,44.8757,0.5482,3.511,1.4014,0.9135,28.3813,14.5457,5.011,7.6312,9.9911,17.2089,4.0212,7.3722,8.8247,8.8346,5.0554,6.2793,7.2002,13.1769,7.1431,1.963,11.4826,18.2385,3.6588,30.8513,44.795,18.2316,12.3119,8.4329,5.8071,0.955,7.6886,4.2844,12.3004,3.1237,134.7435,28.659,14.9154,9.8171,25.1778,6.1658,12.3594,4.6479,13.8002,0
BLR_L,4.7039,0.0631,0.48,0.3227,0.1386,9.5833,6.7602,1.856,2.424,1.5364,4.1744,1.1843,2.8404,2.6175,1.6058,2.3769,2.4322,2.5862,4.3762,2.5621,0.7459,5.3777,3.7249,1.3445,11.3062,48.6359,5.3835,2.8413,2.4897,4.4907,0.6572,13.5734,3.8208,9.3108,2.8455,14.215,10.4015,12.1904,6.3049,14.9331,7.0389,10.9516,5.995,14.1915,0
BLR_M,12.3308,0.1348,2.8666,0.8675,1.2303,31.074,10.5183,2.6899,5.6399,5.8784,17.1956,8.5605,6.6698,6.5398,4.6871,3.892,8.4608,7.3251,11.3356,6.4606,1.8852,8.2317,9.7258,3.2926,36.2169,43.4732,6.767,5.4893,4.226,3.8794,0.6718,5.7727,8.6268,15.7348,4.8067,22.2648,6.3749,38.0186,10.5177,18.8352,5.3596,10.0173,5.9413,14.0369,0
BLR_N,9.4309,0.1281,2.069,0.825,1.2841,21.8563,8.2744,2.5582,5.0245,4.3472,11.2569,4.555,5.3623,5.4138,4.0659,3.7674,6.4098,5.3477,8.5577,4.6495,1.4296,7.4033,7.7948,2.5312,21.3215,31.1363,10.1565,10.2231,9.2687,5.6555,1.2623,5.769,5.6809,14.883,3.8909,16.2388,5.409,18.4788,17.2468,16.7982,6.458,14.0235,6.0292,12.3526,0
BLR_O,1.1516,0.0147,0.1192,0.0659,0.0477,1.524,0.5902,0.3043,0.4271,0.3921,0.9147,0.2546,0.3406,0.4748,1.6319,0.2822,0.3202,0.3084,0.5285,0.3308,0.0815,0.479,0.8859,0.5256,1.7555,2.2248,0.9152,0.7829,0.5505,0.4335,0.0573,0.4999,0.3833,0.6799,0.2408,1.0432,0.5244,1.0504,0.4721,2.1214,0.5355,0.8883,0.4118,0.8417,0
BLR_P,0.3438,0.0044,0.0637,0.02,0.0179,0.5707,0.2456,0.0985,0.16,0.1767,0.4179,0.2902,0.1671,0.1709,0.1569,0.1035,0.309,0.2067,0.3166,0.2247,0.0484,0.1904,0.2817,0.0838,0.4954,0.818,0.2514,0.1644,0.2498,0.1281,0.026,0.1468,0.2027,0.4556,0.2076,0.6095,0.1026,0.7153,0.2927,1.616,1.609,0.6837,0.1795,0.5127,0
BLR_Q,1.7027,0.0058,0.0227,0.0112,0.0113,0.664,0.2721,0.0534,0.0824,0.0909,0.1936,0.1921,0.0943,0.0882,0.0727,0.053,0.0967,0.0891,0.1477,0.0755,0.0216,0.1421,0.1266,0.0524,0.269,0.4372,0.1464,0.1025,0.0876,0.0645,0.0128,0.1652,0.081,0.1341,0.0601,0.2431,0.0586,0.22,0.1266,1.0132,0.2087,9.1517,0.1206,0.2716,0
BLR_R,0.2865,0.0033,0.0282,0.0158,0.0112,0.8093,0.2119,0.0724,0.1249,0.086,0.2036,0.0914,0.0949,0.0967,0.0701,0.0573,0.0769,0.0848,0.1323,0.1219,0.0262,0.1428,0.1157,0.05,0.3197,0.8104,0.1624,0.2288,0.1399,0.1044,0.0238,0.426,2.2631,0.4488,0.0786,0.4047,0.1119,0.8488,0.3563,0.926,0.5087,0.2878,7.2185,0.9293,0
BLR_S,2.3912,0.0573,0.2497,0.1314,0.1367,3.2416,1.7712,0.4298,0.6114,0.6896,1.3827,0.359,0.6938,0.8498,0.6048,0.4401,0.6438,0.5811,1.0848,0.6096,0.1463,1.5016,1.027,0.5625,2.1611,4.8261,1.6471,0.9312,0.7735,0.6539,0.1754,2.6324,0.9652,1.8782,0.5038,1.7018,0.5925,2.1804,1.3402,2.8661,1.6577,5.8873,1.5739,12.6096,0
BLR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
