V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_A01_02,281.4059,0.1433,0.1551,1.1561,0.0989,357.8681,3.7894,47.5545,81.3188,1.9103,2.0844,1.0414,11.7206,1.4429,1.2625,1.4123,1.2597,2.5137,1.2428,1.3408,0.3601,4.5122,56.3695,3.8271,17.9323,60.0013,7.6652,0.2013,1.378,2.2901,0.2061,37.0882,0.7139,0.4163,0.6436,2.4138,1.2224,6.4608,4.7068,56.0546,1.9665,3.3922,1.3701,3.6796,0.0
SVK_A03,0.0051,0.0671,0.1464,0.2945,0.0,0.2565,0.0151,0.0002,0.0007,0.0006,0.0007,0.0001,0.0005,0.0074,0.0007,0.0008,0.0008,0.0009,0.0003,0.0005,0.0001,0.0008,0.0019,0.066,0.0023,0.0209,0.0041,0.0,0.0001,0.0019,0.0,0.1174,0.0016,0.0019,0.0031,0.0027,0.0004,0.002,0.0022,0.0013,0.0023,0.0055,0.005,0.168,0.0
SVK_B05_06,0.5558,0.0016,0.0856,0.1273,0.0121,0.7173,0.102,1.591,2.9666,17.0346,0.596,0.0241,0.1058,5.8246,79.0665,0.6179,0.1361,0.1342,0.1648,0.2625,0.0944,0.2674,32.7656,0.2568,2.0728,0.6916,0.4058,0.0056,0.0091,0.7779,0.0184,0.3012,0.046,0.0393,0.0154,0.4447,0.1035,0.1427,0.1419,0.2614,1.6329,0.1758,0.0705,0.0466,0.0
SVK_B07_08,3.6473,0.0013,0.0453,6.8979,0.1403,2.2966,0.1414,0.1304,0.334,18.9105,10.6016,0.4636,0.4136,49.4286,25.0905,0.3118,0.469,0.5129,0.1985,0.3313,0.0225,0.2272,2.0023,4.1882,15.5154,3.3847,2.3248,0.0047,0.0048,4.0426,0.0163,1.9136,0.0674,0.0373,0.0168,0.071,0.2322,0.3956,0.7077,0.3589,0.6419,1.2363,0.138,0.2229,0.0
SVK_B09,0.8252,0.0006,0.1839,4.084,8.6867,0.1486,0.0029,0.0008,1.0716,19.7624,0.0109,0.0002,0.0608,1.7803,2.1473,0.0172,0.0001,0.0008,0.006,0.0029,0.0044,0.0071,5.8045,0.2996,1.972,0.2271,0.2009,0.0,0.0,0.5146,0.0217,0.0244,0.0021,0.0,0.0001,0.0006,7.3881,0.0438,0.0486,0.2238,0.049,0.1305,0.0042,0.0351,0.0
SVK_C10T12,103.0324,0.2675,0.002,0.8022,0.0083,419.4996,10.1667,0.0487,2.7106,0.0931,9.3787,2.2799,0.2116,0.4253,0.2071,0.4177,0.1018,0.8454,0.1998,0.0817,0.0118,0.2433,0.8614,0.5848,0.4879,47.4554,5.1,0.0836,0.0481,0.5383,0.0149,69.26,0.6561,0.0497,0.0456,0.0815,1.7433,8.7562,3.6785,59.0814,11.982,19.7953,1.6099,2.3586,0.0
SVK_C13T15,3.2986,0.0026,0.0471,0.2688,0.0444,6.7875,222.7074,1.0152,3.4153,1.8181,1.0521,0.192,5.2158,1.3825,2.6849,3.0005,4.2032,2.9348,2.4104,19.338,0.376,30.516,3.1022,0.7707,7.0614,23.0425,3.3338,0.0236,0.3531,0.7734,0.0928,1.9272,0.9759,0.4664,0.1661,2.9289,0.8584,2.0417,1.4413,3.7884,1.244,2.2309,1.7236,1.0167,0.0
SVK_C16,5.6836,0.0133,0.0673,0.4736,0.0417,6.2998,2.3223,148.9334,8.6069,2.254,2.2018,0.3062,2.8552,6.0413,7.9859,5.2283,2.1291,2.6507,4.0211,2.2167,0.415,73.439,10.9631,0.8018,53.6458,20.5621,1.8034,0.0161,0.1193,3.1273,0.0589,3.4388,1.1997,0.2697,0.1576,0.8647,2.2613,4.2853,2.0086,2.2431,1.2544,1.1593,2.5547,2.6618,0.0
SVK_C17_18,4.8967,0.004,0.0177,0.5566,0.0395,39.9067,6.1402,3.9272,155.4027,0.8349,5.6963,1.461,4.645,8.7243,1.7868,2.6729,5.1216,5.6888,3.9491,1.9473,0.2523,6.3473,6.3989,1.1364,6.7987,72.0945,1.4812,0.0374,0.4557,4.2476,1.2362,5.9947,79.0175,3.487,1.9466,19.9475,11.4795,23.592,6.7486,26.3101,8.1681,4.7706,6.614,6.4284,0.0
SVK_C19,104.6211,0.0216,0.4369,10.7156,0.8616,37.8243,5.6085,14.5609,8.923,174.3202,31.3654,2.4185,14.1267,18.8516,70.43,10.766,4.8639,12.6709,10.5598,5.4742,1.1358,8.0503,102.7482,20.3219,87.684,119.4964,221.5798,3.4769,34.6917,24.2189,1.421,12.6185,5.0555,3.4512,4.6498,4.8028,14.6219,19.3548,12.1845,16.8304,6.1618,18.6475,11.6228,4.7145,0.0
