V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_A01_02,161.1939,0.0473,0.0,0.0,0.0,297.4134,0.1225,1.5295,0.1701,0.0,1.6153,0.7243,3.6142,0.0001,0.2937,0.4971,0.0,0.0,0.0,0.0,0.0,0.3197,0.0,0.0,0.0713,0.0,0.0,0.0,0.0,0.0,0.0,72.8835,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0116,0.0,0.561,0.0,0.0294,0.0
CIV_A03,0.0746,3.1428,0.0,0.0,0.0,12.0683,0.0,0.0,0.0,0.0,0.0225,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_B05_06,0.0106,0.0,0.2113,0.6013,0.0661,1.668,0.0,0.0,0.0,104.5392,0.1878,0.0039,0.0,1.5919,3.8477,2.6779,0.0,0.0935,0.0,0.0,0.0,0.8982,0.2101,0.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3739,0.0,0.0,0.0
CIV_B07_08,0.1666,0.0,0.6946,10.9095,0.4737,9.4308,0.0,0.0,0.0,0.0,1.3453,0.2035,0.0,13.8075,109.6037,52.0652,0.0,1.6008,0.0,0.0,0.0,13.7871,0.1602,0.0,6.6497,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9952,0.0,0.0,0.0
CIV_B09,0.0471,0.0,1.3825,4.4624,0.708,2.7603,0.0,0.0,0.0,3.443,0.2282,0.0091,0.0,1.1943,9.4511,7.9634,0.0,0.053,0.0,0.0,0.0,0.0,0.0565,0.0,0.7043,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1537,0.0,0.0,0.0
CIV_C10T12,21.8069,1.1173,0.0011,0.0032,0.0014,220.5702,0.1261,0.0154,0.8526,0.0003,11.004,3.1621,0.1319,0.0454,0.0296,0.0485,0.0051,0.0003,0.0008,0.0,0.0,0.0116,0.0334,0.0014,0.0523,0.3655,0.1876,0.0148,0.0223,0.1279,0.0376,353.9514,0.0029,0.0015,0.0026,0.0073,0.0003,0.0025,0.0006,5.7236,1.3076,0.3178,0.0001,0.0162,0.0
CIV_C13T15,3.2921,0.3142,0.0,0.0,0.0,0.232,11.3529,0.0009,0.9347,0.0,0.0239,0.0083,0.1399,5.793,0.0002,0.0005,0.0,0.0,0.0,0.0,0.0,3.279,0.0008,0.0,0.0086,0.1114,0.0296,0.0023,0.0034,0.0198,0.0059,0.0002,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.3577,0.0,0.0252,0.0,12.633,0.0
CIV_C16,0.5493,0.0001,0.0096,0.0267,0.0124,8.6978,0.07,7.49,0.0542,0.0001,0.1578,0.0277,0.0493,0.0035,0.0333,0.0791,0.045,0.0001,0.0073,0.0003,0.0001,10.2496,0.2489,0.0012,0.0977,0.1694,0.0115,0.0031,0.0056,0.0255,0.0052,0.2175,0.0215,0.0112,0.0198,0.0643,0.0029,0.0136,0.0043,0.0512,0.0222,0.0151,0.001,0.0792,0.0
CIV_C17_18,3.4729,0.0168,0.0176,0.1301,0.01,6.9338,0.1086,0.0422,11.1536,0.0519,1.7039,0.7733,0.1834,0.2984,0.0231,0.0654,0.0365,0.0094,0.2119,0.2135,0.3119,0.051,0.1838,0.03,0.3658,42.9976,0.1458,0.0337,0.0672,0.3287,0.1584,10.7785,0.3191,0.0612,0.0863,1.6952,0.0713,0.3676,0.1829,3.8338,4.4068,2.7606,0.0274,0.0317,0.0
CIV_C19,34.8108,3.5719,0.26,1.8829,0.1094,26.117,0.0922,1.7663,0.2979,1.6307,2.4069,0.2215,0.9839,0.3457,1.5177,1.5387,0.1585,0.0039,0.156,0.1526,0.2216,0.7843,0.5731,1.8771,5.3107,20.8721,82.9086,25.6069,50.1476,23.795,10.758,14.0039,0.0322,0.0378,0.0409,0.9586,0.4344,0.1172,1.3895,6.5222,0.4975,0.4428,0.0101,0.2625,0.0
CIV_C20,22.4508,0.0054,0.0072,0.0609,0.0038,11.6903,1.3763,0.2405,1.9703,0.0249,16.6666,1.9776,9.2866,0.3548,0.1305,0.2203,0.0378,0.1681,0.0745,0.0049,0.0038,1.1079,0.0293,0.6407,6.896,20.979,0.1205,0.0342,0.0497,0.2045,0.0323,9.9815,0.0893,0.0145,0.0386,0.2043,0.0281,0.1325,0.2263,0.052,0.0994,0.1228,0.0109,1.7017,0.0
CIV_C21,1.2576,0.0013,0.0003,0.0024,0.0001,1.6473,0.0461,0.012,0.0639,0.0015,0.9375,5.7632,0.2123,0.0112,0.007,0.01,0.0021,0.0053,0.0043,0.0002,0.0003,0.0457,0.0022,0.0235,0.2117,1.7704,0.0087,0.0076,0.0063,0.0194,0.0082,0.8402,0.0027,0.0018,0.0032,0.0274,0.0013,0.0238,0.0143,0.0169,0.0186,0.1599,0.001,0.1448,0.0
CIV_C22,28.4949,0.0697,0.0041,0.0285,0.0039,32.7659,5.0093,0.6117,9.6338,0.0264,6.5772,2.2151,11.4153,0.9852,0.1141,0.3586,0.0087,0.0305,0.0011,0.0,0.0,1.0955,0.5271,0.0032,4.6871,33.4984,17.9145,1.3938,2.081,12.0251,3.5553,0.1014,0.0464,0.0279,0.0398,0.0085,0.0056,0.0646,0.0156,0.0091,0.0081,0.0316,0.0026,0.0676,0.0
CIV_C23,0.8934,0.0162,0.0127,0.0791,0.0078,4.2637,0.0103,0.5122,0.2728,0.062,2.6077,1.0475,0.1063,29.7227,0.1154,0.1943,0.0009,0.0031,0.0054,0.0,0.0,0.819,0.018,4.0176,270.0295,8.466,0.336,0.1177,0.1641,0.5969,0.0987,0.0482,0.0409,0.0728,0.0542,0.0006,0.0865,0.1431,0.0743,0.0613,0.0263,0.4225,0.0014,0.0081,0.0
CIV_C24,4.6004,0.0857,0.1884,1.3193,0.1026,3.6316,0.1802,0.5898,0.7527,0.0213,0.6053,0.0751,0.3139,0.1674,17.7168,30.6386,0.0137,0.9851,0.0732,0.0488,0.0379,0.6373,0.1841,0.0845,5.8578,4.6415,0.3558,0.1895,0.1174,0.5562,0.0169,0.2871,0.0499,0.0206,0.0223,0.0022,0.1763,0.1992,0.1695,0.0004,0.1088,0.0541,0.0139,0.1054,0.0
CIV_C25,110.4849,1.3469,1.99,13.3426,1.6405,69.7829,3.6826,9.8268,5.2236,0.2453,4.7462,0.9994,2.4259,1.0898,15.9031,86.2997,0.088,3.5162,0.4638,0.5414,0.5978,4.2071,1.5504,0.6887,61.8941,72.8598,4.0681,1.5255,1.1426,9.2928,1.0319,6.378,0.5025,0.4457,0.4233,0.0358,3.2146,2.7337,3.4489,0.0104,2.0951,1.3744,0.4288,1.853,0.0
CIV_C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9203,0.0,0.0,0.0,0.0,0.0,0.1439,0.0,0.0,0.0,2.5788,0.0
CIV_C27,0.0034,0.0,0.0001,0.0009,0.0001,0.0047,0.0005,0.0002,0.001,0.0,0.0008,0.0003,0.1546,0.0001,0.2116,0.5299,0.0572,0.0068,0.0001,0.0,0.0,0.0002,0.0003,0.0003,5.2818,0.0054,0.0019,0.0002,0.0002,0.0014,0.0004,0.0002,0.0004,0.0008,0.0006,0.0,0.001,0.0005,0.0007,0.0007,0.0003,0.0001,0.0,0.0001,0.0
CIV_C28,0.2837,0.0034,3.9874,17.1367,0.0169,35.5101,0.0062,1.3408,1.6849,0.0028,4.4169,2.0035,0.0148,0.0145,0.0126,0.0237,0.0193,0.0009,7.7046,0.6772,1.0952,2.0552,0.2968,0.1281,0.1696,1.045,0.1031,0.0337,0.0903,0.1286,0.0157,0.0684,0.2097,0.3105,0.1802,2.8667,0.0146,0.0631,0.0267,2.546,0.0634,0.1032,0.0663,0.0149,0.0
CIV_C29,0.0483,0.0,0.0,0.0,0.0,1.2997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0006,0.0,0.0,0.0,0.0,1.4157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C30,0.1024,0.0,0.0,0.0,0.0,1.8944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0389,0.0,0.0,0.0,0.0,3.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C31T33,9.5433,0.0117,0.7758,2.5418,0.9388,16.2637,1.1712,0.9414,0.7792,0.0108,0.6471,0.3435,0.8035,0.2867,1.6822,4.0004,3.3363,0.0075,1.0053,0.0225,0.012,0.526,18.8258,0.3496,4.5517,13.4143,1.0571,0.2948,0.598,2.1355,0.4168,0.7742,2.0,1.4528,1.8093,10.6212,0.2284,1.1232,0.3588,9.0031,1.753,0.8743,0.2098,5.8024,0.0
CIV_D,21.9544,2.747,0.272,2.0856,0.0752,55.8961,1.7028,4.1637,3.7205,0.1448,5.3277,0.8417,6.5705,3.2265,6.6097,5.9082,0.5885,0.1459,3.0701,0.0834,0.0949,0.9794,5.0258,7.1836,20.122,70.2503,7.6085,0.7003,1.3828,12.9559,2.3548,12.5506,1.2004,2.5882,1.4739,3.068,1.6803,3.1243,2.4795,31.0483,5.5955,3.6841,0.4391,2.0028,0.0
CIV_E,0.84,0.0499,0.0047,0.0283,0.0018,8.5285,0.0726,0.5235,0.2412,0.0078,0.2678,0.057,0.1135,0.3092,0.1692,0.1499,0.0827,0.0071,0.9867,0.0272,0.0495,0.206,0.3517,0.138,3.7799,3.4046,0.2168,0.0638,0.0824,0.4991,0.0616,7.8338,0.0984,0.0813,0.116,0.226,0.2006,0.2146,0.3077,3.8759,3.0065,1.4535,0.0186,0.4733,0.0
CIV_F,33.8078,1.9016,7.2103,44.5554,4.3644,30.3039,0.4496,6.3261,3.7225,0.0927,6.1051,1.9703,2.6165,0.8729,15.6783,31.4277,0.5318,0.5337,3.1643,0.0179,0.0274,6.8971,10.5629,14.7418,392.2825,104.2682,6.4173,1.1921,1.8555,13.5497,1.6432,11.5211,20.885,40.2614,29.2535,0.3927,49.6555,22.6354,35.1096,35.9841,14.4508,7.2729,0.6293,3.2219,0.0
CIV_G,168.3975,6.2054,3.2915,15.5505,1.4332,268.2964,24.0095,8.7288,15.8217,43.9005,26.0699,10.038,12.7345,35.3253,13.0243,23.398,7.0217,0.7743,10.7211,0.6346,0.9341,14.7333,16.1471,7.0282,113.5596,188.3598,187.2623,20.5882,44.2355,80.2715,38.5971,241.5153,23.5612,29.4731,21.7585,27.7127,1.4952,4.0148,5.4674,39.7845,10.1034,8.3559,11.7214,31.8942,0.0
CIV_H49,37.8881,2.3258,0.6288,3.2304,0.1734,41.9304,1.8414,1.8548,2.1444,14.2144,3.8692,1.0412,2.4344,3.3949,5.1172,5.5088,0.6162,0.2027,0.8424,0.1071,0.1474,2.4047,0.9409,0.5549,20.3916,170.45,7.0588,1.4372,2.4812,4.5357,1.2064,19.3741,0.4837,1.1527,0.2811,1.14,0.3169,0.5406,0.5981,2.0541,1.1521,0.7727,0.0848,2.9187,0.0
CIV_H50,2.7212,0.3081,0.1372,0.6567,0.0255,5.2123,0.2628,0.2045,0.3224,3.9139,0.7988,0.2837,0.3989,0.6132,0.9765,1.0786,0.156,0.0408,0.2045,0.0253,0.0382,0.3822,0.131,0.0761,3.5298,8.5092,0.8226,0.5297,0.4309,0.6307,0.1899,2.6248,0.0524,0.3541,0.0269,0.0697,0.027,0.0387,0.0507,0.1743,0.0829,0.0918,0.0055,0.3599,0.0
CIV_H51,6.1748,0.7233,0.2811,1.1454,0.0858,8.1451,0.3485,0.2734,0.4211,5.0902,1.2864,0.5113,0.6934,0.7585,1.1608,1.33,0.2661,0.0605,0.3735,0.0382,0.0614,0.4615,0.1801,0.1243,4.2493,45.4619,1.3018,0.4708,2.3609,1.8867,0.7417,2.7083,0.1114,0.5181,0.1167,1.0396,0.1674,0.339,0.3728,0.9825,0.3955,0.2035,0.0509,0.815,0.0
CIV_H52,34.5054,4.0181,0.3101,1.8902,0.0997,20.872,0.5385,0.7737,0.7378,2.2834,1.921,0.5526,1.4253,0.8507,0.9426,1.0859,0.2557,0.0722,0.4759,0.0474,0.0584,0.5459,0.2768,0.2247,4.2112,324.6457,8.3305,5.1579,7.144,19.6227,1.0053,3.3387,0.2058,0.2749,0.1352,0.9176,0.3062,0.4459,0.6185,1.2085,0.391,0.2453,0.0806,1.1787,0.0
CIV_H53,8.105,1.0742,0.1079,0.7942,0.0749,6.9013,0.1482,0.2104,0.2112,0.0116,0.5307,0.2504,0.4645,0.1106,0.0463,0.1253,0.0908,0.0194,0.1843,0.0113,0.0163,0.0664,0.1518,0.1402,0.5875,113.8606,1.1552,0.3645,0.541,2.7797,5.0291,0.264,0.2264,0.2011,0.1433,3.334,0.4793,0.6201,0.5237,1.9719,0.684,0.3247,0.1017,1.2873,0.0
CIV_I,5.5123,0.0229,0.2193,0.9973,0.1614,5.2876,0.0243,0.2803,0.1935,0.0151,0.7069,0.3346,0.1794,0.127,0.2048,0.5012,0.0,0.0647,0.8857,0.0026,0.0044,0.2194,1.5002,0.946,3.871,13.6887,1.5221,0.2988,2.1307,1.726,0.5047,13.558,2.2714,1.5497,2.5639,4.1651,0.2512,4.8782,1.5215,9.7586,2.5349,1.1545,0.6749,21.734,0.0
CIV_J58T60,13.2016,0.6454,0.0266,0.1379,0.0098,2.7833,0.0543,0.066,0.2444,0.0115,0.1838,0.09,0.0269,0.024,0.0296,0.0774,0.0314,0.0032,0.1237,0.0016,0.0031,0.0837,0.115,0.0457,1.743,4.9246,1.4894,0.4467,1.3267,3.074,0.9663,0.4688,33.3113,7.4896,8.553,1.9347,0.327,0.5848,0.7634,1.4055,1.7637,0.085,0.151,2.2003,0.0
CIV_J61,40.8074,1.5332,0.0653,0.3331,0.0308,3.6,0.1358,0.1527,0.2586,0.0166,0.2219,0.099,0.0634,0.0551,0.0743,0.2168,0.0592,0.005,0.2903,0.003,0.0046,0.1298,0.2641,0.1228,6.082,8.1244,5.3929,1.0994,2.1069,7.8511,2.7048,0.8861,3.4494,18.9704,4.1544,4.8293,0.7653,0.5491,1.4732,2.5555,1.0708,0.1994,0.1133,3.5046,0.0
CIV_J62_63,43.4401,1.3872,0.1025,0.5314,0.0609,4.2467,0.2214,0.1726,0.4237,0.0299,0.4629,0.2108,0.0849,0.0793,0.1404,0.3298,0.1285,0.0093,0.4551,0.0066,0.0116,0.2308,0.5902,0.2145,7.0399,14.6478,6.1803,1.8045,6.0448,13.1252,4.0165,0.6278,13.9278,12.1628,48.8406,11.0186,1.0192,1.3252,2.4866,4.298,2.0366,0.2982,0.2294,4.2962,0.0
CIV_K,14.9291,0.0795,0.8917,4.2377,0.3173,21.0497,0.7703,0.4551,1.0201,1.6556,5.0333,1.5679,0.7751,0.9875,0.6504,0.94,0.2052,0.1543,0.2982,0.0978,0.1412,0.2717,6.5176,1.4196,6.3446,49.2348,10.2306,3.3844,4.8611,12.5963,1.6846,2.2329,1.02,1.4316,1.5905,41.6563,7.5222,0.8895,0.758,3.3076,0.6849,0.8516,0.1959,1.7393,0.0
CIV_L,19.2354,3.247,0.2666,1.4858,0.1376,14.9138,2.5093,3.669,5.4991,0.0259,1.8364,0.7226,0.5266,1.6226,0.7299,2.3256,0.8009,0.0493,6.0667,0.1597,0.2004,2.8422,0.6586,0.0546,6.6479,109.3629,5.2823,0.9322,1.7681,13.445,1.7625,7.5707,2.599,3.6953,4.1828,20.7106,4.0894,4.4854,5.3952,5.8265,2.4777,1.6297,0.4487,4.8781,0.0
CIV_M,12.4881,0.1065,0.4568,2.4823,0.2361,39.8797,0.5363,0.9976,0.8999,0.1342,5.1593,3.4115,0.7438,1.0178,0.7063,1.4154,0.6942,0.096,2.64,0.0569,0.0835,0.5109,8.4854,3.1803,30.066,61.3524,4.9151,1.7182,2.8786,9.5869,1.253,4.8735,5.4659,4.2992,6.9313,32.7576,2.5235,14.3274,5.4426,16.7089,10.0361,30.9448,1.8243,0.839,0.0
CIV_N,25.7084,1.6745,1.1531,7.7355,0.8117,40.0833,0.955,1.6058,2.5731,0.1224,4.7447,2.0712,0.8966,4.1514,3.2423,8.1311,0.1823,0.1428,2.5357,0.4358,0.6557,1.4114,8.9163,4.7907,11.3242,186.677,17.2725,7.0914,15.7431,24.0204,4.0119,5.8872,8.9996,8.2021,12.4511,12.8078,5.0632,16.9091,8.5398,8.4677,17.7794,13.9158,0.9708,5.8721,0.0
CIV_O,0.0587,0.0099,0.0008,0.0045,0.0004,0.0455,0.0077,0.0112,0.0168,0.0001,0.0056,0.0022,0.0016,0.0049,0.0022,0.0071,0.0024,0.0002,0.0185,0.0005,0.0006,0.0087,0.002,0.0002,0.0203,0.3336,0.0161,0.0028,0.0054,0.041,0.0054,0.0231,0.0079,0.0113,0.0128,0.0632,0.0125,0.0137,0.0165,0.0178,0.0076,0.005,0.0014,0.0149,0.0
