V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_A01_02,591.8508,1.7123,6.3635,7.7868,0.7024,2141.2371,112.8411,633.8947,86.1383,12.3592,27.531,5.7439,11.5938,8.8656,13.745,11.4771,6.4264,4.273,8.0438,22.672,2.0551,16.0353,27.9063,10.763,62.1599,128.7819,14.9084,0.4005,1.238,8.5409,0.5381,227.2817,3.3667,1.9335,1.671,5.4694,22.9243,16.9953,29.5017,6.1111,3.8278,14.8922,29.0428,9.3972,0.0
CZE_A03,1.3196,0.0469,0.0171,0.0082,0.0009,5.8526,0.0743,0.308,0.0581,0.0296,0.1158,0.0115,0.0559,0.0326,0.0401,0.0496,0.0354,0.05,0.0436,0.0715,0.0066,0.0469,0.0643,0.0294,0.5102,0.4684,0.1025,0.0028,0.0083,0.0574,0.0035,0.8949,0.0242,0.0075,0.0167,0.0283,0.1683,0.1217,0.1191,0.088,0.0776,0.133,0.0976,0.2746,0.0
CZE_B05_06,13.9343,0.1614,14.9101,3.0201,2.176,9.5555,4.084,2.5441,5.9608,153.6173,53.7899,1.1634,5.1865,24.023,183.9435,6.4256,2.7485,2.3736,8.0692,11.9879,1.1444,2.4246,836.0399,2.5621,24.7053,17.5618,10.6703,0.3539,0.5659,9.3293,0.3588,2.113,1.0487,1.0343,0.7052,2.5836,13.5424,3.6674,2.8372,11.6292,8.3617,4.3742,1.6847,1.5242,0.0
CZE_B07_08,4.7924,0.094,1.1189,21.1921,1.2856,5.068,0.5511,0.9947,0.9261,3.2383,28.0793,0.2537,0.9681,141.3754,78.3084,2.5557,1.245,2.3366,1.7414,2.21,0.5073,2.3227,28.6785,14.2763,187.4347,5.5346,5.5443,0.1101,0.0812,3.4181,0.0644,0.569,0.3291,0.1694,0.1465,0.3319,3.8425,2.0949,1.5194,1.944,0.6166,0.7847,0.6175,0.6541,0.0
CZE_B09,10.8671,0.097,1.4076,0.1302,1.6122,0.4587,0.158,0.1568,0.1731,34.4635,5.4494,0.2691,1.0666,0.9737,2.429,1.222,0.1254,0.1262,0.2151,0.3748,0.0461,0.1398,29.7783,0.1202,8.7064,1.2072,1.0532,0.0138,0.2256,1.1804,0.0284,0.1045,0.0363,0.0716,0.0414,0.0953,0.5041,0.3713,1.2305,0.3531,0.1793,0.2883,0.0698,0.1303,0.0
CZE_C10T12,800.443,4.6244,2.3293,1.0711,0.1675,2570.2661,12.8045,3.6377,8.1861,6.1243,74.9874,4.6573,38.4429,11.9349,14.0481,15.9143,10.432,6.2759,10.8728,23.1921,1.1518,11.3322,10.786,5.1286,25.5773,180.0199,35.7046,0.3345,4.5298,8.0584,0.843,593.9569,6.1513,1.8214,3.124,4.8086,18.923,26.3258,57.5154,34.2707,41.906,86.4962,15.7803,15.0988,0.0
CZE_C13T15,9.6213,0.1344,3.3745,0.4937,0.1052,10.286,299.0492,2.9219,18.1924,1.493,10.7294,31.4295,38.4886,3.7477,2.471,9.3677,6.571,16.4029,8.7117,252.214,3.2485,108.264,4.0147,2.8252,14.2688,47.7029,17.9432,0.0266,0.2761,2.1415,1.8831,5.1071,4.9112,0.3053,0.8688,0.931,20.976,5.5144,9.3659,8.6552,3.1107,25.3493,4.4808,10.2218,0.0
CZE_C16,43.6676,0.1704,4.8576,4.0122,0.3396,16.5482,7.1706,578.9689,156.3594,1.8268,21.4236,9.7511,30.0983,50.2213,24.6193,31.0368,10.1998,13.1354,20.2449,191.3607,3.29,213.8894,3.9032,8.0526,336.0743,89.1241,25.4192,0.0601,0.6206,5.6255,3.0264,10.5074,7.5654,3.2108,3.9536,1.52,227.5081,47.8092,19.5993,1.957,7.6211,6.563,9.0321,21.572,0.0
CZE_C17_18,12.9876,0.0488,1.4033,1.0548,0.0923,85.326,10.6919,24.2605,565.9191,0.9722,21.0575,8.6371,29.6179,46.134,20.5288,12.7397,19.0874,13.0651,17.2709,40.0334,1.184,26.484,12.2023,4.5384,27.5003,106.8592,24.1792,0.2207,1.1418,49.3647,4.6132,23.5621,321.6517,4.8949,16.5918,73.071,47.8754,205.2555,60.8033,17.6847,51.0037,23.8604,30.8908,24.2093,0.0
CZE_C19,145.7308,1.5083,23.865,12.1633,1.6283,50.7472,52.5477,32.8633,23.5798,71.0413,450.3717,8.538,61.6632,87.6253,325.9886,48.7258,16.6206,22.3159,43.04,76.2059,11.3858,30.1922,157.9029,48.5034,241.4371,425.3895,361.6743,0.4545,95.8415,65.0202,10.3363,7.6508,6.3418,30.6704,12.1518,18.8636,87.3405,61.9361,47.1172,68.5836,7.0788,23.7867,10.9069,18.9589,0.0
CZE_C20,112.7579,0.2513,5.5922,4.5138,0.46,48.0617,77.1253,17.4159,41.653,63.9826,484.2388,23.6008,715.1084,82.3303,34.4494,33.6086,25.1106,42.308,24.426,126.4253,4.7265,42.1502,32.2372,13.0222,74.9546,48.0809,26.741,0.1285,5.0266,6.2277,0.717,4.9752,3.7226,2.1697,1.4361,3.7037,64.1159,20.3588,15.5613,25.6882,5.6736,23.1403,5.7085,25.1677,0.0
CZE_C21,3.7544,0.0232,0.6289,0.1742,0.0229,4.3928,3.7477,0.6114,2.0758,1.5169,8.725,40.4185,12.9446,2.2646,1.6467,2.1872,2.2252,1.4355,1.8452,17.687,0.6407,1.7472,4.4419,1.2066,5.3803,5.985,1.5769,0.0232,0.1134,0.7441,0.0592,0.7676,0.5662,0.2234,0.3039,0.4971,6.7621,4.3594,1.2812,1.21,0.8236,141.9012,0.7938,1.3676,0.0
CZE_C22,17.944,0.2638,29.6587,2.0577,1.0253,85.7155,22.7989,15.0821,15.0395,16.598,58.3185,18.2297,793.647,47.8283,16.2916,169.2901,126.1154,131.0889,102.4054,1407.4486,77.0262,107.9466,4.4436,16.0234,249.0668,117.6978,63.3654,0.0646,0.6128,6.3688,2.2549,4.9877,3.485,0.8633,1.3475,1.6194,188.9902,40.5291,14.6245,1.8814,2.1756,4.1828,2.5177,4.9878,0.0
