V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_A01_02,5865.2685,3.4561,0.6437,0.1145,0.1422,3980.9667,286.0724,233.6609,16.6333,4.8051,23.8745,0.8198,1.9799,1.5406,0.1977,0.0862,1.4325,0.2492,1.22,0.1197,1.8434,32.7321,1.7595,1.0155,5.6444,301.9581,6.1764,0.6311,0.4414,4.6093,0.0026,351.8196,0.7429,0.0645,0.9402,1.2659,0.0357,42.617,5.5082,12.6792,0.6485,1.3634,2.7706,19.5788,0.0
ROU_A03,0.0,2.4856,0.0003,0.0,0.0,3.8192,0.0,0.0044,0.0,0.0,0.0002,0.0,0.0,0.0059,0.0,0.0144,0.0001,0.0,0.0,0.0,0.0004,0.0,0.0001,0.0028,0.0159,2.6444,0.0001,0.0,0.0,0.0,0.0,4.1262,0.0032,0.0001,0.0,0.0,0.0,0.0403,0.0,0.0,0.0,0.0183,0.0159,0.0436,0.0
ROU_B05_06,0.0059,0.0,231.0153,0.008,2.6422,0.3473,0.0059,0.0248,0.0009,856.4993,2.7706,0.0333,0.0109,0.2837,11.5475,0.0164,0.0,0.0563,0.0065,0.0018,0.4654,0.1268,1651.4154,0.6878,0.0422,0.6103,40.7113,0.0,0.0,0.0,0.0018,2.3438,0.2771,0.0326,0.0001,0.0,1.56,0.7452,0.0371,0.0003,3.0615,4.9934,1.6179,1.6575,0.0
ROU_B07_08,0.0372,0.0114,2.2464,6.7952,1.1846,1.3756,1.055,0.0397,0.2592,0.1175,24.1031,0.2804,0.6427,88.7652,52.7601,1.5595,0.434,3.8166,4.0498,0.2459,0.11,0.0976,0.1719,0.2746,21.9792,6.6337,2.7154,0.0064,0.0008,0.0,0.0,0.0875,0.0774,0.0,0.0,0.0,0.1292,2.7889,1.3013,0.0077,0.0,0.003,0.2952,0.5316,0.0
ROU_B09,3.6806,0.0569,158.2395,5.7537,29.9719,1.8245,0.1211,0.3541,1.1731,47.6219,5.3663,0.0551,0.422,10.6561,7.0418,1.209,0.0039,0.015,0.0992,0.0374,0.0066,0.0326,91.9968,0.7977,53.7131,0.3994,6.7903,0.0426,0.003,3.4916,0.0008,0.1311,0.0045,0.0,0.0116,0.0083,2.5099,0.1949,0.3095,0.4283,0.0789,0.2739,0.1869,0.1637,0.0
ROU_C10T12,155.7659,1.6674,2.4774,0.1964,0.1697,2372.0487,61.0227,3.2396,33.8699,1.4215,21.2242,13.6801,9.2352,4.9173,22.7184,6.1084,0.5293,6.1845,3.9963,5.3409,4.0775,10.4987,19.7341,20.6859,61.1893,1904.5222,38.8624,3.1529,5.447,51.1354,1.9429,473.8215,27.0726,13.568,10.2659,27.0985,14.8504,33.9143,22.7194,92.7506,79.2839,181.1544,58.6438,112.8518,0.0
ROU_C13T15,35.3911,0.0241,28.691,0.4623,1.9257,89.7444,620.739,8.0925,4.905,7.5578,15.6469,1.594,10.1443,22.1522,17.5942,5.6402,6.0517,10.1299,7.7693,61.7135,7.7359,43.8995,22.1335,11.3353,38.4531,252.5259,68.7773,0.7873,0.6885,9.0711,2.549,88.633,7.6456,11.2374,3.0895,1.5076,51.7483,11.5788,5.3647,13.3953,22.0192,132.5187,22.0245,38.0268,0.0
ROU_C16,24.108,0.0327,0.6353,1.623,0.8321,35.7115,2.7685,440.5363,17.0281,3.4826,8.6741,1.1657,4.3582,15.2903,7.4904,2.8603,0.4578,5.4506,8.3156,11.7953,10.8329,401.1402,1.2272,2.9271,357.8222,71.7709,9.1229,1.0505,0.3976,0.0712,0.27,11.0716,2.8498,1.8988,6.582,3.1263,162.6072,1.1836,1.9984,17.7951,12.3327,4.5483,6.2537,16.8591,0.0
ROU_C17_18,2.9315,0.0318,1.8901,0.3368,0.3563,83.4448,25.1967,4.0809,162.9548,1.2968,11.6981,1.8905,1.4716,11.7417,2.6613,2.0984,3.6251,3.0612,3.7804,5.2193,1.0764,19.5255,4.4685,11.4,11.0588,39.5271,19.353,0.1335,1.0322,1.6131,2.4355,7.2021,134.2022,16.4044,7.3686,50.8657,10.9595,14.1944,6.1919,49.9603,142.0884,30.6261,43.3614,64.4843,0.0
ROU_C19,216.8355,0.449,43.7736,12.7128,20.1157,49.0783,36.4181,12.0861,15.7764,118.1111,48.1382,0.7067,10.7724,45.8718,253.997,4.5722,8.9686,4.9004,26.6007,23.3167,12.2555,25.7158,37.9885,18.7869,22.786,24.7649,202.8439,7.717,9.3482,16.3759,2.8278,21.9566,6.4144,20.9885,8.6091,18.1311,1.8111,41.9193,23.1049,19.1929,10.3997,25.1433,8.9847,22.0542,0.0
ROU_C20,136.7874,0.3026,15.3143,0.8511,2.569,28.9685,62.519,31.034,31.3743,56.3122,283.7776,17.0456,55.8302,38.5238,38.1959,14.7716,11.1053,20.3654,15.4982,59.9816,7.1983,39.1113,23.1256,11.6373,92.6336,71.9112,59.7783,2.617,3.8599,1.2151,5.08,19.4054,7.5477,6.0453,8.7841,14.7932,124.8663,30.5637,20.9024,24.5628,13.0266,266.365,7.0128,17.6955,0.0
ROU_C21,0.2842,0.0028,0.1419,0.0079,0.0295,0.2686,0.5792,0.0,0.0,0.0,0.0,1.782,0.0,0.0,0.3608,0.0,0.0,0.0,0.0,0.0,0.0689,0.0,0.016,0.0037,0.0,0.0,0.0,0.0,0.0,0.0113,0.0,0.1803,0.0029,0.0,0.0818,0.0,0.0,1.0193,0.092,0.0,0.0138,27.5222,0.018,0.0236,0.0
ROU_C22,47.1798,0.2387,42.5566,1.7398,1.8492,68.6345,42.2803,27.5463,11.6721,9.5315,26.0529,3.2061,338.3668,26.8041,12.8725,12.6599,43.9409,28.3301,33.6711,80.758,11.9779,37.1468,7.3505,4.7944,110.328,46.4585,174.3501,0.1185,0.7846,1.3738,0.2675,7.0877,2.4587,13.1595,2.4902,1.3762,88.1703,9.7006,6.9366,14.5385,8.4068,38.45,2.4879,7.9171,0.0
ROU_C23,13.7209,0.0543,21.5214,4.3471,3.7916,46.1605,6.5336,9.4513,1.798,11.0982,19.2295,7.5782,8.957,289.9178,115.4378,10.782,4.6998,26.6037,20.4192,34.4007,6.5581,15.0842,15.7239,20.7854,871.8844,71.7033,82.1012,0.118,0.2632,1.5337,0.0,29.8438,4.8704,0.9396,0.3523,5.3174,409.8073,10.0518,5.5514,66.0568,48.2571,59.4934,22.4676,62.8349,0.0
ROU_C24,29.1428,0.0069,78.3157,7.2614,12.9386,12.024,10.1204,3.8655,2.4091,29.6964,30.5956,0.856,23.2445,91.9528,1376.0856,383.9511,60.9729,96.2455,275.3449,327.7602,153.4165,37.2915,85.7108,22.976,630.3537,37.8343,164.2064,12.0495,0.0,0.136,0.0,1.0753,2.1363,14.4109,0.658,0.0,56.8524,19.6517,9.2729,25.4291,3.0211,0.0571,4.7209,9.8555,0.0
ROU_C25,125.0488,0.1774,87.1625,4.6596,8.288,19.3952,9.904,14.8974,7.7754,19.0661,43.6764,5.3484,18.209,35.7507,91.1525,261.684,20.1198,48.2137,69.0448,28.9938,29.8902,43.8985,60.2382,14.9821,309.0596,56.3917,95.4267,6.3188,5.3481,58.8573,0.0,6.1171,3.0501,2.8209,7.8607,1.1305,243.981,20.4168,23.0534,18.5202,5.9431,8.2416,9.9389,24.6488,0.0
ROU_C26,9.3016,0.017,3.9743,0.4112,0.6265,4.6287,5.556,2.0879,2.0627,0.8746,4.3822,0.5899,1.0495,2.5675,4.411,2.3944,85.4409,16.9936,6.4202,18.3697,5.9064,10.8297,9.3268,4.9275,26.5734,24.0738,42.8638,1.4059,3.0141,0.682,0.3744,3.9977,4.7678,91.7035,12.1226,10.6821,34.3379,22.4921,8.5304,23.9219,13.5554,36.6842,5.9402,10.5513,0.0
ROU_C27,2.4664,0.0162,18.7573,1.717,0.7826,10.5312,5.6718,1.7431,3.1544,6.4001,10.9557,0.8395,2.1086,8.6108,7.4376,9.7264,27.9804,194.8721,35.511,25.1292,17.2149,16.2455,116.3392,3.8287,28.7783,28.3065,86.0348,0.6467,0.3528,0.5605,2.1554,2.1518,3.0187,27.242,13.3474,3.5986,63.8457,39.9583,23.5441,20.0059,8.4286,7.4976,3.8668,8.3071,0.0
ROU_C28,38.0846,0.0327,20.295,1.694,4.3316,12.793,7.2448,11.3032,6.0713,6.6494,7.9942,1.8273,3.2417,9.0058,11.4839,29.0519,7.224,10.3282,36.994,14.5252,15.5748,5.4955,15.7994,4.3072,72.952,23.4964,20.7014,0.9096,1.9903,0.0259,0.0,2.3427,2.8752,0.8322,1.2788,0.4413,1.5722,4.933,3.7894,4.3611,0.872,2.427,3.9624,7.5249,0.0
ROU_C29,9.3182,0.0573,4.2772,2.3381,0.626,8.0567,6.5873,5.1749,1.2937,0.8179,4.2008,0.9372,2.2932,8.7999,4.575,3.1457,1.6466,0.5366,5.4821,79.6074,1.6573,15.0517,4.4631,5.1754,6.1992,3.7767,29.9638,0.4312,0.2467,1.0424,0.0,2.2197,2.6878,5.3744,1.1712,3.4364,0.61,7.333,3.8949,11.8254,3.7804,10.3565,6.5175,11.7596,0.0
ROU_C30,0.6506,0.0339,5.7414,0.6506,0.0762,0.5989,0.0806,2.2466,0.0297,0.0343,6.3062,1.4957,0.0317,1.7657,4.214,0.6756,0.0008,0.0403,0.8886,0.0027,175.7882,8.3184,0.6853,0.049,14.3818,18.9746,111.2521,7.6795,42.988,0.006,0.0,0.1434,0.0385,0.0897,0.0013,0.0,0.0143,0.7434,0.0928,0.0,0.0004,0.0024,0.1074,0.5131,0.0
ROU_C31T33,46.1233,0.0379,7.3995,0.0999,4.0283,17.0838,12.0625,5.9767,2.3508,4.9054,7.2987,1.2339,2.609,5.9141,5.608,7.2345,8.1805,4.0057,6.6805,7.8831,4.9263,40.962,13.6686,7.6221,61.5656,61.2044,114.7483,3.0633,4.8201,37.8329,0.1993,26.1863,4.8617,20.5871,2.5154,22.7436,57.5754,15.5111,8.6558,88.9336,43.696,37.6396,30.1279,47.9343,0.0
ROU_D,129.1836,0.3759,229.2962,14.7843,7.4422,287.9007,174.8614,40.6841,53.8089,593.0328,589.8571,35.3694,76.8729,219.8907,542.4287,104.2941,47.7,26.1661,86.0744,123.1355,35.1414,97.9797,2323.3696,77.2069,196.1146,38.9849,489.2246,0.7891,7.9925,28.8136,9.3118,52.8629,16.8422,74.2681,35.4539,21.6034,225.694,36.9911,41.3953,189.0463,66.4466,71.5391,57.9249,90.5706,0.0
ROU_E,8.2828,0.1382,4.8684,1.3022,0.8183,40.6241,21.4289,4.5877,3.309,4.3728,13.2014,3.5234,4.2587,8.8913,11.0158,4.7689,3.4745,4.9973,6.7972,5.4932,4.9247,6.515,24.9044,62.6363,31.2784,7.7866,20.7438,0.5938,0.9382,1.7751,0.8264,15.1162,4.7193,6.5396,2.7361,5.2901,38.9855,7.7469,5.4818,7.7486,6.8573,11.1042,11.8172,25.4317,0.0
ROU_F,73.204,0.0386,8.0632,2.213,7.5293,26.9209,12.4606,4.701,2.9186,19.5206,9.611,1.8176,7.2982,13.2464,66.5684,6.762,9.945,5.9328,9.6157,25.3461,3.6671,28.7177,78.3444,17.583,1296.8351,29.4557,66.0195,1.4064,0.2801,1.8271,1.8253,116.988,6.6012,15.0831,1.6952,41.4165,235.7985,20.3537,10.8565,80.4587,48.3885,36.1848,25.2352,44.7276,0.0
ROU_G,546.5583,2.9431,125.073,8.8753,11.6272,1068.4981,337.2119,93.6142,53.3612,288.1257,124.4119,14.1637,84.4861,137.1132,252.2437,69.119,47.833,58.7836,65.976,124.2489,42.1379,123.1026,545.2649,34.4562,417.2129,828.6058,237.3004,6.3774,9.4959,30.4978,4.3827,225.7762,38.9413,51.323,17.2733,33.3455,237.866,58.8887,33.2134,106.9641,82.437,229.2279,54.16,110.6313,0.0
