V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_G,54.96,8.6784,20.5135,5.6498,3.1507,299.1062,207.048,27.0766,36.6293,66.6216,37.243,10.4911,19.088,28.4979,20.4831,39.3184,89.1073,75.5879,76.6572,44.8699,8.9082,31.1995,17.9443,4.1335,175.1085,62.7963,19.1766,4.6505,7.9976,6.3136,1.601,40.9389,10.2868,7.7296,8.3466,3.1796,9.4346,17.1253,12.8376,35.1574,0.5735,0.8406,1.371,1.6532,0.0
TUN_H49,10.2622,1.1572,66.2739,8.2413,3.0175,73.5277,57.6515,6.9116,9.868,7.9951,11.4917,5.7784,6.2635,15.9505,10.1401,17.2177,16.4286,18.8429,20.278,11.3825,2.1593,5.2887,8.0923,2.0184,100.7026,65.7413,102.5843,11.1358,7.7856,25.461,0.5982,50.1048,2.488,0.7927,4.4623,8.0301,4.944,12.6854,12.4149,34.4272,0.8875,0.7406,1.4962,1.7035,0.0
TUN_H50,0.484,0.0311,0.0085,0.009,0.0067,2.8157,0.8214,0.1551,0.2383,0.5218,1.0015,0.5167,0.5163,0.0724,0.1861,0.6736,0.8779,0.476,0.7782,1.4504,0.2225,0.8758,0.1444,0.0665,2.6969,0.093,0.0047,0.0035,0.0048,0.0039,0.0035,0.0108,0.046,0.0172,0.0068,0.0119,0.0123,0.0314,0.0217,0.0057,0.0056,0.0139,0.009,0.0165,0.0
TUN_H51,1.4633,0.1758,0.1745,0.0875,0.1033,9.0809,7.1668,0.8847,1.2901,2.1837,2.551,1.1292,1.2667,0.8492,1.1587,2.3311,2.9552,2.5126,3.2423,2.6108,0.487,1.3278,0.635,0.1607,8.8434,0.4138,0.0887,0.0858,0.0836,0.0845,0.0125,0.8834,0.2068,0.0543,0.1462,0.2164,0.2541,0.3437,0.2951,0.38,0.0093,0.0235,0.0151,0.0309,0.0
TUN_H52,3.2756,0.6519,58.3089,7.0214,2.8383,24.1354,41.3738,3.2018,5.1763,3.5046,3.416,1.8677,1.6733,7.7837,4.5627,7.1301,6.6608,10.8772,7.9066,2.2891,0.4592,0.912,2.7295,1.2694,29.7429,55.9258,39.1331,24.6042,28.6523,31.0769,0.1429,37.3933,2.0353,0.2319,4.4563,6.9888,2.9087,9.7561,13.3909,23.7776,0.2626,0.2863,0.902,1.428,0.0
TUN_H53,0.6758,0.0928,19.234,2.2098,0.049,7.6469,13.6815,0.5031,1.0771,0.729,1.0082,0.7823,0.4904,0.631,0.3396,0.8992,1.4883,2.5195,2.2175,0.9778,0.3242,0.1931,4.4819,0.3896,6.4884,29.8038,8.8628,1.9795,2.6675,5.722,12.0111,11.1826,0.5898,11.5767,1.7787,2.3141,2.0183,5.7577,2.7101,7.1538,0.0902,0.0905,0.1929,0.304,0.0
TUN_I,0.0,0.0,0.1787,0.3113,0.2352,0.2525,1.1076,0.0616,0.1435,0.0818,0.0789,0.0654,0.0392,0.0992,0.057,0.1292,0.3392,0.5207,0.4196,0.0,0.0,0.0,0.1263,0.0328,0.9482,1.1004,0.721,0.2122,0.8999,0.283,0.0,5.4632,0.2868,0.0,0.3338,0.2568,0.3517,0.6946,0.4629,3.796,0.0636,0.0678,0.1069,0.1516,0.0
TUN_J58T60,1.1274,0.1284,3.807,1.145,0.0914,10.1976,4.3447,0.2881,1.7502,0.2246,0.3505,0.2503,0.1496,0.598,0.2612,0.7855,1.2922,2.0505,1.2156,0.5965,0.2382,1.4364,0.3836,0.3973,2.7785,3.5432,6.07,1.8067,3.9003,3.6986,1.4343,3.3351,7.3027,6.7299,0.8825,2.003,0.4311,3.9751,0.7836,2.7527,0.1587,0.0421,0.2602,0.1407,0.0
TUN_J61,1.5918,0.1823,46.7725,5.1541,0.1641,17.9953,32.3512,1.343,2.9667,1.7966,2.2186,1.5143,1.24,1.4813,0.7737,2.2819,3.9139,5.9319,4.9934,2.2518,0.7802,0.6227,8.0186,0.9095,21.0691,68.4967,30.208,6.3834,13.3568,14.0016,0.9808,26.2336,1.448,28.9707,6.9147,5.4601,4.5903,11.9153,5.5501,15.5557,0.2188,0.2884,0.6931,0.4908,0.0
TUN_J62_63,1.2984,0.1778,4.6338,1.3428,0.1334,6.1922,5.1693,1.1029,2.72,0.5551,0.311,0.2878,0.231,0.7728,0.3928,0.8115,1.8574,1.8283,1.4072,1.3568,0.4448,0.5952,3.7496,0.4558,7.9191,4.1772,7.4897,2.1189,4.8787,3.747,1.1816,3.9115,1.1051,8.1807,5.7717,2.3586,0.5027,2.2656,0.9564,5.1762,0.0512,0.0824,0.1991,0.1536,0.0
TUN_K,30.5389,2.0454,39.7695,8.5974,6.581,104.9861,92.4015,9.4505,15.6387,44.0751,26.1323,13.9265,19.934,12.7383,8.9042,15.2751,30.7091,49.1727,40.3846,9.312,2.6661,5.8374,35.2161,4.0994,49.2883,69.5402,54.4025,17.1322,23.3765,17.3328,0.227,25.7546,1.4905,1.1861,6.1199,59.214,32.4338,15.2929,12.5714,11.5935,0.1884,0.2515,0.5885,0.5408,0.0
TUN_L,1.9544,0.2482,7.2404,2.0469,0.2084,7.389,8.2196,2.0456,4.275,0.5668,0.5936,0.3742,0.48,0.8823,0.5172,1.7064,1.8153,3.7787,2.4429,1.7201,0.4947,2.049,2.9877,0.7213,17.6686,6.3155,11.6626,2.4401,5.4757,8.7192,2.1692,6.0627,0.8521,12.3642,1.3962,3.6031,5.5972,4.6253,2.1559,7.9162,0.2127,0.2893,0.5091,0.506,0.0
TUN_M,5.237,0.6292,20.6145,5.4361,2.8788,23.4137,21.2368,4.0556,10.3634,1.6052,1.8749,1.9885,0.9591,3.2585,1.6124,3.7851,5.2731,10.0948,6.1346,7.313,1.9044,3.4637,10.153,1.901,44.7762,16.8609,29.0315,9.3772,17.9585,17.8913,4.3257,15.837,3.9585,33.2645,4.8467,9.5824,5.3921,27.2214,5.3413,15.9633,0.344,0.387,1.5092,1.1179,0.0
TUN_N,3.6021,0.3863,13.0093,3.6713,4.1281,13.3841,13.5664,3.5011,7.7247,1.1576,1.0813,0.9853,0.7039,2.1564,1.1613,2.8652,3.536,6.3412,4.3736,4.499,1.524,3.0559,6.4951,1.2844,31.5393,11.3833,19.9155,6.6415,10.9986,12.2232,5.2896,10.7439,1.9147,21.1604,3.3286,6.5394,4.5413,9.4863,7.5496,13.0967,0.274,0.4623,1.0769,0.6615,0.0
TUN_O,0.0,0.0,0.0,0.0,0.0389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_P,0.0,0.0,0.0001,0.0,0.0007,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_Q,0.0,0.0,0.0001,0.0,0.0006,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_R,0.0009,0.0002,0.0034,0.001,0.04,0.0029,0.0038,0.0008,0.0016,0.0002,0.0003,0.0003,0.0001,0.0003,0.0002,0.0004,0.001,0.0019,0.001,0.0,0.0,0.0008,0.0,0.0003,0.0052,0.003,0.0045,0.0034,0.0024,0.0029,0.0014,0.0028,0.0002,0.0055,0.0012,0.0017,0.0006,0.0056,0.0031,0.0004,0.0,0.0,0.0007,0.0001,0.0
TUN_S,0.0026,0.0004,0.009,0.0027,2.1716,0.008,0.0102,0.003,0.0054,0.0007,0.0006,0.0005,0.0004,0.0008,0.0004,0.0011,0.0028,0.0042,0.0033,0.0001,0.0,0.0022,0.0,0.0009,0.0207,0.0084,0.0154,0.0053,0.0081,0.0077,0.0048,0.0079,0.0001,0.0152,0.0058,0.0047,0.0058,0.0116,0.0057,0.001,0.0,0.0001,0.0001,0.0002,0.0
TUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
