V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_A01_02,3707.839,0.0573,5.9418,4.6244,1.3608,9865.2067,6.6133,232.0184,45.1078,0.492,36.9655,199.4952,55.3005,1.5274,2.4168,5.7375,3.2872,0.9784,1.9017,2.5855,1.9581,10.1389,223.0031,8.2216,152.2431,179.3418,14.3689,1.2188,9.7469,10.0377,1.7721,98.3807,8.8967,7.7074,11.6519,89.4597,54.2478,56.0885,47.6138,55.1109,19.0464,51.2652,51.1905,9.1595,0.0
GBR_A03,0.0816,237.6721,0.0593,0.0329,0.0515,665.1355,0.0582,0.0351,0.1194,0.0416,0.2086,0.0477,0.1086,0.058,0.1686,0.1326,0.1793,0.0656,0.0946,0.1904,0.0596,0.1145,0.1195,0.1331,1.2663,3.3255,0.3649,0.3001,0.2052,0.3985,0.0585,184.1663,0.3592,0.1739,0.118,0.7035,5.0887,0.4695,0.4775,0.6491,0.4362,0.4062,0.301,0.1225,0.0
GBR_B05_06,17.2909,0.0004,716.9303,33.2642,0.9116,4.5521,0.0136,0.0094,2.5608,17668.0304,313.4296,1.2741,0.391,26.5206,803.724,0.044,0.1013,1.199,0.0196,0.076,0.6877,6.6824,10305.4447,0.13,8.4629,3.2541,6.1307,1.0292,0.0416,6.2557,1.1898,0.1578,1.2466,3.7666,1.8994,11.2767,32.4108,87.3531,11.9723,9.9178,7.9867,19.5014,76.5642,88.7477,0.0
GBR_B07_08,10.4853,0.1616,2.3503,1138.8698,7.2254,30.8592,5.5769,4.5517,15.9216,2.2175,266.8809,4.5203,32.4293,971.8959,42.9523,37.3448,7.3369,7.7094,5.8162,26.1717,4.2083,80.621,5.1168,11.5758,4166.3271,100.6664,48.4279,2.4066,7.6902,20.3168,4.9447,10.1174,11.8434,5.7854,10.5536,43.745,18.977,45.0572,167.0445,32.5707,24.4715,21.1993,12.0384,11.4954,0.0
GBR_B09,3.1412,0.0634,3448.042,234.619,493.0666,19.3473,2.5777,2.2602,7.8143,1.3952,9.2973,2.1822,5.6735,6.3469,4.4749,6.2352,4.6522,2.6653,3.4848,7.5745,3.2583,4.8919,3.5978,5.9903,358.823,96.2797,44.2299,0.725,1.9634,13.9067,4.2546,5.3785,7.7559,4.1696,8.9389,47.8852,11.4754,64.3071,22.3566,24.1836,13.5863,17.8632,5.9504,3.6657,0.0
GBR_C10T12,1891.8819,57.3914,47.4188,17.7066,15.3845,17133.3682,201.8701,32.2632,230.0951,36.6167,516.9024,72.9169,172.5324,47.5787,68.6491,67.2093,427.8494,261.585,465.7379,206.8943,37.3774,81.6162,87.0227,56.6851,220.5731,1560.827,1050.5332,67.7101,37.0585,849.6321,82.3648,15597.1727,528.8707,74.7745,208.1165,648.675,196.4226,178.5239,487.8808,264.5367,1707.6593,1477.4227,1221.9722,389.5802,0.0
GBR_C13T15,12.2241,5.8304,7.9981,5.8675,4.1095,69.007,1713.3954,12.7388,113.352,5.1784,55.9179,11.7366,113.0323,28.0433,15.9681,31.2424,25.9582,15.2119,27.77,263.0639,23.751,342.085,25.9463,11.9081,322.8701,444.9003,20.094,2.1348,13.6548,10.0449,3.8559,41.1937,41.0491,9.1236,10.7985,77.321,28.1228,122.4249,23.4048,124.3184,130.6459,120.1427,41.3699,131.7927,0.0
GBR_C16,3.0381,0.249,19.8861,7.0127,1.7088,33.2478,8.1942,1942.0569,343.3596,0.9636,27.0058,5.3438,22.0771,40.6867,9.4074,117.5925,9.6856,25.3476,20.1313,136.7526,44.4159,1424.0431,3.4395,14.0214,4066.7859,99.1597,10.5949,1.0386,2.144,6.6763,2.3719,6.9648,16.6294,3.875,7.4556,147.5917,57.139,20.5181,153.0543,31.8051,87.4437,42.3275,43.1162,194.9474,0.0
GBR_C17_18,126.8116,1.7285,12.6872,9.1614,3.1559,1357.9544,160.9064,82.8658,4578.5025,5.9501,385.5216,223.7615,275.8072,168.4512,39.4013,112.507,109.5944,114.9787,114.1028,123.8071,36.3462,338.9575,29.9357,117.2466,514.6897,3360.0282,89.4762,7.5833,15.1448,187.6091,73.3198,122.77,4588.7353,223.7808,220.6496,3955.6549,323.8881,1371.3275,941.6532,1939.9972,1928.7679,1211.4742,844.9331,311.7142,0.0
GBR_C19,552.7818,31.3458,130.756,116.466,24.5073,197.9032,25.9484,48.9208,59.0508,351.9866,497.6331,3.2978,59.3119,139.4259,56.9946,75.8928,6.8688,29.0474,58.3011,26.7451,12.7524,232.6065,66.2198,150.2381,1150.0213,3246.157,3013.9149,381.1117,3292.9323,596.0963,201.3994,215.0791,76.6121,159.7949,89.1698,667.993,113.7431,332.5642,500.6964,822.7301,310.2901,335.3162,102.8405,103.8357,0.0
