V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T
IND_A01_02,44970.4342,280.0818,0.0,0.0,0.6973,54596.5256,15985.3167,2171.3387,907.8956,104.9762,1441.7434,1184.5615,3164.6307,90.5047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.1979,247.1103,0.0,10694.2685,0.0,1514.1124,0.0002,0.0,0.0,0.0,8511.1804,0.4448,0.0,0.0,0.0,0.0,0.0,0.0,4202.7641,0.0,0.0,0.0,0.0,0.0
IND_A03,0.0,587.983,0.0,0.0,0.0001,2857.8704,0.0,0.0,0.0,0.0,0.0,52.5052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B05_06,0.0,0.0,6.3776,5.5168,3.8663,75.3896,59.4349,0.2068,55.2452,23282.0682,88.2111,3.2809,65.0952,601.6389,3069.418,5.3442,0.0054,4.4549,837.9931,88.9934,24.2071,0.1666,1290.8245,113.4593,0.0,0.0,44.9303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B07_08,0.0,4.0332,55.2699,8.6469,3.6238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.9035,3379.0332,922.6558,0.0,0.0,0.0,0.0,0.0,202.6607,0.0,0.0,335.8201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B09,80.4703,25.446,1215.2841,271.8737,165.5918,7.0284,0.5572,0.6572,10.9409,2255.4438,82.1801,3.6921,2.8784,182.5783,115.071,14.5023,0.0242,0.1355,1.8127,0.4793,0.0699,0.4925,521.45,9.681,822.7644,4.5955,46.519,0.1785,0.0408,9.7385,0.0009,0.7246,0.0341,0.0,0.4542,0.2818,44.8408,0.2916,3.1529,4.8857,1.2678,0.8636,0.4801,1.4489,0.0
IND_C10T12,9597.292,300.2833,190.9704,35.6276,5.6037,2429.8003,249.4925,4.0164,68.8514,417.9076,1801.2996,772.866,193.0524,56.5584,235.1966,79.7791,19.8357,73.2724,101.7327,128.148,22.9131,44.4935,5.9057,4.0861,780.5122,116.6995,13.7159,0.6728,5.0497,7.8068,0.2679,5113.651,5.9726,18.641,3.2798,22.9275,5.1524,5.3862,29.9442,8892.9696,3.2372,173.1983,2.2876,25.8075,0.0
IND_C13T15,287.0906,583.0721,643.38,41.5089,10.2097,38.5454,11964.4444,24.392,99.1654,392.2082,1190.9111,227.7467,516.9454,100.0813,128.1816,32.7478,47.8747,117.773,127.9708,300.0695,52.2951,178.0428,76.5477,11.7257,641.819,676.6873,117.5461,5.6828,45.3009,654.282,1.3144,15.4673,19.9778,32.3447,12.6266,262.8759,36.9352,7.3641,58.8939,92.073,16.9557,187.9479,55.003,431.823,0.0
IND_C16,221.5531,32.5368,312.6004,3.0657,3.5293,14.4569,22.8332,401.5894,298.6879,77.461,84.8059,1.5835,11.2173,36.6056,25.2783,105.1947,9.8624,18.105,84.8425,102.6077,27.7217,1316.6608,17.0573,1.7492,368.6892,390.3275,14.5555,0.4035,3.5244,3.8201,0.1673,1.0333,3.5387,6.6563,1.8987,7.4383,4.8073,11.9094,93.1501,4.7241,3.8631,1.1764,2.1075,9.3386,0.0
IND_C17_18,316.8785,3.4339,30.4539,36.5785,5.0179,29.4806,25.3231,4.8345,1902.821,32.4098,45.0088,81.816,44.1538,43.7384,63.6926,23.163,34.2764,27.4766,72.3284,23.1451,4.4359,30.9536,1673.9285,38.726,129.1499,314.2839,1293.2686,52.0802,365.924,369.2564,16.5993,4.5844,990.2387,392.7339,138.2956,471.4653,196.6418,89.8852,436.2992,84.3567,973.5855,29.532,83.6796,412.2114,0.0
IND_C19,2720.7998,170.9247,1263.5761,453.8044,76.0338,331.354,715.0019,20.161,1030.8157,19523.9409,5084.8217,676.614,673.6339,2691.015,3863.2469,850.38,69.0459,266.7487,325.0596,7768.9291,1332.1261,167.6718,10415.2751,957.3934,4386.9441,5651.8239,11595.0113,91.995,676.0585,993.6253,146.3608,147.3282,70.8542,2419.8905,259.5333,2284.3894,1994.1499,268.1506,2542.2291,40.0106,402.6403,23.4075,352.9441,2134.9962,0.0
IND_C20,2084.9476,51.0197,1429.2797,167.2807,18.7777,143.1264,2123.4785,17.8508,544.1107,3253.5587,11980.3125,2408.5742,1537.4436,418.1644,708.0886,210.3802,97.095,344.2504,397.9729,688.3828,123.1518,331.4129,40.2024,31.1404,5119.0081,647.6906,58.6407,0.801,10.0487,38.2765,0.2736,110.4342,45.5575,17.9183,6.6564,18.8641,12.6253,1.3676,13.027,59.4796,8.4017,418.4661,4.4397,153.3376,0.0
IND_C21,247.2475,73.0604,134.3924,15.6392,2.6572,15.5432,204.8654,1.5781,58.7495,311.1538,1543.9685,3462.6185,160.9839,37.2022,77.2011,25.2423,19.5777,36.0114,44.2526,69.7482,11.8895,40.0857,1.1757,5.8219,502.8097,60.2327,12.4364,0.0555,0.5738,3.7993,0.013,23.3952,6.4327,0.9314,0.2155,0.6647,0.6351,0.0696,0.4576,187.9074,0.5274,4155.5658,0.7812,18.071,0.0
IND_C22,76.0746,5.5498,46.6452,52.3694,13.9662,21.5358,197.251,5.1318,759.2425,650.7447,283.8383,60.1092,1486.7873,56.0235,1328.4148,91.5642,810.598,407.1116,783.4275,536.5635,59.285,899.5445,15.3114,308.6237,2456.7643,172.1907,837.3544,0.3733,4.161,56.6219,0.2539,32.0572,209.7944,10.5002,5.7418,3.3199,37.3551,2.3563,16.7779,13.9044,30.0719,24.9668,53.5407,407.2101,0.0
IND_C23,46.3902,4.2458,20.3898,7.5495,19.8683,8.4097,19.1773,2.6293,20.9908,57.8531,110.8586,37.362,158.1748,4245.6682,341.5833,468.5586,225.3266,370.1478,150.8292,76.0327,14.3611,66.7506,21.7552,2.8467,17383.0851,20.6274,19.2824,0.436,5.2941,3.4009,0.0692,5.7164,1.3467,7.214,3.315,3.2751,5.8967,0.5342,5.9759,8.1092,2.5797,2.0627,0.9943,4.4345,0.0
IND_C24,125.7573,15.4434,935.1183,66.9955,47.0281,23.5902,27.1084,12.6616,118.123,117.7432,334.5849,25.2638,60.835,587.8111,19141.7818,6658.4161,1197.8975,4025.7425,5558.3556,5631.349,654.8728,1740.6483,5652.6782,11.1705,18576.9496,89.4349,70.6834,1.7187,20.6509,14.4681,0.4965,9.5002,10.6895,38.4744,13.2993,28.7763,21.5122,2.3663,23.6935,27.949,11.0963,6.7103,5.6324,21.8661,0.0
IND_C25,317.2701,49.4342,313.088,381.6357,44.6135,69.3714,69.1982,52.8113,42.2713,293.362,114.8002,26.8559,51.016,208.8294,4750.0636,1774.7389,205.3827,834.4125,1575.9789,1164.3857,220.992,150.4837,469.1774,23.8156,4545.9567,312.0425,165.4915,3.6649,43.6843,30.8158,0.7939,13.5589,8.2015,83.9346,29.5941,30.7558,36.147,5.861,61.7626,73.4611,26.1257,16.2564,10.1145,41.0537,0.0
