V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_A01_02,0.1894,0.0092,0,0,0.0051,6.3568,0.4331,0.0624,0.197,0.0047,0.0995,0.0369,0,0.0087,0.0216,0.0085,0.0826,0.0162,0.0344,0.0143,0.0066,0.0101,1.8603,0.7923,0.7684,13.072,2.7555,7.1114,16.6912,0.0136,0.3035,19.7811,0.1156,0.8661,0.0282,0.5487,0.4313,0.3538,0.6446,0.6636,0.9529,0.9251,1.0779,1.8768,0.0
HKG_A03,0.0146,0.0369,0,0,0.001,0.215,0.0654,0.0034,0.0435,0.0011,0.0123,0.0054,0,0.0016,0.0045,0.0016,0.0192,0.0035,0.0072,0.0032,0.0016,0.0011,0.176,0.1035,0.0797,1.3546,0.2838,1.6425,3.6193,0.0022,0.0665,3.7358,0.0314,0.1784,0.0052,0.1078,0.0529,0.0626,0.0909,0.0547,0.1125,0.1743,0.1911,0.2995,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,0.5154,0.2286,0,0,0.7706,1.4051,0.8641,0.1093,0.7013,0.0036,0.038,0.0017,0,0.092,0.324,0.0541,0.0939,0.0318,1.3609,0.0501,0.0223,0.0031,0.1022,0.0599,0.0711,0.5601,0.9107,0.0102,0.5833,0.1293,0.2189,0.0319,0.0265,0.0069,0.0098,1.219,0.3034,1.0139,0.7008,0.1746,0.7196,0.2399,0.0389,0.1356,0.0
HKG_C10T12,6.7694,1.0843,0,0,0.0027,307.5403,132.0519,11.575,145.4569,2.9508,31.6552,10.3292,0,1.7392,5.4246,1.6425,29.3377,4.2662,7.4423,1.6707,0.8105,0.3413,26.2421,20.55,121.8589,1114.2835,60.1812,151.506,185.9762,1.9112,33.209,230.0809,10.3495,75.0001,3.4655,122.4724,80.0609,38.251,54.599,25.7054,31.3362,83.462,37.6846,104.5483,0.0
HKG_C13T15,0.152,0.0429,0,0,0.0012,5.2028,217.3071,0.3617,3.6852,0.1258,0.71,0.231,0,0.2776,0.8465,0.443,4.4045,0.8577,1.2049,1.078,0.4029,0.1707,0.8218,2.2523,2.6598,176.1502,9.0831,8.4863,11.4872,0.2764,5.3843,1.7588,1.167,10.5292,0.5423,22.389,12.1149,4.8936,9.8561,4.9471,3.5391,3.7851,3.4202,13.9243,0.0
HKG_C16,2.2536,0.2859,0,0,0.0015,28.6851,0.4096,0.0237,0.2422,0.024,0.1108,0.0322,0,0.0839,0.2095,0.1306,0.875,0.1837,0.2476,0.1622,0.0564,0.0595,0.6195,1.542,61.5302,25.5803,10.3176,31.5234,6.5796,0.4129,1.8116,1.1841,0.534,4.9535,0.0505,2.5673,2.1563,1.0448,1.076,1.9152,4.1423,26.1064,2.233,4.8744,0.0
HKG_C17_18,1.4917,0.3373,0,0,0.0005,152.64,51.9745,0.5048,78.0677,0.1811,2.3115,0.8308,0,1.6934,0.7492,0.3579,15.8092,2.9051,2.6772,0.7991,0.2666,0.774,0.8612,2.3382,16.5777,209.0825,7.071,8.4335,7.2467,0.2761,3.4606,1.1768,2.8877,9.9089,0.3672,29.6531,11.7391,5.3557,4.6661,2.947,6.0808,22.6404,3.7334,8.7465,0.0
HKG_C19,0.029,0.0075,0,0,0.0091,0.4253,0.3458,0.0385,0.3956,4.4836,9.4163,0.7702,0,1.3268,8.611,2.197,2.3028,0.6252,0.9921,0.4871,0.1837,0.0933,0.3121,0.789,0.1397,197.4297,2.298,4.3162,5.6335,0.164,0.3827,0.2602,0.1432,0.7013,0.0714,5.4488,2.2774,0.8189,1.8087,3.9257,1.6711,0.3804,0.5029,1.4355,0.0
