V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_A01_02,1943.3099,9.2003,0.7286,3.9985,0.0724,18420.0248,441.471,890.3597,645.1264,10.6388,76.6407,63.8675,236.3267,23.3406,15.6222,24.1527,7.3482,9.8582,11.7945,24.9959,12.1352,35.4947,50.7074,17.8747,397.2118,2341.3459,13.6778,7.8391,1.8411,15.8342,2.2567,1244.5204,52.047,29.5954,8.0712,26.9694,37.2827,83.5188,32.6009,128.8082,52.5928,111.7563,426.83,10.2812,0.0
ESP_A03,0.171,0.0871,0.025,0.1153,0.0067,184.0796,0.4365,0.0937,2.3195,0.6645,2.3515,3.3548,0.6343,0.6539,0.5233,0.4699,1.1705,0.8516,1.0842,2.6008,2.0007,0.9045,1.6275,0.905,50.7492,5.9782,1.0873,0.0249,0.1316,1.6158,0.1947,346.4551,4.3214,4.7617,4.1523,2.99,4.3427,20.4175,4.5388,6.5016,7.8295,20.4913,3.1126,1.784,0.0
ESP_B05_06,0.9046,0.1416,0.0753,9.4251,0.0981,1.9537,0.3935,0.3095,0.3866,48.4994,20.4118,0.1002,0.4615,4.6456,178.6025,0.5499,0.2065,0.2336,0.3818,0.7514,0.1157,0.2732,1040.4662,0.401,15.5439,8.3106,5.0834,0.2902,1.3503,2.0059,0.078,2.0459,1.9359,0.2814,0.1275,2.3126,2.7455,0.3951,9.8329,11.7729,1.3038,1.175,2.0844,0.2181,0.0
ESP_B07_08,3.1222,6.9571,1.1187,68.4794,1.0073,42.848,4.4533,1.9954,16.3584,1.5115,538.297,12.7271,3.7223,2535.4561,496.6621,32.5991,1.7453,17.1421,9.0379,3.493,0.9878,19.9909,1.8961,34.7672,1641.2893,41.8949,1.4504,0.0874,0.2942,11.7043,0.1371,9.1976,5.1293,17.1068,4.8212,0.6048,1.6481,4.2721,1.4609,1.8522,0.7776,3.7688,3.3187,0.7811,0.0
ESP_B09,0.2349,0.0683,0.4527,1.9027,0.1538,0.2418,0.0081,0.0199,0.2379,4.1636,0.8017,0.0279,0.0557,1.9365,0.5939,0.309,0.0003,0.0018,0.0151,0.0092,0.0014,0.0039,4.5154,0.1471,14.6617,0.1045,0.4519,0.0077,0.0012,0.3311,0.0001,0.0744,0.0016,0.0,0.0026,0.0058,0.1969,0.0456,0.0379,0.0561,0.0158,0.0519,0.0424,0.0144,0.0
ESP_C10T12,4739.3337,88.7031,1.88,11.3249,0.3071,19006.5416,375.823,17.878,74.5263,66.4002,194.9771,72.2536,77.7552,70.2983,55.0784,61.7413,16.4163,33.1576,40.4513,89.3401,18.2162,42.2577,180.7392,38.7354,283.321,1026.4349,61.6422,58.0867,17.8523,69.3048,7.5638,18720.5161,55.245,83.2489,50.0531,97.094,72.3294,145.5326,44.6471,313.7805,250.4849,862.5963,257.8073,68.8292,0.0
ESP_C13T15,25.9467,34.6255,2.9208,1.7818,0.1689,141.1877,4849.4686,23.0876,94.0574,5.0544,85.8017,35.6341,196.867,44.8643,49.623,27.0684,18.7584,27.6681,35.316,393.0835,28.5106,291.6426,8.2327,56.4519,301.4911,372.8477,12.4176,6.6756,42.8665,22.5893,125.9379,709.2979,88.1578,12.7617,5.8901,5.0502,2.1462,139.5645,84.9461,109.1147,28.4928,316.6707,138.1795,118.821,0.0
ESP_C16,80.8359,13.2622,46.751,23.7881,0.2913,506.5016,58.5355,3033.4498,345.1704,1.6116,45.7001,9.2145,49.7673,179.7254,73.0421,201.7893,20.2478,88.8513,35.299,58.758,47.2693,1943.211,8.0141,35.0577,2956.1501,227.0214,6.5995,0.8284,1.4761,213.9922,4.6113,366.7116,100.9799,7.6544,3.3721,3.0119,3.6169,56.9023,38.9781,10.6415,5.0403,14.827,31.3783,119.7637,0.0
ESP_C17_18,52.1099,1.491,1.3537,10.9058,0.2431,1376.1955,127.5927,125.8597,3869.6125,16.4978,335.4851,145.3654,169.8204,209.6661,51.7664,86.4916,72.6908,107.3177,59.0231,122.2169,29.8023,189.9186,111.3309,724.602,303.1487,815.9835,52.0369,2.9676,7.9905,162.3182,72.1948,339.8154,2445.0524,120.4077,198.5913,457.446,276.8078,4600.4873,1223.8599,534.347,231.6109,324.0901,792.8553,178.9444,0.0
ESP_C19,506.7541,68.3074,27.2844,236.7343,4.4376,240.6065,50.414,105.8768,73.9756,4888.518,2072.951,13.5765,144.8861,431.1214,266.7609,100.4333,10.9145,39.1092,67.6693,46.9914,26.7522,43.941,2119.7786,187.0817,467.7928,1057.1883,4555.2965,259.75,1147.3481,431.294,43.9309,676.8934,108.0603,74.9254,6.4186,122.0981,44.3027,111.1056,180.3832,278.2578,282.5121,468.6681,24.6068,89.313,0.0
ESP_C20,991.9171,12.5882,29.516,179.8357,1.5762,840.2634,742.7992,222.7997,717.9364,54.9564,5037.7479,1032.4919,1786.0769,760.2558,934.0525,597.8167,94.0689,386.5903,176.5576,453.5243,146.6211,322.9518,91.3938,382.3774,1292.2899,626.1407,50.2917,7.4729,10.7096,240.0351,15.8393,770.9754,227.6096,50.7802,77.2861,30.6653,60.7596,312.5193,252.0409,205.6946,44.3283,1738.5797,115.5236,145.0235,0.0
ESP_C21,139.4049,1.9016,3.3203,19.7774,0.1249,148.8036,39.6777,19.0136,60.1891,11.3156,182.9186,376.0926,55.8392,42.4531,109.6352,38.0704,11.5084,23.5869,20.164,33.2054,19.6169,34.0533,17.0373,33.2825,146.8785,62.8976,10.4175,0.8024,2.7755,16.494,2.0744,198.7095,40.2609,20.3616,9.5765,6.776,8.5603,69.5662,32.5799,29.2331,14.9108,1497.4102,22.8562,22.6719,0.0
ESP_C22,215.1729,25.0436,6.545,43.2331,1.0768,1622.4283,429.9568,75.7435,258.4534,7.743,633.8597,153.0711,3033.0853,204.4883,119.0068,333.5375,196.3209,795.6312,332.5795,2290.3701,522.3095,651.623,16.7133,97.1131,1620.9055,506.2274,287.3874,0.5657,7.1163,344.8051,23.2892,170.1635,82.9253,50.789,11.3221,11.6063,81.0776,141.1913,108.3925,42.3993,25.0365,132.9382,127.8205,112.9518,0.0
ESP_C23,88.1686,2.1024,8.6968,43.5812,1.758,1422.0438,39.9773,32.5276,16.9698,11.4668,245.9598,66.0564,70.6778,3906.8928,206.5469,291.85,138.4476,142.6996,156.9782,457.0979,67.0119,85.9201,126.4271,46.0806,22739.2945,397.7271,16.8798,1.4216,7.0162,87.3839,32.7496,524.8597,44.476,634.5764,13.4191,4.0493,16.2271,104.9337,74.9962,34.2623,29.9892,292.477,45.5882,84.6361,0.0
ESP_C24,0.445,0.3619,12.8311,17.6683,3.1411,16.5639,14.2426,13.9697,413.3363,3.9331,41.8546,6.7383,234.7113,429.9865,2958.822,9853.6536,307.6884,2547.7757,1809.3873,4260.0077,741.9252,1012.505,7.1675,184.2875,1892.0137,7.0209,1.8963,0.1476,2.2462,13.9489,0.6276,33.3848,296.5529,9.6742,4.7007,9.6166,0.4506,41.6229,0.1419,1.9658,3.6034,0.6304,2.1868,1.2497,0.0
ESP_C25,1068.0138,31.3491,34.4215,240.0354,3.6622,1782.5872,184.3762,218.4567,191.3048,65.8449,159.8493,37.3782,319.9916,846.6313,2393.6302,3385.1106,285.9111,1188.0957,2768.8114,2080.8471,811.455,1510.2721,679.9822,2403.1019,11743.3695,617.6194,51.3999,3.7433,27.1141,382.2764,3.6282,308.6373,81.5331,37.2234,36.3281,37.1788,86.0586,240.9586,389.5295,151.9886,69.3862,103.2422,129.9823,185.9794,0.0
ESP_C26,6.7168,2.0029,0.5004,3.2276,0.2099,36.1832,8.8994,6.9306,11.911,4.8079,27.7427,8.118,11.0688,24.4695,16.675,58.6893,544.9356,52.2741,40.6024,58.1115,69.6866,97.2623,14.0001,18.0238,345.0505,59.0128,15.0595,2.434,12.548,42.9957,3.4664,42.2988,70.4713,365.5234,52.0933,24.72,5.9942,159.2764,57.1454,54.761,53.1267,656.4947,33.5568,54.778,0.0
ESP_C27,13.5429,3.7316,1.8749,15.9088,0.6782,86.3719,20.7312,18.036,18.1865,23.3874,58.2497,17.5607,50.2077,104.012,69.5412,125.7551,705.462,2550.4165,987.2213,1050.0507,241.5305,400.9714,355.8536,105.7475,4822.0906,132.103,33.1593,3.8403,20.8584,93.1256,16.7882,342.4249,74.5788,609.3531,24.479,25.4863,7.4231,80.3297,46.7695,66.4674,51.9874,79.7754,70.5226,30.5608,0.0
ESP_C28,213.7187,3.6272,15.6312,105.8287,2.0775,385.8259,136.1124,102.1718,118.442,70.5617,288.968,108.1809,151.9431,682.1184,453.0113,572.8948,46.6149,222.2233,869.1721,319.6156,205.5864,263.0021,184.9471,312.8469,1443.8019,350.3942,96.1834,5.528,32.8769,117.4614,16.2802,289.5421,129.7633,266.5986,5.8595,13.3751,2.765,63.809,111.6341,395.5575,41.3627,62.9502,83.8144,90.9965,0.0
ESP_C29,17.8081,1.4974,0.7991,4.6658,0.3159,40.9095,8.6024,4.3323,7.5989,2.6731,19.8577,10.0946,14.11,31.3974,20.1266,30.6325,5.421,11.6485,23.2233,11687.3152,149.2723,63.8989,13.7201,64.046,132.24,3375.8546,500.2468,0.5329,2.2844,73.0253,2.1981,34.6014,12.709,15.3184,8.9645,4.6345,10.9216,32.8687,220.47,81.8838,12.076,27.0346,21.1226,8.948,0.0
ESP_C30,0.6693,433.5352,2.1912,3.234,0.0212,0.6043,0.1479,0.6212,0.54,0.3178,0.7887,0.1335,3.6631,0.7959,3.4705,5.3499,0.0798,0.0901,1.3044,5.1259,596.3553,192.8018,0.6957,6.575,1.4053,23.6108,270.026,143.2597,97.1913,57.6262,0.7298,2.6125,0.369,6.9771,3.3417,7.5434,0.1329,6.7349,41.2731,285.729,6.5703,4.8772,2.1735,1.0372,0.0
ESP_C31T33,34.9641,18.5648,6.8783,45.612,1.7334,306.9737,65.6588,95.3126,96.5831,42.0976,142.4476,35.2337,72.3158,203.0038,200.0447,348.5239,123.4596,204.8415,327.7893,255.5924,181.7018,1152.157,194.9686,131.9411,2054.8624,446.5304,206.2087,24.4425,157.2308,457.1849,27.2435,772.9017,465.9292,364.8649,25.3956,119.6118,26.6109,799.4752,641.9767,371.0468,270.6888,267.499,541.5469,232.9675,0.0
ESP_D,576.4286,18.6645,100.9412,342.1747,3.6649,1803.4304,432.6264,271.1777,1090.6112,154.747,1115.8112,290.9176,717.3513,1901.0902,1468.0827,965.2907,119.3328,427.8569,360.7226,834.1712,143.7842,297.5764,11168.2966,407.8067,1065.4187,7278.8982,509.8821,66.5808,59.1997,534.557,234.8373,769.5554,430.8294,1042.3325,100.2067,513.2223,433.2311,924.8235,497.7211,1657.254,766.2977,779.5161,105.3269,329.177,0.0
ESP_E,400.2462,8.4235,2.6018,38.3405,0.7758,501.3999,94.2683,32.5017,198.8831,63.236,193.9401,51.4102,86.9894,128.9064,5659.0818,99.8803,26.6125,31.2619,35.3206,92.2769,20.702,46.5268,153.0653,2309.3075,495.7161,1186.7495,443.4298,18.1834,7.4462,58.6172,8.8579,395.3942,92.656,113.1426,26.0253,41.4285,195.8641,223.3261,121.5889,139.437,141.3115,447.6336,32.3705,202.7018,0.0
