V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T
TWN_A01_02,1009.2092,15.3813,0.0085,0.0474,0.0215,3119.1072,233.041,11.5918,1.1765,1.4572,16.0998,12.9476,14.2467,0.9139,1.615,0.8863,4.9547,0.6119,3.9654,0.3383,0.196,1.2735,0.6593,0.1926,20.7842,21.4321,0.4853,0.6598,0.3426,0.4567,0.2873,235.5586,0.5473,0.1065,0.3006,0.8926,0.926,1.3747,0.2432,20.6362,3.0444,1.2622,4.9894,4.7215,0.0
TWN_A03,2.1233,76.9178,0.0031,0.0175,0.0078,113.1822,0.2171,0.079,0.113,0.5358,1.03,0.4196,0.165,0.184,0.5995,0.3174,1.275,0.2136,0.4482,0.1267,0.0741,0.5903,0.1771,0.0249,0.7771,2.3785,0.1562,0.2548,0.1299,0.1703,0.11,7.7269,0.0763,0.031,0.1051,0.2518,0.0458,0.2217,0.0917,1.4293,0.1176,0.3413,0.172,0.1939,0.0
TWN_B05_06,0.0004,0.0011,1.1575,3.3819,1.7768,0.1741,0.2188,0.0014,0.2833,389.1385,2.9176,0.0095,0.098,7.9667,8.0029,0.1476,0.6232,0.1043,0.0731,0.0334,0.027,0.0293,37.8903,0.0745,3.1931,0.18,0.0584,0.002,0.0037,0.006,0.0004,0.0474,0.0117,0.002,0.0172,0.0819,0.0538,0.0252,0.0176,0.0752,0.0034,0.0188,0.0074,0.006,0.0
TWN_B07_08,0.0052,0.0177,1.3434,37.4581,9.4687,1.9244,1.8298,0.007,3.423,299.876,69.4258,0.0531,0.9237,234.5521,102.101,3.2271,7.5372,0.7411,1.3727,0.3444,0.7656,0.333,281.3848,0.6716,145.9866,0.0486,0.4274,0.0066,0.0,0.0017,0.0,0.043,0.0,0.0021,0.0,0.0,0.0,0.0349,0.0051,0.0718,0.0,0.0,0.004,0.0124,0.0
TWN_B09,0.0056,0.0277,4.281,5.9175,10.4271,1.0294,0.0292,0.0026,3.3821,363.356,6.5183,0.0198,0.8038,57.4693,5.3532,2.3243,0.9619,0.2692,1.1633,0.2276,0.0485,0.2312,102.1939,0.3362,42.5812,0.0256,0.1544,0.0026,0.0,0.0008,0.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0589,0.0015,0.1158,0.0,0.0,0.0016,0.0048,0.0
TWN_C10T12,921.232,134.057,0.0801,0.2568,0.1252,1317.0845,162.4922,1.3346,3.9071,5.4382,51.3683,22.1724,6.5914,3.864,14.8084,6.0453,27.1365,4.4978,6.6255,1.4328,1.6533,17.2327,2.8664,0.5733,11.0455,71.7388,1.277,1.3164,3.1163,0.8217,0.1667,1017.4868,3.2583,0.6993,0.8384,3.7807,4.4852,3.4113,1.0507,37.6829,5.4282,18.1835,25.2679,15.6463,0.0
TWN_C13T15,7.5655,26.6874,0.4103,0.6885,0.3678,15.6466,2611.7837,2.6316,31.0979,11.275,139.6938,20.8086,150.1194,18.0227,19.7616,26.2876,233.61,21.1811,18.0543,29.23,10.7662,63.8202,3.5573,1.1399,25.1719,46.6727,2.7505,1.4204,3.6965,2.7526,0.8353,46.2441,5.0435,1.7464,0.8874,3.9444,1.6357,17.1122,1.5428,20.0736,3.4178,8.0684,2.6867,29.48,0.0
TWN_C16,6.6794,3.8516,1.3999,2.8849,1.5739,3.9478,3.7606,171.9025,46.1861,1.2251,7.9351,0.0695,3.5506,8.201,3.8925,23.3902,16.6716,9.8568,27.744,5.3616,14.1011,46.1639,2.6153,0.3418,388.5769,19.1352,1.0885,0.076,0.0884,0.882,0.1349,4.9064,3.4149,0.0959,0.2898,0.1895,0.1013,7.7176,2.0459,2.0625,2.6791,0.3449,0.7655,3.4739,0.0
TWN_C17_18,10.2976,11.7236,0.5378,0.1929,0.1047,183.9853,92.2295,7.598,1872.9722,20.4682,220.5786,45.2178,81.735,73.0708,35.3195,98.2415,401.2226,59.8032,48.743,20.7014,13.7488,37.5794,15.3939,4.696,53.3184,690.3997,7.8594,0.9452,16.0095,14.178,9.8025,125.7842,659.5801,32.4037,43.9575,316.4703,10.3085,472.6806,162.4853,256.8345,88.2896,83.5568,33.5867,144.6194,0.0
TWN_C19,74.8042,352.1629,20.3545,186.6812,72.2244,135.3164,230.2137,16.9647,145.0024,3312.1949,4930.9722,17.797,132.4168,387.3715,1275.3483,227.918,377.7981,99.0995,139.3949,45.6377,30.7885,31.6296,2015.3946,42.9024,313.1589,752.0216,1227.4416,115.1574,1226.3038,125.8508,14.5226,91.012,15.529,10.598,7.9355,23.9744,30.9927,45.9938,67.5782,124.4122,32.1243,83.0371,16.271,86.1101,0.0
TWN_C20,218.9883,5.8162,3.8832,11.565,6.5505,110.4308,1708.5313,26.2559,327.739,430.0027,16606.2382,55.069,2773.0862,237.0703,859.0029,521.3564,3948.2259,232.9736,118.1652,96.8508,77.2658,117.2702,133.024,81.0666,394.5349,76.6706,7.0851,1.9292,5.8158,6.1682,1.1424,82.4736,42.015,4.5615,3.4355,9.667,4.0931,96.6435,91.8044,66.6947,30.6195,144.2843,10.8065,231.5233,0.0
TWN_C21,10.9712,1.5026,0.033,0.0846,0.0422,13.9454,2.6651,0.209,0.9405,1.3553,10.3552,65.5794,1.9148,0.6756,4.2057,1.8018,9.2654,4.5073,3.263,0.6654,0.5749,0.63,0.6052,0.2167,5.6117,2.2604,0.2587,0.0822,0.2915,0.1223,0.0153,5.2672,0.4164,0.2276,0.1507,0.3551,0.178,8.0263,0.238,2.7463,1.2401,213.2332,0.4088,0.6978,0.0
