V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_C27,0.9513,0.2047,0.0145,0.0325,0.0073,1.0127,0.1942,0.3485,0.0729,1.5093,0.1492,0.0152,0.1132,0.3908,0.0185,0.2166,6.6867,4.2262,0.3057,0.3979,0.9074,0.7044,4.1889,0.3155,10.9218,2.9443,1.8482,0.383,0.0129,1.2593,0.024,0.1182,0.035,3.2892,0.1541,0.2585,3.0,1.3263,0.8275,1.3018,0.0971,0.9103,1.8957,0.4143,0.0
LTU_C28,2.2098,0.1082,0.1248,0.0672,0.0213,2.8106,0.2916,1.0106,0.3702,0.6294,0.5514,0.0309,0.5587,0.3344,0.0279,2.0474,0.3931,0.4729,0.9159,0.3615,0.3652,1.5537,5.7742,0.7575,3.5163,2.222,3.6798,0.1094,0.2465,0.618,0.0144,0.1412,0.1656,0.1785,0.0553,0.1296,0.9624,0.2907,0.2388,1.5452,0.1248,0.3625,0.1796,0.2464,0.0
LTU_C29,0.6025,0.0723,0.0309,0.0236,0.0048,0.3745,0.0471,0.3941,0.0769,0.5875,0.2698,0.001,0.3383,0.2063,0.0111,0.0919,0.7369,0.2115,0.1238,1.5337,0.8743,0.39,3.6483,0.8809,0.6457,12.0856,22.5111,0.1094,0.0651,2.435,0.0257,0.0529,0.1118,0.0485,0.0106,0.0554,1.3706,0.6631,0.7172,0.9011,0.1573,0.2012,0.0914,0.1895,0.0
LTU_C30,0.1564,0.4666,0.0093,0.0107,0.0015,0.0,0.0,0.2652,0.0012,0.0047,0.0004,0.0,0.0,0.0544,0.0,0.0,0.0,0.0,0.3671,0.093,15.2779,28.22,0.0053,0.0045,0.0836,1.1673,17.0722,8.0797,0.6423,1.547,0.0,0.0,0.1658,0.0,0.0,0.0152,0.0,0.7781,0.1311,8.0907,0.0905,0.1338,1.3105,0.0002,0.0
LTU_C31T33,16.735,6.2149,0.2138,0.1949,0.128,17.3279,9.2075,13.0631,3.085,14.5839,4.4471,1.0038,8.1497,3.5667,0.1348,3.2564,2.6914,2.7085,1.1345,1.4889,0.8061,60.1095,84.4387,6.0141,36.8398,49.9002,20.5595,1.3839,0.7958,19.4335,0.0971,2.863,2.2349,3.8018,0.6188,6.0883,12.4727,5.9689,5.7696,27.7187,5.8057,9.015,2.0045,2.4326,0.0
LTU_D,19.3237,0.7592,12.2971,6.1245,0.1872,124.9894,21.0345,29.816,11.4109,79.0721,50.0354,0.0059,13.2926,33.0492,2.6124,6.7711,23.6246,9.7557,5.9206,19.0022,6.8059,14.6503,228.3724,15.8588,12.3111,124.6773,17.0956,2.6604,2.3739,12.3538,0.517,15.1998,11.0963,17.892,10.0101,9.9085,73.012,18.7398,11.8502,59.0546,132.2846,106.3249,5.1869,5.2807,0.0
LTU_E,5.0506,0.3633,0.602,0.6036,0.0287,14.6306,3.156,3.9731,1.1687,11.91,7.4873,0.1169,1.4251,2.6008,0.5478,6.4087,1.5878,0.8366,0.3652,0.546,0.709,2.9681,19.9458,5.1372,6.2067,5.4378,2.4036,0.2063,0.1345,1.6423,0.0364,5.3905,1.4435,0.5077,1.8937,0.7025,28.6966,11.0413,1.1376,26.5444,1.0772,2.2182,2.2604,2.2739,0.0
LTU_F,7.6114,0.999,0.2693,1.07,0.1065,29.0679,2.9498,5.8658,1.0848,6.2367,2.0837,0.1155,1.0687,1.3395,0.1031,4.1881,1.31,0.6462,0.4057,2.2878,0.4764,6.1907,8.203,5.0179,379.0646,11.1045,8.1521,0.7723,0.8069,4.0438,0.0931,1.2035,1.0047,1.916,0.5798,3.8857,7.1254,3.6736,2.275,18.39,3.0658,4.1159,0.8252,2.5079,0.0
LTU_G,163.9527,12.7514,2.609,2.5577,0.3588,284.4474,36.8184,71.0439,12.8618,125.9051,30.8338,5.4328,33.0564,23.5421,0.9719,26.8202,21.1568,11.6681,7.201,14.2928,8.7924,49.5912,81.4988,12.7474,187.6407,127.0634,80.8998,6.906,2.6086,25.8262,0.6821,14.5438,14.7875,14.9777,2.5137,16.6032,41.4011,23.9679,11.9121,61.8179,26.057,35.6075,12.8573,9.6251,0.0
LTU_H49,30.3042,1.8877,1.7244,1.2295,0.1616,40.2954,7.4204,16.797,4.4598,59.8856,13.4144,0.4916,8.4204,12.1275,0.7842,7.0127,5.5986,2.6356,2.1785,6.1136,2.3178,12.0626,17.2363,5.2498,42.682,51.7531,57.524,1.4676,2.6626,20.4774,0.6374,3.1951,4.396,2.9737,0.7638,2.4563,15.0804,7.9472,4.6365,13.6465,3.7668,6.3591,2.2449,3.1907,0.0
