V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_A01_02,1185.1994,0.0998,2.4211,9.798,0.0062,767.222,23.1351,81.5554,27.343,11.7775,4.2941,1.7374,1.8928,8.9698,9.4458,4.6883,0.857,4.8068,7.1317,0.5772,0.349,38.428,10.4928,5.3149,66.587,533.1757,34.413,1.0502,3.1392,25.1172,7.669,37.5634,9.1133,7.8628,4.2119,19.8944,30.5835,23.1781,105.4624,38.0443,20.3906,24.254,14.7429,8.3288,0.0
BGR_A03,0.072,0.5845,0.0004,0.0016,0.0,4.4511,0.0111,0.0067,0.0025,0.0021,0.0126,0.0043,0.0005,0.0122,0.0029,0.0735,0.0116,0.0003,0.0019,0.0002,0.0001,0.0086,0.0023,0.0011,0.1024,0.7629,0.0404,0.0063,0.0014,1.3894,0.001,1.2207,0.0008,0.0011,0.0023,0.0016,0.0023,0.0046,0.0277,0.0649,0.0108,0.1121,0.0117,0.0206,0.0
BGR_B05_06,2.622,0.0525,5.5968,0.9886,0.0003,0.7689,0.9152,0.0983,0.2276,34.008,1.1176,0.5067,0.0901,4.3479,39.8554,0.237,0.0499,0.0842,0.27,0.0369,0.057,0.8011,186.7785,0.5196,2.4733,5.0366,1.9984,0.2154,0.2368,1.7377,0.3046,0.5515,0.2576,0.3226,0.151,0.6039,0.5662,0.46,1.3311,3.2563,0.8319,0.2502,0.6027,0.2059,0.0
BGR_B07_08,4.7884,1.0486,0.17,31.1062,0.0025,20.6349,0.7752,0.1674,0.5228,1.0337,30.0948,8.3026,0.2216,54.5731,182.9181,73.2176,0.1651,0.129,2.3985,0.38,0.1868,3.3388,1.2819,3.47,40.8448,11.3597,1.0474,0.1663,0.293,10.3095,2.3088,6.7838,0.9363,0.4418,0.0314,0.1831,1.7624,1.2182,5.6088,1.5076,0.1166,3.5515,1.7146,0.1748,0.0
BGR_B09,0.0035,0.0001,0.0262,0.0369,0.0,0.001,0.0001,0.0001,0.0008,0.0659,0.0023,0.0002,0.0002,0.0086,0.0061,0.001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0378,0.0008,0.0403,0.0004,0.0044,0.0002,0.0,0.0017,0.0,0.0001,0.0,0.0,0.0,0.0,0.0224,0.0001,0.0002,0.0004,0.0001,0.0001,0.0001,0.0001,0.0
BGR_C10T12,80.6038,0.0629,0.0336,0.2422,0.0001,623.2466,8.7815,0.1026,0.089,0.4108,6.1065,2.6684,0.1459,0.2717,0.3871,0.3347,0.0754,0.0471,0.2901,0.0344,0.0299,0.2008,0.3632,0.0592,1.1026,84.9942,0.4516,0.5963,0.2746,0.1317,0.3413,43.5392,0.246,0.1338,0.0762,0.0924,0.2644,0.7772,3.1572,36.3227,19.9379,30.7348,0.6795,0.0776,0.0
BGR_C13T15,6.4357,0.0247,0.5105,1.1776,0.0008,7.0245,261.8677,0.5624,0.9692,2.9674,1.5837,0.7454,3.4772,1.6928,5.6758,0.9393,0.6024,1.0467,1.6118,0.3664,0.0967,3.7677,2.1269,1.8809,7.6034,18.9268,5.852,0.4991,1.3544,2.2334,0.8782,12.1246,2.1554,1.0976,0.128,0.5862,3.2342,0.7303,9.3023,18.9863,2.2691,5.1855,5.0088,0.2473,0.0
BGR_C16,11.468,0.0101,0.3721,0.6959,0.0005,6.4109,0.9346,46.2642,2.2999,0.52,0.3196,0.1088,0.6483,4.0511,3.3758,2.4542,0.0982,0.5348,0.3345,0.0586,0.6508,104.9781,0.4237,0.377,52.7206,9.1183,1.1956,0.1071,0.1091,5.0933,0.1178,1.3152,0.5863,0.1333,0.11,0.7918,4.5764,0.818,2.488,1.5489,0.9743,1.0718,0.3602,0.6809,0.0
BGR_C17_18,5.9544,0.2959,0.2066,0.3623,0.0004,25.9531,9.833,3.3784,95.4032,1.0733,7.9135,3.3964,3.3663,8.5016,1.2878,3.454,1.8006,2.2667,2.1737,0.8695,0.052,5.6204,1.7952,0.5137,12.0701,42.7875,1.3489,0.0604,0.2279,3.2536,7.4605,8.7736,47.5711,8.0585,6.6007,12.278,1.37,11.5472,12.0246,18.4758,10.61,5.759,3.1242,2.8376,0.0
BGR_C19,83.5264,1.7593,5.5174,31.0485,0.0072,43.3094,30.2406,11.2816,8.6649,140.3909,44.8453,34.4329,36.1228,40.2912,45.8615,29.5795,3.075,6.7431,9.712,1.2819,1.1779,8.6827,80.3378,30.1253,69.6908,81.8509,597.3601,60.0088,68.6646,41.9743,12.6877,5.4317,7.9179,13.5186,5.4461,17.3766,5.3131,9.0039,21.3003,50.732,11.6568,44.2308,4.5131,6.0324,0.0
BGR_C20,39.6286,0.0172,0.1833,2.9136,0.0012,12.6627,24.4939,5.1454,8.4179,9.2023,53.7517,24.0382,60.2624,11.8336,8.9942,9.6186,1.8469,2.7294,5.3691,0.3346,0.8071,5.9793,1.2247,1.0987,19.7976,15.1995,2.4105,0.3573,0.3897,1.546,0.1899,1.1715,6.3539,0.2089,0.223,0.5743,1.0107,3.8638,7.9566,8.6019,4.8537,43.0518,2.5742,3.5603,0.0
BGR_C21,16.5136,0.0056,0.0757,1.0945,0.0003,4.7541,9.0062,2.1199,3.4727,3.8503,22.3875,9.774,10.4172,4.935,3.375,3.9815,0.7602,1.1273,2.234,0.144,0.3082,2.4768,0.5166,0.4455,8.3739,6.0601,0.9947,0.1258,0.1637,0.6084,0.0666,0.4285,2.6038,0.0735,0.0728,0.2073,0.3275,1.9051,2.9884,3.5212,2.0162,16.355,1.0579,1.4465,0.0
BGR_C22,15.9698,1.0623,2.0601,3.169,0.0013,21.5629,14.0408,1.3579,4.5268,9.5321,6.8844,2.9567,31.934,16.8271,16.8914,9.399,3.9393,3.4129,11.4514,1.4223,1.748,8.5077,6.111,12.8533,92.9589,69.5318,14.181,0.3053,1.0334,6.681,1.8538,9.8298,1.6062,1.9994,0.1868,0.5858,1.8098,3.1935,7.3499,7.3067,1.023,6.1741,1.3102,0.8134,0.0
BGR_C23,13.723,0.0858,0.1927,9.0341,0.0026,25.2956,0.9116,1.3438,7.9064,3.2902,2.0885,0.8858,0.5317,141.6613,22.3883,11.2869,1.1225,0.6209,5.1492,6.9549,5.0234,4.4782,4.9036,2.3738,505.1395,31.1777,3.1426,0.3144,0.3883,18.0398,0.9811,12.8441,0.4744,1.0524,0.1074,2.9253,10.2902,1.0773,4.0922,5.3777,0.7788,1.4545,0.8724,2.0204,0.0
BGR_C24,2.0013,0.0374,1.8447,13.3304,0.004,2.7485,1.1538,0.3158,0.8019,9.9921,1.8882,0.7944,0.7359,9.1072,725.1326,97.8383,29.8348,80.5538,143.777,0.4882,36.3593,91.2255,12.622,10.1843,110.3688,15.3342,3.4468,0.0537,0.0007,15.5616,0.4652,2.3096,0.1267,0.5792,0.005,0.6367,0.176,1.3789,4.7108,3.0435,0.1341,0.5005,0.0886,0.293,0.0
BGR_C25,24.4149,0.186,2.7454,3.8335,0.0044,13.8567,9.7175,3.4893,0.9316,14.8819,4.5089,1.9349,1.0365,1.5553,30.161,72.0866,0.905,1.0767,15.2588,5.3342,1.6658,10.0083,19.2872,3.567,181.4777,37.6404,5.0917,0.3372,0.8543,17.5981,1.414,5.1484,0.5717,1.4883,0.2149,3.3444,61.2791,2.0537,6.0989,17.8944,0.5438,1.0801,0.6879,1.7552,0.0
BGR_C26,0.3146,0.0028,0.0265,0.1086,0.0003,0.2668,0.165,0.0267,0.0691,0.5383,0.5039,0.2198,0.0612,0.054,0.8832,0.5372,13.4441,2.9549,1.1647,0.4551,0.0538,1.2326,2.8948,0.3544,1.2226,11.1565,0.509,1.0579,2.8757,4.4893,8.3293,5.147,3.0406,8.9908,7.3298,1.5177,0.3142,4.0489,5.9601,10.8984,0.7794,4.7091,6.5055,0.5705,0.0
BGR_C27,2.5657,0.007,0.9501,0.6687,0.0006,1.2254,0.9205,0.1927,0.8789,4.8242,1.2195,0.5226,0.581,0.7827,5.1574,5.0992,8.299,17.2587,5.6825,6.7782,1.605,3.1089,35.2931,1.3709,41.1464,8.8466,14.7934,0.7569,0.5343,11.924,5.0426,2.8835,1.3862,5.3981,0.6301,0.7771,1.7667,0.7661,2.7717,5.1455,1.8091,2.5871,2.4146,0.3472,0.0
BGR_C28,13.0369,0.1578,1.4305,6.21,0.0023,9.0427,8.9207,0.9222,1.3979,9.3235,1.4843,0.6401,0.7588,0.5566,17.5317,5.354,0.5417,0.5956,14.1289,1.0445,0.2888,3.3028,8.7954,1.8293,50.7675,26.7987,2.575,1.4506,0.7338,3.8256,0.2795,2.1373,1.3147,0.2704,0.135,0.4729,1.6396,0.4824,0.98,20.0105,0.0869,0.3767,2.152,0.4622,0.0
BGR_C29,1.1069,0.0101,0.1708,0.4044,0.0002,0.9938,0.5318,0.1724,0.1878,0.8748,0.3116,0.1397,0.1395,0.3558,0.835,0.7226,0.2373,0.1995,0.3491,2.9201,0.1541,0.3441,0.5812,0.3103,2.9517,2.4421,4.3623,0.064,0.102,0.8065,0.1327,0.1712,0.0828,0.1409,0.0232,0.1045,0.5415,0.1124,0.417,1.3435,0.0908,0.1117,0.1099,0.0915,0.0
BGR_C30,0.0557,0.0004,0.0057,0.0792,0.0,0.0033,0.0043,0.0013,0.0008,0.0101,0.002,0.0011,0.0013,0.1018,0.0046,0.0099,0.0317,0.0488,0.0597,0.0106,0.2395,0.1532,0.0162,0.0444,0.229,0.5904,1.638,0.5955,0.1678,0.1247,0.4484,0.0133,0.0012,0.003,0.0031,0.0062,0.0047,0.0057,0.3109,0.0261,0.0111,0.0125,0.001,0.1686,0.0
BGR_C31T33,5.7016,0.0779,0.5597,1.5559,0.0023,4.0728,12.6264,1.4813,1.0825,3.3824,1.2077,0.5471,1.0169,0.8654,6.1991,6.7433,1.8613,2.2912,4.4084,1.3568,0.5267,9.7764,6.8927,1.24,32.786,21.1891,5.8019,0.8295,1.1439,4.9908,1.8231,14.1244,3.8602,1.8047,2.855,3.8197,7.4352,3.8279,7.6022,14.0338,6.0443,4.099,9.3888,1.421,0.0
BGR_D,24.5959,0.2455,44.1586,8.151,0.0059,62.4774,45.399,7.139,9.6176,73.2755,49.4646,21.4104,10.8066,42.0819,96.298,16.7788,3.6205,7.7591,29.7126,4.9959,2.9599,12.3752,193.3022,26.8382,19.5164,99.2808,67.9914,0.3838,4.1979,19.1577,17.3376,27.9113,10.1198,18.8122,11.0678,30.2119,51.7799,30.5091,46.3271,78.5987,42.638,56.8911,21.1832,8.2863,0.0
BGR_E,17.3508,0.3489,1.0905,3.7333,0.0013,25.9674,7.0537,1.2193,1.6417,3.1249,7.1875,3.1575,2.5621,6.1383,11.4925,4.7303,0.4543,1.9643,5.2149,0.3509,0.207,1.986,12.6459,8.6894,13.3179,25.192,7.7935,0.3945,0.6689,6.3013,1.8196,13.2968,1.1761,2.1867,0.6375,2.0707,3.1621,15.4505,8.5918,13.4931,3.5011,9.3375,1.9392,3.5201,0.0
BGR_F,39.6562,1.5758,6.2477,15.8385,0.0064,45.3264,17.5353,3.4692,4.6588,13.0042,13.6669,5.8614,4.1492,29.7214,69.8131,15.0335,6.2704,9.1599,18.2184,3.0149,6.0045,12.1403,69.621,47.249,984.1653,134.6794,61.5598,3.3342,7.8954,76.7274,19.2791,67.068,9.1828,20.6957,2.8893,50.6722,330.947,31.7456,63.7873,58.853,24.3533,15.7283,17.2127,6.9262,0.0
BGR_G,293.3316,1.7163,8.3341,25.4144,0.016,399.0348,128.3016,25.5138,39.2079,160.2526,52.1998,29.5063,47.1893,60.5642,135.2554,65.4731,27.4056,22.0209,56.6857,18.0498,10.6114,54.5994,95.9421,33.5318,253.3043,299.3767,336.1888,22.8745,30.9149,57.5494,20.6382,50.4275,27.6829,24.7638,11.261,28.0367,42.1472,34.6042,90.378,120.582,22.9387,54.7225,23.0069,15.518,0.0
BGR_H49,49.2585,0.6301,10.5997,44.6784,0.0061,68.611,24.3132,14.6101,11.5636,51.6188,13.0028,5.684,11.7752,49.8894,103.3481,28.6464,3.7954,6.5947,18.7087,2.9059,1.8958,16.0343,72.333,12.3964,146.2083,309.0587,100.9218,14.4685,11.0333,91.1845,8.442,13.6779,3.0234,8.6546,2.0247,2.5008,3.7524,9.4943,25.6545,32.5376,2.2423,6.6984,3.0784,2.9541,0.0
