V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_A01_02,727.2236,0.3726,0,1.4542,0.0127,2826.2393,85.8445,512.579,339.655,4.1622,8.9566,2.2005,17.0543,2.9459,0.8489,5.547,2.2967,1.159,2.4335,7.3054,0.4458,6.4165,6.2558,5.1277,50.243,130.1853,4.6269,0.4655,2.615,4.2694,0.2663,264.6049,4.0327,7.9373,3.5662,13.9277,7.6413,39.1615,22.5413,18.3681,6.0145,108.3569,2.7749,9.341,0.0
PRT_A03,0.2752,10.5314,0,0.0346,0.0005,19.5605,0.4095,0.109,0.1932,0.1394,0.2255,0.6231,0.15,0.171,0.0703,0.2045,0.1506,0.0712,0.121,0.1483,0.0205,0.2019,0.2155,0.4363,0.8415,2.3373,0.187,0.0337,0.1963,0.1287,0.0156,49.0259,0.154,0.4565,0.1031,0.4448,0.1345,0.6989,0.2908,0.9198,0.2484,0.4303,0.1072,0.1157,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.2028,0.0178,0,64.7476,0.9911,14.2728,0.5433,0.3042,0.884,0.4119,139.4514,0.2397,0.2217,442.0308,27.2099,34.2191,0.2197,20.9484,1.0341,0.7604,0.0748,6.9351,0.3087,2.8902,259.6118,6.9061,0.3627,0.0724,0.181,5.4651,0.0391,3.5368,0.2676,0.5728,0.0417,0.3477,1.7923,2.8193,1.9016,15.2025,1.0167,1.0167,0.6463,0.1977,0.0
PRT_B09,0.0658,0.0397,0,0.9998,0.014,0.0658,0.0067,0.0091,0.0967,1.1176,0.1407,0.006,0.0143,0.5251,0.077,0.0755,0.0002,0.0003,0.0041,0.0019,0.0001,0.0009,1.795,0.0531,3.8507,0.0303,0.0955,0.0017,0.0005,0.1137,0.0,0.014,0.0004,0.0,0.0009,0.0021,0.0863,0.0152,0.0136,0.0291,0.0064,0.016,0.0083,0.0048,0.0
PRT_C10T12,582.9856,1.9783,0,0.8082,0.0307,1772.3756,42.7005,0.0584,20.8287,0.4154,18.9465,0.8626,0.3849,0.2225,0.7111,0.419,0.1844,0.0657,0.0803,0.1274,0.0477,3.0316,0.0611,2.0845,0.9457,38.8283,0.2681,0.0791,0.9535,0.1728,0.0481,1736.109,1.5367,0.807,0.9515,1.5668,0.0538,11.0875,2.3707,41.7184,20.6028,298.7888,0.5366,1.2396,0.0
PRT_C13T15,18.7086,2.2283,0,2.0005,0.0255,8.4908,2326.6452,1.8005,4.9828,0.7242,7.4312,3.7509,17.1006,6.7828,0.9028,7.6316,3.9699,15.3054,2.4167,28.5636,0.6259,89.1704,2.3286,12.4399,40.1577,46.1177,2.0476,0.2991,4.6397,5.2814,0.4494,54.4057,4.5179,3.188,1.0156,1.3285,0.7476,6.9481,4.3943,9.3199,2.7369,73.5178,21.5503,2.438,0.0
PRT_C16,12.535,0.0562,0,1.4552,0.0113,33.3639,4.7672,625.616,73.4555,0.6756,3.3328,0.2723,5.7288,35.9996,1.7635,20.8991,1.8314,7.6508,4.1562,8.2544,1.6434,188.5416,1.2533,1.2642,676.0609,73.1521,1.1632,0.0643,0.717,6.8355,0.0252,6.5202,0.7118,1.3716,0.5985,2.1199,1.807,9.9245,7.3642,6.658,1.6611,1.933,2.4205,27.4726,0.0
PRT_C17_18,18.1385,4.8489,0,5.3469,0.0303,417.9209,82.5442,23.4297,1052.5102,1.9037,53.3363,11.5373,34.9345,93.4861,7.255,51.6544,17.7609,15.927,14.197,10.1439,1.3593,30.8655,20.6467,34.1228,24.3431,411.1507,11.7277,0.4775,6.7008,33.4579,2.332,38.2868,374.2308,36.3491,62.0361,24.8368,66.9138,243.6545,157.0561,107.0483,76.2504,43.6217,18.2616,42.3166,0.0
PRT_C19,142.9624,36.0412,0,91.4525,0.2649,60.8105,57.5441,15.2871,23.2305,280.3118,193.3418,3.3282,47.1832,55.6528,5.2375,34.1115,5.8779,6.1757,13.2864,11.0673,1.8519,33.7532,237.6925,51.8734,817.3585,357.7763,728.3599,18.633,158.5256,88.6071,1.4282,91.1451,8.1718,13.463,11.2275,3.0878,14.9046,60.5102,45.6545,163.6981,29.4987,374.9067,12.0078,33.4354,0.0
