V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_A01_02,154.8897,0.5358,0.0652,1.7292,0.0018,861.0332,14.1546,12.9401,0.2628,0.0578,1.4706,0.1768,5.5969,0.0404,0.2637,0.0068,0.0155,0.0032,0.0001,0.0003,0.0001,2.6507,0.0472,1.5643,0.0582,0.1618,0.0016,0.006,0.0004,0.0752,0.0008,76.4261,0.0711,0.0222,0.0006,0.0523,0.1508,0.7009,0.137,2.4483,9.0924,4.8971,0.4424,1.1573,0.0
CRI_A03,0.0033,1.3866,0.0,0.0,0.0,37.4742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5435,0.0,0.0034,0.0,0.0,0.0,0.0,0.0044,0.0256,0.1361,0.036,0.0,0.0,0.0
CRI_B05_06,0.0153,0.0,0.0265,0.3733,0.0007,0.064,0.0,0.0004,0.0006,0.8445,0.3016,0.0022,0.0003,0.3056,0.0014,0.0,0.0,0.0005,0.0,0.0,0.0,0.0282,0.0566,0.0024,0.6229,0.1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,2.2253,0.0181,0.0055,0.3043,0.0005,3.3526,0.0004,0.1375,0.0056,0.3815,0.9902,0.0044,0.0025,33.6391,0.0089,0.0001,0.0,0.203,0.0069,0.0,0.0,0.0757,0.2145,0.1956,81.7783,0.3722,0.0607,0.0584,0.0089,0.0008,0.0,0.0004,0.0,0.2414,0.0,0.0,12.6387,0.3432,0.133,0.0798,0.0786,0.0095,0.0047,0.0624,0.0
CRI_B09,0.0063,0.0009,0.001,0.0208,0.0001,0.0059,0.0002,0.0001,0.0048,0.0482,0.0194,0.0002,0.0009,0.0158,0.0016,0.0008,0.0,0.0,0.0,0.0,0.0,0.0001,0.0226,0.002,0.0716,0.0008,0.0019,0.0005,0.0,0.0017,0.0,0.0008,0.0,0.0,0.0,0.0,0.007,0.0006,0.0005,0.0005,0.0003,0.0005,0.0002,0.0002,0.0
CRI_C10T12,49.9434,5.3407,0.0029,0.0926,0.0001,297.488,0.5994,0.3826,0.6257,1.0444,25.342,2.5068,0.9433,0.1912,0.4047,0.0365,0.0545,0.0917,0.0031,0.0054,0.001,0.8504,0.1642,1.1384,2.2545,1.5892,0.0569,0.1013,0.0373,0.403,0.0124,285.306,0.1542,0.3118,0.0243,0.9945,2.1181,1.2702,1.0178,2.2619,7.3851,6.9731,2.0203,3.7811,0.0
CRI_C13T15,2.069,0.0176,0.0022,0.0535,0.0002,6.3906,85.4371,1.1233,7.1092,0.506,1.6604,0.1801,0.7062,0.4157,0.1855,0.1229,0.6652,0.1572,0.0053,0.0359,0.0077,7.8266,0.6138,0.7985,1.756,6.3232,0.197,0.2635,0.112,0.444,0.0622,4.6217,0.0844,0.5411,0.0117,1.3723,1.7082,1.7199,1.4014,1.6768,1.9278,5.4122,0.8072,1.4431,0.0
CRI_C16,4.1474,0.0151,0.0001,0.0022,0.0,5.0417,2.3917,13.1754,0.1629,0.0947,0.1838,0.0043,0.233,0.9587,0.1744,0.0375,0.0006,0.6331,0.0215,0.0945,0.0204,9.3986,0.0243,0.0799,14.5239,0.1025,0.0212,0.0353,0.0063,0.0492,0.0001,0.1365,0.0085,0.0387,0.0,0.0194,12.6008,0.5273,0.0098,0.1271,0.0805,0.157,0.0046,0.2045,0.0
CRI_C17_18,30.9269,0.0214,0.0006,0.0388,0.0,34.8593,6.9486,0.1101,98.9169,3.0034,6.9239,1.5692,2.6263,4.116,0.4358,0.3592,1.172,1.1385,0.038,0.0542,0.0076,21.8888,0.5757,1.0187,6.2638,24.0481,0.2254,0.2463,0.0643,1.3737,0.2657,17.4743,7.2641,1.2482,0.2758,4.1451,6.2612,23.0321,4.8058,3.1228,10.7399,15.7088,0.5352,3.7132,0.0
CRI_C19,25.8753,1.5656,0.0472,3.3042,0.0026,23.5001,2.2326,1.02,1.8819,1.1223,3.971,0.1699,2.5864,10.306,1.1526,0.5898,0.1362,0.1455,0.0049,0.0562,0.0094,6.9653,11.4517,2.0613,10.9584,22.0429,20.2614,25.557,9.6313,3.7975,1.0309,11.5847,0.205,1.1898,0.1238,0.9375,2.1721,7.4019,8.3225,2.7771,2.8489,3.0568,0.843,1.9431,0.0
CRI_C20,95.6235,0.1959,0.0127,0.7246,0.001,40.2289,11.5398,0.4816,19.7437,136.9932,275.0949,10.7888,82.6723,5.1165,1.4618,3.0253,1.9227,10.4505,0.3543,0.3037,0.0458,28.5713,0.2871,1.0406,20.8564,16.5436,0.0822,0.107,0.027,0.1905,0.0233,10.8692,0.7265,0.299,0.0226,0.5123,15.0713,3.7943,1.4893,1.5886,2.7567,16.5737,1.037,11.9049,0.0
CRI_C21,3.1399,0.0128,0.0019,0.07,0.0001,1.3043,0.0515,0.0044,0.0196,0.8383,1.7743,2.1335,0.0319,0.1357,0.0036,0.0067,0.0036,0.015,0.0005,0.0004,0.0001,0.7431,0.0353,0.0451,0.3107,0.4046,0.0853,0.1386,0.0609,0.0331,0.0128,0.2678,0.0099,0.2528,0.0141,0.0863,0.013,0.5543,0.0758,0.1744,0.1659,3.7114,0.0202,0.0467,0.0
CRI_C22,2.0078,0.0194,0.0003,0.0141,0.0,9.7805,1.6185,0.0122,1.7586,1.8957,4.6328,0.5039,4.3376,0.1911,0.0848,0.1629,0.2268,0.5537,0.0188,0.0234,0.0025,7.6372,0.0227,0.1761,3.5083,1.3192,0.0851,0.0404,0.0089,0.0413,0.0092,1.5649,0.1135,0.0304,0.0011,0.032,2.0036,0.6594,0.1046,0.1023,0.1085,0.626,0.0166,0.1105,0.0
CRI_C23,0.8084,0.1186,0.0029,0.1897,0.0003,9.1915,0.093,0.2174,0.2628,0.9646,1.8871,1.8552,0.4909,53.1537,2.0689,0.1665,4.4257,1.8407,0.0624,0.5216,0.0793,9.0273,0.2531,1.1779,283.6197,3.6239,0.3146,0.4973,0.2146,0.1376,0.0438,3.6363,0.0258,0.997,0.0495,0.2387,17.7924,2.6585,0.519,1.2477,7.1339,3.608,0.1569,0.4661,0.0
CRI_C24,0.1627,0.0245,0.0014,0.0791,0.0002,0.5432,0.0199,0.0026,0.0835,0.2411,0.0723,0.2068,1.1416,3.3192,22.0598,9.3145,0.1586,27.0043,0.9155,0.6057,0.06,7.7072,0.2823,0.0426,40.0723,0.3758,0.1552,0.3485,0.0233,0.7191,0.0,0.2226,0.0109,0.1701,0.0,0.0,1.0798,0.2164,0.0179,0.042,0.1456,0.0698,0.0092,0.0236,0.0
CRI_C25,2.0784,0.0735,0.0071,0.3557,0.0008,11.561,1.1811,0.7692,0.9149,0.0988,4.819,0.0789,0.9642,2.7965,1.349,4.6563,1.8601,7.5751,0.2568,0.2825,0.0448,19.5227,0.1699,0.3945,25.8412,2.8035,0.73,1.0151,0.1898,0.8919,0.0131,1.682,0.0951,0.1189,0.0489,0.0218,4.8468,0.9667,0.7546,1.3429,1.7222,1.7125,0.1592,4.1016,0.0
CRI_C26,0.8943,0.0502,0.0058,0.1572,0.0008,4.5928,0.999,0.0552,0.7352,0.8673,3.0775,0.5402,0.4417,1.0262,0.1839,0.2759,5.6494,0.6662,0.0226,0.0518,0.009,9.4847,1.0529,0.4244,8.4533,10.1242,0.373,0.4811,0.1651,1.2439,0.3268,4.3583,0.3851,7.6862,3.9025,6.2743,5.645,14.7225,3.6901,1.2991,1.2635,1.2118,0.2541,1.0949,0.0
CRI_C27,0.2663,0.0569,0.0006,0.0227,0.0001,1.357,0.1301,0.0213,0.2631,0.133,0.422,0.044,0.3754,0.1385,0.0382,0.1239,2.2176,7.5154,0.2548,0.0956,0.0154,12.1619,1.1428,0.1687,38.0251,2.2888,0.0563,0.0558,0.0142,0.0526,0.0015,1.7055,0.0183,2.6373,0.006,0.168,2.0089,1.0223,0.0886,0.3071,0.6499,0.2718,0.4548,1.2204,0.0
CRI_C28,0.1615,0.0062,0.0,0.0,0.0,0.3958,0.0844,0.0126,0.1703,0.0983,0.0749,0.0153,0.1375,0.0865,0.0543,0.1197,1.3889,0.1221,0.0041,0.0069,0.0012,1.444,0.1062,0.0673,0.9903,0.3445,0.0013,0.0027,0.0005,0.0355,0.0033,0.0321,0.0242,0.0973,0.0037,0.0331,0.0069,0.105,0.0581,0.0746,0.0267,0.164,0.0015,0.0186,0.0
CRI_C29,0.5327,0.01,0.0065,0.4301,0.0006,0.3663,0.0718,0.0113,0.0186,0.0072,0.0091,0.003,0.0003,0.1451,0.0028,0.0038,0.0012,0.0007,0.0,0.0873,0.002,0.107,0.131,0.0377,1.1821,0.7693,0.6891,0.1262,0.0758,0.3528,0.0053,0.0148,0.007,0.0005,0.0027,0.0232,0.0055,0.2335,0.2032,0.0004,0.0146,0.0609,0.0013,0.0156,0.0
CRI_C30,0.0021,0.0,0.0,0.0,0.0,0.0013,0.0002,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0003,0.0,0.0,0.0011,0.012,0.0008,0.0,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI_C31T33,16.343,0.6946,0.0475,1.5508,0.0036,31.1417,20.0015,1.0707,6.6511,3.9585,9.788,1.6665,8.8824,10.4284,1.7354,2.6723,10.1993,2.3618,0.0801,0.2805,0.0631,75.3025,4.6998,3.2115,33.9905,17.349,0.7845,1.2064,0.4367,3.5621,0.22,11.7146,1.1412,5.1509,0.0709,10.2107,14.0237,18.3167,6.1282,3.3513,4.9513,43.0091,1.438,4.667,0.0
CRI_D,16.9477,1.0359,0.0192,1.2763,0.0009,50.2023,11.8112,1.4885,7.2482,6.4939,6.7408,1.1456,15.2793,13.028,2.2499,2.2294,7.3378,3.2508,0.1102,0.2208,0.0328,13.7254,3.7576,7.5228,5.9007,34.5825,1.6952,0.9441,0.3449,4.5032,0.2251,76.1757,0.9483,13.1926,0.6057,9.0578,9.9084,8.998,4.6663,6.4104,8.176,9.6375,1.7613,10.0799,0.0
CRI_E,15.6526,0.3367,0.0024,0.0679,0.0001,15.5201,1.89,0.2863,4.3246,1.5807,3.869,0.3036,0.5839,0.816,4.5828,0.2234,1.5685,0.1629,0.0055,0.0462,0.0095,2.8646,1.07,27.3975,6.3197,7.1204,0.2747,0.3501,0.0657,0.7815,0.0861,18.8526,0.1492,0.7064,0.0524,1.9994,3.6665,2.118,0.7882,8.7809,2.625,4.8937,0.3008,4.5258,0.0
CRI_F,2.8123,0.0399,0.0271,1.3341,0.0021,10.8509,2.3182,0.4015,2.695,1.7768,6.0017,0.4425,1.1704,1.755,0.4843,0.6811,2.2415,0.8931,0.0303,0.0566,0.0147,3.2893,1.2356,1.96,177.6583,30.9187,0.7925,0.5329,0.1981,2.3722,0.1393,18.9183,0.5149,14.5257,0.4458,5.68,70.7325,6.7474,2.1421,7.2844,11.4603,5.1675,0.2172,25.5445,0.0
CRI_G,167.2743,2.2199,0.1871,10.6081,0.0172,216.2085,43.8939,5.1239,38.694,44.4102,89.6278,6.7883,27.0966,28.4193,5.2641,6.8688,11.5241,9.8634,0.3342,0.8823,0.1431,57.5641,15.4319,10.3149,104.9609,229.2944,47.8877,61.3899,19.0111,7.6665,1.4892,91.9615,3.7267,10.9711,1.0187,5.4801,21.5915,44.476,33.2188,13.5514,12.2176,31.403,3.5783,13.7924,0.0
CRI_H49,9.1831,0.2725,0.0167,0.98,0.0013,19.9517,3.5163,0.4605,5.223,5.7117,11.4279,0.7444,3.3826,4.2373,0.9886,0.7466,1.5032,1.4133,0.0479,0.0911,0.0138,8.8584,1.5393,0.9866,15.2496,9.4903,7.4337,5.5413,1.7069,1.198,0.5489,10.0737,0.5606,2.1349,0.2526,5.5833,1.9996,5.101,5.5667,1.4196,2.6437,2.2418,0.4018,1.5901,0.0
CRI_H50,12.3724,0.2526,0.0131,0.9703,0.001,17.6843,3.8409,0.838,5.598,6.0288,6.8373,0.4589,3.1247,7.0277,1.6988,1.685,2.7654,2.6795,0.0908,0.1061,0.0161,7.887,0.7624,0.4604,8.4347,17.5477,1.694,6.2348,0.6923,7.2211,6.7651,3.4509,0.5359,0.3207,0.0711,0.1777,1.1388,3.0409,1.1581,0.5341,1.7791,1.8884,0.2864,2.1168,0.0
CRI_H51,0.7799,0.0221,0.0003,0.0116,0.0,0.4183,0.2979,0.0407,0.2553,0.2689,0.4495,0.0117,0.1284,0.1109,0.0776,0.0836,0.0205,0.0739,0.0025,0.006,0.0006,0.168,0.0255,0.0208,1.4144,0.0346,0.082,0.0642,0.0116,0.0108,0.01,0.1547,0.0207,0.0115,0.0088,0.0146,0.2588,0.0511,0.0553,0.0112,0.0107,0.0807,0.0007,0.0623,0.0
