V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_A01_02,239.833,0.0052,0,1.7111,0.0311,3547.7946,73.2044,49.6257,29.311,1.7965,24.813,17.0816,2.2873,11.7966,2.1011,6.1183,0.5898,0.3696,2.0218,1.2768,0.1348,20.9785,3.5858,4.6645,22.6083,596.6696,3.0369,0.1955,0.2644,7.9488,0.2189,125.0459,8.8729,1.9689,4.7,5.3086,3.9238,29.6338,19.3222,24.2222,4.4896,74.7918,3.9153,11.9496,0.0
BEL_A03,0.0004,1.5074,0,0.0003,0.0,16.0779,0.0043,0.0019,0.0115,0.0144,0.0218,0.0062,0.0039,0.0174,0.0104,0.0904,0.0091,0.003,0.0078,0.0091,0.0014,0.0031,0.0053,0.0027,0.0227,6.2364,0.0076,0.0038,0.0045,0.0254,0.0031,5.5482,0.026,0.0312,0.0833,0.1178,0.0044,0.0981,3.2557,0.0814,0.0078,0.2516,0.0158,0.1024,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,2.8563,0.0365,0,22.6505,0.2726,18.4849,2.6998,0.3081,13.2277,0.4397,68.396,0.0125,3.494,150.0718,15.6564,0.0282,0.0363,0.1253,0.3157,1.6939,0.0042,40.9899,1.5787,0.0176,252.0104,20.6798,0.0192,0.0,0.0005,11.8439,0.0011,0.0006,0.0054,0.0039,0.0557,0.0045,26.1786,0.03,0.0605,17.9787,0.0229,0.0614,0.7087,0.4953,0.0
BEL_B09,0.2015,0.0227,0,0.6465,0.3821,0.2992,0.008,0.0325,0.3598,19.5801,2.745,0.124,0.0751,1.3136,1.9325,0.5141,0.0009,0.0023,0.0331,0.0205,0.001,0.0033,5.0346,0.2088,12.0027,0.1888,0.8025,0.0609,0.0019,1.1121,0.0004,0.038,0.0025,0.0,0.0062,0.0137,0.508,0.1144,0.1188,0.1656,0.0389,0.0919,0.035,0.034,0.0
BEL_C10T12,1024.2531,0.066,0,0.0646,0.0322,3920.6426,22.5286,2.053,10.9078,7.9288,144.591,2.9648,3.2387,1.8935,3.0522,12.0756,1.0194,1.7693,1.4615,3.0073,0.1736,3.9597,1.9635,0.6722,15.2516,823.8425,1.0817,0.2469,3.0799,4.5439,0.1715,2282.8839,11.4229,1.6446,5.1417,5.8333,2.4246,129.8326,54.4473,86.7778,18.8365,379.4044,65.2017,64.6264,0.0
BEL_C13T15,5.0605,6.6761,0,0.4086,0.0702,56.1616,1149.0298,11.6985,36.1301,19.2486,44.1632,6.2517,38.0631,11.6168,11.1616,12.4713,5.0225,4.9826,9.3982,101.0679,0.9196,106.2245,3.1536,5.4176,86.3177,207.3845,3.8954,0.301,0.5935,18.6692,2.9563,23.7456,4.4478,20.4526,2.9799,4.5255,5.3335,24.9523,12.8735,21.9847,8.7688,63.8911,13.168,123.248,0.0
BEL_C16,7.1687,0.128,0,0.3652,0.0999,48.1073,9.3129,612.2363,10.5332,7.4912,27.5575,2.168,15.3573,14.1267,13.8227,22.2456,2.7031,3.1475,23.7289,12.0499,0.4762,82.721,1.0083,1.9358,538.1995,98.4483,1.603,0.2922,0.2358,74.807,0.2604,2.3193,3.0266,1.186,1.0648,2.3011,70.6369,42.0278,59.8425,9.8929,5.0323,16.7565,2.0052,41.3553,0.0
BEL_C17_18,6.2843,0.1237,0,0.4728,0.1008,441.898,58.5236,35.1343,1320.505,11.0575,91.4761,15.1651,54.9331,24.1657,11.1954,16.4125,13.4197,11.8772,38.2658,16.9908,0.9815,30.815,20.234,11.7309,52.9382,571.7828,9.5268,0.2006,7.0951,77.8055,6.5173,8.8004,672.351,57.0461,16.3319,73.2564,9.096,692.7566,161.3756,271.8376,249.0464,203.2862,95.5019,65.3671,0.0
BEL_C19,250.4605,10.6892,0,5.7444,2.2123,181.1691,85.7555,36.729,82.7755,4344.303,1367.0895,76.0276,118.4915,71.8492,162.32,71.4984,26.0155,20.0856,49.7521,59.166,5.0113,51.2272,230.9045,82.377,470.7999,983.8503,1539.0014,219.2667,274.8397,295.8976,35.7123,55.1035,24.0141,54.4979,76.5607,106.8059,33.1765,378.1618,336.2802,357.0113,149.8823,306.7546,30.0691,87.1123,0.0
