V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_A01_02,1286.1333,0.0382,0.2623,1.0447,0.0058,1870.5664,56.3979,920.2408,265.947,1.3576,6.844,0.9981,26.7142,7.1565,8.2959,5.9407,4.0513,2.7699,6.6196,4.8571,1.4335,16.2833,7.303,5.2933,105.5851,85.6355,12.3084,0.3396,0.7604,8.9477,0.5991,275.3109,2.5137,4.485,10.4676,10.8078,62.0723,13.264,6.1785,18.1588,12.2733,26.9816,4.0673,6.3682,0.0
AUT_A03,0.0,0.6517,0.0,0.0,0.0,2.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0001,0.6808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7023,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.001,0.0,0.0,0.0
AUT_B05_06,1.8688,0.0088,1.9146,0.1783,0.0081,2.6658,0.768,1.2942,2.7284,286.0681,3.1875,0.4093,0.6799,2.9844,89.1109,1.2562,0.8147,0.9556,5.7656,2.4627,0.8557,1.0593,167.5001,0.4265,7.1219,3.0632,5.9086,0.0171,0.2365,0.5727,0.05,1.6208,0.1438,0.3942,0.1058,0.3707,2.8445,0.8502,0.3247,1.4391,0.9688,2.0752,0.2409,0.9717,0.0
AUT_B07_08,6.4098,0.0497,0.0905,30.4142,0.0516,9.8669,0.0,0.8057,58.7862,0.0017,38.7441,0.0897,2.535,239.0488,34.0188,1.4155,0.134,0.2678,1.2432,0.028,0.0506,2.2665,1.1212,6.6802,403.3073,5.3632,3.6341,0.0005,0.0,1.4697,0.1236,4.0602,0.0712,0.0428,0.0,0.0,12.0288,1.0469,2.0177,26.2008,1.6093,1.2148,1.1507,0.4037,0.0
AUT_B09,0.003,0.0,0.0003,0.0176,0.0002,0.0035,0.0,0.0006,0.0301,0.0,0.0139,0.0001,0.0013,0.0668,0.0589,0.0004,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0023,0.001,0.088,0.0023,0.0034,0.0,0.0,0.0006,0.0001,0.0011,0.0,0.0,0.0,0.0,0.0046,0.0002,0.0005,0.0155,0.0008,0.0009,0.0003,0.0,0.0
AUT_C10T12,263.6425,2.2531,0.1291,0.1378,0.0008,1604.8106,59.2717,0.5854,23.1445,0.4674,78.7283,10.7937,2.1612,1.201,6.4921,1.5464,3.9422,0.8987,5.1645,2.8966,0.7278,0.983,3.6333,0.1825,7.6497,79.7713,18.7984,1.1523,15.7821,0.7712,0.0269,1455.4127,2.0205,0.5388,15.3408,26.8507,0.2752,23.0898,1.8614,17.6194,86.3701,311.1636,2.1308,20.417,0.0
AUT_C13T15,5.8951,0.0485,0.1942,0.3832,0.0016,7.3649,333.7705,6.1252,8.5665,1.3268,4.3762,1.9547,24.4899,11.5468,5.108,7.5629,4.7967,7.8622,11.4495,45.5921,1.9456,52.179,3.3652,1.3414,45.092,56.7719,5.2186,0.1212,0.4803,1.579,0.1535,15.2568,1.8813,3.1713,0.7036,5.3961,2.891,8.9816,4.034,8.1348,9.3708,66.3623,5.523,4.3407,0.0
AUT_C16,23.223,0.1712,0.9058,3.8404,0.0187,20.8115,4.4379,1345.2099,73.8721,1.4037,15.0443,1.7773,15.7551,29.0902,19.4588,49.1998,9.8021,19.9071,32.2007,19.5096,6.1832,397.3623,71.9254,5.1389,1099.7505,78.5316,6.0197,0.1371,0.9945,3.7105,1.0515,9.4432,2.0526,6.3404,3.2963,7.5023,65.9004,20.352,5.4108,32.5675,12.4342,19.8024,7.8059,16.4,0.0
AUT_C17_18,11.5058,0.1017,1.3492,3.7401,0.021,323.3462,41.3616,118.0536,1480.5743,4.0192,117.0229,12.5373,38.5042,54.2623,29.0323,35.3166,23.4417,27.0628,68.258,43.8532,12.1718,31.7598,15.7058,15.4565,91.5811,529.2962,35.5797,0.9977,6.6195,26.8075,3.9381,45.6735,397.9504,85.8721,56.51,177.1816,54.3519,784.3155,150.0223,203.6972,32.1007,65.3025,46.4037,226.8133,0.0
AUT_C19,100.9407,0.242,4.8593,19.6872,0.0899,65.339,16.762,35.107,33.8408,7.3095,171.7469,9.5204,41.378,52.4385,229.0077,34.1013,15.1934,19.9728,32.7902,20.1717,3.7722,21.5258,52.8653,31.7116,278.7167,181.5179,339.2419,8.2092,119.2079,27.2622,3.7174,72.484,4.9259,13.3051,13.9984,15.4907,22.2689,44.9643,18.4671,80.6436,57.9133,113.344,13.3245,43.8523,0.0
