V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_C31T33,23.3146,1.0277,4.4115,33.5406,1.1928,63.1807,11.4606,9.5607,6.2616,13.5198,6.332,1.0135,1.3416,1.9024,124.534,90.9087,0.3177,3.5235,15.1017,11.093,0.5683,304.2478,1.3634,5.8076,8.6374,46.5588,9.6588,0.2578,3.7899,8.494,5.0779,5.2317,8.6614,15.0458,22.8566,77.0277,27.0062,43.2011,43.9183,36.0556,9.3349,31.6262,40.3493,16.0799,0.0
ZAF_D,125.1711,3.0886,102.311,418.9098,3.1293,323.1365,62.4633,36.4182,99.3485,736.4905,526.4864,57.9603,70.4981,171.2981,490.5542,138.8137,8.5999,25.1114,60.3192,116.5296,28.7296,47.0495,1433.1545,23.8664,39.9874,161.8023,84.2754,0.3378,2.7222,38.1203,0.6301,70.0496,16.0401,31.5109,28.2495,59.5352,401.0085,208.191,158.3662,29.7107,81.4703,103.5785,147.6793,64.5191,0.0
ZAF_E,36.8124,0.9866,20.5112,123.6631,0.2667,101.6006,2.561,1.5615,4.4175,32.316,7.2933,1.0552,2.9446,4.8053,43.1281,12.007,0.3884,1.4403,3.0888,3.7923,0.9548,25.1964,2.0408,631.5761,5.1717,73.2026,11.4993,0.082,2.043,5.7967,0.0759,5.5142,1.2855,6.2068,2.8492,5.5569,54.1511,18.2816,17.8067,12.401,8.1972,41.0927,16.6195,6.3749,0.0
ZAF_F,395.1297,4.3906,153.8593,614.3012,15.4129,108.9018,11.5167,11.5993,48.7481,2600.4467,53.5579,10.5837,10.6993,12.8824,28.8005,49.3825,6.1626,4.8488,24.7705,19.7068,11.9471,8.988,5.4494,90.6601,552.3856,115.878,298.9915,2.7387,130.9261,173.7953,0.6487,36.0998,65.5535,236.3338,38.9842,63.2573,118.0495,168.7303,153.6292,356.7057,31.532,107.1802,127.3874,74.3223,0.0
ZAF_G,1437.1817,44.1794,390.562,1336.2964,24.4593,2334.4331,338.1489,93.9204,461.8171,1396.4151,1010.8227,123.2777,391.9112,301.185,442.7984,519.2772,84.1066,214.7917,365.9342,2042.5803,141.0709,247.3612,484.4992,126.674,1481.5809,1534.9176,829.7301,32.6266,437.7964,684.6785,132.6983,402.0965,154.0946,1660.6521,331.8762,123.606,561.9123,516.4483,532.1644,811.7907,142.2656,388.0024,582.6987,510.8718,0.0
ZAF_H49,657.7976,13.5912,164.2596,375.6602,5.764,721.5092,77.0362,75.0131,129.3164,618.6793,296.5949,32.0009,113.7177,209.2237,170.2024,190.251,21.2681,57.7076,117.245,341.435,24.3789,95.9123,166.6977,41.3245,328.1624,441.9837,226.0478,5.2649,66.4363,197.7626,37.2576,44.0539,44.5308,296.7604,60.8344,32.8444,89.3309,115.0121,118.1871,461.6338,17.5088,55.5101,96.517,112.2028,0.0
ZAF_H50,0.0051,0.0021,0.0048,0.0099,0.0027,0.2887,0.2105,0.0023,0.0499,0.5431,0.3864,0.0817,0.2419,0.0026,0.4006,0.4223,0.2747,0.4379,0.6997,4.5618,0.2495,0.2513,0.0529,0.0229,2.1227,0.0668,0.0022,0.0022,0.0028,0.002,0.0023,0.0116,0.0724,0.003,0.1728,0.0079,2.9748,0.1552,0.1383,0.0023,0.444,0.7462,0.6457,0.3624,0.0
ZAF_H51,105.4327,3.3865,52.0653,79.2485,2.203,137.9329,19.7392,11.6824,19.7157,152.4497,57.6541,14.076,22.4422,34.083,26.3352,37.0922,9.4754,14.1501,36.959,60.2761,6.8567,26.8989,40.7656,9.3472,36.4372,80.442,42.1928,1.7877,79.2567,111.3405,11.8803,9.84,16.0801,76.3129,16.0487,29.6086,14.5436,28.5004,41.662,309.1311,3.707,11.8859,22.161,27.9644,0.0
ZAF_H52,108.7502,15.2104,947.0175,740.3485,115.9096,287.7388,38.0074,24.1286,92.9072,1570.328,223.538,36.5368,41.8035,60.6361,81.5746,127.4221,14.1752,37.7593,84.5856,160.4853,13.704,48.2931,128.9008,49.7047,331.998,600.7497,201.1716,3.0566,132.6757,170.2897,5.6373,197.499,75.1045,528.6651,71.9251,12.1161,154.8702,184.473,166.5224,292.9595,14.4922,38.1522,237.1661,312.1757,0.0
ZAF_H53,0.2961,0.1995,10.3199,24.1072,1.1145,57.699,13.7608,9.8784,21.7532,63.7067,9.2988,2.4674,8.5121,22.3252,4.3762,17.2339,8.0663,9.681,21.7091,28.3879,3.802,7.2268,35.0368,7.9866,20.2499,212.2124,15.9915,0.0254,1.5541,38.1253,3.7397,22.6385,38.6301,82.8535,17.5977,12.7155,32.9036,93.0342,62.6956,16.282,33.6649,53.047,92.9118,18.3803,0.0
