V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_C23,422.1649,0.3771,25.2115,121.9998,6.4913,757.1174,162.6094,368.6285,84.099,82.7481,684.7966,123.9317,348.0526,4021.6839,796.332,609.3951,667.0247,693.7716,657.1881,1911.3379,63.4564,445.5349,645.8351,81.5852,14244.4816,304.6111,76.2654,4.6636,4.1301,94.9583,7.9212,128.8382,9.7151,174.7843,12.0273,31.8062,83.8336,143.8291,65.5292,246.1351,33.286,142.4507,56.3069,236.2568,0.0
DEU_C24,47.6556,0.0,77.2052,18.883,9.9939,109.0879,16.4972,29.1534,81.9758,31.9548,940.1806,22.6792,352.0672,103.3013,17662.4019,10191.4106,1013.9748,3387.7014,6002.7724,7636.6235,888.9528,1557.3678,339.0992,80.8311,1181.5436,469.853,176.1369,0.4296,0.9407,82.544,5.62,0.6932,6.8881,27.8111,0.5511,0.0,2.4327,98.1331,31.0995,49.0025,1.6144,0.6769,2.8762,5.0048,0.0
DEU_C25,316.0842,5.3456,221.8552,78.6153,12.4578,1286.7235,231.1272,323.3107,169.1344,320.3497,1280.8447,180.6319,734.4873,254.3219,1147.7812,13715.0929,2003.2722,3079.1607,11639.5834,13343.4262,1544.8141,3570.8084,683.5948,928.4357,9266.0264,1694.2766,375.2003,18.624,21.8646,533.1526,28.4185,154.7696,70.7082,144.6948,60.1446,84.2843,222.9737,235.62,232.1572,554.9753,107.0803,304.1936,40.9737,105.4598,0.0
DEU_C26,49.821,0.7131,21.838,34.5543,2.0315,352.4555,77.8232,53.2474,183.6204,229.9559,385.5714,108.7879,164.2529,101.3066,272.3101,321.8314,5984.4712,2154.7044,2090.9129,967.6165,187.8498,658.4042,382.2809,142.7092,553.3337,995.0379,123.2283,12.6054,31.387,150.3817,71.2404,98.8598,286.1225,1450.4967,449.9761,261.7422,108.1347,449.2511,131.0056,684.5141,248.9066,2218.6526,242.0037,157.4282,0.0
DEU_C27,113.2494,0.321,82.3633,54.5562,3.585,305.7014,81.962,41.6987,140.2417,145.1443,435.0352,59.003,239.631,178.9048,677.6354,651.4522,1960.7723,16699.9987,7669.3605,8447.4643,414.5967,1296.4146,3045.9753,178.4719,9989.5671,1313.698,460.1884,12.53,34.3622,492.0213,54.4676,165.2776,80.5604,458.7686,137.1178,121.2216,192.6807,224.8567,222.8232,249.9067,82.7328,488.3038,73.9325,80.5317,0.0
DEU_C28,918.8798,1.5841,408.8892,173.2824,17.1649,1067.0243,268.693,96.3235,613.3054,257.6654,1277.5558,109.1991,1105.7783,616.91,1432.5402,2524.0444,769.059,1309.3105,23567.5028,6748.1534,1069.2396,2094.3882,1038.8904,554.9301,2750.9326,972.1597,349.2578,77.9438,63.1837,186.0922,26.6084,214.9608,112.328,218.901,92.6039,114.2998,801.6212,236.0159,81.1335,1747.8041,44.2077,380.5176,18.6852,143.9934,0.0
DEU_C29,258.9905,0.3823,23.2955,25.0861,2.814,188.8574,47.8042,29.4303,57.3792,58.9661,430.66,323.7032,278.6704,217.359,256.6107,603.3892,320.5295,769.8132,2283.2082,71985.8605,137.1867,1587.8377,216.9534,316.6309,678.4242,3581.3982,1219.7497,4.0573,3.1642,727.6433,21.0233,34.1211,31.3226,65.6758,31.2221,106.0823,119.4604,339.3933,173.1295,435.222,83.9851,141.6041,25.7005,19.898,0.0
DEU_C30,10.1295,5.0386,0.0,0.8456,0.2036,0.8289,0.531,1.4988,0.1891,2.0751,0.0,0.0,6.739,0.0,4.999,14.1596,1.2415,79.0137,18.5149,174.9742,3349.5603,1028.158,3.7478,0.8759,4.8599,6.0827,277.656,4.1531,1402.0232,3.7409,0.0,0.8043,0.4016,0.0,0.0,0.0,0.0,53.7545,58.833,2534.9609,0.0,3.9846,14.8823,0.0,0.0
DEU_C31T33,90.1012,0.9219,228.4105,424.6647,13.6713,812.275,215.9218,116.0479,369.989,123.5729,1058.456,95.801,336.3344,373.9044,1719.336,1487.1507,824.4347,596.1908,2417.645,3794.3833,705.7585,3433.2308,1161.5105,88.9577,566.3349,543.273,634.7033,100.1041,349.8798,132.9822,15.924,128.1874,444.4101,701.755,79.9875,133.2904,722.0233,262.9541,183.3875,278.07,122.7349,775.5146,83.4199,120.635,0.0
DEU_D,951.7965,5.3149,351.0184,353.0072,17.0802,3287.8801,758.342,624.5399,2185.3659,517.4294,2700.8551,188.7887,1563.584,1450.9277,3617.6614,2216.703,735.227,1285.6349,1973.0493,3058.757,240.5045,890.6889,12797.5377,932.053,974.1015,5516.7217,1530.9552,18.6502,26.8726,830.6608,187.0795,1439.4271,468.8539,763.9691,176.1065,1386.147,1778.514,1685.069,814.6226,1640.9784,1682.4752,2980.7798,562.7178,1192.9005,0.0
DEU_E,485.7292,2.2937,66.948,84.7457,2.9241,1200.7202,123.6865,151.9271,1719.4511,147.6882,2226.3094,263.5974,704.6252,508.2081,2516.8173,498.4604,138.842,171.8623,643.6038,719.863,35.2536,140.7414,483.1997,3947.5347,641.7109,4240.9485,280.6093,3.7644,7.9346,368.2604,38.9109,794.9824,193.023,131.6118,76.4174,312.6198,1749.7813,726.6784,245.8086,2198.3346,400.6699,2366.5912,267.4384,452.0057,0.0
DEU_F,295.1897,4.3854,90.8461,99.7472,12.1942,714.046,132.7356,129.4366,252.4121,175.2063,630.3635,154.7874,236.1366,418.8715,766.0011,550.6156,318.915,523.7102,998.0329,1096.6922,113.7553,351.837,1464.7618,762.6064,7772.6111,1910.7227,605.0763,38.2186,45.2755,1086.2598,188.221,577.8937,327.7169,663.1714,184.0299,898.1786,22657.1948,1427.8081,640.9011,2883.0949,951.336,2954.7867,355.6239,553.4814,0.0
DEU_G,2841.9934,26.1454,198.8807,265.9474,24.5662,18174.8001,3928.7738,1656.8327,3053.943,7373.7376,6078.3834,3123.7429,3698.5518,2041.3898,3517.7952,4299.8082,3964.4076,4878.5507,7838.4177,14746.1335,918.7862,5024.7594,3070.4572,1170.1849,9574.6952,17468.1808,3379.1827,286.3336,712.9651,4525.3769,475.8785,5119.5564,1215.0136,1186.4718,404.6044,845.5703,603.9673,2545.1484,1864.6408,3225.4989,913.9723,5992.0046,580.9431,748.9567,0.0
DEU_H49,448.7196,3.3191,104.5645,208.3489,10.4609,3164.1286,347.8392,418.4354,822.8725,2940.5581,1540.8076,263.4174,835.3804,1222.9024,1645.9126,1007.4426,759.2806,826.544,1875.6112,3427.0771,195.2698,961.3782,1420.0962,165.9602,2052.1167,6953.4784,2158.0592,425.3601,442.4193,6631.597,196.9421,521.4484,275.8614,129.1084,61.7926,132.2281,108.2154,267.2539,378.9734,602.889,862.4449,625.1897,64.3843,181.0051,0.0
DEU_H50,21.3132,0.1258,2.574,1.0422,0.1749,136.3967,23.2222,17.1928,36.116,197.8071,39.8558,19.268,41.5805,29.8103,40.0428,47.3356,39.3396,51.0751,84.2479,123.8742,23.8109,42.5368,15.4025,7.2664,109.3098,152.9912,58.8029,27.5884,39.8885,78.7651,14.3368,29.1621,7.4187,9.8115,2.7073,4.1894,8.4851,16.4702,7.7744,25.2439,10.4186,45.2043,4.6105,7.4843,0.0
DEU_H51,30.0233,0.3953,17.5241,10.4958,0.5581,216.3648,40.6254,27.6626,64.4484,266.9,149.9618,32.3903,73.953,52.829,119.7454,109.0357,156.4327,98.5727,237.0722,323.5905,43.6952,74.992,74.1743,21.4843,145.5441,198.7308,56.9883,16.8989,28.0054,132.4936,51.1653,38.2191,53.7738,38.9411,87.6277,125.2398,15.4216,157.638,70.5794,174.2764,18.9412,81.8953,29.9622,30.812,0.0
DEU_H52,163.976,3.0483,24.5681,64.1037,18.2167,3858.5468,172.626,242.7414,309.2588,2496.6303,1041.9387,118.1455,760.1743,647.5045,586.3078,576.9903,1031.5654,663.4149,2607.5195,4089.9677,81.4314,771.1007,428.1852,84.5698,1148.1024,23342.1546,10981.2751,5981.591,5135.2755,16183.4263,2633.1467,377.5516,70.6116,201.4698,30.6825,91.4733,88.8004,215.3013,351.0635,178.2064,80.205,194.0045,19.8568,45.849,0.0
DEU_H53,16.9909,0.3733,30.858,11.356,0.9777,237.6632,51.1461,11.9521,89.2602,94.224,426.6198,103.1954,119.2121,39.0451,108.806,250.0723,276.546,348.5735,575.7794,401.882,40.0966,156.4342,285.6181,138.4368,79.5056,6238.5465,324.6935,2.6117,19.7521,246.3311,5652.165,319.6553,383.227,6512.6658,48.8447,1214.986,80.5466,1007.7046,327.2435,1485.5027,43.5314,534.7864,167.9233,203.4088,0.0
DEU_I,14.0674,0.9364,26.0345,3.924,3.4602,121.1082,29.0724,13.8152,62.2728,90.074,186.327,14.6784,126.9221,35.4288,61.4236,200.7836,239.3999,172.8741,246.592,436.6061,21.6377,118.5604,68.3431,43.1189,336.7074,1292.147,486.4528,3.4548,854.451,567.4417,11.9882,80.6812,325.9075,186.2162,76.936,852.2397,23.3083,528.8316,377.3894,1100.1621,103.5609,298.8425,245.762,324.3423,0.0
DEU_J58T60,21.5059,0.0486,1.9032,6.3777,0.5567,471.2706,23.3311,7.15,84.4192,73.4787,207.226,48.1845,48.8301,42.7345,50.1705,98.7736,131.8944,107.4756,179.6204,404.6361,25.5899,93.1775,221.5855,76.0463,107.3794,1596.2099,124.9832,3.2383,7.24,121.0555,31.5854,582.2157,5912.5113,190.4112,94.8675,415.858,289.3427,10595.742,1955.4067,499.858,531.1652,720.0141,185.2149,214.0913,0.0
DEU_J61,86.602,0.6892,58.6998,22.338,4.4238,491.1607,96.9441,98.2113,235.5579,290.7423,514.4609,97.0575,345.9001,204.172,211.6084,600.2659,513.0072,594.3977,1038.457,997.6014,76.6435,219.2534,311.1253,272.7324,800.9748,4843.2961,388.0757,36.038,95.4161,1118.611,1122.5449,635.6073,2270.3924,15513.3037,285.9105,2621.6143,1042.8573,2223.4305,1015.8285,1709.5108,241.9386,1161.5185,452.4887,656.4654,0.0
DEU_J62_63,16.8678,1.1679,27.7546,11.0981,2.2173,270.412,38.83,40.5284,150.1441,176.1892,787.6062,185.061,215.13,150.3739,381.9111,913.3813,997.1989,678.9094,1274.763,1553.802,186.898,410.3496,438.7903,1027.8971,216.8545,2754.6092,1100.9596,13.8086,100.6276,2208.0768,612.4887,46.2215,740.036,2892.6119,10565.102,4440.3036,554.7904,3639.9199,840.4904,2151.4693,872.6972,2097.0058,113.0537,338.8675,0.0
DEU_K,1128.8785,1.7474,104.6807,108.1312,16.8263,2128.2158,232.0011,369.0288,791.9121,828.6327,1571.9636,250.5801,824.1654,513.8313,841.2407,1273.3768,886.8484,1190.937,2008.4797,2881.7677,233.3297,793.7332,1869.5652,950.1414,5019.1934,8958.604,3706.9755,99.0032,196.017,2754.7867,350.6347,1799.0302,790.3016,1311.2498,1142.7655,62159.8065,36132.0341,4997.2047,3555.6341,6092.7514,1431.9099,4070.1815,512.0613,3594.8671,0.0
DEU_L,264.6262,1.5232,140.6653,98.4512,4.0434,2477.9725,321.1276,315.2875,998.5313,845.9842,1951.4428,404.6557,858.7944,577.0063,835.2969,2039.0423,1703.6468,1745.2408,3066.6592,5143.732,346.1705,1164.4694,1324.5761,1343.0301,9910.8589,24650.3249,1510.487,33.649,111.8231,3406.3398,668.6296,3888.1328,1413.7476,6259.5323,8290.5656,9915.8327,12497.8187,10027.2866,2600.1057,4100.2708,1129.5909,5447.7852,524.7619,1093.4371,0.0
DEU_M,1901.4782,1.9179,435.4915,375.563,47.1623,9975.6032,631.3327,507.191,1867.0813,1943.5756,9938.4235,3086.2511,3101.8424,2061.9789,2562.8927,2680.0991,4759.252,5753.8817,9523.8279,11103.904,1155.0494,4143.128,3844.5127,4280.4703,6211.01,17363.3115,2161.7819,36.936,128.9128,2138.8593,393.6407,1957.0627,3054.8806,2663.3905,1334.4103,25497.1821,9217.7448,38424.4327,8516.2272,5098.5393,1115.7582,5469.0573,658.9098,1111.616,0.0
DEU_N,2972.9213,2.7531,253.0372,284.105,43.8263,5410.9608,310.7277,637.7838,2184.6408,867.3997,3436.0524,508.5786,1631.6671,1316.8123,1540.1484,2050.5416,2321.4753,2414.2763,4141.7337,5215.191,338.213,1588.7403,3450.2592,2417.3581,7080.6067,13053.0764,3662.4868,1122.8903,2291.1337,4051.8308,754.1452,1283.2929,1757.7502,1882.3285,1233.8465,10315.7047,5180.07,10851.6339,35957.2171,2889.5302,964.8151,6209.5583,816.9527,1844.9199,0.0
DEU_O,170.9266,0.9241,96.7814,67.9649,1.3471,705.2838,76.5245,98.7503,236.9006,133.4088,670.3111,103.7916,267.8432,237.2573,267.3586,291.9237,215.9739,307.0507,317.5385,694.1154,49.471,191.7943,5128.1835,447.3402,1362.8729,933.1716,349.5589,14.161,22.2777,269.8625,33.6538,273.593,154.0285,129.9476,108.045,268.0644,2036.5743,1132.0069,332.6746,3253.7594,173.6141,759.5501,91.132,483.3015,0.0
DEU_P,45.7343,0.942,21.853,7.3887,0.3243,238.3667,38.4654,38.5555,31.4761,115.7542,277.5914,60.7484,77.6434,40.5141,157.4791,139.4771,148.0097,163.7867,276.7236,916.0265,61.2739,138.2931,129.4223,49.628,314.6898,686.0762,249.3733,7.4454,73.2593,224.0133,73.7997,118.9612,64.123,85.3781,1221.6843,417.156,625.8794,2729.2608,233.4918,1375.0707,9454.7165,280.3174,97.9367,253.2238,0.0
DEU_Q,212.2166,0.0031,0.5012,0.8865,0.3911,13.2988,0.3047,0.2165,1.1853,2.9815,43.8908,1.7216,14.8029,0.9362,10.914,5.551,6.9443,6.7451,16.3197,60.4934,1.5696,13.4918,3.8487,2.6029,2.2713,100.5187,2.9776,0.2224,0.8694,3.6871,0.9879,56.9011,10.5153,5.9412,16.8067,16.3474,2.2087,14.5321,5.0453,157.4405,113.626,4867.4515,132.8444,253.2198,0.0
DEU_R,10.7248,0.1016,1.6918,2.6641,0.2536,387.002,17.2781,9.3428,65.9437,7.0336,73.5883,36.6138,10.2579,3.98,12.9005,7.8218,9.7402,14.5318,32.3138,333.7993,5.8051,15.2212,129.8442,95.9197,35.4746,48.2638,6.5043,0.717,3.2833,7.8253,24.4721,397.1671,5094.5065,176.0121,7.1104,155.8585,48.0846,888.6021,266.89,1133.2023,252.186,112.6962,9000.695,216.4302,0.0
DEU_S,191.8336,2.2818,50.5961,47.9919,0.9281,650.6008,92.2611,137.4997,289.3757,236.0493,686.009,146.0961,167.5623,165.4205,281.8115,291.023,394.1006,358.6278,443.2383,1634.1066,48.1656,206.2399,532.8192,811.7922,1006.9011,3457.2607,439.1235,8.4619,11.8868,1790.267,26.8506,918.8875,427.6141,640.8941,394.1813,1719.1953,487.6205,5003.0162,2560.6387,1253.1435,284.8167,2632.0263,1066.1073,11601.4184,0.0
DEU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
