V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_A01_02,1458.276,0.4871,20.8728,13.4561,0.298,20461.3642,121.2406,1618.4033,472.2418,31.4485,93.4529,20.2466,209.3002,13.9952,14.4137,32.7146,12.634,10.9387,25.4238,53.9604,2.4762,33.1453,25.5808,15.0725,77.4405,363.5455,32.4423,18.3061,7.2885,52.9186,2.1801,585.9655,7.5256,8.5175,8.4636,20.9065,406.1425,25.4762,93.0736,506.5775,39.8798,491.0995,61.0236,32.1629,0.0
DEU_A03,0.0,10.6083,0.0,0.0,0.0,80.2899,0.0,0.0,0.3354,0.0,0.2271,0.0285,0.0,0.0,0.0,0.0,0.0,0.3345,0.3422,0.3142,0.0,1.6877,0.0,0.0,0.2998,1.7545,0.0,0.3927,0.0,0.0,0.0,21.1559,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.2538,0.0,9.809,2.073,0.0048,0.0
DEU_B05_06,31.3686,0.0757,77.9599,13.2646,1.1346,104.4122,21.5972,12.4978,102.6223,2018.1977,202.4479,9.728,25.9066,109.672,221.9672,39.8579,10.2336,16.5917,41.9501,46.3754,4.663,15.9537,2507.6694,27.8127,18.6531,95.8446,15.5654,4.0637,2.0016,8.8129,2.5727,20.257,5.9997,7.2874,5.4824,18.6594,11.0542,22.1251,14.3218,43.9072,22.2006,52.1726,6.0815,11.9887,0.0
DEU_B07_08,248.9274,1.4197,2.4227,541.0494,4.5026,47.6758,6.3652,11.3681,40.508,32.7784,45.3481,6.2832,12.1316,1906.7098,25.3735,16.2961,17.4381,15.6051,27.5477,43.002,2.4299,53.2155,82.5867,75.8814,1674.2826,26.4958,33.4778,0.3022,0.5698,3.3617,1.1083,5.9272,1.6488,5.2382,3.2743,1.7242,2.2048,4.1935,1.3987,275.8116,3.0563,7.4113,1.5792,7.1364,0.0
DEU_B09,0.9027,0.0499,17.385,9.0854,2.6345,1.5575,0.0327,0.1896,2.7734,34.0444,10.2682,0.6403,0.7644,8.83,5.9863,3.3265,0.012,0.0407,0.5637,0.2008,0.0136,0.0373,39.8869,1.1423,47.5111,0.825,2.7755,0.1517,0.0094,3.9095,0.0021,0.1896,0.0128,0.0,0.0296,0.0827,6.3164,0.6013,1.841,0.7325,0.1458,0.5877,0.3341,0.309,0.0
DEU_C10T12,2557.4958,0.1761,6.5758,12.0749,0.4389,19633.8069,71.8281,18.2625,41.7486,125.7895,989.123,119.6048,44.2372,25.7277,46.8533,65.2994,70.2511,66.3165,124.4697,114.1279,23.0815,45.6994,28.4504,7.6905,182.6345,442.5911,10.0957,69.1148,24.8908,7.9551,2.2443,9796.8616,30.6555,8.3837,2.4362,10.4049,3.9425,137.6893,12.4018,821.6582,251.2858,4639.7865,98.358,131.5058,0.0
DEU_C13T15,27.6851,15.8465,2.3056,2.3905,0.4093,60.0634,2422.1938,14.4633,26.8595,31.4272,68.0976,49.6916,264.9931,13.9117,21.6661,79.3926,57.2651,70.559,127.6466,441.1164,40.3413,408.5852,21.7739,10.5418,221.8671,189.835,11.8216,3.1957,3.7933,13.9025,21.1625,77.121,13.0728,7.7075,15.563,17.3161,4.66,20.5438,33.2657,59.2669,8.4225,198.7307,46.2617,19.846,0.0
DEU_C16,80.7608,0.6753,13.4872,12.3211,1.0307,285.8946,40.1284,4115.641,308.718,34.1763,238.1211,14.9371,140.7542,81.7877,85.1477,461.1073,116.1344,125.7065,462.774,499.485,227.4725,2699.3225,145.208,106.1256,4256.4429,234.9504,18.9968,0.923,1.7064,40.2244,10.0728,59.545,13.2882,45.7707,5.7931,17.6182,337.8654,57.9239,32.3522,195.1324,150.9832,71.3008,32.4,704.6608,0.0
DEU_C17_18,84.5357,3.758,16.5654,84.7875,1.0173,2901.5368,562.7398,185.7075,11972.4409,178.1141,1419.9295,256.8613,532.1646,245.531,357.3812,521.2427,670.0671,537.572,996.9303,1010.5818,65.0379,815.2499,187.2712,148.6285,524.2408,5448.505,211.0773,7.0924,15.2643,298.5718,546.5183,379.6375,4568.0297,887.7061,106.8082,882.4885,108.0879,1843.912,729.6241,734.3095,404.6782,451.4039,58.4891,148.9687,0.0
DEU_C19,1062.8309,6.815,22.9444,86.9701,16.7464,1066.5846,203.1487,232.318,266.753,5441.2829,2489.1395,125.1759,915.6032,360.2855,1623.0804,442.8611,266.8332,316.8548,525.6792,745.5093,73.3208,292.6567,1038.3063,362.4196,1908.671,2682.6532,2598.5943,459.3709,2037.8903,1763.3164,288.7037,215.2424,292.747,133.4968,108.599,190.9103,130.7936,838.2668,528.5387,1087.5569,798.2716,840.1104,246.8559,404.1488,0.0
DEU_C20,2146.763,1.4338,37.0743,66.6369,7.2403,1648.6839,1868.9997,1564.1597,2192.969,1218.8775,12401.4058,794.8621,8169.2744,1020.8573,3145.5709,1321.906,1236.785,944.2387,1714.8003,3486.0407,174.041,912.1541,270.7873,273.6303,2551.9674,1086.3844,165.0105,23.4442,54.5504,129.5581,45.9713,186.5841,117.0242,87.4273,158.8101,226.7652,141.6187,840.2448,536.1122,413.9168,185.3858,3180.9189,89.2682,352.8945,0.0
DEU_C21,100.4945,0.219,3.3564,4.4178,0.5152,254.0775,69.9008,39.7951,68.0591,39.6087,823.4292,4825.8415,194.203,32.7548,88.4218,51.5284,58.6394,59.7239,84.4185,173.0033,18.8993,85.1003,31.0666,33.5591,112.4997,88.672,18.2878,1.8687,5.6998,32.4869,4.3532,71.8252,22.5933,24.7668,16.2259,59.2507,52.1595,212.0986,85.889,45.479,16.1849,1811.6578,22.5636,147.2265,0.0
DEU_C22,208.1264,1.4546,39.7736,18.8327,4.5767,1867.8369,313.401,145.3296,802.4671,182.0913,1263.7193,265.1103,4310.4194,332.2601,199.8741,1146.1151,899.9123,1101.7646,4257.9328,8994.8198,227.8325,1658.9821,258.1192,260.4119,7226.3397,2429.3588,286.8722,6.178,12.5812,236.3476,31.7349,133.1562,34.9588,89.5922,19.6027,37.952,51.2554,307.7535,200.89,364.202,42.8465,323.589,34.2026,90.1802,0.0
