V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_A01_02,5750.6561,496.9847,14.252,33.9162,0.9127,12925.8927,433.8752,1092.3356,6.4856,2.1405,84.2866,43.5548,71.0245,4.2699,2.2578,6.5478,0.958,0.8485,1.1631,3.1138,2.7401,2.5789,3.4556,46.3944,589.7152,1068.5094,34.3162,19.6399,7.0198,39.8302,6.3953,597.453,27.3535,20.7729,12.9519,31.8348,119.855,90.6095,121.4761,102.6343,101.0908,94.1986,191.8453,311.6673,0
AUS_A03,41.8153,95.4516,0.0,0.0,0.0,1161.3666,44.8347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9499,0.0,0.0,0.0,959.459,0.0,0.0,0.0,0.0,0.0,794.6226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6435,0.0,0.0,26.723,0.0,0
AUS_B05_06,71.6419,8.0829,636.8382,715.0624,66.6447,256.7457,27.8722,23.9157,120.0193,6189.5469,178.2159,11.6545,24.0962,228.8496,1203.0919,240.4682,4.7391,4.8655,7.6752,16.495,21.2229,6.6547,3432.286,14.0503,431.5103,1224.338,72.4175,9.146,7.6441,84.8474,67.7247,178.9713,10.9419,26.9359,5.7983,23.9148,66.9004,66.4981,36.5293,54.5661,28.4109,73.2513,18.0431,24.6694,0
AUS_B07_08,31.611,4.4252,142.4924,173.2086,4.0591,133.053,4.5514,10.4653,6.9122,6.9946,227.2046,31.9083,6.9146,1146.0954,12469.6004,39.7014,3.8931,5.1237,6.2096,4.4357,3.8203,22.2882,40.711,45.9957,1385.1725,123.6159,34.6828,5.9539,3.9287,27.6385,6.7623,17.1932,5.6404,13.155,8.1588,7.8245,75.536,26.0487,21.8249,34.3191,8.364,19.346,33.3073,11.7057,0
AUS_B09,21.2211,1.7592,2104.3288,2334.3714,44.6372,16.466,0.9251,2.5992,8.8726,1.4667,8.6555,2.9514,3.7573,4.8329,3.1479,9.8279,0.9555,0.8597,1.1859,3.5864,2.9315,0.7641,3.6505,6.213,227.9558,90.0598,16.6316,12.2447,20.6131,46.1138,3.4193,2.7073,1.7327,13.4711,6.015,6.8046,15.3696,21.4046,16.7705,12.9064,5.6301,8.4324,3.156,3.4946,0
AUS_C10T12,994.5403,176.6772,29.3699,39.5618,11.6674,6124.5195,163.4859,12.59,24.4214,28.0248,117.9281,51.7912,34.0331,17.016,12.9026,24.3216,12.5184,10.7313,17.5411,16.7336,15.2676,11.5487,19.8355,43.4974,154.0706,1069.9209,25.2253,10.9181,26.4673,24.113,16.8769,6635.375,12.8672,14.6975,8.3152,81.7659,30.7135,142.3982,107.1726,195.2028,216.9488,588.5007,551.8571,130.2812,0
AUS_C13T15,15.8674,21.4659,12.3459,12.0243,0.7994,63.9631,570.256,7.3181,26.5498,1.1256,20.6194,7.9007,27.3925,19.0336,7.6394,32.1748,7.2975,4.472,6.3448,36.534,30.5923,30.7618,2.5754,12.9755,228.915,182.2951,27.4386,9.2957,10.3743,10.645,9.7391,26.851,2.7701,15.2327,0.0,1.1591,4.6381,28.1277,35.1846,72.6692,66.0952,210.833,63.2433,113.5203,0
AUS_C16,32.121,6.5986,11.662,16.4924,1.2884,16.2022,7.6427,953.2266,254.6283,7.6035,4.9896,1.4936,18.4614,15.2716,7.9376,68.7624,5.1314,5.8965,8.5988,41.0988,56.1678,224.9307,2.8261,34.402,5147.7961,105.8119,31.5204,5.16,2.1368,84.3185,6.5597,18.3863,5.3109,2.2592,1.1579,5.7834,5.3237,5.0337,5.7673,22.7573,84.0578,11.5224,33.7212,20.0741,0
AUS_C17_18,51.4595,9.5552,26.6669,30.8286,13.1458,673.3341,79.4569,44.4058,1567.5634,10.394,132.5621,71.2776,88.5775,77.8271,15.1214,62.3986,32.2319,27.0841,31.7207,41.2384,34.0078,16.102,22.177,44.4892,347.8989,1979.3089,57.273,20.9446,39.4019,24.1506,67.1222,203.6372,1580.7109,263.3479,171.9337,856.7572,86.3319,421.3938,185.2122,423.8378,452.3863,398.7051,205.5835,159.5655,0
AUS_C19,475.9114,214.3235,413.3726,705.6225,80.9391,68.8856,6.9595,47.1241,37.3361,335.6293,373.5427,42.2077,151.2245,54.9524,205.7392,98.6164,4.478,6.1446,8.5916,45.6634,48.7569,11.9244,48.9068,99.1901,1745.8188,398.0248,1243.9128,240.8262,1154.0761,89.1899,207.8149,52.4955,16.4427,303.4273,3.389,66.238,27.6712,153.0567,62.4605,258.3236,31.3117,128.4041,38.2619,55.003,0
AUS_C20,995.3826,97.2608,133.2945,194.3646,12.4042,82.4295,24.6327,63.9398,208.959,115.0557,1241.4179,196.1853,1158.0267,173.1049,32.5682,73.7109,35.1928,44.9911,30.0349,62.2852,50.1696,17.2046,12.6692,200.0606,909.3322,339.9299,36.9903,5.1751,8.5716,32.8321,3.5248,74.2608,15.475,0.804,0.0,0.5925,66.3528,127.647,163.2961,70.2783,71.045,319.3745,101.8934,264.5134,0
AUS_C21,236.6878,1.3196,9.205,12.4977,2.2025,8.997,0.0,1.4854,15.8355,1.2779,30.405,204.9481,2.1269,4.1724,4.0773,6.8006,0.7221,0.3851,0.6248,0.84,0.7919,0.6318,0.1749,0.0,14.2192,77.249,0.7232,2.0237,0.0,0.0,0.0,1.063,0.5791,0.0,0.0,0.0,0.306,9.7402,4.9349,1.9158,19.392,245.2647,141.4107,9.8255,0
AUS_C22,118.2354,40.8193,59.4866,75.5283,11.2243,567.6292,57.9547,116.9178,407.3438,31.0703,332.3512,109.5456,360.7101,79.1338,21.3638,95.2017,72.5826,84.1736,95.3167,282.6159,160.7165,81.9924,11.7513,99.1908,2067.0146,686.764,154.3811,10.6363,48.4662,58.563,55.9605,69.5239,24.3172,14.6938,3.2069,6.6911,143.7822,82.647,65.5695,165.3671,58.7591,127.9383,41.645,126.6424,0
AUS_C23,28.8384,8.4783,31.2253,41.3137,10.0068,194.9496,3.5135,101.8718,13.1179,8.5309,78.3708,38.0513,49.9383,784.47,55.7356,249.2299,14.9304,15.2405,18.9784,114.6152,87.2372,26.1625,17.1843,137.2148,5948.1156,207.2555,13.4959,2.6085,2.0804,10.6933,4.1633,78.4878,3.1929,3.9495,2.3547,5.0014,64.8766,32.8723,13.8213,21.1423,51.6639,103.9339,15.2873,88.1436,0
AUS_C24,0.0513,0.3452,120.7424,78.3618,55.5793,29.6898,11.8713,39.0208,26.5109,13.3245,21.7676,3.3075,42.9416,57.1064,4053.1132,3865.3045,278.7186,732.2189,851.5077,783.5592,422.3614,168.9675,9.0089,32.8774,1658.0497,1481.2278,9.0217,0.7448,0.0,1.0403,1.6601,31.8054,0.7104,0.0,0.0,0.0,81.6686,18.4653,6.319,24.1842,4.405,30.0846,6.3682,42.9023,0
AUS_C25,104.4282,85.7611,452.1262,419.4922,74.3615,307.3187,28.8534,178.0583,92.9525,24.3919,114.7788,29.7054,149.097,521.4991,264.9985,1269.9733,163.3137,236.6676,505.3331,496.4945,403.7358,100.884,28.8567,330.1714,4823.6676,632.0105,267.705,37.3885,19.2631,42.035,71.4501,128.3833,17.515,27.5801,9.7886,23.1797,212.281,66.2944,62.8019,309.6545,214.6291,149.5245,196.7745,152.1613,0
AUS_C26,0.7715,1.6523,3.1584,7.6434,0.8422,0.7434,0.2305,0.1767,0.6055,0.1267,0.422,0.1892,0.7116,0.1551,0.5069,1.9529,132.4127,10.884,9.0856,13.0731,17.2982,6.4299,0.5201,7.7428,41.1731,25.3919,15.2008,0.7223,3.9362,12.1911,13.1481,3.1444,20.4213,86.1363,24.2018,25.8268,2.1147,38.1043,10.0071,17.6632,34.842,266.2807,13.2943,14.1547,0
AUS_C27,15.5107,16.7626,26.0349,16.0871,0.9281,20.8053,0.5738,1.1684,16.5732,1.2565,1.1753,0.4013,20.3891,4.1024,5.7311,29.7438,141.7145,304.7597,121.6074,80.8572,80.781,19.6167,78.0537,20.8309,877.0956,100.1677,32.7115,2.3877,1.0206,10.0062,21.5853,12.5947,6.0733,261.465,21.8636,13.396,16.0314,50.5411,17.3275,22.3346,14.1042,27.9489,66.3467,37.3256,0
AUS_C28,129.0472,79.7827,209.3722,266.7488,13.6533,85.409,10.4091,10.193,40.548,1.9344,18.9872,5.9991,9.3903,21.3161,14.4413,55.3768,60.9038,53.9797,417.3183,85.9446,108.4736,83.2549,18.7046,38.9236,114.5252,220.7421,14.5975,8.5775,0.7856,4.5645,4.2488,29.2426,0.7792,40.0567,0.0,0.2806,1.5439,101.9906,46.9638,57.7235,41.8202,34.8941,8.5101,56.7551,0
AUS_C29,6.5856,2.4407,6.4375,9.2795,2.9071,0.7917,0.4066,0.61,0.0,0.0,0.0,0.0,0.0,5.3544,1.937,4.0927,5.1902,6.6277,18.1738,1506.8449,245.5766,216.9085,0.359,0.8938,65.0021,836.0581,292.549,2.9087,2.6641,37.4384,7.1011,3.8891,0.7927,0.0,0.0,0.2855,2.5129,2.652,9.6391,55.6321,32.4536,5.0767,6.5821,187.8906,0
AUS_C30,6.7818,105.3558,105.011,25.6342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1879,1.092,0.6325,0.0181,0.5448,519.3497,376.3852,0.0,0.0,0.0,39.352,40.0379,539.406,425.5189,1285.6926,73.4353,63.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.1512,4.3294,0.0,2.2231,0.0,0
AUS_C31T33,115.1558,38.5037,144.5521,136.2085,35.6461,48.4125,20.7429,85.1459,62.7902,23.8866,21.1219,6.8116,37.8407,83.7454,8.7253,33.2279,7.3924,7.9072,12.0036,24.4117,26.8108,19.0702,20.1805,45.1455,362.2573,369.8022,68.2832,59.2239,31.8108,114.5171,33.5026,36.9508,26.8118,145.2019,43.8709,246.1295,125.5954,219.7549,123.2838,55.0119,82.7902,73.0265,160.3934,60.8913,0
AUS_D,310.9412,28.0091,256.4099,832.8014,27.3758,415.853,82.998,98.7499,153.4433,162.7903,135.63,20.0736,170.5735,87.5014,1070.0809,92.5954,24.2702,15.9041,22.4927,99.304,41.4856,30.8196,6179.9728,381.2294,1000.7411,1177.9063,194.9164,2.6821,19.2418,206.9929,10.4975,694.258,65.0202,335.3224,31.4486,222.589,536.8827,341.9171,304.8883,1340.5831,236.4215,315.0576,104.4021,85.3645,0
AUS_E,1058.4185,24.5907,56.4596,47.1176,13.4533,219.1962,23.6154,26.5689,71.663,21.3337,91.6634,24.7847,48.091,55.7303,57.7157,54.6572,23.8561,20.9464,27.9282,60.9429,71.3047,13.8371,47.8308,771.32,988.9088,340.4904,104.9724,28.6231,10.9152,109.5723,6.6805,343.3878,22.1166,394.9572,170.9778,117.326,591.3212,1015.1459,613.5047,235.906,107.4852,410.6756,252.163,142.2459,0
AUS_F,1171.4501,142.113,724.5105,1352.7431,73.2944,184.6642,28.1879,604.2718,75.3807,95.0376,46.4315,18.6501,53.2671,53.5345,71.3135,75.6825,46.8739,37.1216,61.0558,66.4975,68.6133,103.127,469.9735,1123.1454,38059.9428,2450.8228,1493.9021,52.4224,60.7639,608.196,56.0305,659.008,164.0857,472.8245,355.5997,556.3684,6583.7085,641.7296,506.4191,2241.9545,167.0596,304.5575,204.6416,209.9709,0
AUS_G,2842.9955,500.818,723.921,945.9138,117.1905,6022.2358,1126.1175,486.3716,1010.8651,1051.4876,1347.5971,452.4351,1140.2134,600.0525,731.5029,1050.2521,495.0174,528.3157,717.0881,1537.4738,749.0206,449.8978,437.2022,543.8566,7268.753,4736.3411,1913.9344,259.7681,586.4189,418.239,337.2601,4133.6582,483.8986,1058.8547,639.0122,930.8232,494.199,1196.4698,1003.8379,1150.5006,1071.3123,2367.6708,1542.9312,1027.542,0
