V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_F,0.195,0.005,5.7253,8.0707,0.7174,0.0955,0.1437,0.0183,0.0493,0.3703,0.0907,0.0236,0.3636,0.0293,0.0,0.209,0.1662,0.0164,0.2213,0,0.0398,0.3021,0.2529,0.0766,43.4684,2.2672,0.0786,0.1515,0.2471,0.0349,0.0052,0.9507,0.0159,0.387,0.0705,1.6553,0.322,0.7307,0.9881,15.1906,0.2334,2.1771,0.0208,0.047,0.0
BRN_G,4.2184,0.0915,137.4559,53.6423,3.7599,2.9942,8.2181,0.2444,0.9956,39.7359,0.3088,0.0674,0.3067,0.1158,0.0197,1.0566,0.5688,0.0201,1.027,0,0.2359,2.5884,17.6079,0.5383,31.8714,29.4351,1.5702,3.5325,13.5431,0.0537,0.1347,6.1246,0.0553,0.3596,0.0727,1.9913,1.6051,8.4718,3.5537,81.6719,8.4606,11.0831,0.0634,0.3544,0.0
BRN_H49,0.3963,0.0156,6.601,1.2986,0.4256,0.333,0.3579,0.0116,0.1201,1.818,0.0311,0.009,0.0351,0.0072,0.0013,0.1543,0.0551,0.0031,0.0585,0,0.0203,0.1943,0.2399,0.0717,0.7387,2.2364,0.0402,0.0909,0.2677,0.0048,0.0078,0.7374,0.0086,0.067,0.01,0.2057,0.1613,0.4084,0.1347,4.9051,0.7172,1.5781,0.0044,0.0309,0.0
BRN_H50,1.363,0.0041,27.0073,12.004,1.2788,0.8904,1.8256,0.0913,0.2953,1.5448,0.017,0.0175,0.3628,0.0174,0.0003,0.3805,0.2253,0.0056,0.8735,0,0.0599,0.7537,0.1661,0.1243,3.1497,7.1396,0.0435,0.1108,0.0586,0.3788,0.0311,1.3063,0.0081,0.0897,0.0238,0.2097,0.2553,1.6596,0.8301,21.5903,1.4031,2.6635,0.0098,0.0472,0.0
BRN_H51,2.788,0.0056,53.3812,1.8991,2.5898,1.7831,3.6395,0.1839,0.5951,3.3677,0.0074,0.0029,0.0274,0.0388,0.0013,0.7702,0.4592,0.0112,0.1075,0,0.1262,1.5497,0.3223,0.2332,5.6569,14.4225,0.0983,0.1752,0.2932,0.0057,0.0572,2.5291,0.0152,0.1765,0.0469,0.3778,0.5038,3.1701,0.5294,42.4895,2.7874,4.8537,0.0144,0.0954,0.0
BRN_H52,0.383,0.0007,7.3036,0.7723,0.3584,0.2626,0.5065,0.0255,0.0817,0.43,0.0012,0.0003,0.0014,0.0052,0.0001,0.1057,0.0632,0.0015,0.0443,0,0.0169,0.2132,0.0415,0.0318,0.7914,1.992,0.0128,0.0223,0.017,0.001,0.0087,0.345,0.0021,0.0239,0.0064,0.0584,0.0728,0.4466,0.0707,5.823,0.3811,0.6592,0.0027,0.013,0.0
BRN_H53,0.0057,0.0015,0.4307,1.3765,0.1843,0.0668,0.0014,0.0071,0.0137,0.0722,0.0285,0.0082,0.0357,0.0,0.0,0.0164,0.0,0.0002,0.0075,0,0.0106,0.0143,0.0,0.0067,0.7754,0.6814,0.0076,0.0061,0.0012,0.0177,0.0397,0.0542,0.0039,0.0069,0.0027,0.3845,0.213,0.4802,0.1803,0.1504,0.0555,0.0343,0.0132,0.0263,0.0
BRN_I,0.0548,0.0004,21.3136,5.8618,0.2193,0.116,0.0821,0.0504,0.0193,0.1943,0.0077,0.0416,0.0489,0.0,0.0,0.0008,0.0303,0.0003,0.3765,0,0.0071,0.006,0.0074,0.0855,6.6979,0.5684,0.0045,0.0141,0.1013,0.1395,0.0164,0.5819,0.0041,0.0175,0.0152,0.2246,0.0152,1.9356,6.9612,16.1413,0.0989,3.4424,0.0073,0.0091,0.0
BRN_J58T60,0.0017,0.0,1.6468,0.2605,0.0536,0.0316,0.0003,0.0015,0.0075,0.7487,0.0027,0.0009,0.0016,0.0,0.0,0.0047,0.0002,0.0002,0.007,0,0.0009,0.0021,0.0,0.0072,0.2653,1.2286,0.0049,0.0,0.0001,0.0426,0.0006,0.05,0.0081,0.0073,0.0216,0.2286,0.0032,0.3215,0.2697,3.1685,1.0307,0.3503,0.0003,0.0019,0.0
BRN_J61,0.1447,0.0001,31.89,22.0428,0.9603,0.2356,0.0108,0.0113,0.1753,0.2114,0.021,0.0055,0.0246,0.0,0.0,0.0454,0.0122,0.0021,0.5058,0,0.0018,0.0465,0.8028,0.1204,4.8373,20.8181,0.1075,0.0141,0.0146,1.1366,0.1498,0.8289,0.0476,4.8241,0.1895,7.9008,0.4636,3.7453,3.1958,11.2146,1.4836,2.5801,0.0417,0.1181,0.0
