V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_A01_02,818.4393,19.2584,2.3361,0.9973,4.6631,9073.8821,84.3652,1151.0838,342.9151,9.5796,119.9384,8.2043,1241.9999,2.7775,3.2361,4.5353,22.8066,4.6021,14.9749,6.237,223.561,43.5505,0.4156,0.2355,23.315,653.3058,0.8224,0.53,0.3728,1.2767,0.1971,319.52,0.6319,0.5039,0.6577,6.6603,7.8066,0.7742,1.2086,72.7185,10.4339,9.7592,0.4303,0.3501,0.0
MYS_A03,1.3983,201.7637,0.035,0.012,0.0687,254.6799,1.667,0.0965,0.2672,0.0545,0.6828,0.039,0.9336,0.0197,0.0167,0.02,0.2081,0.0631,0.0661,0.1787,0.3922,0.0441,0.0163,0.004,0.0396,153.4966,0.0134,0.0461,0.0014,0.0016,0.011,420.1613,0.0096,0.0035,0.0073,0.0542,0.0079,0.0073,0.0097,0.8294,0.0527,0.1144,0.0013,0.0007,0.0
MYS_B05_06,1.0076,0.1864,20.9969,1.8332,2.226,10.9742,0.1459,0.1801,0.1942,3975.5797,55.6381,0.128,0.3876,43.0507,1.0657,0.2863,0.8811,0.6921,1.1572,1.0839,0.2336,1.5742,155.9392,0.0198,17.8908,13.2271,0.4293,0.1476,0.5192,0.226,0.0298,0.0606,0.0082,0.0112,0.0064,0.1014,0.0868,0.0356,0.0291,0.6982,0.0506,0.0862,0.0196,0.006,0.0
MYS_B07_08,7.7385,0.1884,0.4071,0.3253,13.5691,0.57,0.1949,0.3616,1.3647,4.0663,3.7829,0.1586,10.5171,514.0726,29.4102,14.4282,1.8754,3.312,6.7055,3.0576,1.6229,30.0551,0.3374,0.0526,486.3742,16.3711,0.4171,0.1069,0.3785,0.2364,0.0354,0.1855,0.0326,0.0189,0.018,0.1989,0.186,0.037,0.0971,1.9468,0.14,0.2545,0.0348,0.0297,0.0
MYS_B09,5.8141,2.9786,898.5747,35.6789,94.8014,3.0077,0.0474,0.6535,5.2731,894.6075,21.2388,0.0593,1.8613,14.7006,8.7673,2.4607,0.0432,0.0435,0.2281,0.0493,0.0076,0.0526,30.925,1.6374,52.8222,0.994,1.6902,0.2844,0.0185,2.0525,0.0004,0.2108,0.0049,0.0,0.0224,0.078,1.116,0.1983,0.1637,0.7592,0.1204,0.1744,0.1863,0.037,0.0
MYS_C10T12,1213.5881,121.4025,5.0793,5.2575,2.1589,10268.348,13.5031,6.0867,6.7239,117.404,1293.5073,6.7323,62.9862,5.9759,3.1296,9.9836,4.4237,6.1008,2.7253,1.8007,0.9755,3.2629,3.1151,2.3037,12.3706,1558.0943,0.7581,0.3924,0.7152,1.2458,0.1387,1619.1873,0.2771,0.3673,0.5366,2.145,3.4506,0.5073,0.594,194.5998,4.3308,37.1001,49.4862,0.2378,0.0
MYS_C13T15,0.9307,0.0743,0.4361,0.739,1.5753,4.2095,392.8057,4.874,68.4093,1.0828,5.582,1.745,54.1058,2.7527,2.5926,2.9906,9.977,8.7806,4.4272,24.6612,2.5225,8.7975,0.3407,0.8565,1.5261,77.6251,0.4093,0.1639,1.181,0.6993,1.9643,12.9348,0.017,0.0691,0.0805,1.4056,1.2781,0.3262,0.2711,19.9223,3.6294,2.4624,0.93,0.0564,0.0
MYS_C16,16.358,0.4307,0.5705,0.382,1.2902,1.331,0.6611,253.4834,166.0786,3.4691,28.7311,0.0346,5.513,3.7782,1.0816,5.45,28.3819,1.7756,2.446,1.5115,12.6068,4.1206,1.3619,1.1663,292.2098,61.9986,0.1105,0.1355,0.0499,0.2031,0.0188,0.2503,0.0348,0.1522,0.2245,1.1151,1.1829,0.1719,0.2266,6.9195,1.3445,0.6492,0.4063,0.0436,0.0
MYS_C17_18,0.7062,0.0654,28.008,0.487,1.1788,30.4009,5.6712,9.9423,458.9272,2.812,18.0854,0.5934,16.1267,10.9633,9.2704,6.4237,39.8725,11.1644,4.675,4.7344,5.338,9.3385,0.524,0.4393,3.2835,399.9313,4.6869,0.9434,1.1198,9.5072,2.7458,14.1568,90.7777,82.4057,24.0399,323.6138,19.523,86.4391,33.5313,157.6824,31.9794,16.4476,8.3759,1.5527,0.0
MYS_C19,546.5937,360.4702,627.0231,77.7775,69.112,100.4,18.3598,61.1314,57.1716,1121.5462,1237.3813,2.1556,118.8482,375.4189,109.4436,38.1273,37.4007,22.5028,10.881,8.2368,16.9211,13.1578,505.6914,37.8714,607.8463,2077.1616,738.9518,237.9468,949.5203,141.1057,52.8807,79.7896,1.2101,3.3485,1.6602,38.5433,14.5675,18.0624,36.9005,94.6119,19.5878,13.5165,26.3856,5.7567,0.0
MYS_C20,391.3891,24.7858,95.7242,16.2606,6.6819,50.3534,86.3132,63.3553,102.7074,304.9278,1455.2011,10.7909,596.5952,57.7007,39.5319,67.0995,54.1654,135.0175,34.2175,27.5287,10.7301,85.3483,6.2343,26.4291,44.0675,168.1795,5.5487,1.8667,6.8873,21.8929,2.8027,6.9167,5.7232,0.3226,0.2432,3.1884,4.7712,4.7256,1.472,17.1648,3.209,161.2532,2.5442,3.3801,0.0
MYS_C21,29.4814,6.3931,0.4255,0.0168,0.2922,13.0939,0.8119,0.0744,5.3874,0.4621,2.501,5.1166,0.6729,1.6514,0.0449,0.0942,0.091,0.161,0.2214,4.7971,0.016,1.6479,0.0465,0.0362,0.1602,11.1159,0.016,0.0097,0.0078,0.0402,0.0032,0.2564,0.0074,0.0095,0.012,0.0678,0.1602,0.4094,0.0169,10.1067,4.2295,287.1969,0.0335,0.0088,0.0
MYS_C22,52.1879,11.0586,4.6297,14.9466,8.5624,359.8996,21.8686,9.3707,65.6414,37.1105,93.1016,3.887,2169.5529,11.0607,15.0009,29.9359,286.2812,86.5892,66.0243,103.738,90.0767,82.2484,2.4656,39.6489,91.2272,401.5529,61.1089,0.3042,2.1321,56.4015,0.1222,20.3234,0.2626,3.1633,0.4756,2.4666,6.5518,1.5758,23.8536,11.8878,2.8666,50.9575,1.5613,2.1811,0.0
MYS_C23,26.4385,0.1082,7.3836,1.7893,12.6283,39.6616,1.1879,12.4807,21.4959,1.636,68.4125,2.1739,24.8175,601.5638,278.872,28.6482,234.6993,34.5593,23.0804,3.3448,80.4668,3.6372,1.586,0.9112,1778.7431,422.7527,0.1521,0.178,0.0487,6.608,0.0188,0.3301,0.0838,0.1839,0.2916,0.9015,2.984,0.1353,0.2843,10.4407,1.5433,0.7708,0.1791,0.033,0.0
MYS_C24,0.7069,0.0555,27.1114,2.676,14.5358,39.9886,2.7662,12.5776,58.5444,1.8682,27.55,0.5579,31.132,55.0238,1549.5481,568.6486,178.31,516.8049,359.1747,124.1037,351.9495,119.9777,18.8454,17.863,1022.4554,174.7985,0.2758,0.8616,0.1386,0.2536,0.0144,0.5324,0.0443,0.1368,0.104,0.6938,0.7679,0.1908,0.1529,5.1856,0.7985,0.7366,0.4923,0.0762,0.0
MYS_C25,25.4374,0.1765,152.5679,2.8116,17.991,130.4635,4.9352,4.2104,53.5645,24.2806,72.733,1.0812,25.3839,99.1752,216.2649,414.7439,113.8707,343.3121,292.8374,70.6596,131.0445,23.3286,1.1358,11.9772,112.245,57.7052,0.2574,92.8652,0.1373,0.3597,0.0302,0.4916,0.1022,0.1788,0.1231,1.1406,0.899,0.2724,0.1994,53.1095,0.9896,1.6444,0.642,0.078,0.0
MYS_C26,5.1317,1.1334,16.0296,3.5729,8.4197,6.3156,7.7608,2.2763,7.3552,9.6849,5.5262,57.293,50.6705,4.0955,19.5518,26.1933,5888.6166,561.901,78.7719,334.3594,54.1463,74.1365,20.8132,1.4981,88.3914,319.3926,11.1543,3.6812,10.341,17.2629,3.7362,2.0921,6.7953,253.0573,16.566,8.2506,10.217,85.4019,4.2941,119.8707,114.0909,98.5525,43.2704,2.2369,0.0
MYS_C27,2.5754,0.0752,10.0623,0.1509,1.5929,3.2746,1.1865,1.0109,2.6888,0.5968,4.3033,0.8549,9.2687,6.7849,30.8276,15.4309,214.9963,140.6752,20.2241,129.9614,14.0185,2.4765,1.4451,1.5634,85.4042,102.0889,2.383,1.1531,0.1508,3.5242,0.0648,11.1859,0.1484,3.6508,0.3377,1.2958,0.5842,1.4416,2.9808,14.2288,4.578,2.7912,1.5952,0.4824,0.0
MYS_C28,13.3767,1.0343,54.4808,13.8265,10.5166,21.8452,12.1509,25.0244,9.4542,4.0029,11.2446,0.8616,9.3579,20.1569,66.1617,93.4976,59.2533,91.0572,147.5265,50.817,56.8947,28.0638,37.4365,10.2263,51.4623,48.9732,12.0382,15.9294,0.7052,3.0741,0.0555,27.2132,2.4817,0.2441,0.0852,0.3952,0.6778,0.4065,0.1497,16.0999,1.2095,0.714,0.2613,2.9863,0.0
MYS_C29,99.6899,6.7434,14.4544,0.898,2.8715,3.9038,10.8175,100.943,6.6625,43.9105,39.1916,0.0954,7.5635,1.9757,86.5133,4.202,8.5807,36.7387,36.3021,1093.4508,41.2547,1.8034,4.2273,1.4038,36.5789,929.5126,19.9113,2.2735,47.5741,20.6704,1.8421,5.474,3.527,4.1949,1.4707,50.7256,2.639,18.4151,8.2575,14.5059,6.3428,4.452,29.3532,14.8594,0.0
MYS_C30,0.8274,5.0738,0.6405,0.0695,0.7143,0.3557,0.1556,0.9321,0.2416,0.3297,1.0502,0.013,0.6568,0.7382,1.4331,2.3951,4.3205,3.9036,1.2693,29.2745,182.5082,0.1572,0.0841,0.0733,2.542,26.7896,4.5047,17.2547,102.2762,0.2662,0.0224,0.4539,0.0686,0.0481,0.0432,0.6982,0.6284,0.1469,0.1831,79.8143,0.3619,0.7074,0.201,0.3048,0.0
MYS_C31T33,18.9299,1.2832,27.3887,21.3609,28.983,30.5504,37.6056,5.4912,12.7794,18.29,19.2085,0.6395,12.0298,6.6733,3.8816,9.0385,39.6401,13.4997,9.0593,7.1025,24.3319,240.7459,0.4418,1.1783,8.1273,164.8245,45.8832,23.9312,65.4721,43.6426,6.4184,2.8702,1.4085,13.8813,3.0341,15.1081,4.146,51.4205,3.7416,39.5016,17.1153,60.7404,50.2402,0.9372,0.0
MYS_D,93.9723,19.7601,8.6572,18.2955,36.9341,145.0587,103.5903,148.6362,140.7006,353.5312,268.7687,4.1994,258.8633,217.7044,272.6655,102.5054,200.5754,104.3389,64.2591,40.2416,42.9848,37.9331,787.7492,128.6712,66.3646,35.5223,33.6139,4.4628,3.9691,60.0995,2.5602,306.789,4.2034,53.6261,8.0245,445.399,71.6287,32.506,28.747,346.6586,119.2464,50.0437,50.7471,29.0329,0.0
MYS_E,49.9601,34.412,3.6848,3.1955,5.9714,80.6797,10.0212,6.2337,17.9525,11.0102,121.3787,0.5138,162.7924,62.2271,38.8262,45.591,14.6915,7.9584,6.6913,6.7496,10.2748,3.9147,23.9993,171.7538,33.7723,203.0042,9.7695,2.3138,4.1147,24.7577,1.8149,78.9647,0.7811,2.1845,1.4919,45.6445,12.0937,3.4263,5.1994,125.6961,28.285,8.4583,4.2585,1.5758,0.0
MYS_F,6.0698,2.517,176.1272,2.2421,34.8537,1.2042,0.2425,5.1009,0.2874,0.0878,2.3553,0.0711,0.9712,0.8183,0.6916,4.3663,71.3182,1.838,2.59,3.3535,0.5619,0.1218,656.7505,48.4064,1564.7464,108.5408,3.6157,0.2709,9.4226,30.0497,0.6427,24.5476,11.2681,78.2177,146.3802,93.8885,286.3892,28.2434,96.6148,858.7628,177.7525,14.1597,23.1134,0.173,0.0
MYS_G,935.8097,165.9187,254.8376,96.2995,69.2779,3035.9759,143.2231,332.27,333.8121,1029.2495,842.9862,22.6123,985.9787,359.9271,317.8134,252.1649,1534.7892,307.2382,176.6299,275.4709,221.1729,100.7359,157.2311,39.8029,979.4484,1597.7749,160.0282,69.4747,206.3558,45.9598,23.3029,491.1779,24.8872,263.1405,23.747,273.7455,404.9378,78.2468,151.6809,127.3585,49.9982,127.6197,40.6361,5.584,0.0
MYS_H49,194.6407,12.2016,21.5032,30.9833,30.9611,231.6675,14.6892,47.0227,30.6831,113.3349,77.7722,1.5276,87.0417,38.6977,36.1579,28.8956,81.7689,34.1283,21.3322,27.6645,14.7946,9.5902,20.9882,12.9561,77.4871,265.0826,79.1897,7.1123,14.8979,96.2065,6.997,38.686,5.246,4.296,1.5732,12.8186,14.5991,6.4032,36.9335,103.3784,20.3012,15.9169,10.1337,11.5992,0.0
MYS_H50,9.1144,2.0175,10.5069,2.0216,2.0584,52.2929,2.8818,4.6207,5.0253,47.4485,14.7,0.3871,13.7745,5.3405,9.8748,4.6859,29.0493,8.4043,4.2903,7.1834,3.6108,2.2421,2.9728,0.5997,13.5634,23.56,17.286,65.8677,3.2731,47.0881,0.3223,8.8048,0.3113,2.0832,0.2582,9.6564,0.7985,0.7474,2.5274,8.9681,1.0699,2.7309,0.6626,0.146,0.0
