V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_J62_63,2.6146,0.7997,7.7002,0.3881,15.7629,88.0069,15.8215,0.4944,15.7487,25.2742,28.7294,29.9296,20.8497,3.6227,10.7277,4.508,4.0672,8.2346,8.81,48.0788,1.0648,3.6265,60.3092,13.3947,24.4625,166.5173,5.6853,0.0009,0.0024,8.6516,0.8901,47.8147,256.6225,142.5742,258.635,103.3607,76.3366,168.7277,36.4871,184.4926,13.6344,46.2298,222.9761,62.9394,0.0
ARG_K,143.1739,8.8463,51.5907,15.1251,31.0943,124.8845,46.0166,13.0305,39.7472,15.2526,35.0507,46.45,34.1096,17.4273,41.0706,27.0185,15.7847,22.3599,31.2219,31.9835,3.3023,17.8295,58.6331,45.9262,137.8363,525.5205,753.1731,4.8046,32.9783,145.6387,3.5626,139.1322,46.1681,119.3227,71.0213,1599.3267,190.0136,105.1291,40.9496,299.7415,112.7998,54.1423,55.9426,75.6573,0.0
ARG_L,0.1194,1.3667,17.4547,0.0802,0.0,4.7089,12.6426,2.2248,7.0871,6.5971,6.4866,5.4323,6.3231,2.4609,1.2276,4.9708,2.8885,2.1674,4.5906,6.869,0.4273,2.9308,0.1555,6.6287,0.0,21.5996,67.9994,0.1214,5.2668,0.1126,0.5733,129.375,9.5588,31.1696,0.0256,26.3446,113.394,15.8267,17.2179,27.9686,59.3195,29.4346,0.0098,38.3539,0.0
ARG_M,69.9942,12.6435,41.6495,9.4375,62.4191,401.2221,51.8583,21.481,49.9919,16.5803,128.995,226.0824,42.9854,20.1215,45.4471,33.0972,19.9735,29.7228,43.3583,46.8527,4.9866,22.2776,110.2334,61.0775,323.9752,546.9054,212.7959,1.3994,28.043,83.4987,9.2917,265.1048,216.7917,227.8371,307.3923,603.2129,133.2917,237.9094,83.5345,206.592,114.6812,172.0683,318.5224,96.398,0.0
ARG_N,5.8736,7.1478,58.943,16.1706,61.4637,150.9242,56.6488,6.7694,32.1862,52.9616,24.3092,49.6333,17.8975,16.9295,24.6479,17.9138,6.5964,10.7984,31.0409,41.2348,3.8688,10.7872,36.5299,36.4567,129.9478,662.2035,405.5863,3.5356,167.9955,200.9618,10.7583,223.0778,50.9782,279.334,87.8339,253.9526,213.9473,86.8011,46.6905,188.4763,115.3454,134.9788,175.3813,54.7083,0.0
ARG_O,24.6566,2.59,4.7602,2.4483,2.9235,9.875,2.6466,1.4982,2.9992,9.1468,2.3995,3.2302,1.8667,1.4643,2.6424,1.5964,0.7774,1.0796,1.7102,1.3664,0.1954,0.9758,10.9846,2.101,59.4926,37.3882,41.2556,0.1821,12.5942,13.2545,0.3334,4.6925,8.6366,18.3665,7.284,37.6512,4.4297,6.8831,3.18,41.5627,6.2128,3.3882,54.2271,3.7196,0.0
ARG_P,0.3369,0.0004,8.4524,0.0061,0.0,3.5379,0.3222,0.009,0.5061,2.5748,1.0331,1.9101,0.0189,0.6847,0.7663,0.2275,0.0563,0.0533,0.0185,0.258,0.0152,0.0032,2.1525,0.0102,0.0,0.3241,0.0156,0.0058,0.1166,2.1764,0.0014,0.4832,0.474,0.0338,0.8653,0.0008,0.0694,1.4064,0.1032,0.2014,0.7479,0.0325,1.3812,0.6888,0.0
ARG_Q,12.9903,0.352,1.0831,0.0268,0.0622,7.9518,2.3488,0.3814,1.836,0.5265,1.0162,5.7052,1.3978,1.8134,1.0722,2.3877,1.5255,0.9654,1.761,1.7948,0.0631,0.9378,0.9049,0.7708,0.0,17.0198,8.0378,0.8829,21.7891,46.953,0.1254,3.2178,2.8125,1.0755,3.3316,9.9445,54.0104,15.2588,4.2552,44.7086,37.7202,865.8917,2.7289,255.0893,0.0
ARG_R,2.5126,0.0001,0.0,0.0002,0.0,22.0606,2.0138,0.0545,3.1227,0.0,6.127,11.7504,0.1143,4.1045,4.7001,1.3722,0.3521,0.3309,0.1142,1.5854,0.0903,0.0194,0.0002,0.0001,0.0,1.9097,6.6054,0.0108,5.4623,6.1524,0.0263,0.4418,40.2722,6.4002,0.0,5.7813,0.0,11.6092,10.6593,8.8965,31.5781,4.7513,509.5474,50.5893,0.0
ARG_S,39.6779,0.0169,0.0378,0.0373,14.8202,16.4882,7.6413,0.0031,12.1699,3.7075,4.3785,8.8915,0.8984,2.2222,12.8176,0.8633,0.1284,1.0192,2.943,4.4947,0.0042,2.8705,0.449,1.2326,12.5381,55.9678,24.9804,0.0074,25.5646,2.1172,0.0411,27.6097,15.981,0.1785,54.75,34.7509,18.2945,126.1085,7.153,31.7578,22.8536,112.1165,39.8991,19.7234,0.0
ARG_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
