V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_A01_02,1782.589,9.1687,0.0008,0.626,0.0383,9449.254,519.0913,151.2591,32.224,0.0002,54.7375,80.9453,2000.0014,4.3917,0.3799,0.1085,0.0,0.0,0.0214,0.0,0.3902,12.9721,2.3328,0.0017,14.6679,0.1426,0.0122,0.0002,14.3364,0.0454,0.0045,1091.9983,0.0275,0.0085,2.6359,9.2722,9.0144,2.5693,3.4475,28.8395,54.3181,107.9103,9.4731,9.0243,0.0
THA_A03,107.928,102.7695,0.0,0.0,0.0,1541.792,0.0,0.0,0.0,0.0,0.5798,74.1834,0.0,0.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3538,0.0,512.1899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2536,9.9781,19.3444,0.5223,0.0,0.0
THA_B05_06,0.0,0.0,97.5539,0.0,2.5432,3.2068,0.701,0.0,7.1291,3428.3404,110.8136,0.0,0.0,101.6727,56.4416,0.0245,0.0,0.0,0.2474,0.4122,0.0,0.0969,1360.0661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_B07_08,1.4414,0.1112,0.8626,15.133,1.0874,11.3416,1.0119,0.0,1.7784,0.0087,37.5166,9.3112,3.0298,438.8063,67.0573,0.9843,0.4928,1.7934,6.8444,16.7549,1.3046,43.5164,0.171,0.3151,509.9411,0.0,0.2712,0.0,0.0,0.0,0.0,0.0622,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0666,0.1021,0.1678,0.0084,0.0
THA_B09,7.9771,5.7105,180.9038,20.2858,15.8818,4.2936,0.3092,0.32,3.7546,60.1548,16.3463,0.2799,1.5657,23.052,5.6419,2.2463,0.0498,0.0462,0.2887,0.1534,0.0288,0.1046,59.9733,1.0214,43.6105,1.5565,5.1615,0.33,0.0247,0.1376,0.0012,0.5049,0.0144,0.0,0.0122,0.0428,1.2583,0.1531,0.1006,0.6681,0.1563,0.1791,0.0402,0.0918,0.0
THA_C10T12,1331.1431,354.6124,0.0,0.0,0.1415,5463.0152,107.6262,0.6353,28.9375,2.1614,110.361,42.5274,1.5787,17.2321,0.0007,0.0,0.0,1.1362,0.0,0.0,0.1212,50.3304,10.6786,0.0,0.0,114.4258,9.6251,0.6368,120.6705,0.0,0.0221,3899.7462,3.0873,0.041,0.2149,29.3645,1.4971,0.6582,2.9981,139.1087,103.6568,77.963,9.737,37.2564,0.0
THA_C13T15,20.0024,10.1282,0.0057,0.2651,1.0587,21.2943,5597.7383,0.0609,6.5406,0.1608,170.9328,9.5783,132.3674,25.4129,3.7486,0.2961,6.9664,31.7345,11.9607,58.3231,75.4856,258.6595,3.9873,1.5383,8.5014,764.8218,102.1016,23.8488,3.6802,3.4511,0.0772,324.7056,22.3772,0.1072,4.1264,155.0861,2.856,4.9675,10.9798,27.3717,10.4291,77.4114,4.8903,56.6893,0.0
THA_C16,30.8072,0.6439,0.0,1.066,0.3699,4.103,1.9754,341.8375,1.0339,0.1617,9.9022,2.4452,3.6515,10.5016,1.1046,14.4269,11.0159,11.852,16.7604,20.4714,18.1808,339.2003,0.453,1.3035,273.7158,50.7885,0.081,0.0059,0.0574,0.3602,0.0,2.8099,3.2106,0.0,1.8874,3.3547,0.1088,1.4199,2.988,0.0156,0.03,0.4085,0.005,4.486,0.0
THA_C17_18,5.9678,0.1742,0.5751,0.2434,0.2249,91.4091,49.7332,11.1022,891.8197,0.6889,33.3947,32.1608,10.7486,26.5979,7.8187,5.9044,20.0713,17.6209,8.4853,33.2824,5.0923,39.0627,3.8315,1.923,5.7187,118.2594,16.2987,1.289,1.8114,0.1055,2.7033,14.7395,151.4106,4.8545,98.1695,220.568,1.6515,121.055,83.232,210.1057,194.3182,19.8541,8.6232,13.2256,0.0
THA_C19,672.229,512.1861,534.5099,91.2971,13.0253,386.8101,194.1425,35.3797,51.2727,653.7314,459.4169,5.8156,165.0292,390.8594,224.1794,89.0397,71.0595,95.743,243.376,103.9762,73.9974,65.2601,831.1924,41.9783,304.0524,507.0585,3733.4224,638.1172,816.1421,1.3037,18.7877,251.6591,31.2055,23.4593,54.1405,91.3717,26.1995,57.0134,134.9913,708.366,234.6098,50.3737,12.439,116.566,0.0
