V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_A01_02,3186.3865,6.4625,0.3974,0.645,0.4605,16181.432,707.8624,1250.2531,1.9625,0.4562,158.5359,75.0182,194.5289,38.9319,0.5646,0.1311,4.3891,0.4562,0.0664,1.0801,0.3344,29.2135,0.269,0.113,160.7778,429.2184,0.7245,0.3149,0.0524,0.0595,0.0443,18.5181,0.0336,0.0228,0.0299,0.3719,6.8565,0.299,0.4718,3.679,17.2885,3.6849,0.2477,0.4346,0.0
MEX_A03,0.1995,8.1278,0.0196,0.0237,0.0217,280.7456,1.2009,0.0497,0.1836,0.0928,0.2777,0.9167,0.062,0.0521,0.1169,0.0602,0.4083,0.081,0.0924,0.3468,0.017,0.8402,0.025,0.0073,0.5543,6.9932,0.103,0.0056,0.0106,0.0076,0.0021,0.0711,0.0063,0.0273,0.0012,0.0107,0.0793,0.0187,0.0279,0.1146,0.016,1.0688,0.1336,0.0116,0.0
MEX_B05_06,0.0003,0.0,1518.3458,0.045,69.9941,0.0012,0.001,0.0,0.0001,21666.6848,10217.1751,1206.6106,0.0029,0.6296,204.3836,0.0039,0.0,2.3227,0.0039,0.003,0.0019,53.3195,1281.901,0.0,0.0101,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX_B07_08,47.2734,23.4229,9.3336,266.3851,555.0414,93.0877,4.0707,0.197,23.4505,28.5802,475.2797,1.359,3.7413,2034.3697,1688.7918,2.2265,4.3066,8.4999,9.9808,13.328,0.2903,47.5761,326.076,11.4731,2397.5701,6.2439,6.8568,0.0243,0.0016,2.576,0.006,25.7467,0.0022,0.0166,0.0133,0.0277,0.7268,0.1367,0.2152,2.8146,0.0943,0.1331,0.0522,0.0064,0.0
MEX_B09,0.0553,0.0008,1174.6218,19.9621,7.8148,0.0922,0.0115,0.0005,0.0041,0.0338,0.0248,0.0006,0.009,0.0135,0.0086,0.0094,0.0381,0.0345,0.0036,0.0191,0.026,0.0098,0.0209,0.0089,72.5431,0.0547,0.0503,0.0246,0.0016,0.004,0.0035,0.0483,0.0022,0.0004,0.0019,0.028,0.5419,0.0123,0.0169,0.113,0.0941,0.1251,0.0059,0.0029,0.0
MEX_C10T12,1910.5141,30.5105,6.066,11.2098,3.4657,8330.056,304.9182,1.1612,44.7748,7.3143,157.52,95.3923,18.6472,15.3796,21.1808,13.6459,33.1339,14.206,8.6657,27.6639,1.7917,12.3833,9.1688,2.8887,39.516,396.6149,30.0612,2.3523,3.4825,5.9306,0.1853,1232.4101,11.6109,3.6222,7.0978,39.0977,11.6805,27.2176,28.7305,75.9,24.3048,76.4953,32.8802,10.9303,0.0
MEX_C13T15,43.848,4.6021,0.6809,3.9369,1.3571,124.4846,4009.0186,5.1517,212.827,15.9989,49.2037,2.2539,109.9907,37.1724,43.6084,38.9056,177.7241,43.0999,25.3502,1125.5714,14.6509,365.03,11.9503,5.2256,46.5814,361.9784,79.926,34.137,9.4123,36.0934,2.2763,98.3276,20.4765,2.6381,2.5484,9.2133,16.199,29.4675,66.0914,116.3655,22.0152,128.719,25.9772,16.9087,0.0
MEX_C16,24.0255,0.0645,6.7074,29.3227,50.0965,64.504,16.4035,292.5417,25.1244,6.011,18.234,5.2109,12.038,53.9515,20.8397,33.7286,201.9385,29.3243,18.1487,53.503,30.1278,793.0878,0.19,0.3456,726.9276,849.8497,0.772,0.2363,1.6899,1.4053,0.5515,0.7275,0.6806,9.106,0.2309,1.5256,5.0738,1.2944,2.1956,0.8472,0.6021,3.2305,3.673,0.8517,0.0
MEX_C17_18,54.808,0.3623,0.8097,2.6947,1.0957,694.658,184.8598,5.2828,2493.0764,16.4683,287.4786,70.1436,134.5209,267.6013,38.407,94.1329,437.2967,155.8185,52.4834,225.6589,11.0938,206.3809,9.7433,5.3145,74.4,601.4572,101.0512,31.6628,8.7519,100.8631,28.0672,144.5999,90.2704,12.8008,6.3291,315.4266,538.237,399.1387,602.2743,338.3798,124.5724,136.6256,45.2091,66.528,0.0
MEX_C19,465.3906,142.9327,263.3511,434.7872,78.5871,788.943,124.3433,37.7852,182.9274,3193.4651,801.3281,50.9776,130.1143,653.4515,570.1776,103.3042,70.0371,75.2337,46.6783,114.8614,10.8266,154.3273,1164.712,70.66,1012.4342,254.4756,6393.0068,60.3158,988.8883,64.7948,50.4929,335.6355,25.6514,292.3504,2.6514,8.261,440.0644,172.2332,139.093,661.6398,39.6769,152.0893,42.1813,95.6206,0.0
MEX_C20,1157.1281,37.7003,1617.2927,149.2299,217.5538,1228.676,674.9287,43.8716,599.1437,964.3637,6989.7051,1059.3472,2872.8746,783.5438,450.4303,254.4523,647.9005,351.2975,219.5608,595.4171,20.367,503.3176,1870.5046,261.0938,1093.7732,549.9191,172.3633,1.5806,40.4584,146.3806,3.3829,397.5884,96.6016,18.1594,19.7472,38.6597,692.3152,277.3437,332.0083,83.1885,55.6161,195.0278,114.4108,298.0781,0.0
