V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_A01_02,7205.452,146.9697,31.3632,13.0252,5.4957,12995.8401,68.2772,7544.4228,963.7318,24.3664,91.0571,9.3086,275.4534,7.52,16.6786,11.7612,4.4984,3.9592,7.9458,27.6553,5.5901,53.384,28.566,2.0305,867.7459,222.9094,68.5616,1.0995,1.8159,14.4502,9.3066,803.3472,13.7321,7.8777,7.5593,56.7194,20.3037,45.5071,16.2195,465.8419,36.2718,61.4813,7.5741,19.4426,0.0
CAN_A03,103.1351,61.3313,0.3071,0.0594,0.0371,1429.4456,0.1247,0.0525,0.1539,0.0995,0.3519,15.44,0.4617,0.0595,0.1549,0.0551,0.1078,0.05,0.0512,0.3694,0.1319,0.148,0.0734,0.018,1.2134,3.2768,0.0923,0.0054,0.015,0.0616,0.047,86.1447,0.2006,0.2619,0.3494,1.7871,0.5801,0.5823,0.4405,3.9605,0.2967,0.9507,0.1156,0.1323,0.0
CAN_B05_06,260.8576,38.1816,5381.1037,203.9709,155.6605,417.1493,30.6928,178.8046,465.1984,22265.971,2110.0049,23.824,70.4411,315.1627,533.1156,115.8006,21.6338,29.3333,132.3076,171.0547,55.6926,109.4416,2010.8934,52.8924,458.7034,1214.6836,808.9234,104.4528,373.1144,120.1347,57.6963,138.5954,61.9563,38.1488,26.7532,900.9052,1073.3513,138.2995,152.7718,484.1536,612.8806,414.9138,47.8304,189.764,0.0
CAN_B07_08,12.3115,3.57,240.076,119.679,40.9262,66.7895,2.4204,10.6668,67.7073,38.495,55.7891,10.2216,19.2688,614.7753,3337.8774,34.8224,8.6409,18.2187,18.828,118.8892,28.7724,642.9914,89.6062,2.4422,1421.8108,119.0478,10.5793,1.3268,3.486,23.1028,3.3836,21.22,14.8006,17.5323,27.0355,122.7312,31.5767,43.22,38.3934,109.2768,20.7798,71.6624,8.6747,9.3732,0.0
CAN_B09,0.6786,0.1172,3296.5435,313.5102,327.6324,0.703,0.072,0.0594,0.0911,0.1886,0.1123,0.0802,0.0783,0.2412,0.1276,0.2907,0.1845,0.128,5.4815,2.0971,0.2587,0.6773,0.8736,0.1499,4517.0331,3.5027,0.1825,0.0458,0.1828,0.2062,0.1452,0.2695,1.1433,1.3143,4.3787,11.7508,0.8454,2.4599,1.3278,2.2345,0.4022,1.4391,0.7366,0.3394,0.0
CAN_C10T12,1659.7152,34.9698,108.2605,32.7605,21.7868,7781.1544,63.518,59.3589,144.252,75.9638,428.4107,155.7261,308.585,39.1765,82.7058,81.7189,50.8576,31.1252,69.6527,196.0176,56.8266,94.1801,43.4782,10.0145,333.5479,941.7381,47.4087,5.3925,15.839,31.2075,15.131,6099.3671,77.1385,78.8784,82.9837,478.6944,177.8182,214.8318,171.9291,369.4233,229.1336,1033.5626,70.7466,74.3312,0.0
CAN_C13T15,61.8939,46.3074,16.1519,14.173,4.4947,49.9356,952.7004,24.7122,43.4045,10.6339,50.1684,7.8471,118.9165,17.9917,19.998,25.6074,11.5693,13.4042,19.8814,73.5182,13.2089,287.7741,4.8514,2.5471,385.2128,165.5602,22.9111,5.4953,2.9735,12.8259,7.8209,73.732,11.2569,8.6383,9.7874,44.0315,16.6414,35.2593,17.8818,122.3832,31.5519,315.0959,10.9596,44.589,0.0
CAN_C16,43.1306,26.703,19.6932,9.5189,4.4271,55.6718,21.7652,3079.67,1721.7967,12.714,33.2494,7.1175,86.6612,28.2686,38.4887,80.9483,18.3231,9.6956,34.6608,106.0765,14.798,1350.3125,24.4293,1.7897,7182.5183,242.3135,24.5437,0.5813,3.1309,6.7517,13.2906,17.1163,16.333,11.8525,13.1252,82.067,25.9331,35.3583,25.8614,56.8306,10.3412,22.3351,9.5069,135.9923,0.0
CAN_C17_18,98.6414,34.9123,133.8271,35.5833,20.9982,808.8645,149.9614,106.4775,4881.4731,64.983,238.571,105.6354,184.3475,166.0116,49.8805,76.7262,36.9845,52.2339,62.2678,136.7636,65.4811,295.1045,63.8066,38.8173,732.8079,1303.8906,71.6383,9.7429,19.4597,75.5004,55.77,249.8469,955.5542,792.4169,340.1471,892.6593,173.9912,289.4051,179.6391,198.0733,334.2323,466.5978,534.0364,241.257,0.0
CAN_C19,991.8404,232.5888,567.1742,324.1352,379.8608,150.2416,24.74,158.4551,266.3648,1607.4902,3666.0696,25.1396,57.152,140.2951,350.8539,125.3972,24.8394,20.3483,103.1545,79.9192,46.9345,263.3561,311.1336,234.6687,2604.1434,2572.7453,4287.5753,489.9864,2340.1048,135.1155,263.9556,139.2762,49.1685,125.6745,20.614,468.2699,280.6373,183.7935,572.8574,750.3152,380.6751,357.7931,59.2167,210.8143,0.0
CAN_C20,877.4157,60.1244,237.48,139.4355,90.7831,331.5649,344.0211,306.7804,754.0161,788.8033,3471.6165,225.9964,2604.7403,135.9737,222.8797,304.3808,57.2888,126.9652,194.1697,323.2692,64.4727,447.275,169.3786,56.4915,1279.8777,716.2658,887.2932,95.9837,449.2365,57.761,67.7489,117.0632,49.9311,56.0277,54.8036,287.3056,139.0061,105.6909,407.8439,271.2704,206.8784,370.6529,58.4117,269.6564,0.0
CAN_C21,28.5666,6.3544,16.582,5.0362,3.4585,48.5789,5.4262,10.7214,18.9881,11.0483,51.2441,785.9663,41.5021,5.6729,11.4082,12.9947,6.5113,4.906,11.3652,28.031,5.897,14.2435,6.7266,1.1162,51.6594,64.131,7.4303,0.9569,2.5674,3.7914,1.3497,17.7262,13.7427,7.3627,9.3095,169.3172,15.801,156.8845,15.32,1418.0169,24.9211,802.7582,12.4663,9.1656,0.0
CAN_C22,60.1533,61.1046,35.2416,84.6945,40.6155,586.6792,68.005,125.7645,254.6917,54.3422,360.4394,12.7467,904.635,92.5081,24.1556,123.9528,75.5117,98.0038,164.7394,1617.5765,28.5471,469.2173,91.2962,12.2714,2659.7501,926.096,280.6477,10.0123,17.0952,42.2982,22.0794,64.4918,36.2409,17.0366,36.4629,150.2819,65.6091,44.0653,72.9967,63.2088,74.7897,90.4057,147.3006,104.8059,0.0
CAN_C23,54.1139,3.2062,86.4339,59.9864,98.4757,237.8686,12.3616,62.4828,34.3066,16.7341,54.663,55.0147,115.8035,1874.9327,300.4011,111.6338,15.8999,45.4806,50.4936,697.2001,129.2001,66.7436,7.719,3.8069,5927.0581,155.0387,29.2835,1.0101,3.9024,8.2776,3.6691,67.3768,17.536,19.1381,20.9319,109.671,46.371,81.8113,106.3792,87.3321,24.1255,52.2025,14.1503,16.7721,0.0
CAN_C24,95.8068,7.039,132.9605,94.5164,250.5492,144.7755,13.3926,33.6726,64.0589,38.8229,166.3149,24.1364,107.7714,73.5788,5842.0916,3740.2128,105.4521,618.9194,1618.0036,2547.3647,670.3468,597.1689,39.8951,8.5038,2781.2911,571.8864,44.719,3.8952,8.3595,31.3902,11.4886,55.8683,49.191,61.9487,75.0938,398.1509,158.9713,166.9527,146.3448,218.0853,65.8635,135.1876,31.4554,43.237,0.0
CAN_C25,197.6122,11.617,128.6554,74.2511,94.2556,421.0423,19.7968,115.8164,92.3369,39.8548,117.5436,21.1963,114.2969,92.6297,1096.2805,2463.9064,213.7532,116.2831,1218.913,3888.0214,446.5627,448.1013,50.2024,35.7238,5433.6193,276.2389,111.2895,5.7205,13.9428,25.872,14.8386,45.1852,53.1395,63.9887,81.3036,235.1093,236.407,284.8476,200.0686,218.5369,103.7741,250.4559,36.7468,97.8994,0.0
CAN_C26,43.8474,4.9184,127.1458,20.4344,47.6723,115.0038,13.737,72.473,129.3506,33.9628,85.1525,21.5474,43.0401,59.4562,84.2198,170.9645,872.0454,63.4989,150.9114,486.0975,88.325,95.9547,13.9391,14.9726,685.1153,184.2006,53.306,2.1781,8.4617,14.7706,13.0802,37.7813,140.8677,267.6481,97.7517,175.2027,65.428,131.8951,76.3674,275.5267,98.3202,657.9259,26.9938,54.3459,0.0
