V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_A01_02,1242.116,107.8039,101.9936,10.6722,0.2337,6430.7188,188.1342,124.105,24.4117,2.5605,17.3991,2.8583,39.3994,6.7646,9.3231,3.543,0.05,1.0221,1.278,0.1608,0.0399,15.3481,33.7898,22.3472,163.744,76.7063,0.5309,0.0843,0.1389,0.1807,0.4768,761.0041,11.2168,0.2061,0.6439,6.7473,4.3048,0.5996,2.4165,71.2848,16.1234,30.9825,1.4644,1.5773,0.0
COL_A03,2.0541,9.1575,6.1291,0.6373,0.0146,58.0435,43.8209,0.0409,0.3214,0.1518,23.3246,10.7184,0.4088,0.3807,0.3576,0.1206,0.0025,0.0527,0.0724,0.007,0.0022,0.1017,2.0977,1.3758,0.2757,1.3244,0.0357,0.0051,0.0088,0.0237,0.0295,18.2196,0.0178,0.0286,0.0319,0.4087,0.526,0.0293,0.1377,51.5034,3.0016,6.4074,2.1985,3.1382,0.0
COL_B05_06,12.6304,0.8986,677.0694,20.325,0.6554,23.2282,10.9192,1.2481,14.9049,3792.1559,7.116,0.1482,2.7912,64.7346,20.3096,3.6345,0.0191,0.3949,0.7391,0.0716,0.0167,1.0701,313.8242,7.4632,4.0996,8.9062,5.6034,0.0718,0.4865,0.1328,0.192,13.1845,0.1537,0.1201,0.2102,2.1327,0.8142,0.3271,0.8617,4.6058,1.3007,1.3109,0.4254,0.4705,0.0
COL_B07_08,1.9448,0.1623,6.4652,4.5852,0.0,2.1164,0.222,0.0,0.7138,7.9948,12.9923,0.5293,0.1667,117.5729,507.0278,61.6565,0.0257,0.5945,1.0825,5.1846,0.587,13.0012,0.0,0.0,381.4014,0.0,0.1572,0.0,0.0,0.0,0.0,2.1936,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0801,0.0,0.0077,0.0,0.0,0.0
COL_B09,8.4355,0.606,25.401,2.6645,0.0567,3.6866,0.6675,0.1696,1.3438,0.6491,1.0614,0.0256,1.7086,1.817,1.4963,0.5036,0.0102,0.2198,0.3026,0.0291,0.0091,0.3981,8.2824,4.9706,0.9476,5.5315,0.1222,0.0209,0.0327,0.0162,0.1144,0.2129,0.058,0.0,0.1333,1.4327,0.4912,0.0557,0.5467,2.7412,0.8469,0.8497,0.2771,0.3048,0.0
COL_C10T12,1103.4626,24.774,2.4923,2.7721,0.4141,2309.5239,99.3388,9.8232,28.7651,5.2176,129.3374,25.5177,4.9334,14.1042,24.7498,6.5335,0.1466,2.1174,1.2418,0.4135,0.0522,6.9843,71.9883,4.2183,11.8248,27.9246,0.6893,0.0616,1.0105,2.9725,0.754,2224.2116,1.3879,10.4951,3.6873,13.7944,0.7901,10.9795,6.3628,180.8094,41.1138,14.1872,3.1167,4.635,0.0
COL_C13T15,73.9619,0.847,8.7414,3.5426,0.5858,12.1891,1079.5077,40.2969,47.6644,3.5175,6.8996,1.1201,39.2657,3.7696,6.3476,4.2806,0.281,3.5327,1.1505,6.2482,0.5302,101.2321,9.1366,5.4272,44.2582,56.8591,11.1723,0.0996,0.6684,4.2784,2.7651,46.2654,11.025,25.6771,6.3095,4.6186,1.2505,3.9576,9.9312,111.6185,46.1073,13.114,12.6251,25.475,0.0
COL_C16,22.0173,0.1454,4.0792,12.2914,0.0003,5.6304,3.0621,35.0153,0.3548,0.2287,0.7714,0.08,2.7924,2.8547,4.1641,2.6749,0.1978,3.3887,2.0262,0.7794,0.0667,91.3007,3.031,0.0433,420.1057,52.1937,0.108,0.1074,0.1441,0.607,0.1328,1.1344,0.3872,1.0355,0.177,0.1576,0.0128,5.2348,0.0017,2.003,2.2767,2.082,1.0501,2.4671,0.0
COL_C17_18,23.4726,1.5021,6.0457,4.6525,0.0426,215.3189,33.4133,10.0407,499.5004,14.0993,78.0908,19.9488,39.8601,63.6311,14.5383,10.2409,1.8419,23.9801,8.9124,4.0278,0.4264,25.7563,32.3668,9.8075,28.3879,311.0689,5.2309,0.1082,2.99,5.4346,23.6621,11.8055,61.7757,152.9434,37.683,106.7715,6.8344,53.7148,113.7156,89.5674,68.4682,48.6851,20.8906,23.4153,0.0
COL_C19,122.2774,5.8201,48.5626,45.2778,1.5399,52.2512,22.5786,1.7802,14.5292,312.5518,78.0317,4.1257,13.0082,267.0233,20.6969,4.7508,0.3791,7.9157,3.2561,6.0451,0.7527,102.6947,33.9714,81.9591,115.1247,199.0712,1066.0304,26.341,204.0021,26.7723,17.3039,29.019,4.6624,86.0147,10.3585,2.7386,3.6706,71.4127,36.3018,261.9234,19.3715,25.9368,2.8109,5.212,0.0
