V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_C20,565.5734,3.5036,15.0451,15.4071,1.9154,127.4166,113.5218,13.1639,92.0327,76.4989,725.8733,50.431,474.7045,82.3766,13.1632,5.8625,2.0684,37.5128,27.1817,5.9289,0.3212,52.357,12.5702,26.5965,215.9846,13.2969,0.2572,0.0917,0.8739,0.9678,0.1854,8.1351,7.3589,1.2571,1.146,16.5013,0.429,21.251,49.2854,43.7622,16.2767,233.616,9.1016,31.2899,0.0
COL_C21,23.7009,0.5992,0.3557,0.5695,0.0392,11.5095,2.8299,0.5211,2.8025,2.9009,31.4667,96.7921,12.6079,2.8057,0.549,0.2295,0.1061,0.9476,1.2435,0.2837,0.0331,1.8441,0.8482,1.3555,8.1223,0.6657,0.016,0.0053,0.0826,0.0389,0.0218,0.6,0.4609,0.142,0.1231,1.5964,0.017,0.0,4.2923,10.413,2.2191,203.3923,1.2908,1.1577,0.0
COL_C22,60.0783,9.8525,28.5515,12.5196,0.043,264.9548,63.3838,12.7501,60.266,22.8065,91.8416,15.3985,80.0785,23.3693,15.0731,16.6922,4.6806,75.6969,18.4738,15.5104,1.2562,42.9879,24.1532,7.3952,641.1077,244.3448,114.4289,0.905,17.0572,11.1135,0.8705,7.5278,36.0733,6.4344,33.6222,4.7099,0.4395,0.8984,52.3018,16.4833,13.9531,10.9793,10.5461,30.9359,0.0
COL_C23,15.0166,2.0554,2.5696,4.9711,0.0416,67.6646,11.5372,1.443,4.5517,4.6746,20.5446,4.5721,6.3321,335.8101,18.1949,6.243,0.8661,11.5665,6.3892,9.6729,0.5089,9.7909,42.4192,8.0064,3359.882,30.3423,2.3962,0.0995,0.8011,1.7307,0.3921,13.4314,0.8956,6.0449,0.6045,4.2631,0.2028,8.5207,0.7402,15.1824,6.8579,6.0635,3.1682,7.3543,0.0
COL_C24,1.0282,0.0,71.5871,2.0046,0.0,27.5219,1.2324,3.0157,0.6047,0.0,11.6507,0.7603,4.4006,6.6703,220.2687,88.5875,1.8563,62.7631,48.117,2.8006,0.1521,39.0184,0.0,0.0332,407.8911,2.0622,0.2792,0.0095,0.6401,0.4439,0.0057,4.8781,0.2974,0.1992,0.2579,3.6073,0.0399,0.0,0.0,0.9544,2.9653,0.0983,0.0134,0.3721,0.0
COL_C25,24.9012,2.3875,36.1903,9.8458,0.0,20.0698,1.6459,5.5753,1.804,3.5654,4.9284,0.5071,1.5222,4.0213,70.2186,89.3957,1.3983,25.9775,12.565,2.9608,0.253,17.3363,0.1731,0.0942,388.9443,0.6476,0.0,0.0035,0.2156,0.1804,0.0026,2.443,0.3383,0.0671,0.0862,1.8795,0.0123,2.4072,0.0,6.4356,1.6445,0.0498,0.0032,0.2069,0.0
COL_C26,0.002,0.0013,0.4939,0.0406,0.0,0.1222,0.0316,0.003,0.1469,0.0732,0.1221,0.0243,0.0705,0.2314,0.0335,0.0212,0.2098,0.494,0.2086,0.0854,0.01,0.3585,0.0,0.0483,0.6161,1.2408,0.2207,0.001,0.0365,0.0684,0.0185,0.3108,0.3415,0.9782,0.8368,0.9552,0.0383,0.1778,0.0,0.5046,2.0314,3.3957,0.2937,0.3299,0.0
COL_C27,1.3207,0.0569,22.5933,1.3201,0.0,3.9675,0.9941,0.0976,0.5565,2.3749,4.1306,0.6096,1.4799,0.0,1.0922,0.6474,1.6496,49.3011,10.569,2.8652,0.2827,13.25,40.4542,7.2296,354.3697,43.0698,7.1587,0.0441,1.1857,2.2194,0.6257,13.6644,11.6788,31.2959,50.7913,30.7547,1.9394,6.9959,5.6842,8.602,0.0,109.2609,6.6046,15.2662,0.0
COL_C28,4.0553,1.9453,5.2888,4.4419,0.2935,12.4415,4.8005,0.8147,3.7511,5.466,4.6946,0.6795,3.9137,10.2484,4.1725,2.8925,0.1698,2.5892,11.2404,6.1085,0.6332,12.0756,0.5133,1.537,60.4987,3.3195,3.7769,0.4881,0.9866,2.1412,1.12,0.5133,0.9213,9.5677,0.5221,0.4618,0.0805,0.2214,0.5083,39.7715,2.3723,1.0379,0.493,1.644,0.0
COL_C29,4.0119,0.0141,5.7227,1.5894,0.0,2.2766,0.6405,0.1879,0.7551,1.1033,0.8258,0.1224,0.634,1.9223,0.4011,0.3182,0.0312,0.5203,1.7729,226.6836,5.881,12.7473,0.1609,11.0487,15.43,70.8101,25.5302,1.0756,5.0253,1.7935,1.2402,1.8366,0.1458,5.6942,0.0,0.7056,0.4971,0.0,0.652,43.4315,0.5526,0.4156,0.1088,5.1061,0.0
COL_C30,1.1389,0.0242,7.6088,1.1155,0.0,0.6066,0.3356,0.0669,0.2821,0.404,0.2769,0.0371,0.125,0.5949,0.0499,0.0483,0.0208,0.2085,0.3413,114.4124,104.5336,9.624,0.0583,2.8277,10.512,10.7147,11.3524,0.8215,9.7516,0.9181,0.3802,1.4266,0.7117,1.3244,0.0,0.2347,0.3683,0.0,0.5722,35.4237,0.4382,0.2526,0.0,1.1797,0.0
COL_C31T33,92.4617,6.5302,153.9233,34.6275,1.8565,94.6106,29.535,8.1344,32.5803,82.9003,31.7024,5.5273,19.1994,68.6257,20.7597,13.6805,1.07,17.546,10.5661,14.0939,3.3691,120.3047,83.2987,48.6328,364.5602,141.506,48.5099,1.181,40.0755,9.9133,1.8345,33.5727,17.2822,74.2368,10.1877,25.5284,30.4063,26.3215,34.35,57.8331,117.6689,104.2072,38.9231,41.8959,0.0
COL_D,59.455,4.6908,53.2733,76.5223,1.5744,255.0966,86.3866,18.4889,146.4136,105.3751,145.056,14.6187,93.4565,310.0484,118.7243,25.5685,1.2525,18.3237,11.8361,5.8883,0.7325,40.2551,2218.1364,102.2651,30.1464,407.8983,9.0907,0.6163,1.6375,77.3668,14.0354,117.4463,14.7692,253.7927,4.097,204.3423,4.6489,46.8626,9.9578,414.9789,175.7918,229.9476,22.415,22.7106,0.0
COL_E,43.3407,1.6347,4.6164,3.1056,5.4684,78.013,29.9629,2.5501,196.921,11.7251,18.2865,2.4552,17.8589,48.5817,290.0706,58.9806,1.1832,15.2873,9.5045,1.6977,0.265,11.0133,11.2772,44.6325,37.3147,112.9987,1.8881,0.6126,3.4427,40.9047,3.1111,80.1195,20.1252,35.919,3.1489,27.9586,3.9786,26.0306,6.3475,61.2266,93.8427,77.3017,15.4975,19.8391,0.0
COL_F,42.6165,0.6058,67.119,3.1469,1.1259,3.0806,1.3996,0.407,0.683,0.9101,2.9822,0.5678,0.6282,5.2989,1.2816,0.4897,0.0289,0.3317,0.6779,0.1348,0.016,6.4951,128.967,205.0815,270.5605,2.5698,7.0387,0.0884,1.1295,21.6104,2.2967,22.3672,4.2597,31.2284,0.0414,72.3824,446.0904,17.4637,7.6833,529.9956,157.0329,111.3867,27.8427,18.5563,0.0
COL_G,718.4401,30.9121,119.1067,89.983,5.993,1739.8353,418.5351,78.6685,206.5553,197.014,427.3391,76.6612,270.2943,181.0656,86.089,46.4734,5.9909,77.7478,43.3189,150.2246,48.7819,151.7869,133.4454,76.8524,1043.1485,824.7697,627.0478,13.157,51.4655,23.6179,22.2994,734.4145,60.6206,177.2445,87.9094,66.7442,14.6026,77.5164,95.7708,336.4512,163.8329,304.9808,43.0107,71.7151,0.0
COL_H49,200.8955,1.8463,740.401,28.4011,0.6086,400.2673,89.6272,26.58,86.0067,61.4668,163.6877,18.6124,76.4836,207.8353,80.4862,34.1393,2.284,29.7309,19.2439,21.8964,3.1279,45.3653,36.0343,40.5693,389.1082,749.3578,7.5227,0.1795,14.4247,16.1586,28.8293,38.8329,17.0752,99.4905,17.9177,20.2006,22.1461,70.8403,49.6009,45.8183,20.7273,60.8268,7.9394,11.9308,0.0
COL_H50,0.4309,0.0904,0.0018,0.1941,0.0022,3.3811,2.2402,0.1802,0.7531,0.0007,0.6172,0.0991,1.6988,0.9454,0.3904,0.2156,0.0316,0.2792,0.4198,1.2847,0.5493,0.657,0.0473,0.0953,5.0355,0.0063,0.025,0.0007,0.1972,0.0008,0.0014,0.1536,0.0407,0.1013,0.0818,0.0399,0.0025,0.0179,0.054,0.0009,0.5888,0.7146,0.0248,0.1077,0.0
COL_H51,16.4482,0.5056,7.0483,5.7273,0.146,20.277,11.6433,1.0987,5.6016,6.4917,14.1153,2.5171,8.7877,8.0028,4.2869,2.3342,0.2875,2.91,2.1008,6.9643,2.4788,4.9793,3.3072,2.4806,38.334,139.5918,3.8334,0.5966,14.1254,7.1583,3.5411,9.2081,3.3219,12.5123,5.3281,65.4323,1.2398,15.9394,13.2499,48.4269,23.7527,15.3277,3.7034,4.2016,0.0
COL_H52,34.8209,0.2327,82.0116,39.3684,0.0208,11.0354,3.9543,0.8283,2.3488,3.6901,27.2817,4.2426,11.5516,5.305,2.6131,1.2183,0.0504,0.8763,0.5735,13.7482,1.4936,3.9948,9.5189,5.2594,29.2556,332.8816,213.6976,4.3792,111.9074,45.6623,0.5381,8.7646,2.7767,3.0376,0.4937,6.5678,1.0999,93.9175,5.8193,87.8673,0.6646,5.3745,5.8496,7.5876,0.0
COL_H53,2.7062,0.0359,0.2457,0.0973,0.0,3.5391,2.0119,0.2997,1.4822,0.532,2.0374,0.5517,1.1532,1.4416,0.4525,0.305,0.0561,0.6499,0.4482,0.0956,0.0087,1.7289,4.2189,3.4818,3.024,84.6812,2.3298,0.0102,0.7299,5.787,22.9076,7.5399,2.105,81.8744,12.6099,35.2732,2.0849,16.9741,16.5144,16.6602,20.1321,27.1403,4.7367,7.5862,0.0
COL_I,3.1975,0.1769,13.8235,4.4145,0.4788,26.3198,13.6748,3.6998,10.8081,52.9763,26.9247,7.1143,9.5813,16.7083,4.3541,2.7886,0.3395,3.3019,3.351,1.4346,0.2172,6.9513,14.3449,20.9119,30.816,264.1958,0.5499,0.0577,17.0278,7.711,2.0919,43.0074,12.4187,21.9094,13.3745,27.1893,2.2458,69.5403,58.553,78.2821,173.6065,191.1309,20.8942,21.012,0.0
COL_J58T60,14.3442,0.0279,3.3549,3.6919,0.3543,132.4354,22.5357,2.1735,15.0108,14.6969,26.9933,6.9296,13.4167,18.9231,1.4837,1.3365,0.1934,2.4389,5.6325,2.4858,0.4459,4.1448,4.0879,5.6221,3.7172,145.7858,17.4298,0.0162,2.5395,7.8973,2.6919,9.7141,50.2213,75.9773,174.5213,19.4076,4.5793,23.062,0.0089,25.646,39.5251,24.6482,62.2803,38.4391,0.0
COL_J61,23.3734,0.2992,4.4409,0.9819,0.0,27.3075,13.997,2.3998,9.0904,3.4859,13.2807,2.8561,8.0546,10.6686,3.0473,2.3018,0.4072,4.2157,3.0049,0.7269,0.0878,14.4923,22.5382,23.4906,27.6511,491.0239,22.7011,0.0877,9.1115,45.3051,5.1663,82.5839,14.4106,552.9982,68.2365,228.6387,15.3692,148.4224,85.3302,101.1992,153.9963,247.6067,40.6687,58.195,0.0
COL_J62_63,7.4974,0.0928,1.0797,1.1011,0.0,30.3191,35.114,5.8671,16.9919,0.5386,28.3172,7.1074,6.1794,21.2253,7.3275,3.867,0.6823,4.9326,4.7019,1.7847,0.4295,18.2641,61.367,168.4472,132.9882,170.0926,2.4807,0.1547,6.2112,9.0171,1.6707,12.7684,40.0789,41.5989,82.8103,108.7224,24.23,24.0087,11.0,19.8487,4.9951,67.1954,16.2072,17.9629,0.0
COL_K,112.2632,2.0194,97.426,8.8124,1.9082,130.9402,53.9157,6.4619,42.5553,104.742,59.6397,10.5297,31.4016,59.5666,16.9021,7.7445,1.1799,12.4103,9.943,7.1031,1.3622,35.1968,194.6765,112.0375,313.6468,429.7307,123.6484,0.8011,15.8313,18.4324,18.6359,57.1397,19.1087,361.295,31.72,1207.7285,626.242,148.6874,103.226,987.282,84.8228,174.1728,22.7342,32.5171,0.0
COL_L,1.0206,0.8835,0.9886,1.749,0.0,44.9684,53.8884,3.159,21.3395,2.4362,20.2232,3.9661,16.9278,14.1047,7.792,5.9715,0.7734,10.3889,5.0151,2.3017,0.1373,46.4167,15.4361,29.3357,54.576,1083.0435,0.5297,0.397,0.4389,46.4569,13.5051,217.7017,16.8343,273.0808,25.5688,333.7577,49.6819,85.5425,225.8264,83.7207,368.2547,160.4891,18.1475,22.1455,0.0
COL_M,65.1538,0.0,10.8278,14.3881,4.0881,75.3397,129.5838,1.922,27.7851,31.5458,108.3548,26.8563,42.0981,60.6377,26.7737,16.1845,2.1268,22.0355,15.2289,7.3645,0.7895,24.4502,115.6381,119.3768,592.6988,622.2684,17.9217,0.4748,7.5801,28.6251,8.9928,48.6846,64.4815,203.7383,33.7438,416.8539,92.6615,209.5985,69.251,383.1446,339.4912,255.7143,61.995,67.4293,0.0
COL_N,41.8272,1.1186,12.7513,21.0028,7.7543,385.4741,168.1196,25.8341,171.1241,92.3942,122.2533,37.2664,95.6935,147.8281,31.1408,19.791,2.2443,27.9257,32.4784,8.5123,0.9848,62.2092,59.6569,95.3055,238.5053,694.4162,3.7533,0.8351,28.5532,68.3524,17.791,57.581,115.4716,274.8646,75.7677,494.088,108.7989,149.0665,123.4556,284.1471,58.1374,302.6438,77.3816,67.2259,0.0
COL_O,10.8074,0.2443,21.1414,10.1816,0.5361,9.9469,7.882,0.3109,5.7414,2.8682,11.866,2.2311,6.6321,7.8556,6.3429,1.8967,0.1311,1.4909,1.4498,3.5168,0.3819,4.0863,10.4216,7.6888,46.004,107.6576,49.2253,1.0371,26.8935,13.3694,0.6914,5.7367,3.9284,11.6718,2.5911,21.9037,4.5195,30.1163,4.3793,30.9146,13.6601,14.8147,4.2563,5.5304,0.0
COL_P,0.0,0.0655,4.1775,1.2484,0.0,6.9313,1.6152,0.2062,1.3132,4.5253,1.5363,0.8647,1.2024,1.6854,1.8005,0.7307,0.0452,0.4457,0.4675,0.5112,0.1002,1.597,6.2331,15.7437,11.0632,19.0372,0.5896,0.0241,0.3973,4.6039,0.7511,2.853,1.1137,10.245,4.9165,10.12,14.8926,0.0,4.1563,99.4975,82.8745,69.1336,4.7551,4.1679,0.0
COL_Q,7.1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5668,0.0,0.0,0.1036,0.0,0.0,0.0,0.1536,2.2415,1050.617,1.3149,1.628,0.0
COL_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5341,0.0,15.0852,4.3985,0.0,0.0,1.1267,0.6068,0.099,1.1326,0.0,1.4739,0.1253,2.3452,0.0,0.0,0.0,40.5401,0.0,0.0,0.0,0.0,3.3383,6.0364,4.6857,45.7113,82.2679,2.2319,2.073,0.0,0.0,7.8787,22.1404,15.0448,62.5809,4.2547,0.0
COL_S,4.0214,0.0369,5.9681,7.8085,2.2488,9.8744,2.9064,0.5137,15.3681,6.6924,15.7945,3.7565,3.0172,6.7433,2.3853,1.4193,0.1706,1.7261,0.5215,1.6421,0.1699,4.2032,0.4439,4.2764,5.8464,85.66,61.9818,3.0021,2.1242,0.4876,5.171,7.994,2.8481,44.2866,9.3871,2.1045,3.0906,16.786,13.2733,17.2511,11.6533,21.4964,16.2899,57.2873,0.0
COL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
