V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_A01_02,1811.4703,24.6858,13.3945,2.8856,0.0557,903.5452,100.6014,22.0105,4.8617,1.7492,9.5643,3.8196,8.4185,1.3482,1.0531,0.744,1.0043,0.7964,0.6214,0.9158,0.2125,7.2605,1.9792,0.3117,16.3236,62.9409,3.7861,2.405,1.3964,2.2573,0.1852,71.5536,1.6189,2.7521,0.5511,2.6322,4.7707,3.9798,4.1703,21.4243,7.7838,19.3528,4.7216,6.3384,0
MMR_A03,12.0874,324.062,2.2815,0.4432,0.0101,69.9992,1.7782,0.317,0.2253,0.2733,0.5729,0.3367,0.1419,0.1877,0.1595,0.0958,0.2073,0.1477,0.115,0.1527,0.0387,1.1866,0.1667,0.0279,1.0101,6.1327,0.5606,0.8641,0.3219,0.3171,0.0259,29.7142,0.2931,0.4247,0.0991,0.2769,0.3172,0.5046,0.3235,1.4327,1.4153,3.3099,0.6988,0.7669,0
MMR_B05_06,1.8519,0.5974,41.1471,1.8827,0.0479,0.6027,0.6742,0.1693,0.2543,102.5983,1.4007,0.0811,0.1444,0.9062,1.1022,0.1475,0.1524,0.1638,0.1879,0.169,0.0419,0.2597,8.1868,0.0447,2.1935,1.4593,1.8612,0.4877,0.6416,0.3229,0.04,0.1669,0.0814,0.2429,0.0484,0.2012,0.4882,0.3167,0.1695,0.6424,0.24,0.3137,0.0979,0.1984,0
MMR_B07_08,1.4596,0.3224,5.3775,24.8105,0.0774,0.3908,0.2322,0.0844,0.2953,2.568,5.0431,0.2065,0.1341,16.6247,54.3281,0.5697,0.1304,0.3556,0.2034,0.105,0.025,0.7485,0.5975,0.0718,15.8869,0.3834,0.2037,0.0265,0.0207,0.1627,0.0042,0.0785,0.021,0.0435,0.0095,0.0354,0.2311,0.1062,0.0633,0.3613,0.0494,0.0901,0.0519,0.1266,0
MMR_B09,0.0111,0.012,3.0992,0.2021,0.0057,0.0023,0.0015,0.0008,0.0031,0.1188,0.0073,0.0005,0.0007,0.0164,0.008,0.0018,0.0003,0.0003,0.0004,0.0004,0.0001,0.0005,0.0333,0.0004,0.0777,0.0034,0.0081,0.001,0.0006,0.0039,0.0001,0.0005,0.0002,0.0007,0.0002,0.0008,0.0043,0.0014,0.0009,0.0021,0.0006,0.001,0.0005,0.0007,0
MMR_C10T12,149.632,16.2375,2.5135,0.6697,0.0096,87.7763,10.5114,0.352,0.9877,0.7975,4.1547,1.6018,0.7688,0.4214,0.4145,0.2242,0.378,0.2949,0.1989,0.2196,0.0506,0.8646,0.2617,0.0854,1.4195,12.1484,0.9627,1.3414,0.9784,0.8862,0.0644,61.4598,0.5718,0.8688,0.2302,0.8052,0.5612,1.5929,1.1858,6.379,5.2182,11.5415,2.094,2.2793,0
MMR_C13T15,2.9185,1.811,3.5374,0.6753,0.0118,1.3097,186.0261,0.5397,0.7227,0.3445,0.5306,0.1913,0.9406,0.4592,0.3345,0.3192,0.5145,0.4256,0.317,1.1868,0.1309,5.0348,0.1999,0.0718,2.3509,4.4068,0.8412,0.2693,0.3133,0.35,0.0891,0.6958,0.3271,0.5323,0.09,0.3323,0.2647,0.6063,0.5708,2.5132,0.575,2.0952,0.6578,1.7059,0
MMR_C16,2.5033,0.7399,1.4543,0.886,0.0091,0.7463,0.9473,41.6672,2.169,0.1117,0.3945,0.0759,0.3793,1.0554,0.4032,0.4981,0.3244,0.4731,0.2871,0.7902,0.2452,23.9284,0.2441,0.0347,27.1749,2.1899,0.3919,0.0668,0.0518,0.4395,0.0215,0.1986,0.1858,0.1689,0.0415,0.1101,1.3115,0.4287,0.3241,0.4572,0.324,0.2368,0.2143,1.0051,0
MMR_C17_18,1.5658,0.4054,1.1936,0.6477,0.0043,3.6683,3.7257,1.1819,24.2941,0.2887,1.2281,0.6975,0.7961,1.2819,0.3415,0.3047,0.7655,0.7056,0.2833,0.3722,0.0548,1.7769,0.1971,0.064,1.241,6.6656,0.6519,0.1685,0.1987,0.6269,0.2507,0.5741,8.4269,1.3385,0.5274,2.6557,0.5561,2.8453,1.3316,2.905,2.1699,1.4931,0.7402,1.3295,0
MMR_C19,15.7904,6.8125,18.6723,6.9342,0.0753,1.2067,2.3868,0.9643,0.842,24.6256,5.3809,0.3451,1.078,2.4827,2.4427,0.5051,0.4927,0.6616,0.353,0.5241,0.1332,1.3333,3.594,0.2939,7.5521,8.2768,28.2715,7.4466,10.8916,2.5899,0.3665,0.6227,0.3395,0.9626,0.1975,0.9445,0.6761,1.2021,1.177,3.6962,1.1372,1.7358,0.4571,1.2798,0
MMR_C20,24.455,0.8117,7.8483,3.4552,0.0302,1.7496,8.8501,2.6686,4.2545,5.7472,24.4346,3.07,13.7508,3.0135,1.946,1.101,1.8288,2.2493,0.7476,1.364,0.2241,3.7978,0.4109,0.2224,4.8709,3.0555,0.6708,0.2129,0.1876,0.3245,0.0298,0.4288,0.7449,0.2127,0.1056,0.263,0.6195,1.1003,0.8731,1.3881,0.7227,5.6855,0.3589,2.0565,0
MMR_C21,1.6896,0.1479,0.5037,0.3234,0.0017,0.3,0.5247,0.0574,0.0918,0.1286,0.8776,4.7948,0.2203,0.0665,0.1379,0.0277,0.0784,0.05,0.0382,0.047,0.0174,0.1294,0.0184,0.0131,0.1566,0.3485,0.0595,0.0259,0.028,0.0306,0.0041,0.0572,0.0371,0.0482,0.0154,0.0481,0.0321,0.2992,0.0564,0.424,0.1282,8.9367,0.0545,0.1185,0
MMR_C22,3.2832,1.149,4.4317,1.3948,0.0206,3.4789,6.3675,1.2129,1.6538,0.6369,2.2365,0.6762,8.2919,1.194,0.5719,0.9621,2.5168,2.9393,1.3945,5.172,0.4008,4.7324,0.1753,0.1304,10.5118,7.3578,3.5649,0.1457,0.2754,0.571,0.0849,0.3468,0.3271,0.4977,0.0903,0.264,0.5353,0.7704,0.5722,0.8601,0.2535,1.1248,0.202,1.1276,0
MMR_C23,2.2664,0.25,3.5731,2.4295,0.0349,2.0694,0.7435,1.1821,0.168,0.3257,0.8796,0.4236,0.7194,19.7015,1.5517,0.7514,1.395,1.1343,0.4798,1.6478,0.1442,1.5388,0.27,0.091,70.9859,1.8928,0.4457,0.0992,0.0849,0.2326,0.0136,0.4138,0.0769,0.2671,0.0319,0.1464,1.9438,0.4325,0.208,0.8163,0.3059,0.6986,0.1686,0.5205,0
MMR_C24,0.4421,0.0906,10.2751,1.3694,0.0546,0.2581,0.3786,0.446,0.2138,0.29,0.6052,0.063,0.6965,1.4885,39.8569,16.3869,3.8236,10.5126,7.1288,9.6924,1.4074,5.8479,0.3156,0.2836,15.8875,1.1834,0.425,0.0445,0.0368,0.1815,0.0041,0.0259,0.0495,0.1196,0.0151,0.035,0.1947,0.2422,0.0918,0.2053,0.056,0.1042,0.0272,0.2411,0
MMR_C25,2.4158,0.7206,10.2411,1.7271,0.0373,1.459,1.8229,1.3332,0.3539,0.6892,0.7063,0.1481,0.732,1.0455,2.6678,6.6468,1.9949,2.7721,3.5746,4.4681,0.797,3.4203,0.4602,0.1128,18.6916,2.5711,0.6228,0.2026,0.1648,0.4071,0.0222,0.1918,0.1148,0.4798,0.0678,0.159,0.4979,0.5761,0.3303,1.0921,0.2439,0.3408,0.1429,0.6418,0
MMR_C26,0.505,0.2018,1.3876,0.2648,0.0063,0.2394,0.4207,0.092,0.1337,0.1705,0.1506,0.0661,0.1127,0.138,0.1457,0.1714,15.176,1.9097,0.5458,0.8099,0.1781,0.7836,0.2037,0.029,1.4352,1.5078,0.3381,0.0874,0.1735,0.1991,0.0496,0.1012,0.3037,3.776,0.5431,0.4976,0.1321,0.8972,0.2797,1.1938,0.4353,2.0271,0.1789,1.1084,0
MMR_C27,0.6382,0.2656,2.052,0.5142,0.0086,0.2551,0.4976,0.143,0.1317,0.2941,0.1749,0.0496,0.1836,0.2435,0.4292,0.432,4.5599,10.4911,1.5144,2.4287,0.3546,1.135,1.2312,0.0439,7.6799,1.9288,0.7175,0.1407,0.1407,0.2934,0.0352,0.1458,0.1401,1.6624,0.1419,0.2436,0.3167,0.4844,0.2524,0.6436,0.2238,0.4125,0.1732,1.0011,0
MMR_C28,2.3034,0.4389,11.1013,2.0224,0.0275,0.439,0.9318,0.3196,0.351,0.4846,0.3032,0.0772,0.2782,0.5366,0.6266,0.5623,0.7319,0.8487,3.1405,1.8048,0.3364,1.1987,0.3886,0.0611,3.4659,1.451,0.4939,0.1828,0.2246,0.2563,0.0191,0.1036,0.0918,0.3001,0.0468,0.108,0.1565,0.2686,0.2328,1.1787,0.1161,0.2303,0.0847,0.3803,0
MMR_C29,0.7061,0.1483,1.2544,0.3821,0.0052,0.1849,0.3371,0.0999,0.067,0.0847,0.0921,0.0265,0.1449,0.152,0.4139,0.208,0.2946,0.3676,0.4386,19.054,0.1686,0.5336,0.0708,0.0377,0.7338,5.5671,2.6961,0.0732,0.1057,0.3015,0.033,0.05,0.0378,0.1889,0.033,0.0818,0.0808,0.1689,0.2172,0.4418,0.07,0.113,0.0511,0.2638,0
MMR_C30,0.0587,2.2831,0.3916,0.0663,0.0007,0.0153,0.0244,0.0099,0.0058,0.0092,0.0066,0.0027,0.0084,0.0111,0.018,0.0221,0.0471,0.038,0.0449,0.2408,3.1677,0.1891,0.0092,0.0022,0.1082,0.2039,0.966,3.2784,1.8003,0.157,0.0053,0.0071,0.0051,0.0177,0.0034,0.0076,0.0113,0.0251,0.0516,1.6744,0.0096,0.0305,0.0146,0.0713,0
MMR_C31T33,2.8919,1.4746,9.1344,1.8529,0.0362,0.9491,6.6305,1.5857,0.6806,0.9147,0.5786,0.2364,0.4967,1.0248,0.7271,0.5766,1.318,0.885,0.641,1.5854,0.359,13.2839,0.8327,0.1332,5.3252,4.538,1.9958,0.7094,1.7125,0.8452,0.0962,0.849,0.4646,1.6869,0.2672,1.3626,0.9514,1.5456,1.0807,2.7186,1.9546,4.1146,1.2835,1.6851,0
MMR_D,2.8596,0.6222,10.1096,2.9204,0.0176,0.8946,2.2513,0.6942,1.0773,1.566,1.2515,0.1747,0.5685,1.6404,2.179,0.3951,0.4199,0.4382,0.2886,0.442,0.1091,0.6427,7.0969,0.1989,0.7855,3.0356,1.2037,0.1455,0.1275,0.7158,0.0733,0.8201,0.2696,1.0632,0.1204,0.791,1.2615,0.573,0.3655,2.1139,1.5403,1.4212,0.5404,0.8796,0
MMR_E,0.3838,0.0617,0.6864,0.1502,0.002,0.1338,0.2302,0.0584,0.1539,0.0983,0.1005,0.0235,0.0563,0.0966,0.6616,0.0739,0.042,0.0357,0.0286,0.0372,0.0096,0.0685,0.138,0.2675,0.2385,0.449,0.138,0.0328,0.0168,0.0795,0.0073,0.146,0.0369,0.0944,0.0181,0.0854,0.3267,0.1143,0.0604,0.6114,0.1873,0.2719,0.0695,0.1593,0
MMR_F,5.1847,0.8345,12.2412,2.7955,0.0494,0.8186,1.6027,0.5838,0.3644,1.0984,0.473,0.1608,0.2854,1.0544,0.6218,0.3958,0.4833,0.4391,0.3218,0.4191,0.1049,0.9211,2.5272,0.4525,69.3532,5.8451,2.7099,0.3974,0.4356,2.8061,0.1698,0.98,0.3548,2.7381,0.2283,2.2135,23.5228,2.3847,0.7589,10.5785,2.9178,2.3656,1.0263,1.191,0
MMR_G,110.1354,30.1357,21.1326,7.1052,0.1278,61.4071,52.6583,6.5562,5.3482,9.135,7.1136,3.68,4.393,6.2507,6.1304,3.3246,7.2419,5.3517,3.5896,10.081,1.3581,11.5178,2.0062,0.4687,17.9793,73.4443,21.512,3.1389,3.828,3.817,0.5667,12.076,3.9727,6.9619,1.2063,3.7051,2.3073,4.8678,4.5672,8.0294,2.8796,7.5645,2.2282,4.1267,0
MMR_H49,28.143,7.154,18.1086,5.174,0.0489,15.2159,6.4967,2.174,1.5469,3.3962,1.9666,0.4488,1.0592,2.7992,2.7836,0.9483,1.065,1.0738,0.7332,1.476,0.2633,2.065,0.7555,0.1404,6.2459,13.3542,11.3781,1.1809,0.9639,4.1588,0.4776,2.468,0.6276,0.7258,0.19,0.8767,0.4611,1.0167,0.8735,2.2416,1.2092,1.5048,0.4078,1.0799,0
MMR_H50,2.7873,1.3879,10.1647,1.6984,0.0222,1.2423,2.8912,0.5033,0.5113,2.219,0.9338,0.1706,0.4602,0.6312,0.881,0.4362,0.4549,0.4808,0.385,0.5965,0.1921,0.5823,0.178,0.0292,1.4014,4.8155,2.4322,15.3083,0.5208,2.5775,0.139,0.3109,0.1261,0.2902,0.0589,0.2148,0.104,0.3362,0.4231,0.8468,0.1771,0.4032,0.1015,0.2296,0
MMR_H51,2.5223,0.6841,1.933,0.4448,0.0063,1.0418,2.8546,0.1879,0.3171,0.6612,0.6781,0.1624,0.4318,0.3063,0.6023,0.389,0.3985,0.4023,0.3357,0.5288,0.2051,0.4844,0.1359,0.023,1.3963,1.1542,0.7656,0.4038,1.0549,0.4347,0.0923,0.3011,0.1125,0.215,0.0553,0.2544,0.0898,0.2789,0.3505,0.69,0.1697,0.4372,0.0919,0.2379,0
MMR_H52,5.1526,1.9145,3.1612,1.4276,0.0277,2.8727,1.5881,0.4195,0.3556,1.1887,0.5343,0.1327,0.257,0.5952,0.6269,0.2229,0.2906,0.2705,0.1668,0.3827,0.0697,0.4538,0.1853,0.0371,1.1354,7.9291,7.5774,5.5126,5.3844,6.4996,0.1426,0.49,0.176,0.4547,0.072,0.2414,0.1509,0.389,0.332,0.6351,0.1512,0.2709,0.0943,0.2427,0
MMR_H53,0.1969,0.0577,0.5872,0.1164,0.0018,0.0999,0.3882,0.0469,0.0634,0.0906,0.0834,0.0333,0.0388,0.0555,0.0479,0.0386,0.0881,0.0724,0.041,0.0519,0.0106,0.1237,0.0924,0.0176,0.1843,1.8779,0.3157,0.0736,0.0728,0.2933,1.3975,0.1132,0.3467,1.8449,0.1194,1.143,0.1623,0.5075,0.3187,1.1901,0.2036,0.2799,0.152,0.3498,0
MMR_I,0.581,0.2747,3.4153,0.6444,0.0102,0.4952,1.4599,0.2159,0.2327,0.3232,0.3391,0.183,0.2043,0.3065,0.2569,0.2043,0.4434,0.2665,0.2092,0.253,0.0728,0.473,0.2278,0.0552,1.2556,4.7279,1.4869,0.3973,1.8055,1.1481,0.0901,0.7735,0.52,0.9327,0.4113,2.2146,0.5639,1.8663,1.7071,3.1847,1.4751,2.1015,0.7386,1.383,0
MMR_J58T60,0.3447,0.0789,0.8185,0.2476,0.0034,0.4624,0.8247,0.1198,0.5174,0.1762,0.2634,0.1463,0.104,0.1582,0.0961,0.0852,0.2497,0.1533,0.0884,0.1591,0.0338,0.2863,0.1283,0.0323,0.4627,3.6994,0.4619,0.1181,0.2131,0.3453,0.082,0.3625,6.8286,2.3823,0.4839,1.828,0.3663,3.8846,0.9149,1.9589,1.9564,0.6296,1.2686,0.9916,0
