V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_A01_02,27.8761,0,0,0.0012,0,77.3546,0.2754,2.6612,1.9288,0,3.3611,1.2647,12.9257,0.1727,0.5649,0.3066,0.015,0.0066,0.1348,0.0046,0.0004,0.2893,0.4117,0.0615,0.4135,0.2116,0.3189,0.1919,0.1572,0.15,0.0205,5.1916,0.0119,0.0282,0.0301,0.0958,1.0256,0.5485,0.3243,2.296,0.0662,0.4409,0.666,0.0775,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.0404,0,0,1.3769,0,0.0052,0.1189,0.0,0.27,0,2.7925,0.0696,0.2053,17.5861,19.0305,0.2929,0.0108,0.0102,0.1598,0.0014,0.0001,0.0429,8.5587,0.1113,7.7741,0.0,0.5267,0.0016,0.0029,0.0412,0.0012,0.0037,0.0,0.0,0.0,0.0,0.0729,0.0118,0.0048,0.0146,0.0001,0.0,0.0,0.0004,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,12.0441,0,0,0.1368,0,39.5449,0.2623,0.076,3.2367,0,13.4812,6.0569,3.6386,0.9102,6.4398,1.6016,0.2573,0.0621,1.1751,0.0357,0.0016,0.4998,0.0623,0.1494,3.9867,1.2784,0.3856,1.6604,13.7468,1.3315,0.3807,97.9153,0.0326,0.0535,0.0,0.0035,1.569,2.346,4.4171,4.2614,12.2992,19.7627,0.6247,0.5564,0.0
LUX_C13T15,0.5893,0,0,0.3141,0,0.1924,130.4995,0.0167,2.0055,0,0.9429,0.3417,11.9301,1.2464,3.8829,1.5193,0.2914,0.0859,1.3181,0.3635,0.0067,1.98,0.2024,0.6589,7.1605,3.4835,1.5757,0.2015,1.5053,0.2923,0.4256,1.0786,0.1613,0.0157,0.0074,0.0066,0.4415,0.7134,1.1553,0.5869,0.0885,5.7287,0.157,0.3373,0.0
LUX_C16,0.2112,0,0,0.22,0,0.7883,0.0818,44.3339,10.6041,0,1.5064,0.2453,5.6796,5.7635,24.3178,6.8093,0.3955,0.2274,3.1019,0.321,0.0285,8.0906,0.5721,3.2746,122.4835,4.7732,0.6932,0.0716,0.3208,0.7198,0.15,0.1755,0.1083,0.0385,0.0725,0.2815,3.7346,0.9383,0.5989,1.4082,5.1709,0.2904,0.0586,0.2436,0.0
LUX_C17_18,0.0176,0,0,0.0358,0,6.7624,0.0908,0.973,144.16,0,7.9912,5.0216,21.4082,10.6963,20.3687,7.5051,1.9738,0.6057,6.2749,0.2802,0.0103,2.3717,0.323,0.1659,5.0287,63.8552,2.6568,0.4408,6.0518,2.4308,5.0518,0.2314,26.7844,0.5502,40.4909,7.3778,4.7612,25.0608,15.2999,3.5228,0.1548,0.9145,0.3847,1.1214,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
