V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_A01_02,8718.6618,76.8905,19.0874,2.0029,1.1732,5710.4222,1227.1601,285.5374,135.9192,3.8724,57.2171,20.0327,40.8436,10.7079,5.1563,4.3206,4.7145,3.1575,4.6252,5.2729,1.7874,49.6838,25.3314,6.2889,63.4387,327.0136,22.5684,12.0959,8.7266,11.6013,1.4997,595.7083,11.3035,15.4395,4.3245,17.6404,28.9125,27.3433,25.493,142.6863,47.6188,113.9959,27.2673,42.7697,0.0
PAK_A03,20.8455,291.8389,1.2657,0.0952,0.0831,137.8616,5.0034,0.3662,0.5861,0.2861,1.2256,0.5562,0.3287,0.4455,0.2889,0.2027,0.3304,0.2015,0.2938,0.3084,0.0994,1.2243,0.8791,0.2338,1.4778,10.3372,1.2668,1.3235,0.7125,0.5704,0.0753,75.3023,0.6926,0.8143,0.255,0.6892,0.6667,1.2101,0.7698,3.2518,2.6383,6.1375,1.3727,1.6475,0.0
PAK_B05_06,25.12,2.6235,359.5401,5.7076,6.1923,19.0515,38.8993,1.1656,12.8573,1715.0134,116.8195,2.5907,4.8935,46.2521,44.8081,3.6458,1.275,1.822,2.4974,1.9266,0.8882,3.4156,1224.3009,3.8131,16.3116,30.7302,20.514,3.1253,2.9416,5.0236,1.132,6.3797,1.0192,1.6726,0.4313,2.0849,6.897,4.7466,2.7407,14.2971,8.1124,11.852,2.2082,5.5065,0.0
PAK_B07_08,7.1054,1.075,3.0167,7.3127,0.7479,2.1748,1.7914,0.0818,1.5553,1.6579,26.3086,0.8236,0.4201,72.7397,86.3734,1.4759,0.2945,0.6966,0.7386,0.243,0.0995,2.1548,3.3695,1.0735,42.8265,1.3965,0.6914,0.0615,0.0353,0.5698,0.0126,0.5054,0.0656,0.0824,0.0261,0.0671,0.866,0.3971,0.2334,2.1789,0.1841,0.326,0.2345,0.5866,0.0
PAK_B09,1.8789,1.5396,69.2929,2.8189,2.5787,0.368,0.2211,0.0339,0.5821,4.5758,1.5978,0.0746,0.1075,2.6062,0.778,0.232,0.0146,0.0125,0.0388,0.0248,0.0071,0.03,10.9146,0.2566,7.9414,0.3483,1.1651,0.1263,0.0364,0.5117,0.005,0.0948,0.0206,0.0311,0.0153,0.0496,0.75,0.1522,0.1315,0.3532,0.0751,0.1619,0.0785,0.0997,0.0
PAK_C10T12,1191.9187,82.1991,2.6085,0.3976,0.198,939.1873,101.2235,0.9718,7.8948,1.6737,35.8431,12.4089,5.3124,3.3346,2.171,1.4901,2.0319,1.3098,1.6827,1.4775,0.476,4.3074,4.1869,2.31,6.94,98.0437,6.6898,8.8439,6.074,5.2469,0.5702,861.6086,5.1441,5.8049,2.1483,6.3225,4.7564,13.9694,9.9783,64.1553,48.2455,110.1608,17.759,22.1886,0.0
PAK_C13T15,41.0693,11.6471,7.6942,0.824,0.48,22.73,2938.081,3.2535,12.2965,2.5458,12.9716,3.185,13.5249,6.7892,4.0109,4.5823,5.8349,4.2146,5.8142,13.9845,2.3139,35.1141,7.8314,4.1481,23.5504,66.3535,12.4909,3.5539,4.3904,4.4807,1.5693,16.3212,6.4218,7.5266,1.6714,5.8076,4.9739,11.3371,10.2414,53.2169,10.996,38.0418,11.355,31.822,0.0
PAK_C16,35.3288,7.1941,3.0903,0.9264,0.3044,13.6289,22.0018,180.7883,34.2266,0.3113,6.4406,1.0391,4.8706,13.2565,3.1204,5.4328,2.9788,3.6047,4.0572,8.7222,4.761,221.9428,5.928,1.5294,225.9126,34.0221,4.5248,0.7658,0.4588,4.9623,0.337,4.7725,3.0649,1.8764,0.651,1.2803,20.8893,6.8791,5.2493,8.4677,5.7266,3.6586,3.5557,19.6849,0.0
PAK_C17_18,37.7458,6.2075,3.2549,0.9965,0.2325,121.4445,137.3016,8.4443,552.2488,1.2539,32.9658,16.5416,17.1717,25.4874,4.2043,5.326,11.5387,8.6683,6.5117,6.5429,1.3317,26.3348,7.6431,4.7195,16.1638,158.3767,11.9081,3.308,3.4713,10.5038,6.0664,23.3903,209.5545,24.0489,13.9687,57.2406,13.4512,66.2683,31.5699,83.3912,57.5909,42.2782,17.2972,36.6301,0.0
PAK_C19,324.9785,95.9163,47.4687,9.865,3.6217,32.1278,99.6513,5.4493,16.3284,103.5245,120.4797,6.3722,17.025,42.703,30.3165,7.6046,6.1756,6.824,7.0259,7.9209,3.0223,18.0803,127.4003,19.6617,84.3915,181.7128,483.1416,133.2387,177.6476,40.7094,8.5279,22.3562,7.9052,16.9459,4.8295,19.4046,14.9023,27.7777,25.9357,102.3651,28.9104,43.3402,10.6504,34.138,0.0
