V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T
TUR_A01_02,7840.0509,1.4572,19.1527,19.2603,0.1381,18119.6104,3066.0669,534.7093,249.1694,40.691,147.102,44.79,88.0907,12.4287,3.8346,5.4418,0.523,2.4283,7.1175,21.4739,3.7856,134.7127,1.9121,2.8423,31.0428,224.2675,29.4768,17.3771,4.3215,3.2978,1.5783,2595.1621,1.444,1.0902,3.8902,6.6817,30.1334,58.0089,116.784,475.5367,67.2456,126.3871,5.6739,55.1247,0.0
TUR_A03,3.2381,13.9249,0.0141,0.0208,0.0008,97.0007,0.0297,0.0023,0.0058,0.0409,0.0229,0.0017,0.2745,0.2638,0.0402,0.0141,0.0016,0.0104,0.0097,0.013,0.0062,0.0493,0.0128,0.0032,0.5585,7.859,0.1599,0.2572,0.0962,0.1358,0.0044,308.4878,0.0017,0.0016,0.0039,0.0046,0.0131,0.386,0.6631,8.5753,2.07,4.6843,0.216,0.0962,0.0
TUR_B05_06,4.5582,0.0446,7.3864,3.754,0.5121,22.5752,4.7889,6.8498,3.0241,578.2142,3.947,0.1234,4.5299,106.015,225.7119,0.6397,0.0872,0.4567,1.0591,1.124,0.0734,1.246,1099.764,1.2508,7.6089,196.604,6.2817,0.0748,0.0417,0.1444,0.4492,26.5656,0.15,3.9575,0.2761,11.2189,82.853,1.393,2.1037,13.7152,36.1423,6.1071,0.5295,33.5956,0.0
TUR_B07_08,13.2256,0.0564,5.8572,178.0919,1.9416,26.9106,24.2043,1.9499,25.3583,104.501,398.9321,0.3831,12.8141,995.3643,1079.1977,43.4078,1.3368,13.282,7.6092,11.4478,0.5388,13.9622,8.3353,3.7097,487.7219,20.8173,8.6195,0.248,0.3537,0.1754,0.052,2.3424,0.4813,0.3379,0.2339,0.8178,7.009,7.0493,4.5441,5.0411,4.4683,6.6546,0.1887,1.4022,0.0
TUR_B09,3.048,0.2427,15.1443,32.7708,6.8701,1.0777,0.1203,0.1177,1.9021,49.8355,4.7746,0.0446,0.6868,18.9689,9.3358,2.1457,0.0011,0.0218,0.1563,0.0423,0.0035,0.0419,86.8633,2.1947,63.0897,0.7399,7.2966,0.167,0.0166,1.158,0.0007,0.2176,0.0067,0.0,0.022,0.0252,2.9373,0.171,0.203,0.4819,0.1777,0.1621,0.0798,0.1324,0.0
TUR_C10T12,1286.0925,19.9494,0.604,17.7973,0.2895,5717.1089,301.1047,3.4131,58.148,6.0045,132.0385,6.6113,8.6912,10.1406,3.0633,8.4818,0.2929,5.339,13.3578,2.6744,1.4614,27.7511,6.1095,8.8175,26.5781,355.581,28.4596,33.4363,13.8985,8.1649,6.0211,5064.3241,10.6625,4.2726,7.1928,16.9822,3.7524,95.6673,224.5502,370.4573,93.135,196.6049,15.9136,45.7213,0.0
TUR_C13T15,46.1103,1.4146,11.5825,33.337,1.2593,98.4846,12494.7799,29.5392,162.3496,19.4457,78.6992,9.8719,140.0934,71.2356,141.2693,57.929,23.4414,44.8263,58.1726,152.0951,23.9245,750.8429,38.9238,20.1731,161.6669,306.4534,159.587,5.8116,122.8027,13.9578,15.7161,97.452,19.9639,2.967,3.7848,11.9155,48.6464,128.427,271.1008,252.9189,110.7371,88.6674,13.7224,191.6167,0.0
TUR_C16,22.0948,0.1605,1.7098,2.7275,0.7171,14.0395,18.6947,530.9892,47.5878,3.1423,11.1239,0.6366,25.1886,41.7916,132.7449,43.5951,3.6342,31.4715,23.8845,11.4081,15.0528,755.3789,6.384,9.7783,1045.0408,42.9662,80.278,0.1972,0.6146,0.6918,0.1904,7.8123,1.6409,0.502,12.1829,3.4891,13.7777,28.8565,27.6869,20.2214,23.291,13.3208,0.6371,43.3935,0.0
TUR_C17_18,24.6787,0.9361,1.1076,11.874,0.497,270.5092,156.5377,49.0708,1457.7374,12.8223,167.9017,9.2465,144.6237,256.1278,51.4204,96.5171,10.7817,77.9761,87.7463,33.452,4.2498,91.2886,26.045,125.8309,104.0576,636.6391,131.4232,1.0316,4.5091,38.6724,27.1098,101.2857,387.7466,38.6533,52.4768,245.3425,14.3654,797.5985,728.0765,207.8579,284.9323,109.2735,44.7041,93.1995,0.0
TUR_C19,524.3579,8.6124,34.3947,268.6094,6.4986,96.3768,178.4469,20.2202,52.426,1111.4955,167.6381,2.2318,106.6029,356.7777,139.3781,94.0353,1.9625,48.2578,38.3704,108.6058,6.0493,56.0282,147.919,51.0126,901.1511,706.8024,2395.6787,133.188,684.1619,86.5415,34.5441,95.8046,7.4801,6.861,9.2512,142.1947,291.8311,63.7103,137.1804,245.7352,178.4716,47.9839,2.908,77.9971,0.0
