V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T
HRV_A01_02,522.8664,2.504,4.9744,2.4979,3.1353,748.4149,72.9106,119.0019,7.079,6.0141,1.8888,0.8055,1.8306,3.1693,0.635,4.3862,4.13,2.2028,1.9058,0.3944,5.6493,2.4735,16.0024,3.3152,26.9337,258.0268,15.0995,0.6921,3.0593,4.1797,0.9423,25.6992,6.5706,9.0409,2.9185,10.6714,5.5753,14.6282,13.0491,12.4568,1.7655,5.3241,4.9963,22.5592,0.0
HRV_A03,4.8107,17.1977,0.0043,0.0181,0.0043,9.6208,0.0095,0.0328,0.0659,0.3269,0.0291,0.0108,0.019,0.1442,0.0094,0.0729,0.0242,0.0731,0.0401,0.0225,0.0121,0.131,0.0499,0.0292,0.5776,5.4738,1.5879,0.09,0.3895,0.0845,0.0254,7.3887,0.229,0.1015,0.004,0.0717,0.0044,0.1123,0.0208,0.0568,0.3408,0.2824,0.3128,0.0306,0.0
HRV_B05_06,0.0035,0.0559,0.8263,3.8781,3.8204,6.9003,0.003,0.0044,0.0005,191.703,1.0725,0.0054,0.0074,0.0,0.4098,0.0047,0.0002,0.0148,0.0,0.0003,0.0001,0.0019,33.7685,0.0702,1.1371,0.008,0.0027,0.1042,0.0,1.8136,0.0,0.0045,0.0047,0.007,0.0,0.0,0.1497,2.1796,0.0498,0.0017,0.0,0.0199,0.0002,0.0198,0.0
HRV_B07_08,5.3269,0.6561,1.1196,46.1851,0.1082,19.5184,0.3754,0.1564,0.0181,0.0,8.468,0.2935,0.3003,58.8615,2.3665,0.566,0.0318,0.1098,0.0421,0.0183,0.0623,0.237,0.1107,1.9187,165.0524,14.1738,0.0221,0.1342,0.0,0.1794,0.0,1.8872,0.0085,0.0076,0.0025,0.0049,8.9515,29.2646,2.4697,0.0378,0.037,0.5825,0.2409,2.9896,0.0
HRV_B09,0.0,0.0533,2.012,0.0075,1.237,6.4267,0.0028,0.004,0.0004,165.2014,3.8229,0.0186,0.0067,0.0,0.4079,0.0043,0.0002,0.0137,0.0,0.0003,0.0,0.0018,16.3831,0.0643,8.8075,0.037,0.0152,0.0968,0.0,1.6234,0.0,0.0264,0.0,0.0,0.0,0.0,0.0938,1.9433,0.046,0.0,0.0,0.1684,0.0002,0.0178,0.0
HRV_C10T12,138.3902,0.6238,0.0013,0.0194,0.0006,326.5092,0.6532,0.0259,1.7224,0.0195,0.5526,0.202,0.0549,0.2886,0.0473,0.0435,0.0076,0.0445,0.0364,0.0053,0.0363,0.0635,0.4541,0.0609,6.0221,22.0091,0.1287,0.0678,0.1331,3.7232,0.0072,163.5343,0.7107,0.0056,0.0369,1.4196,1.0113,4.9938,6.3617,21.6032,6.3695,22.0898,9.3304,4.0432,0.0
HRV_C13T15,3.2933,0.0328,0.0131,0.0872,0.0056,1.7989,93.8348,0.0382,0.4782,0.1555,0.1833,0.0996,0.6562,0.2145,0.4515,0.2728,0.0882,1.0446,0.0796,0.1057,0.1928,23.8433,0.8559,0.7959,2.2789,7.8763,0.6108,0.1539,0.2569,3.8315,0.639,5.6584,0.1495,2.2295,0.1299,4.2812,1.5724,1.1445,2.4789,34.2238,1.0038,8.8423,3.442,1.3519,0.0
HRV_C16,4.2358,0.0993,0.1524,0.07,0.0119,3.4021,1.5043,57.1046,1.105,0.4476,1.4533,0.2897,2.0382,2.8584,0.3383,0.687,0.0626,4.0653,0.7907,0.1953,2.6061,56.6762,2.0476,0.1459,138.4225,20.1123,1.3219,0.0807,0.3014,4.5509,0.0027,1.4973,0.0639,0.0495,0.0101,0.2437,39.6489,28.7713,4.2054,0.4555,0.986,0.6577,0.6177,7.6737,0.0
HRV_C17_18,16.0651,0.3862,1.5175,1.4086,1.0631,68.9904,3.6574,1.307,81.9055,4.0544,4.3449,1.124,1.4013,8.5675,0.3506,2.026,0.9585,1.8558,1.7083,0.2072,2.602,2.5775,5.7393,2.3751,7.5859,47.57,4.7853,0.3374,0.8222,4.455,1.1264,27.8795,49.941,6.2803,2.6324,23.7683,2.5803,3.7064,1.8498,2.0551,4.8385,9.1646,17.521,28.9251,0.0
HRV_C19,65.9188,4.4222,0.1469,2.5965,0.0852,4.551,0.75,0.7589,1.1067,88.8857,6.8933,0.8716,1.142,2.5247,0.5807,1.9348,0.7355,5.8632,2.946,2.477,1.499,6.1285,253.536,10.6901,186.1148,166.0102,131.7707,14.8648,30.3738,41.587,5.983,32.7613,3.4451,10.7038,1.2211,17.7218,28.8953,16.7577,11.8664,64.5547,4.0518,18.8481,14.2724,10.1133,0.0
