V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_H51,2.7448,0.0156,0.2931,0.0369,0.0149,3.4769,0.3396,0.4733,0.423,5.1636,0.9306,0.2146,1.3302,0.8289,1.5606,0.7714,0.4914,0.2718,0.3967,1.9173,0.0354,0.6357,3.0531,0.0748,3.2538,0.0605,0.1534,0.015,0.0149,0.015,0.0156,0.342,0.118,0.6554,0.0159,0.0921,0.4481,0.0909,0.0707,0.1186,0.0919,0.5482,0.0172,0.2125,0.0
POL_H52,54.6527,2.9806,9.7049,6.303,0.056,158.149,6.0177,12.2539,13.116,111.5255,54.8645,8.7432,17.1056,24.2647,20.1477,18.6401,8.1599,11.3642,14.2847,59.2581,4.3584,32.1648,39.8078,6.0661,64.725,2368.5811,325.3574,145.7927,246.9655,1199.2049,0.9005,8.9238,5.883,3.5437,1.3848,10.4048,7.2067,17.051,71.1754,6.0402,3.6372,4.5375,1.9948,15.6628,0.0
POL_H53,5.1682,0.1413,1.4287,0.9443,0.0,42.8415,3.465,1.172,9.5963,4.1141,13.0778,3.0904,4.6969,6.5453,2.861,5.2755,6.0811,4.9902,8.8335,9.8581,2.5862,6.5509,18.5463,4.9922,24.4728,253.7188,42.427,1.2177,1.963,39.7106,54.8712,3.5455,30.9456,24.6225,20.7169,24.3951,34.3062,53.8631,24.3205,8.7927,3.6065,16.0736,15.7421,10.7079,0.0
POL_I,5.9169,0.0333,22.3989,1.2835,0.003,45.2677,8.1393,4.9084,9.6066,1.7304,10.801,3.7454,8.8576,9.9768,3.5384,15.4124,13.6708,12.4707,22.1543,10.6424,4.3853,33.0972,7.8944,3.6636,128.9865,244.7373,107.2169,5.3785,24.9615,225.5379,2.1736,52.2035,17.2662,10.0262,18.802,35.7443,8.4699,83.7307,160.4487,50.4432,52.1517,29.9356,22.8757,5.9395,0.0
POL_J58T60,15.621,0.1224,6.42,3.0857,0.0053,136.9053,11.7176,6.92,88.079,8.6122,38.3967,61.7436,22.1251,20.7148,10.2369,21.0321,4.6184,12.6557,21.047,28.6112,8.7834,23.2073,27.0684,7.9441,46.3201,564.9942,42.355,1.7447,4.4197,51.5533,8.3149,17.0427,540.8654,165.0747,44.5425,223.7109,43.9489,1113.0092,126.1597,137.3252,232.0047,40.5193,67.9938,99.7087,0.0
POL_J61,41.9078,0.5272,6.836,5.4305,0.0042,106.3503,41.3815,49.4573,31.0465,8.1794,113.2343,10.0013,40.6351,40.7269,16.5485,175.0615,28.1439,20.0764,72.7803,142.9134,14.9844,119.0273,103.9985,30.338,203.4748,1045.6677,386.8956,4.5545,13.7372,230.1303,37.5204,32.5922,198.2952,840.1462,116.2008,864.4682,185.2931,306.1165,121.5278,281.6398,102.1837,235.4278,51.6165,146.1567,0.0
POL_J62_63,13.1444,0.0636,12.195,2.683,0.015,87.9765,6.5569,4.5623,10.756,6.078,12.422,7.1087,11.6731,10.9233,10.1217,15.0297,37.8841,12.9054,17.086,77.0461,7.7945,30.0347,49.1344,5.4208,28.2785,335.8021,24.7596,1.7898,4.5596,21.5158,22.7155,6.7641,34.132,150.1686,235.6478,190.1776,26.4384,101.3451,37.1829,69.1641,30.6512,22.4897,3.2994,24.2129,0.0
POL_K,229.4248,0.9968,80.9492,25.9624,0.0145,369.8243,63.6971,55.3755,66.051,71.3988,62.1656,23.9579,94.9579,91.9238,77.2268,159.0975,32.0132,47.2452,90.3332,154.8028,30.4677,141.5504,181.7027,69.829,444.836,1286.2734,368.5276,26.2113,73.1624,100.9582,15.8282,35.1019,90.0898,220.1196,46.0958,3017.3434,251.8479,359.8214,158.3515,298.1152,165.5818,156.9303,54.3444,131.7691,0.0
POL_L,43.9798,0.3746,6.1575,4.8126,0.0847,132.3452,34.1235,24.6515,23.1667,7.7103,33.5574,5.987,44.0366,25.2726,11.4618,51.4509,36.9314,18.9998,44.1261,39.2335,11.9636,111.0438,67.9662,38.2661,205.3923,1977.008,114.8883,3.8883,8.9384,114.7863,17.0227,56.5602,60.2981,172.1342,46.7909,383.0591,442.4292,452.8437,124.1477,105.7433,167.6446,188.8577,53.035,95.8612,0.0
POL_M,337.152,1.1105,170.873,66.0037,0.0272,804.8262,195.9732,107.0703,464.1383,168.4118,245.6189,248.3209,175.6054,173.6773,164.6303,331.7062,79.6164,236.15,430.6053,351.5179,206.0438,423.0947,976.0665,96.1218,856.3844,3377.6042,367.1962,6.2282,16.6997,127.5141,28.7455,84.1485,531.2376,1105.529,223.2599,433.4767,512.7225,2887.5051,465.6393,340.5709,301.0202,216.1025,136.0979,135.3788,0.0
POL_N,54.0608,0.5117,59.7794,21.9061,0.0086,233.0978,46.3167,43.6777,101.7981,83.0043,48.1829,48.845,54.8721,56.2815,50.5255,87.1864,43.0794,33.3481,64.045,84.9667,54.6753,112.8744,312.6399,44.6608,265.3404,980.8709,272.6254,22.5636,65.5113,110.0387,17.6877,35.0727,128.8237,403.3659,59.7058,155.047,124.3362,383.5708,228.9845,118.4205,117.8992,156.1674,63.2612,113.4344,0.0
POL_O,37.7238,0.0224,27.3642,15.4517,0.0,85.7893,21.9063,13.1768,21.1781,10.3422,24.4828,5.355,30.3465,23.0706,16.5758,27.2047,16.2703,19.2884,24.799,25.9161,8.6281,40.998,96.6545,24.5161,36.3045,504.2692,90.2356,1.9243,3.6466,27.9456,3.7974,31.2103,47.557,23.6264,50.4636,56.9025,62.968,249.7665,67.7387,91.377,38.7669,42.8314,11.4715,38.815,0.0
POL_P,5.8628,0.0262,1.5354,0.8155,0.006,18.9367,1.8162,1.2858,5.311,1.093,11.5253,3.3749,4.8743,4.5935,2.0773,7.7552,14.1243,5.3938,9.4379,16.1435,2.2913,13.8573,10.6385,3.1306,19.7303,90.2408,10.1118,0.1231,0.3713,9.8515,0.4478,2.0803,6.5981,7.0328,23.6884,47.4968,12.8226,43.6649,10.5903,10.9491,317.4323,11.0185,3.413,13.3438,0.0
POL_Q,98.5272,0.1447,3.3071,1.7673,0.002,55.0472,5.2958,3.069,6.0164,2.5727,3.6358,3.0213,3.1933,4.0201,7.496,6.7552,4.0224,3.5452,7.7812,5.9116,2.5298,10.6465,20.9937,4.1807,20.0632,71.7917,13.6199,0.3907,0.9332,4.3946,0.906,3.336,5.2116,8.7111,3.6547,9.1631,11.375,51.4024,10.1766,62.1086,9.7432,1227.2831,4.9024,13.3994,0.0
POL_R,2.2047,0.0123,0.4992,0.1339,0.0027,23.9952,0.8352,0.5545,2.6391,0.4279,1.9092,0.8497,1.6185,1.4567,1.0152,0.9485,0.6382,0.4251,1.1849,1.0596,0.2583,1.5006,1.2444,0.2561,3.1992,25.4773,1.9411,0.3539,0.5202,10.5051,0.6127,1.6847,6.4407,5.5764,0.473,3.6778,2.279,271.7447,54.1635,17.4176,4.3972,1.4427,161.5305,2.3274,0.0
POL_S,30.755,0.349,59.8693,9.3096,0.0117,153.5198,28.6332,18.2328,38.778,40.4102,17.1726,5.8104,33.1878,36.8013,20.9217,42.5237,12.4523,17.8,28.4858,30.0149,7.9685,45.186,48.132,20.3938,69.136,572.2722,30.7329,0.9103,2.2102,20.0376,2.144,46.8185,54.8703,41.9689,10.371,32.1358,56.2902,135.4667,43.5619,15.5826,35.8883,168.943,23.2478,131.5103,0.0
POL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
