V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_A01_02,3263.2148,77.068,4.2058,4.3961,0.2222,38308.1334,1144.6882,341.7383,496.9158,4.1712,2744.6753,25.5839,156.4877,20.3964,77.7959,1.1998,0.3114,0.6571,1.2401,4.086,0.103,93.3026,2.8657,5.2655,65.8167,902.0363,1.1135,0.1774,0.2733,0.3651,0.0314,701.5509,106.4112,1.643,0.0635,3.3143,31.1095,4.8281,29.0118,36.9469,72.2863,71.3357,14.7486,192.8509,0.0
BRA_A03,1.7159,10.0404,0.0019,0.1297,0.0,352.5868,0.0,1.7298,6.9983,0.0,0.0,0.0,0.0,0.0,0.0499,0.0,0.0,0.0,0.0,0.0,0.0,2.0602,0.0429,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9817,1.5084,0.0,0.0,0.0,0.0,0.0,0.0,8.1769,7.4055,6.7982,0.1098,1.5241,0.0
BRA_B05_06,11.5958,1.0438,805.4499,65.0035,13.0457,142.43,51.2648,13.3142,127.2725,24439.8099,71.1016,8.405,26.1291,65.7134,566.9362,83.7749,2.3967,8.133,6.9878,55.3087,1.1361,2.8688,1227.4704,121.1223,13.1291,19.2554,60.2038,1.1365,7.171,2.2949,0.214,6.5086,0.8913,3.5786,0.7464,1.8632,1.4639,21.4511,2.2893,8.14,2.246,1.9877,0.8274,6.1333,0.0
BRA_B07_08,301.4192,13.9046,57.1509,856.5837,4.2028,25.4086,12.9678,6.6648,29.9853,48.1308,2098.3698,5.352,13.7274,604.4023,2616.2083,146.6833,1.7937,36.1419,87.6973,35.5045,2.8503,21.0615,1.5078,30.74,955.0353,10.3319,2.1727,0.0427,0.2245,0.5861,0.1443,3.2045,0.9757,1.2271,0.144,1.035,47.9356,1.4948,0.5712,6.6476,2.0447,1.7735,0.621,12.5933,0.0
BRA_B09,8.6682,2.9044,475.8808,188.8241,19.3285,7.367,0.422,0.5161,8.7671,222.8631,33.7124,0.5393,1.5187,26.7234,16.9026,5.6342,0.0145,0.0464,0.5293,0.2569,0.0245,0.0994,93.1346,0.5313,175.6289,1.4545,14.5773,0.1604,0.0171,2.9443,0.0024,0.5601,0.0146,0.0,0.0609,0.0646,17.2678,1.1177,3.4056,2.1792,0.347,0.8474,0.3117,2.2338,0.0
BRA_C10T12,3045.9449,350.8768,20.5776,16.721,0.6826,13849.3792,946.8905,17.0004,122.7175,113.7603,540.7564,202.4431,155.4298,29.1723,40.6378,41.8803,13.8297,33.978,26.7498,43.0406,2.366,51.803,87.0236,12.0844,125.4693,121.0502,39.2037,0.2012,39.5239,5.1014,0.5009,1571.3705,437.3538,10.2793,1.1699,41.3994,8.2355,4.8897,3.9883,578.5428,27.1371,58.3496,2114.7409,6871.9885,0.0
BRA_C13T15,115.7153,1.8737,28.1009,165.3013,0.8697,172.6868,9279.5982,60.0637,154.1667,18.1796,113.5803,18.8146,151.5527,100.859,5.5391,26.748,14.3452,7.9397,73.9085,59.8817,10.0692,244.7399,22.236,3.2293,114.3236,230.9374,131.6853,22.623,50.0586,21.6342,1.4891,297.5893,37.1681,31.4374,1.4492,65.686,9.4951,145.3815,266.7863,18.6639,10.0284,131.3271,5.3683,1067.0107,0.0
BRA_C16,44.2934,1.162,3.5132,3.7781,1.0531,30.7326,12.5274,1083.1942,67.5502,1.8036,130.1918,8.0492,8.8694,190.8726,3.2113,75.9816,28.1643,5.6805,46.018,6.5416,0.512,977.5494,47.8146,0.7248,2147.1277,8.6611,0.1791,0.0239,0.0211,6.2906,1.0358,0.2344,5.407,2.8685,0.3971,0.6953,60.2749,0.265,30.6338,1.8885,2.8056,0.749,0.2603,16.0058,0.0
BRA_C17_18,6.5152,0.4908,10.5253,112.8511,0.6773,693.1987,221.3456,70.007,2618.7009,19.6383,273.7793,111.2285,240.251,187.196,40.1143,141.016,81.0663,137.8697,78.6659,89.6924,9.2325,297.2834,16.8771,9.327,122.085,496.0411,45.5015,8.9578,10.9822,46.686,30.0888,1245.8059,679.3113,236.5701,426.1167,491.7251,84.9033,2597.7692,1781.6547,136.9504,448.4177,1659.8483,18.2003,472.8014,0.0
BRA_C19,3439.1124,173.3847,560.2678,1034.7019,26.3203,1400.9264,1362.5996,359.0928,1025.013,16063.8657,5386.4811,582.3585,2615.0814,1100.7202,1747.3342,892.1739,307.5323,763.4938,508.7843,524.0895,169.5551,512.1083,764.8001,123.6752,2494.9571,2063.5952,8687.3585,162.0954,1033.2086,204.8304,17.4339,611.0551,111.3669,53.6506,16.1151,145.9358,131.4434,157.6895,211.9371,850.3716,159.2963,251.7193,48.1137,833.6813,0.0
BRA_C20,8359.3885,124.9027,227.5783,349.4908,10.8243,961.7894,1762.2247,453.202,2223.1836,3529.6799,10563.1674,808.001,5373.0464,808.9805,1050.5898,1025.8421,306.8715,1044.7489,616.1621,909.3169,61.3148,876.9964,118.4283,237.4555,3383.4704,1188.4596,178.412,2.5275,8.4288,23.9863,2.6096,173.7324,162.2382,55.61,6.3863,89.465,148.6137,55.5386,49.0302,574.5826,91.3963,357.1176,45.7722,876.4235,0.0
BRA_C21,376.2272,4.2333,5.8684,8.6889,0.3066,82.5965,28.2216,1.693,7.3114,10.5724,109.442,179.2785,5.0069,14.8446,40.1967,17.2653,11.1526,2.8142,23.2625,29.6478,1.1927,3.532,20.2111,2.3082,24.3415,29.6598,13.9506,0.5653,1.7352,3.0848,0.9783,0.8578,2.1546,22.5193,1.9011,12.3638,10.3158,11.2092,1.5158,497.202,9.7181,97.3145,92.7748,605.1796,0.0
BRA_C22,177.6191,16.0339,44.2494,268.2137,4.0909,1235.4141,307.3462,96.1767,448.0607,85.656,582.5282,130.0703,718.3972,54.5211,301.8578,478.7787,240.5241,293.9966,554.1926,3286.1475,182.6298,458.2954,46.6775,49.784,2377.1768,725.0317,1036.6898,39.7299,153.9764,18.8228,439.6173,292.7073,162.4893,5.7169,381.8548,16.8168,90.9287,382.9957,333.42,10.7867,6.2629,569.749,12.4684,545.3552,0.0
BRA_C23,33.0883,0.8268,139.0759,14.1363,3.9585,158.7729,21.8817,75.7842,17.2011,4.0017,239.5194,53.4847,4.3721,980.1884,179.6567,58.5897,36.3192,123.1927,26.0845,305.0339,1.7261,131.5674,4.7992,1.4375,8851.7926,77.3957,0.361,0.0146,0.0402,0.5839,0.1668,63.8944,0.9956,1.1629,0.2423,1.311,256.6949,1.03,13.7939,39.76,10.9399,15.7916,28.9124,307.4025,0.0
BRA_C24,75.5511,2.9858,160.8341,80.2159,10.3648,125.7713,16.4603,38.404,111.9066,45.8406,222.6902,15.1903,146.5818,169.35,2812.5712,3562.4352,276.5616,1290.0422,3296.3129,3220.4587,288.289,613.3681,43.1571,45.3632,2023.7459,130.1542,6.5064,0.1719,0.3345,0.9414,0.7907,2.5708,5.8619,24.0799,3.2777,12.361,15.8894,7.826,30.3897,24.2253,7.7585,9.3225,0.9074,18.87,0.0
BRA_C25,172.7095,11.5973,855.3331,284.8822,10.7419,1006.9411,142.1929,117.2561,263.5597,280.5396,638.6607,49.1082,159.7669,137.0041,1852.6785,1342.768,370.2879,609.6125,2028.5321,1498.422,78.8019,385.9935,261.1632,56.0943,2986.4685,202.0241,5.9374,0.1088,0.1451,0.7454,1.4525,17.2161,12.3969,141.8237,1.5991,3.7739,49.7341,7.8403,60.8831,197.2628,3.5437,21.7567,1.5996,161.5784,0.0
BRA_C26,6.0194,0.111,14.4891,22.1719,0.9349,6.4876,5.5793,1.1692,28.4844,9.5586,21.7863,7.7657,9.0681,7.833,18.4057,2.9511,1463.1346,86.1414,126.8877,136.1136,1.977,265.5899,19.4413,1.2178,66.68,76.3145,10.7489,0.1422,1.1039,21.5503,10.1374,189.1179,14.9413,177.1071,281.742,25.7253,8.6181,188.0244,103.4234,33.8356,23.8298,140.8378,2.7326,121.0864,0.0
BRA_C27,8.6362,0.4711,195.6782,31.9282,1.5035,129.654,30.0409,8.9691,11.897,93.1605,71.5141,20.3358,53.4859,61.6445,46.1791,18.971,781.5581,932.5374,616.1127,920.3248,53.0182,250.4929,582.2112,11.6593,817.8796,133.1855,253.9056,3.4485,0.3434,14.909,1.082,115.4988,23.1739,226.8757,4.1185,23.2611,27.7175,162.7682,128.3297,23.4335,8.2582,6.066,10.3504,570.5922,0.0
BRA_C28,8.2849,0.8832,406.487,403.881,11.6734,479.8585,210.6733,50.3014,219.0208,270.3991,470.5949,30.9678,118.2656,231.8416,489.2349,251.1988,43.0211,267.0713,795.1134,976.9113,37.6254,384.5768,20.1817,17.9883,879.3043,91.0396,10.8027,3.9817,0.9597,7.3275,10.6049,3.215,12.3197,80.5782,31.896,12.2419,56.4527,27.4092,32.6911,11.9214,56.4147,40.236,49.1371,12.0628,0.0
BRA_C29,62.3988,4.1178,22.975,36.3433,2.0823,61.4873,23.329,6.9501,13.392,17.4341,75.7012,36.3681,50.9211,29.9953,27.7995,13.1573,40.5446,126.4663,627.3996,13054.631,8.3042,1836.7971,47.5326,4.8527,82.4779,2911.4876,1785.9447,72.2504,202.0338,253.6199,2.5379,37.2902,109.2985,47.7887,19.678,58.9192,81.8516,549.1295,958.4706,14.3358,35.138,50.5701,20.0329,28.7244,0.0
BRA_C30,8.3292,0.5512,0.0241,7.6368,0.1799,1.0052,0.0,0.1448,0.6084,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.0891,0.0,1.5052,44.3124,1624.3122,67.5873,3.4129,0.3103,39.55,237.6551,291.7731,0.0,0.0,0.0,0.037,42.2879,7.9317,2.218,1.7366,0.1288,8.2378,7.8455,6.7841,15.5202,5.3833,7.7282,1.4059,53.5167,0.0
BRA_C31T33,37.2096,12.3408,532.8353,36.6971,21.5467,144.9406,110.5273,56.4174,120.3357,96.3569,98.5954,47.0545,40.294,54.424,255.3101,24.1255,37.7151,143.0718,48.3424,60.6651,6.225,856.0803,22.323,6.8941,331.2218,248.1227,414.6675,309.3899,218.3549,874.119,185.186,155.7836,81.1872,971.4006,211.2068,761.7096,224.2532,496.1414,586.4389,455.443,255.9067,622.7499,160.1399,816.3857,0.0
