V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_A01_02,98.8498,1.9587,2.7135,0.0002,0.595,626.1096,52.3739,89.6653,0.0033,0.0,2.5137,0.9319,0.0071,1.6904,0.2666,0.0246,0.0,0.0003,0.0008,0.363,0.066,5.9486,0.0,0.2385,130.3428,2.7682,0.0852,0.0562,0.0256,0.0802,0.01,55.6731,0.5263,0.3932,0.584,0.0053,2.7053,0.2454,0.2847,1.6848,0.1649,6.0843,1.6981,2.7187,0.0
CMR_A03,3.3439,3.5555,0.0144,0.0,0.0032,55.1646,0.3368,0.0786,0.0,0.0,0.0122,0.0047,0.0,0.0015,0.0014,0.0002,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0013,0.1161,1.8091,0.0002,0.0001,0.0001,0.0002,0.0,8.782,0.0472,0.0343,0.0634,0.0,0.0024,0.0006,0.0007,0.0341,0.0009,0.0309,0.0172,0.0247,0.0
CMR_B05_06,50.0182,0.0,96.1944,5.9128,2.5162,1.0012,9.775,0.056,0.8404,111.6505,8.6992,0.0001,0.0,19.561,7.2354,0.0004,0.0076,0.001,0.0031,0.0,0.0,0.0198,39.9764,1.2663,0.4156,6.3368,1.4223,0.4306,0.3629,0.5341,0.452,0.1626,0.1996,0.2129,0.3491,0.0119,0.0169,0.2315,0.0,0.0,0.0371,0.0032,0.0161,0.0004,0.0
CMR_B07_08,1.4214,0.1625,7.8381,4.5009,1.6026,1.3203,0.0658,0.0083,0.0,0.0,0.0046,0.0003,0.0023,14.7909,0.3008,0.0104,0.216,0.0,0.0,0.0,0.0,0.0058,0.0,0.0016,76.7372,0.005,0.0939,0.0331,0.0338,0.0744,0.0131,1.4556,0.0014,0.0019,0.0017,0.0,0.0011,0.2251,3.2511,0.0019,0.2809,0.0393,0.0477,0.0472,0.0
CMR_B09,0.1957,0.0,38.2679,0.0286,4.7707,0.8655,0.0201,0.1902,0.0319,1.7133,0.0152,0.0003,0.0,0.3529,0.0088,0.0007,0.0146,0.0014,0.0044,0.0,0.0,0.0086,1.67,0.0363,3.3794,15.2454,3.749,0.5424,0.4042,1.535,1.9052,0.2701,0.0265,0.0,0.1061,0.0319,0.0509,0.3863,0.0,0.0,0.0845,0.0074,0.0125,0.0007,0.0
CMR_C10T12,29.0058,1.0113,0.0461,0.0193,0.0094,322.0223,2.1148,0.4023,0.0101,0.0,24.5447,7.9455,0.0757,0.0071,0.0426,0.0043,0.0,0.0044,0.0093,0.0001,0.0,0.0388,0.0,0.2396,2.4917,4.5596,0.0199,0.0196,0.0251,0.025,0.0029,333.3625,2.4728,1.5647,1.2464,0.1686,0.0113,0.2694,2.0191,42.3749,0.2314,3.5688,0.8736,1.0615,0.0
CMR_C13T15,0.8956,6.9515,13.5072,0.0769,1.9259,0.7438,91.1518,0.2083,0.0201,0.002,1.053,0.2917,0.1691,0.098,0.0127,0.0018,0.0447,0.0016,0.0031,0.0061,0.0003,0.3089,0.0039,0.0197,17.0247,1.9022,0.2896,0.1069,0.0794,0.1557,0.0405,1.2731,0.1117,0.0625,0.1035,0.0311,0.0002,1.4067,0.9318,21.6914,1.6315,12.2119,0.9213,19.6798,0.0
CMR_C16,13.9823,0.1084,0.0419,0.0132,0.0099,9.437,5.171,45.6438,0.0195,0.0042,2.774,0.4515,0.0001,0.2651,0.0565,0.0063,0.0,0.0017,0.0036,8.3318,1.5158,44.2043,0.0017,0.0432,75.5618,0.1998,0.3075,0.1092,0.0715,0.3628,0.0213,2.5161,0.223,0.1315,0.2473,0.0012,0.7868,2.6371,3.7366,2.5982,0.1545,2.2158,3.1836,2.3533,0.0
CMR_C17_18,1.933,0.0496,0.1586,0.8814,0.0241,2.2292,1.6471,0.0223,3.6139,0.0727,0.7734,0.2973,0.0595,1.1469,0.004,0.0007,0.0002,0.0288,0.0416,0.0108,0.0012,0.3619,0.1829,0.0033,1.4418,1.6263,0.4227,0.1035,0.1701,0.4633,0.1178,0.0859,2.0524,0.5214,1.0616,1.1729,0.1118,0.8093,0.6606,5.2872,4.6095,0.3101,0.9698,0.584,0.0
CMR_C19,57.956,16.6323,10.6957,0.9,1.5743,17.9115,2.9167,2.8231,0.7489,0.0501,1.2329,0.0949,0.2005,0.084,0.479,0.0415,0.0001,0.0162,0.0315,0.0023,0.0003,3.1338,0.5255,3.984,37.0683,8.0518,90.8795,29.6716,46.9192,18.2313,5.358,3.0915,0.3512,0.6199,0.8533,5.8577,0.0201,3.7685,1.4083,46.5934,3.5039,3.4765,0.915,2.1368,0.0
