V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_A01_02,12631.274,0.0062,0.1018,2.0687,0.0046,25342.0569,197.7688,5528.9652,1326.591,0.0214,84.3886,0.0068,216.9645,0.0143,0.0332,0.0271,0.0147,0.0073,4.9959,0.0232,0.0114,4.9035,173.384,9.4076,2853.3307,5.1814,0.0685,0.0079,0.0181,0.0387,0.003,1082.1047,15.4426,0.0414,0.0317,9.738,0.0664,8.943,20.7339,592.349,56.5109,11.3592,64.2644,63.6179,0.0
FRA_A03,0.4519,5.2381,0.0,0.0,0.0,540.0414,5.7039,0.0,0.0,0.0,12.8315,4.664,4.9704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8945,5.2496,0.9279,42.7025,0.0,0.0,11.0809,0.0,0.0,0.0,221.5964,8.417,0.3647,0.0,0.0,0.0,0.4977,0.6068,0.3292,0.0,39.2667,10.4181,8.1297,0.0
FRA_B05_06,1.9745,0.3541,0.1762,0.1733,0.0089,2.1137,0.2494,0.0297,0.4576,472.32,4.1832,0.0458,0.129,0.4478,16.4572,0.1561,0.0972,0.0464,0.1751,0.3655,0.1117,0.2677,147.6947,0.349,2.448,7.7693,6.018,0.7055,1.5691,0.6053,0.0511,0.8499,0.3568,0.4558,0.4234,0.3248,0.2351,1.2542,0.9141,4.7481,0.2966,0.3528,0.3002,0.1899,0.0
FRA_B07_08,114.971,6.9375,0.0,171.9427,0.1113,90.902,17.3373,0.609,117.6862,3.7288,468.0026,4.5388,42.4372,1375.0186,305.0629,95.1662,21.1926,24.3518,30.6229,15.2959,8.9157,32.2783,2.3757,26.1542,1825.8352,23.2076,0.6183,0.3229,1.638,1.1136,1.1249,39.6295,0.8608,8.6934,1.3438,9.2214,0.2835,22.1806,18.0061,0.0,0.0,10.2295,2.2493,7.2492,0.0
FRA_B09,0.1128,0.0328,0.2231,0.4818,0.0052,0.0825,0.002,0.0026,0.0847,1.3891,0.3492,0.0153,0.0237,0.4087,0.1768,0.1147,0.0004,0.0007,0.0089,0.0037,0.0016,0.0012,1.4044,0.0514,3.4811,0.0456,0.2001,0.0089,0.0006,0.1245,0.0001,0.0122,0.0007,0.0,0.0025,0.0055,0.2613,0.0446,0.0472,0.0456,0.0085,0.0253,0.0161,0.0064,0.0
FRA_C10T12,4683.3513,1.2255,1.7515,15.7987,0.0088,20319.6334,326.2897,3.797,124.7748,28.8249,1098.5168,184.076,54.2737,9.326,50.2709,56.4445,60.2785,23.2714,41.3337,35.8732,11.8166,137.1644,19.0437,73.0012,102.2688,1236.1418,54.4916,49.5062,141.8805,52.8458,11.5895,11313.2966,158.7169,91.197,100.5421,58.407,108.3432,817.7288,318.2173,278.0623,2278.2453,2218.7084,357.6791,114.2921,0.0
FRA_C13T15,73.6796,12.6159,0.5036,3.5809,0.0121,36.0675,3113.2892,1.1292,87.2063,4.5361,173.3669,49.3842,112.4813,34.9707,40.8802,22.1425,90.0996,30.2075,43.1563,470.7938,76.1896,416.1571,1.4849,29.1322,343.5119,312.7818,7.3856,7.9961,4.6986,5.9664,13.6962,90.1075,49.3545,85.2877,0.8705,22.2262,60.6356,16.3541,10.2249,119.156,62.2999,153.5835,42.0554,54.8477,0.0
FRA_C16,521.4969,3.9356,0.0,38.6422,0.0316,315.2913,17.3252,995.6156,276.2544,1.3153,56.5688,42.5001,71.3475,316.2959,109.3489,116.5477,72.7538,35.6489,84.7787,193.6297,71.9929,1846.7035,1.3438,64.0546,3886.2866,245.396,3.936,8.9159,4.5889,55.2734,0.4774,40.1846,133.4143,67.1732,10.0387,7.5871,65.9975,47.6498,22.1546,6.2568,29.8943,0.789,57.6922,98.9977,0.0
FRA_C17_18,80.2254,4.4698,0.0,30.1616,0.0245,1484.9407,155.9857,32.2915,5672.8804,29.3203,621.1343,369.2418,320.6525,262.2567,42.8895,96.727,225.0799,108.9125,136.0507,145.3123,47.5054,188.5618,19.2956,244.0785,301.5806,3202.6702,32.4948,20.6949,8.0182,274.0453,8.3039,155.5354,4377.9397,432.4644,299.9604,899.7205,335.4782,4178.4133,1914.1348,914.756,619.0188,402.7484,268.1512,430.2328,0.0
FRA_C19,1467.86,264.5065,3.7529,130.0771,0.4136,491.0333,112.8389,22.9245,129.6756,4084.9381,2306.5315,27.7584,103.7126,297.6518,138.5862,123.5524,75.6025,37.298,132.9859,203.3451,41.6534,140.5527,1524.2814,242.0658,1814.798,4876.8344,4456.5628,519.9459,1152.002,446.2378,33.551,449.5172,267.899,324.7116,307.6837,249.1361,183.2977,910.4439,589.7174,579.3799,219.2263,231.0652,219.9518,110.1755,0.0
