V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_C22,74.748,0.1666,0.574,0.6432,1.4758,316.0408,45.7362,69.5477,188.7942,6.1328,177.1832,28.1659,307.07,111.3886,13.1064,136.9739,60.5941,71.3447,225.8985,161.4432,75.3738,257.8047,7.7321,6.7547,865.3709,363.8471,165.5157,1.6081,3.1354,2.9137,0.8984,10.7942,13.0162,7.8126,5.9512,45.8124,86.1884,91.4293,78.9785,32.1004,11.0744,105.0003,9.3471,31.3399,0.0
NLD_C23,43.4838,0.2322,0.5903,4.9912,16.8331,211.2587,3.9319,20.7171,8.1263,3.1801,36.4336,13.9564,16.4189,483.9131,22.7914,51.1517,49.7037,38.0071,26.8849,15.2281,19.8558,45.4119,19.6628,5.9023,3104.1728,69.6254,5.9319,1.7946,3.1079,1.9844,0.3944,29.7167,6.5757,4.9684,1.6263,23.5869,147.3266,38.1631,18.396,39.5686,11.1934,31.6215,17.4471,17.0165,0.0
NLD_C24,0.5062,0.0,0.0,0.0,0.0,0.0,1.1671,9.5943,22.2273,0.0,38.1558,0.0,31.4034,87.7002,757.8795,1900.432,168.3841,284.4649,496.598,210.1226,93.6391,188.6892,0.0,21.2712,480.803,65.2855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5263,9.6355,0.0,4.3294,11.8128,0.0,0.0,1.7943,0.0
NLD_C25,159.9869,4.5323,5.4478,8.4107,30.146,526.6376,31.9959,71.1402,80.3561,28.0664,245.1467,20.8396,44.0353,47.1041,80.4048,1282.5053,187.3823,42.4242,1550.5365,261.8872,423.5255,668.1358,83.0974,151.8694,3241.1913,373.3477,73.0225,34.7724,75.5459,31.8164,4.8194,31.1841,12.8111,39.0398,18.9825,45.8115,99.3071,252.8692,74.8209,395.6409,46.5466,60.3103,15.6352,27.3234,0.0
NLD_C26,211.5363,8.8079,8.1472,10.5794,42.7609,306.3624,26.4819,20.4287,91.6639,46.0065,242.3339,35.5503,44.4759,55.9174,97.144,116.551,1218.1259,138.7142,1041.0759,64.021,232.5299,441.9904,127.0196,53.7818,798.6304,602.3216,122.6835,56.9554,105.3733,71.5025,15.2501,83.0464,75.0101,1330.7888,421.071,193.7383,102.4874,471.4214,158.5806,289.7539,56.7371,404.041,30.1881,44.2251,0.0
NLD_C27,43.3133,1.2079,2.5124,2.5567,11.8386,68.9342,5.1384,4.2053,20.4408,9.1789,54.2019,11.1732,13.5945,23.2519,23.4298,47.853,178.3534,302.8224,166.25,33.6048,61.5794,106.5651,34.9765,14.7245,486.0062,191.3911,29.7325,16.0268,22.7549,17.8257,4.7116,18.1701,6.9479,116.8495,16.8269,128.8014,35.7974,194.2617,44.9653,84.4656,18.532,27.856,11.1334,15.3869,0.0
NLD_C28,218.5687,7.3414,8.2313,9.8527,33.0295,201.3392,17.1248,14.7921,62.5042,43.209,217.4022,22.1854,34.5228,49.3078,104.8036,191.3953,194.7028,85.0792,1044.1681,196.2879,198.0612,391.9331,121.0835,48.9152,725.7315,396.0333,98.3216,54.336,132.6551,43.2089,5.7315,29.2814,8.3437,54.2044,17.3294,27.323,47.4032,162.205,83.1214,119.2527,10.8169,31.9841,7.5805,15.9302,0.0
NLD_C29,16.5939,0.3133,0.7815,0.6412,1.7225,32.244,2.5228,2.4005,8.1881,3.5822,16.1759,2.7341,3.7412,4.6167,5.3309,15.493,30.6465,11.3934,31.2915,145.0464,9.7692,17.05,5.5656,10.5962,67.6248,472.4107,22.8617,2.4524,4.5982,4.118,0.791,7.8985,2.7951,9.8718,3.1601,9.2388,9.6596,24.0926,37.5279,15.1989,2.9726,10.2294,2.5606,2.9599,0.0
NLD_C30,0.0,0.0,0.0,0.0,0.0,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7346,0.0,0.0,0.3683,50.1399,411.8949,33.871,0.7196,0.0,10.6211,10.6053,25.1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8941,0.0,0.0,0.0,2.8833,0.0
NLD_C31T33,612.245,19.6984,22.968,19.0614,73.8494,463.9838,33.1476,35.8701,155.7294,112.9622,455.5645,55.5109,76.6122,125.6287,282.2961,209.5416,240.5926,98.5523,236.9808,36.0708,294.0355,521.4919,342.7193,127.7732,734.1916,445.557,308.2149,162.288,396.4544,144.3982,16.3042,85.2178,22.738,154.9202,71.5998,89.6467,155.7018,209.783,283.7167,325.7292,47.0949,223.7972,25.9495,43.4845,0.0
NLD_D,454.5725,5.9195,368.8051,46.6357,74.4961,530.2187,43.6629,35.1864,226.0688,240.8325,870.1216,43.1252,185.3661,172.7608,489.195,184.0755,77.2033,67.7305,98.9412,48.9245,28.3856,128.5912,1746.1993,121.5815,789.4651,1170.9041,266.7307,10.8738,12.5449,190.7347,17.1766,370.2316,37.761,192.4401,60.9205,267.2694,873.46,419.5443,132.4522,574.8913,198.5691,293.4226,251.3602,141.3203,0.0
NLD_E,226.8688,1.5327,9.5034,23.2326,30.9561,162.2214,30.1171,8.5478,236.3248,31.12,259.8264,31.3222,46.3807,88.8294,191.3086,52.8773,27.6726,20.4337,30.2223,8.714,11.2821,41.8491,100.7965,1270.1585,260.5641,146.9539,94.0783,13.6689,5.3935,17.652,6.022,64.7753,19.113,13.1621,9.4959,45.293,90.643,73.6673,40.4473,752.4971,34.8101,190.5366,45.5868,20.9088,0.0
NLD_F,337.9489,9.2249,21.9427,18.0809,38.4847,172.6297,14.1346,15.634,56.734,75.1025,149.1384,21.6018,28.7945,59.7394,38.7523,155.9345,62.4295,23.4984,164.5196,41.6178,61.6344,203.305,961.8649,105.3583,24903.8496,582.5039,156.073,20.4613,52.4074,685.9822,19.7888,100.4596,20.5958,391.5734,39.6438,92.7281,8388.3541,1663.3654,127.3512,4202.4464,505.7635,549.6808,152.2647,69.8661,0.0
NLD_G,2428.3977,36.6302,53.7701,70.1247,142.8241,7867.8354,576.0728,350.1955,1345.7734,509.6546,2707.7068,532.7286,579.2225,631.4882,385.5616,1042.7344,4398.089,484.4637,1538.961,692.641,424.2547,1232.7013,465.1018,447.3065,5354.9191,7561.2653,1048.226,183.4145,281.0016,229.8661,63.0556,1760.4768,663.1311,890.8163,384.732,809.5136,635.1959,2040.1279,1618.8664,1130.7964,295.9765,1646.9019,416.5583,289.3509,0.0
NLD_H49,248.1322,6.2134,8.4814,23.1453,34.8357,708.0116,38.2025,44.4498,132.5161,356.424,366.5914,41.1278,58.6328,127.9759,63.591,153.6844,264.0054,52.5433,165.0618,91.2867,50.7679,149.178,100.3281,100.0962,812.3659,1045.142,1715.1448,226.8305,397.9423,764.0191,17.1548,137.9109,59.4325,85.33,48.2768,126.5019,144.4351,283.1923,261.0028,171.8899,56.0017,175.0487,42.0626,45.2645,0.0
NLD_H50,31.5148,0.7774,36.4244,2.3207,4.0417,92.8816,5.0726,6.2895,21.654,82.176,69.4653,5.7871,9.421,13.749,14.0312,23.9366,28.1065,9.5286,26.8604,16.2828,7.4853,20.6178,22.797,2.7711,91.1576,679.3772,380.1667,1166.6762,47.2179,203.0942,19.3941,19.3713,5.3048,8.3209,5.1708,14.9905,11.341,28.3095,85.2566,18.9633,8.5622,20.812,5.5071,4.9219,0.0
NLD_H51,33.642,0.5577,2.8303,2.803,8.9364,109.591,6.6782,7.9572,24.4734,56.9862,66.4765,7.2152,12.4851,18.317,18.4516,39.7849,22.5315,15.0354,38.1626,19.7315,12.9132,63.8629,30.4426,10.2321,104.505,93.4207,33.4342,15.8582,18.904,36.2895,3.9304,29.7897,9.4939,15.236,33.5198,65.6793,19.0536,95.2196,61.7641,42.0302,26.889,42.7563,5.8673,7.5979,0.0
NLD_H52,86.5518,8.9734,3.1211,5.2633,12.2537,197.7314,11.3526,10.9858,38.2916,398.3147,240.9856,16.0274,22.5149,31.0045,32.5603,54.3165,69.1954,18.9598,46.3669,17.8983,26.7925,53.8576,72.7872,20.6126,144.9542,1288.923,386.0108,468.7127,877.7838,1411.7486,4.8716,43.0709,19.2648,44.2858,47.559,71.5941,63.6907,164.1122,97.7314,89.451,16.3489,46.7887,10.1766,19.1748,0.0
NLD_H53,28.9648,2.117,1.0675,1.182,4.5417,27.1604,4.8268,2.2638,13.8951,2.4764,18.3443,4.9168,3.7738,4.7891,2.7585,14.8225,11.6247,4.0362,14.4749,2.5947,2.6177,24.6219,16.1456,10.3859,102.0166,536.1055,78.8985,14.2876,19.4794,42.1234,1061.7385,48.1626,137.1295,123.0466,60.2936,397.0998,270.3192,258.5674,118.3343,288.9423,60.5967,255.6534,54.1717,39.584,0.0
NLD_I,11.0712,0.0235,1.2895,0.1506,0.956,35.8242,3.1155,4.2727,9.1322,4.6235,16.0559,6.7472,6.1933,7.6317,6.3158,16.2802,34.8876,6.4563,13.927,8.4017,6.998,34.1703,15.0912,6.4662,28.5964,196.9829,30.6135,19.2123,229.6339,20.5914,3.6571,23.1557,36.3835,12.7469,18.9002,68.477,26.9559,104.0468,963.6021,113.6061,36.2142,625.8048,160.1706,37.7883,0.0
NLD_J58T60,19.2579,0.7083,2.7386,4.0145,20.3109,202.8331,12.4072,5.4818,98.659,8.1865,59.4145,29.1824,19.8217,17.0339,12.8679,45.6372,121.9114,13.9257,48.2908,15.4894,14.0434,59.7582,59.4427,24.6416,117.8155,1257.9699,71.6155,14.9712,49.3979,45.1693,14.6992,78.2645,620.4585,141.4895,112.4217,332.2565,174.7605,1652.1286,322.8772,350.8645,193.1557,275.773,95.0857,48.1107,0.0
NLD_J61,89.9527,7.2558,3.5238,3.9856,16.1375,74.6721,15.22,9.0609,52.9642,8.2554,70.688,16.2026,35.5021,20.1908,11.487,66.3314,73.9346,12.5575,79.4578,14.2187,14.9838,93.4659,34.2987,33.8079,300.0443,1451.5599,181.5569,29.9739,40.6634,98.888,18.3685,115.6516,200.5425,3285.3032,222.169,966.2682,609.466,1340.9313,291.0456,444.1383,147.8806,417.101,264.2096,126.8772,0.0
NLD_J62_63,80.4001,1.4231,11.1366,9.8918,55.0413,274.2022,21.4434,15.0022,84.1341,26.4079,283.7724,58.4076,41.3533,34.8943,48.1937,91.135,411.7636,30.703,102.198,40.1424,25.3971,98.4718,114.7763,68.9083,338.4837,1294.3671,144.2171,38.4161,29.0249,113.3049,33.3453,153.7743,285.4424,236.4053,2167.0562,532.2779,153.0228,1176.7271,360.9535,926.7412,187.7299,356.2909,59.8952,74.3925,0.0
NLD_K,462.6269,12.3599,76.1568,16.3683,50.8857,692.7201,49.0979,52.2178,202.5409,411.0531,662.9493,110.01,118.9645,97.7552,151.7232,311.7701,724.0701,99.5383,338.5686,109.4522,111.9008,312.6873,379.5208,164.6062,1412.3791,3811.6314,910.09,189.3737,209.2445,412.9237,131.4596,360.0227,229.7076,387.2558,426.4543,16730.5023,9943.849,1842.6551,1167.5596,1466.4785,208.1791,1031.5567,267.0026,430.4453,0.0
NLD_L,103.2881,1.4379,6.5398,5.2044,19.9434,170.5309,38.9159,31.9905,96.9524,41.3653,85.3846,29.315,73.6004,64.3874,24.5651,207.5494,51.0786,26.0204,171.7455,29.8624,38.1841,189.4667,65.9065,66.5656,634.656,3613.7246,318.9837,16.1443,33.2109,426.5102,42.9397,780.6481,97.1096,168.3809,207.2154,1069.1119,2686.0774,1157.862,430.6215,450.5416,204.9974,847.267,91.8145,248.1226,0.0
NLD_M,624.3094,9.538,149.7898,39.0941,325.681,1457.1478,110.936,67.77,412.4061,225.348,1120.9856,403.9827,249.3665,153.223,222.431,505.5791,2144.8318,262.2645,648.7658,132.8631,163.5694,614.3414,955.331,242.1358,2931.8595,8328.0688,856.3471,399.8543,239.2175,642.674,188.407,727.3005,618.4383,1128.2433,1252.9613,5783.6983,1383.5136,10987.1357,2313.9514,3251.5707,640.5484,704.9372,455.3711,579.0674,0.0
NLD_N,425.3082,12.4562,74.6999,30.8804,175.9073,959.4366,69.2668,100.1563,255.5639,112.2343,752.1806,200.0426,170.2236,192.8664,220.6876,624.0317,2067.7574,207.1624,544.0961,210.9618,182.997,1176.756,398.2476,260.4496,1063.9706,3200.9217,1047.447,338.1153,333.2193,934.4246,131.3396,702.2286,337.0399,445.388,1105.5451,2090.8088,700.2184,2916.4211,3624.5355,2091.3293,1157.7228,1043.7704,441.9819,290.4821,0.0
NLD_O,166.4017,4.495,5.8315,6.4024,17.0631,125.7591,25.0538,12.5563,224.7261,52.2126,141.6447,27.2167,37.2462,47.425,141.2746,77.5926,36.1515,29.1652,53.2097,11.7864,15.5506,88.5671,77.7369,1066.611,391.0254,460.4277,143.4504,61.4739,78.4693,167.0906,9.8561,90.032,68.2847,37.5325,72.4573,176.2931,259.8053,385.2604,168.0166,841.2414,65.0175,225.0649,82.2429,37.0618,0.0
NLD_P,13.0639,0.3483,2.4071,1.4356,8.1067,57.8145,3.8248,5.6203,17.1456,6.4732,39.3482,14.0083,10.3988,9.0114,8.3621,30.0389,45.1319,8.7504,29.9639,7.6657,6.5977,55.5497,32.5076,16.5071,81.0729,262.483,53.3524,12.1384,18.4726,36.7304,6.7186,33.8357,32.3963,25.4457,55.0631,336.2774,58.5345,356.0468,135.3741,424.3331,70.759,233.6529,108.3963,27.5089,0.0
NLD_Q,8.5187,0.9473,0.6958,1.7204,10.3827,40.4635,2.9506,3.9949,11.9404,9.111,22.6631,4.8829,10.0363,6.7574,9.0751,21.6923,8.8862,5.8657,19.5872,7.3558,7.5038,31.6786,13.5784,8.8728,43.7002,176.4251,65.3466,11.9471,24.5811,46.3397,5.2582,18.4432,8.0485,9.0738,24.4878,55.5477,37.0562,95.8245,84.2861,479.7632,37.8282,1105.8231,10.9342,17.1887,0.0
NLD_R,9.7025,0.0759,2.9437,0.605,2.2002,37.5793,3.4153,2.846,10.4513,3.5338,14.6664,8.3606,5.5491,6.2889,7.211,10.0145,76.297,7.4198,8.9003,4.6102,3.3391,15.3415,8.4428,7.7828,24.7228,183.5185,21.3664,9.5205,21.4763,9.9871,3.8976,99.471,215.7769,24.4068,19.6093,75.5468,31.4591,194.9558,296.3741,158.5607,92.0938,66.4625,1148.7578,33.8988,0.0
NLD_S,72.6221,1.7952,2.8238,5.1181,17.2253,87.4515,12.9396,4.4618,28.0693,8.6614,43.1968,11.1184,18.5062,18.7168,14.7236,39.3162,24.2556,10.0272,32.6437,11.2392,12.5931,64.6959,28.2552,39.458,151.5414,347.6745,38.8734,9.1531,7.1783,29.8575,8.6959,222.181,35.7145,14.6337,107.1329,167.7145,238.7962,295.1634,135.5725,178.9797,40.8766,478.9188,61.1262,288.012,0.0
NLD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
