V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_A01_02,2927.6084,0.7798,4.4949,1.5437,3.8658,8857.8214,35.2769,32.4381,19.0909,15.8757,66.0686,16.2476,78.4805,8.4508,12.7349,13.0841,102.0352,8.5925,12.654,3.5836,8.8882,19.4258,27.9159,5.9344,107.5256,253.3943,46.0476,18.2679,27.0499,36.3097,2.3703,293.3641,9.7852,8.383,6.0712,11.6326,28.0502,48.9784,197.2762,122.1545,4.9885,169.0747,27.8659,28.4424,0.0
NLD_A03,15.1101,6.5778,0.0138,0.0011,0.0026,142.4974,0.1423,0.0035,0.2861,1.1723,2.198,2.3547,0.0892,0.013,0.0164,0.03,0.0114,0.0105,0.0234,0.0116,0.0151,0.029,0.2502,0.3261,0.1615,3.203,0.1368,0.3494,0.0169,0.073,0.0139,27.0944,0.0514,0.0199,0.0343,0.1301,0.169,0.1597,0.1859,2.1996,0.1722,14.2814,1.0815,0.9028,0.0
NLD_B05_06,106.6372,0.0287,159.9546,4.6926,174.2398,52.1764,5.2356,1.5177,21.7086,3197.2573,505.1262,4.2592,7.5417,25.8904,87.872,6.6761,2.1706,4.1839,4.3772,1.8781,1.8119,11.7177,595.9592,4.6379,145.237,91.1919,10.3072,0.4803,0.208,8.5703,0.7565,54.2815,1.199,5.0987,2.118,22.3695,65.2715,30.5253,12.9521,31.4584,32.7461,44.5542,22.2166,23.7624,0.0
NLD_B07_08,25.2897,0.4178,5.0014,95.7359,104.7132,3.5219,2.276,0.0,3.4891,0.0,125.5031,0.424,2.6514,278.0982,51.0684,2.5196,0.0,0.0,1.5492,0.0,4.0794,8.0382,0.0,0.8403,307.7176,7.5258,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,0.0,0.3177,0.0,7.3759,4.6901,5.0324,38.0343,0.6908,0.0,0.0,0.0,0.0
NLD_B09,0.0,0.0,494.2206,8.1791,532.5334,0.0,3.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0854,0.0,0.0,0.0,0.0,0.0,1.3996,3.6672,0.0,0.0,426.7093,0.0,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,0.0,0.5804,0.0,9.1137,10.0671,3.556,0.0,0.0,0.0,0.0,0.0,0.0
NLD_C10T12,1792.3623,9.3375,3.0032,14.6885,20.3178,7045.9886,22.8705,1.8214,48.3145,139.0404,257.5954,289.3498,30.7634,45.4152,7.4216,20.0242,136.5548,8.9674,20.3721,5.9686,6.6279,33.2525,45.7046,42.7253,111.1806,396.5875,17.8752,15.0792,9.4143,14.6377,5.8951,2685.8237,21.0088,18.3978,24.5884,137.8704,18.9725,242.9701,68.761,169.1245,42.7662,779.1237,411.7786,65.275,0.0
NLD_C13T15,11.6867,18.2268,0.608,0.0731,0.1817,44.2425,519.16,2.202,89.6098,0.1156,29.0925,7.1056,72.3077,17.0013,1.7563,19.0054,1.2639,2.3672,8.3867,14.0367,4.0448,128.9792,1.4337,1.8014,18.6402,34.1027,2.8109,1.3616,0.572,5.3598,2.3696,17.472,2.5979,0.6221,0.631,4.919,3.8942,4.029,13.1447,21.199,1.7256,54.3758,6.137,14.7121,0.0
NLD_C16,36.1032,0.3934,0.8889,1.8561,4.442,46.702,3.8695,319.1447,27.9105,3.2636,23.0294,14.2126,21.1709,18.8727,8.4966,35.1432,14.838,7.5282,24.9147,8.3041,23.335,181.2795,10.7808,9.3247,946.766,69.3147,11.4914,3.8736,8.5082,13.1649,0.7609,9.2595,5.9487,5.6268,3.7912,10.2581,110.9732,28.6103,67.4947,22.0475,7.3245,12.5129,3.6866,38.1923,0.0
NLD_C17_18,32.3466,6.2137,2.5246,8.224,26.5531,822.7461,32.5193,11.6867,2653.1884,10.2769,128.3625,82.4674,67.3136,42.4673,34.4512,82.844,81.1409,22.6636,82.1318,22.4088,22.7441,122.9326,43.662,44.7489,143.9888,842.913,77.425,12.7351,28.0743,44.4655,11.3725,110.8269,1188.3453,78.1991,78.0909,260.2768,131.8862,573.1235,293.2685,311.5769,188.143,549.8039,53.4176,56.2392,0.0
NLD_C19,227.4992,25.5262,5.7783,21.7399,41.2675,82.4946,12.2241,9.5846,26.1667,603.8608,2274.7899,8.5377,21.2618,40.4685,30.9447,42.1595,35.8894,146.2149,25.6054,15.4314,11.6102,102.7683,224.8086,72.8354,478.261,606.6431,1846.4868,366.5935,1246.7809,73.3777,33.7458,33.0846,7.585,13.9569,21.2457,53.7412,88.5471,110.0773,444.8718,130.9206,55.6961,48.9754,53.2712,58.8923,0.0
NLD_C20,398.4796,5.1563,5.8542,16.5241,31.4951,311.8625,332.7844,38.87,299.0345,313.6954,8482.525,304.5064,1133.3611,147.3017,42.4011,117.8782,161.7859,86.2298,77.7795,47.9642,31.9375,287.6464,83.5838,70.1408,541.9666,405.411,133.9549,28.6314,79.7517,11.933,5.0683,36.9018,22.2805,20.6028,13.6114,48.2302,94.2485,247.9481,132.0722,94.7581,40.4233,246.3935,21.623,131.5852,0.0
NLD_C21,48.1051,0.2739,1.509,1.0537,2.3737,84.4794,5.9494,4.305,14.686,6.6169,73.1275,173.9436,11.5518,8.0656,4.3882,13.7989,144.8667,5.2771,18.168,4.6335,4.4668,20.0741,5.6442,2.5127,64.406,111.4751,8.3324,7.5139,2.4842,4.1392,2.1525,13.0835,12.5957,10.5535,5.0381,12.8841,9.4942,133.1589,11.6823,54.6384,8.333,543.9519,5.3912,4.3702,0.0
