V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_A01_02,129.3956,0.0164,0.0006,0.0063,0.0002,421.6758,6.1689,3.6788,0.0064,0.0003,0.0134,0.0087,0.0017,0.0875,0.0006,0.0027,0.0001,0.0032,0.0006,0.0,0.036,0.9433,0.0389,0.0082,0.323,6.4448,2.6106,0.0011,0.0028,0.0077,0.0,47.9833,0.0017,0.0221,0.0015,0.0077,0.0017,0.0271,0.0072,0.6899,0.1557,0.7855,0.0274,0.044,0.0
SEN_A03,0.3319,7.1951,0.0064,0.0869,0.001,79.7313,0.0869,0.0592,0.0506,0.0299,0.0759,0.013,0.0138,0.1377,0.0463,0.1246,0.0007,0.0384,0.0094,0.0002,0.0311,0.0787,0.2317,0.0389,1.061,0.0133,0.1384,0.0101,0.0266,0.0668,0.0001,3.1151,0.0032,0.2217,0.0082,0.0372,0.0056,0.1287,0.065,0.2934,0.058,0.0504,0.003,0.0058,0.0
SEN_B05_06,0.0,0.0,0.6137,1.6074,0.0156,0.5563,0.0,0.0002,0.0,5.1515,3.1851,0.0,0.0,1.4291,0.0053,0.0041,0.0,0.0,0.0,0.0,0.0,0.0033,0.5045,0.0227,1.994,0.0077,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_B07_08,0.0471,0.0122,0.3992,4.0722,0.0107,1.6861,0.0172,0.0058,0.0059,0.0021,20.5393,0.0015,0.0016,9.5208,14.1063,0.0314,0.0001,0.0038,0.0009,0.0,0.0023,0.3135,0.0308,0.0652,23.0002,0.0401,0.0188,0.0011,0.0029,0.0073,0.0,0.0518,0.0009,0.0235,0.0011,0.0055,0.0007,0.0192,0.0072,0.0108,0.0061,0.0059,0.0012,0.0065,0.0
SEN_B09,0.0,0.0,1.1768,9.9653,0.0512,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_C10T12,50.4332,2.3,0.0308,0.3167,0.0048,149.2098,2.8673,0.2062,0.1878,0.0918,0.3988,0.6312,0.0846,0.7896,0.1401,0.3757,0.0023,0.1283,0.0326,0.001,0.095,0.2848,0.9054,0.2549,3.4928,7.3074,1.5425,0.0351,0.0917,0.9523,0.0009,65.261,0.0251,0.8336,0.0353,0.2981,0.0532,0.579,0.2446,2.2942,0.3803,1.2468,0.0708,0.1071,0.0
SEN_C13T15,1.6211,0.0194,0.001,0.0082,0.0002,0.2717,32.9309,0.7252,0.008,0.0004,0.0159,0.0042,0.0119,0.0196,0.0008,0.0032,0.0001,0.0037,0.2307,0.0,0.024,0.387,0.046,0.0135,0.0703,0.0223,0.0286,0.0013,0.0033,0.0089,0.0,0.9304,0.002,0.026,0.0018,0.009,0.0017,0.0329,0.2393,0.9882,0.5967,0.3156,0.0423,0.1003,0.0
SEN_C16,0.0052,0.0236,0.0009,0.0057,0.0003,5.0798,0.3511,6.045,0.0313,0.0,0.021,0.0014,1.1774,0.0024,0.7115,2.5612,0.0,0.0003,0.0001,0.0016,4.465,10.5739,0.0039,0.0182,8.4904,0.0117,0.0285,0.0008,0.0068,4.3776,0.0001,0.0092,0.0003,0.0099,0.0104,0.0461,0.001,0.3569,0.0108,0.1859,0.1435,0.0699,0.0079,0.0134,0.0
SEN_C17_18,0.2324,0.2436,0.0212,0.344,0.0439,11.3814,0.2672,0.1104,7.5474,0.1241,1.2203,0.3784,0.1569,4.501,0.0056,0.02,0.0011,0.0141,0.0596,0.0089,0.0137,0.1896,0.2239,1.1268,0.895,4.7041,1.0913,0.0709,0.7898,1.5646,0.0151,1.1393,2.4961,3.2218,1.2206,5.7244,0.2509,5.3509,2.036,4.8742,5.3762,1.6622,0.229,0.3046,0.0
SEN_C19,2.8363,12.1794,0.3325,3.6057,0.1466,11.3939,0.4349,0.2357,0.1169,0.1398,7.6096,0.2401,0.2545,5.5097,0.085,0.1059,0.0006,0.0628,0.0296,0.0047,0.0187,0.2264,41.0843,1.8272,12.3278,5.0756,22.1194,0.7054,1.0042,3.3368,0.005,1.0083,0.0904,1.6922,0.1406,1.0272,0.4613,4.1228,1.4597,2.9218,0.3893,1.2821,0.0627,0.1196,0.0
