V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_J58T60,1.9297,0.0808,0.0084,1.7042,0.0021,6.0588,1.7987,0.0907,0.6783,0.1148,3.2574,0.7872,1.5919,3.5613,0.7701,0.3312,1.4904,0.6136,0.0755,0.777,0.1133,0.275,2.1957,0.3872,0.9662,4.1123,0.3244,0.0969,0.2807,0.2434,0.0888,2.7139,8.7416,1.3307,1.6673,1.8377,0.7309,12.8565,5.8307,7.6646,5.0193,1.2997,0.6153,0.779,0.0
MAR_J61,0.8583,0.691,0.0114,1.0426,0.0161,5.0791,2.8443,0.4019,0.6974,0.3288,2.8891,0.6015,0.6281,2.3879,0.6468,1.1969,0.9194,1.2366,0.4074,3.1185,2.0808,1.6699,1.7959,0.3141,16.8751,51.6856,5.8509,1.2444,3.3091,3.3942,0.2146,5.3251,2.2456,16.4541,5.6876,16.5501,3.0843,10.8431,19.1858,55.0025,7.096,4.7242,0.5005,2.0018,0.0
MAR_J62_63,0.0067,0.0146,0.0001,0.017,0.0001,0.0634,0.0647,0.0062,0.0137,0.0078,0.0326,0.0083,0.0082,0.0383,0.0054,0.022,0.0262,0.0179,0.0041,0.0955,0.0042,0.0296,0.0219,0.0031,0.1284,0.4504,0.2168,0.0669,0.1787,0.135,0.0105,0.0611,0.0615,0.1878,0.2459,0.5409,0.0161,0.0819,0.1549,0.7135,0.0698,0.0318,0.0153,0.1014,0.0
MAR_K,8.5138,76.3434,0.0089,5.0537,0.3765,48.7505,19.2945,2.7033,9.6709,10.5961,54.3512,8.5016,25.4293,32.486,3.9292,11.5884,8.1267,4.8976,0.7932,12.4285,1.5006,18.9586,15.3053,2.2572,114.1704,369.905,210.2794,62.5113,106.3774,75.4122,0.7629,32.793,5.9845,9.5646,34.4156,591.782,48.7206,44.1147,113.3008,100.583,70.0233,37.9635,1.7041,9.7837,0.0
MAR_L,0.5428,1.0352,0.0041,1.1894,0.0113,9.6284,4.9774,0.435,0.826,0.3173,2.8616,0.5385,0.5001,1.8411,0.6204,1.3566,0.8437,0.6879,0.2134,3.4238,0.2344,2.3762,0.649,0.0892,13.6017,42.5911,15.6422,3.2427,9.1897,14.4286,0.933,12.9137,4.4736,13.5476,1.8593,17.1564,5.2117,5.9642,11.9201,28.9999,6.5879,4.5669,2.3821,9.5669,0.0
MAR_M,2.6287,5.6283,0.0379,7.354,0.1499,50.1207,15.806,1.4337,3.6906,2.0006,24.427,8.6426,2.3638,9.2222,3.1004,5.2469,5.8083,4.7352,1.3785,26.2328,1.7009,7.8348,4.0715,0.6176,60.1018,102.6803,38.8201,11.9887,29.4264,28.3157,2.1713,20.3894,16.2306,43.469,13.7448,66.2501,9.8712,65.8679,57.6955,108.5648,16.2034,9.739,6.7109,22.3251,0.0
MAR_N,3.0989,6.3234,0.0247,6.4644,0.3603,32.8392,12.0718,1.9093,3.7386,1.6541,16.0256,4.3589,1.9158,9.2237,3.5448,5.8222,3.9215,3.0974,1.0956,16.668,1.0124,10.861,4.8319,0.7531,59.5661,110.7178,91.8695,31.7791,70.6043,66.285,5.5605,30.9895,18.7556,61.0437,10.8505,75.6705,17.137,36.9243,137.4745,159.2641,34.414,32.3206,13.9925,33.3474,0.0
MAR_O,0.0354,0.0209,0.0051,0.6907,0.0127,0.7136,0.1125,0.0362,0.022,0.0456,0.1297,0.0467,0.0055,0.2915,0.0252,0.0099,0.1092,0.0416,0.0119,0.724,0.0432,0.4299,0.3405,0.9385,0.7284,2.1936,0.2309,0.0422,0.0804,0.1857,0.0215,0.1262,0.0597,0.2299,0.1659,1.5865,5.378,0.2272,0.2988,3.8376,0.4003,0.1447,0.0501,0.1433,0.0
MAR_P,13.0109,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5134,0.0,0.0,8.2079,0.0,0.0,0.0,10.6076,1.5505,0.3732,0.4009,2.1432,0.0
MAR_Q,8.4841,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794,0.0,0.0,3.5023,0.0,0.0,0.0,5.6041,1.0738,4.7108,0.3057,1.1423,0.0
MAR_R,0.0,0.0155,0.003,0.4613,0.0002,0.7157,0.2514,0.0147,0.0639,0.012,0.2089,0.0594,0.2107,0.4013,0.1333,0.0416,0.2108,0.0931,0.0082,0.1254,0.0141,0.0338,0.2171,0.0354,0.0931,0.4309,0.0224,0.0221,0.0185,0.0201,0.0045,0.4496,0.6135,0.0448,0.1526,0.0054,0.0524,0.7015,1.1909,0.6681,0.3353,0.1109,0.8059,0.2965,0.0
MAR_S,0.0,0.2269,0.0344,4.4135,0.0139,8.9166,3.6817,0.286,1.3762,0.3032,3.5393,0.7559,4.3368,10.8886,1.3602,0.918,3.1636,1.9467,0.2116,1.7298,0.1136,1.0616,5.9252,1.4434,2.2402,6.631,0.2093,0.0723,0.1608,0.1606,0.0663,4.1259,2.8897,0.5281,3.6039,0.1082,2.0119,6.6334,11.5672,8.8067,5.0426,3.6335,1.5612,12.1223,0.0
MAR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
