V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_A01_02,198.4177,3.8943,0.0,0.0007,0.0,1705.6621,1.0599,0.0369,0.0016,0.0,9.6794,0.3998,0.0089,0.0005,0.0002,0.059,0.0015,0.0,0.0019,0.0002,0.0,0.233,0.0042,0.204,3.6834,3.1272,0.0237,0.0019,0.0025,0.0012,0.0003,117.5903,1.4562,0.0003,0.2148,0.0603,0.6457,1.3818,0.8354,2.4289,1.8993,0.1637,7.957,0.0328,0.0
ISR_A03,0.0011,0.0001,0.0,0.0015,0.0001,9.476,0.0022,0.0002,0.0028,0.0031,0.0132,0.0004,2.167,0.0021,0.0004,0.0035,0.0231,0.0025,0.0004,0.0004,0.0389,0.0003,0.4323,1.3661,0.0,0.0236,0.0054,0.0115,0.0094,0.0271,0.0012,0.3521,0.966,0.0475,0.0216,0.0374,1.5758,0.0896,0.0412,6.0984,1.3594,1.2083,6.1961,1.0844,0.0
ISR_B05_06,0.0888,0.0109,0.1089,0.0,0.2667,0.0123,0.0009,0.0,0.0,170.0944,0.122,0.0,0.0,1.6008,0.0247,0.0001,0.0172,0.0013,0.0017,0.0,0.0041,0.0037,19.403,4.3662,0.0256,0.0216,0.0131,0.0,0.0,0.0,0.0001,0.0014,0.0,0.0054,0.0251,0.0,0.0038,0.0746,0.0234,0.0,0.0,0.0009,0.001,0.0,0.0
ISR_B07_08,0.8544,1.4701,0.0285,10.7589,0.0,5.2739,0.0151,0.0033,0.0258,0.3997,66.0377,0.0034,0.2564,56.5869,1.6794,0.0918,1.1825,0.089,0.0712,0.0008,0.0937,343.3362,0.1316,0.0357,156.943,0.1128,0.0405,0.0,0.0,0.0075,0.0015,0.2829,0.3403,0.1048,0.165,0.0159,0.5246,0.6298,0.17,1.7692,0.1101,0.0008,1.488,0.0181,0.0
ISR_B09,0.0,0.0,8.8514,0.3163,8.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,110.711,0.7452,0.0149,0.4433,0.034,1211.9865,2.6771,0.0135,0.201,0.0513,15.2751,4.1335,0.0176,0.0222,0.0555,2.4758,0.2992,0.0226,0.039,0.0,0.062,0.1708,0.0102,0.3255,0.3432,13.967,0.1905,1.5123,1.2096,0.0,0.0039,510.7156,4.486,0.2912,2.2861,0.0075,2.9065,1.2023,0.613,6.2629,0.4792,3.247,19.1148,0.6131,0.0
ISR_C13T15,0.9034,0.03,0.0005,0.2804,0.0052,2.4794,104.5439,0.0425,6.1077,0.0629,4.3138,0.1697,5.0479,0.1953,0.8444,1.9856,1.7346,0.4622,2.7104,1.1427,0.3374,1.4007,0.2257,0.5509,0.5381,6.3331,1.4818,0.0535,0.0312,0.0607,0.2036,15.9294,8.5214,0.3216,0.5979,0.4244,1.3743,5.1821,2.5944,27.5565,2.6631,6.3865,38.0944,0.1208,0.0
ISR_C16,5.6052,0.0261,0.0015,0.5277,0.0041,4.9358,0.8794,28.9608,1.7728,0.0039,3.6968,0.5319,1.9776,2.8345,2.1136,3.0942,1.8126,0.5611,1.8652,1.1833,0.1516,20.8698,0.1819,0.0667,94.4631,1.3643,0.0575,0.1457,0.0829,0.0351,0.1953,0.0514,0.0683,0.0,0.1151,0.043,0.4649,0.4768,0.2122,1.1712,0.0618,0.1291,0.3184,0.0446,0.0
ISR_C17_18,38.9127,0.0095,0.0032,0.6808,0.0039,63.1641,5.2313,2.2383,185.762,0.5191,20.5746,9.7806,12.3583,3.3405,1.3003,3.1721,12.4046,0.4596,3.8293,0.5149,0.8308,1.6493,0.4892,1.4764,7.7444,45.5742,1.353,0.3695,0.4437,2.6874,0.7755,9.5989,79.2945,3.7939,10.8065,10.2151,7.2814,88.4612,25.1275,13.1395,15.9619,4.3472,142.8481,4.1566,0.0
ISR_C19,129.7201,3.5088,0.0789,33.97,0.3357,75.5319,107.4942,2.0496,33.5861,672.8318,237.4158,15.7065,391.7704,84.0863,16.8705,26.982,57.5161,25.352,12.8963,1.901,2.5596,22.8347,194.224,92.6613,117.0962,104.4095,440.6332,89.2997,154.1185,13.2389,0.7177,15.7129,7.4146,17.4949,57.1604,14.3476,13.9885,65.3447,104.4074,206.0658,22.6064,8.1983,24.5328,11.7448,0.0
