V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T
JOR_A01_02,157.9137,0.3028,0.0003,0.0008,0.0001,280.5494,0.0654,0.7582,0.0044,0.0236,1.1306,0.0111,0.2998,0.0288,0.004,0.0041,0.0,0.0,0.0031,0.0022,0.0006,0.3289,0.0124,0.0948,0.0594,2.3239,0.0023,0.0,0.0,0.0097,0.0,7.6462,0.0244,0.0005,0.0068,0.005,0.0892,0.003,0.014,0.4652,0.0007,0.0235,0.2659,0.2712,0.0
JOR_A03,0.0,0.0061,0.0,0.0,0.0,0.1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
JOR_B05_06,0.004,0.0,3.0051,0.5268,0.0508,13.1624,0.0083,0.0644,0.4772,88.9523,0.0056,0.3561,0.0157,33.9868,0.5525,0.383,0.0001,0.0015,0.0004,4.7146,0.7534,4.8778,6.1014,0.7541,0.8148,1.1637,19.41,0.233,4.9165,0.6232,0.0047,0.0153,6.4765,14.2313,1.385,11.5618,0.0943,0.0015,0.1507,0.0,0.0456,4.263,0.1826,0.1375,0.0
JOR_B07_08,0.0005,0.0,0.1422,1.1529,0.0662,12.656,0.0078,0.0634,0.0004,0.0,68.6541,0.3476,0.0137,18.9988,16.0852,0.3758,0.0001,0.0014,0.0004,0.0,0.0,0.2192,0.0,0.06,6.6055,0.0706,0.002,0.0,0.0,0.6098,0.0006,0.0007,0.0,0.0,0.0008,0.0,0.0443,0.002,0.0061,0.1888,0.0448,0.0,0.0723,0.0782,0.0
JOR_B09,0.0,0.0,42.6439,0.5792,25.9188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9522,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,26.8646,0.0855,0.0159,0.0499,0.0045,191.393,0.4451,0.0109,0.397,0.0386,5.1063,0.801,0.2724,0.1156,0.1124,0.7687,0.0143,0.0617,0.0232,0.0234,0.012,0.5623,0.0755,0.6366,0.7911,0.9753,0.0388,0.005,0.0477,0.1633,0.0027,50.5797,0.0996,0.0595,0.271,0.0613,0.531,0.0211,0.0569,5.8041,1.466,0.2805,1.7779,0.349,0.0
JOR_C13T15,0.0033,0.0004,0.4168,0.926,0.067,0.7321,44.587,0.0317,0.4449,0.022,0.0328,0.0203,0.0118,0.0076,0.1381,0.0116,0.0005,0.0026,0.02,0.0082,0.0032,0.4998,0.0021,0.2213,0.0751,0.1281,0.0508,0.0004,0.5458,0.5858,0.0068,0.4562,0.0629,0.0307,0.0203,0.2581,0.0312,0.0355,1.0447,0.3964,0.8252,0.0742,0.8998,0.3617,0.0
JOR_C16,0.6944,0.0,0.0025,0.008,0.0009,0.1403,0.4616,3.0306,1.3701,0.0004,0.1195,0.0198,0.0425,0.1819,0.0088,0.0932,0.0074,0.0541,0.0018,0.0093,0.0161,5.5553,0.0006,0.0589,16.5513,0.0212,0.0014,0.0017,0.0004,0.0002,0.0001,0.0203,0.0447,0.0326,0.0035,0.003,0.0036,0.0644,0.2279,0.5724,0.1806,0.0456,0.0409,0.0124,0.0
JOR_C17_18,0.8064,0.0008,0.1559,0.4727,0.034,11.9185,0.6215,0.029,30.5885,0.0518,2.7541,3.4051,1.6417,2.7801,0.3098,1.2264,0.0832,0.5128,0.1574,0.0858,0.0274,0.7462,0.4193,0.4193,6.0687,6.2905,0.1489,0.0492,1.4801,1.6285,0.853,1.5958,4.9128,2.2637,0.5582,8.2003,0.5777,2.3394,8.9785,3.9052,29.0612,0.9849,0.8569,0.7689,0.0
JOR_C19,61.4917,0.4396,13.0668,61.8369,3.4579,69.1952,3.3706,0.4385,4.7125,14.6066,15.5754,2.3013,5.6428,46.7866,18.5484,4.666,0.1026,0.9513,0.6244,0.4014,1.0004,1.5111,123.185,30.4742,33.3122,33.2291,100.7991,14.5329,155.6898,9.6052,1.0673,18.6661,1.3848,3.4658,0.8835,2.4888,2.7033,2.0033,12.9725,56.9905,24.4946,5.483,4.3635,4.7917,0.0
JOR_C20,28.2612,0.0149,0.3974,1.6502,0.1486,15.3917,2.7988,0.2429,4.16,0.1572,45.0199,26.1827,14.5978,1.8739,3.9836,1.3242,0.04,0.3305,0.1541,0.0529,0.0828,2.0864,0.4516,0.8804,4.4806,3.8447,0.0165,0.0094,0.0362,0.323,0.0119,1.2163,0.631,0.1182,0.8407,0.2682,0.2407,0.271,1.3374,0.4679,0.8258,0.9809,0.4206,2.9286,0.0
JOR_C21,8.4925,0.0048,0.0069,0.0211,0.0019,3.1671,0.0573,0.0005,0.0415,0.0013,5.6746,7.2982,0.3394,0.0181,0.0124,0.0124,0.0002,0.0014,0.141,0.0665,0.0162,0.3814,0.002,0.2696,0.0493,1.0182,0.0007,0.0,0.0008,0.0086,0.0001,0.1267,0.0461,0.0075,0.0118,0.0782,0.043,1.6082,0.0579,10.0011,0.1426,66.8027,0.1687,0.3411,0.0
JOR_C22,5.4992,0.0041,0.0895,0.2192,0.0206,16.3252,0.4825,0.0456,3.6907,0.0464,4.9966,9.3296,24.3828,4.2582,0.1393,0.8819,0.4787,3.7134,1.932,0.0123,0.0169,0.5944,1.2195,0.3185,19.7127,38.0506,1.3156,0.0146,1.13,0.1244,0.9499,1.0322,0.4843,0.0075,0.2111,0.917,0.223,0.1421,0.5927,0.0274,0.0311,0.027,0.4571,4.4136,0.0
JOR_C23,0.1819,0.0,0.1146,0.5557,0.061,7.0866,0.0979,0.4722,0.0046,0.1409,0.8432,4.8058,1.0323,68.6799,2.8698,25.8653,0.5536,3.3741,0.0181,0.2077,0.007,4.0943,0.0441,1.4428,304.3022,0.6337,0.0009,0.0001,0.001,0.0008,0.0003,2.7241,0.056,0.0714,0.0223,0.0545,0.0672,0.2266,0.6114,41.137,1.3557,0.0773,1.0125,0.881,0.0
JOR_C24,1.5464,0.0011,0.078,0.2531,0.0307,1.175,0.2064,0.2589,1.4331,0.1302,2.7946,0.2829,1.546,0.4208,48.2415,44.1177,2.507,38.7682,5.3677,2.8064,0.2219,5.421,2.0978,1.3549,32.6297,0.3659,0.1145,0.0032,0.067,1.422,0.2333,0.1454,0.0589,0.0535,0.0175,0.0664,0.0827,0.1071,0.1927,3.5689,0.0145,0.1619,0.2297,0.6428,0.0
JOR_C25,0.0435,0.0,1.4345,4.6532,0.5623,6.9529,2.8803,1.4062,0.1698,0.3305,7.0142,4.2304,1.0501,1.5416,2.6542,18.917,0.7961,6.898,4.3918,0.2996,0.3052,6.1908,1.6637,1.5828,86.6866,5.1846,0.0483,0.0604,1.217,0.6129,0.2179,2.6552,0.0687,0.2554,0.2003,0.0463,0.1879,0.2025,0.6691,0.1758,0.2259,0.7281,0.6009,2.1773,0.0
JOR_C26,0.1893,0.0001,0.0095,0.0001,0.0,0.1651,0.0219,0.0005,0.0009,0.0023,0.0,0.0112,0.0001,0.0019,0.0351,0.1213,1.7227,1.6771,0.9046,0.0007,0.0085,0.1009,0.0,0.1261,4.513,0.0283,0.0,0.0002,0.0416,0.0,0.0061,0.0013,0.012,0.0003,0.2971,0.012,0.003,0.0051,0.0147,0.0,0.0047,0.0079,0.3485,0.1046,0.0
JOR_C27,0.1758,0.0001,0.1653,0.5037,0.0611,0.9095,0.326,0.1548,0.0249,0.0383,0.8593,0.4758,0.1141,0.1667,0.3764,2.176,0.1862,2.2221,1.0874,0.0324,0.0524,0.7444,10.5135,0.2588,44.6111,0.5988,0.005,0.0068,0.1334,0.0656,0.0239,0.2916,0.0212,0.0253,0.26,0.0149,0.0239,0.026,0.0884,0.1533,0.023,0.0767,0.6581,0.494,0.0
JOR_C28,0.9785,0.0,1.4123,4.2606,0.3773,3.0866,0.4172,0.0472,0.8702,0.251,1.7446,0.5886,0.5714,2.5023,0.6038,0.4646,0.036,0.2756,1.5189,0.0441,0.1541,0.2655,0.0331,0.2153,5.7928,2.0615,0.1563,0.0003,0.1922,0.8112,0.0087,0.7773,0.188,1.6672,0.1166,1.5822,0.1095,0.196,0.5332,0.0977,0.7975,3.4153,0.0816,0.292,0.0
JOR_C29,0.0806,0.0001,0.0188,0.0549,0.0045,0.1082,0.5608,0.0077,0.0035,0.0018,0.0391,0.0248,0.0057,0.0083,0.0234,0.1038,0.008,0.0459,0.0644,1.1943,0.0042,0.0619,0.0083,0.016,0.7648,1.3463,0.2955,0.0518,0.233,0.2567,0.0199,0.0146,0.0081,0.0704,0.0068,0.0052,0.0085,0.0012,0.0493,0.4809,0.0271,0.0561,0.0121,0.14,0.0
JOR_C30,0.0,0.0,0.0,0.0,0.0,0.0224,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316,0.0,0.0,0.0,0.0,0.0003,0.1408,0.7698,1.8282,0.0121,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0245,0.009,0.0559,0.0,0.0005,0.0,0.0758,0.0495,0.0
JOR_C31T33,0.3415,0.0004,0.0666,0.2069,0.0223,1.606,5.7396,0.6798,0.3769,0.0294,0.3649,0.6131,0.6088,0.1815,0.0988,0.5227,0.052,0.4364,0.2232,0.0598,0.0308,2.1135,0.5542,0.1759,5.8087,1.0614,0.0452,0.0215,0.0627,0.0553,0.0256,0.4751,0.0373,0.0554,0.0102,0.0544,0.0208,0.0305,0.0806,0.9113,0.4666,0.0843,0.0907,0.1843,0.0
JOR_D,14.5682,0.2454,8.1411,31.8631,1.5974,33.3545,5.1102,0.6951,7.8446,0.4318,19.8583,4.4016,9.2093,35.3599,10.6271,5.116,0.2185,1.4573,0.7207,0.4526,0.0241,2.2957,0.4925,16.1496,15.5464,31.0402,0.3088,0.0442,0.5342,5.7405,0.3714,18.2533,1.3135,6.9546,1.9333,9.8896,3.2611,2.2999,5.8206,42.587,16.4154,9.0846,6.5646,5.4889,0.0
JOR_E,14.9005,0.0015,4.1243,12.6872,1.6172,9.6483,2.1949,0.0702,2.6903,0.1424,7.3981,6.2139,0.8397,3.2263,0.5746,0.6939,0.0578,0.3481,0.3815,0.0765,0.0537,0.3038,0.6648,1.5232,2.0454,10.6785,0.1336,0.6509,1.4365,2.0211,0.0744,12.3156,1.5273,5.3721,0.9813,18.3752,1.5321,1.0622,3.4811,4.5448,7.5321,6.6863,0.9454,1.462,0.0
JOR_F,37.6492,0.0001,0.169,0.19,0.0188,3.9335,0.2908,0.028,0.4179,0.2633,0.6238,0.8072,0.2576,0.4877,0.1241,0.3959,0.0276,0.1495,0.2472,0.1121,0.0079,0.2112,2.0654,1.4626,133.1212,10.484,0.0641,0.0044,0.3265,0.2946,0.0289,5.3589,0.3356,4.0823,0.3381,4.5565,140.2238,1.7222,4.3475,45.0661,4.646,1.5529,2.5401,1.9302,0.0
JOR_G,49.8222,0.1241,2.7385,9.186,0.7496,129.0473,87.718,1.6691,10.0592,4.358,22.5407,15.1086,10.3477,17.7352,10.9956,10.9458,2.24,8.5779,3.8896,2.3342,0.3773,6.513,11.6079,5.3794,68.5662,18.7474,9.3848,1.4202,13.7503,2.7548,0.4236,22.2152,8.047,11.1152,1.1333,4.4056,0.9779,1.5386,4.7647,29.5589,13.0841,20.3544,3.0615,3.087,0.0
JOR_H49,19.1375,0.0497,3.1229,9.0908,0.7199,52.1322,20.5397,0.8613,5.3152,8.3777,14.9271,6.9306,4.0883,23.3838,6.3912,6.7908,0.899,4.4751,1.7031,2.7671,0.4287,4.4721,62.2456,3.0581,36.7851,9.2979,21.8566,7.2537,8.5955,11.9023,1.3579,5.8436,4.3179,6.209,1.095,6.6516,0.6193,0.6384,17.5418,15.1847,5.3822,7.0384,3.149,1.6126,0.0
JOR_H50,0.1915,0.0008,0.0098,0.0095,0.0056,0.8652,1.3402,0.0423,0.1154,4.2616,0.2781,0.1591,0.1442,0.3336,0.2485,0.1821,0.0453,0.132,0.0559,0.0501,0.0044,0.0958,0.4732,0.0285,1.4009,0.135,0.005,0.0031,0.2004,0.0114,0.0096,0.059,0.007,0.0033,0.0043,0.0932,0.0078,0.0157,0.0105,0.1978,0.146,0.0854,0.0456,0.0529,0.0
