V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_A01_02,1379.3312,0.0156,0.7076,0.806,0.0139,668.8416,24.5651,1.599,0.5522,2.007,1.2602,1.5355,0.0599,0.0775,0.1272,0.0031,0.0,0.0,0.0004,0.0,0.0382,2.0357,1.1261,0.0562,8.2551,7.3939,0.8455,0.0711,0.0004,0.4521,0.1959,93.7801,0.0001,0.0077,0.0001,8.1866,0.8134,1.5912,16.2788,288.7647,144.7298,30.6202,0.842,0.0072,0.0
KAZ_A03,0.1645,1.5989,0.0002,0.0,0.0,4.3412,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0079,0.0011,0.0,0.0002,0.0111,0.0,0.0006,0.0,0.2842,0.0,0.0,0.0,0.0,0.0,0.0076,0.0573,0.0719,0.162,0.2751,0.0469,0.0,0.0
KAZ_B05_06,70.1958,0.0032,1367.9458,68.0851,6.2049,34.7758,0.0905,0.0215,0.5703,861.3999,10.2799,3.8519,2.8996,27.2342,42.4474,4.1468,0.017,0.1422,0.839,0.1092,0.0299,4.6608,279.3608,5.1,8.2436,13.4983,153.6432,0.0015,0.0119,5.032,0.4555,0.542,0.0125,0.5122,0.0063,0.0306,1.7244,4.3224,0.5122,2.2872,5.9151,11.8167,0.6234,5.1825,0.0
KAZ_B07_08,0.1293,0.0606,379.9904,156.7661,0.2261,0.7368,0.019,0.0954,0.0,66.3979,93.6651,0.273,0.1253,50.1506,1107.3834,0.6992,0.0,0.124,0.0458,0.0002,0.0104,0.7008,2.1206,1.2691,107.249,0.0,3.394,0.0004,1.9873,0.813,0.0534,0.027,0.0005,0.0069,0.0002,0.0016,6.0139,0.3384,1.4841,0.5437,0.3817,0.7279,0.5271,0.3879,0.0
KAZ_B09,0.0,0.0,757.9537,0.2798,8.7621,0.0,0.0,0.0,0.0,0.0004,0.0226,0.0,0.0,0.5089,0.0,0.0,0.0,0.0,0.1671,0.0,0.0,0.0013,0.1715,0.0951,3.6134,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4795,0.1016,0.0,0.0,0.0,0.0,0.0,0.0
KAZ_C10T12,34.3254,0.1813,0.9102,0.2209,0.32,125.1529,1.0727,0.0249,0.3068,0.1753,0.2712,0.0414,0.0012,0.1233,0.2167,0.0007,0.0,0.0021,0.0003,0.0019,0.0,0.035,0.0631,0.0001,0.3323,162.3279,0.2961,0.1717,2.6223,1.7817,0.1023,77.9345,0.046,0.0076,0.0127,8.3449,1.0872,0.8744,7.2995,2.4323,119.7,22.9537,1.5653,0.1644,0.0
KAZ_C13T15,0.3004,0.1624,1.1108,0.4339,0.126,0.9805,18.714,0.0325,0.0798,0.1074,0.1217,0.0032,0.021,0.109,1.3594,0.068,0.0141,0.0456,0.0289,0.0093,0.0617,0.7541,0.2043,0.381,0.4679,2.9945,1.7458,0.2169,0.1184,0.1135,0.3725,3.8142,0.0808,0.4036,0.0294,0.1767,0.1681,0.9369,3.165,0.4761,0.6195,1.1433,1.9788,0.8911,0.0
KAZ_C16,0.3313,0.0379,1.1695,0.2814,0.0044,0.0616,0.0046,0.8244,1.3169,0.0024,0.0036,0.0014,0.0094,0.3432,0.1219,0.0729,0.0002,0.0158,0.0221,0.0094,0.0472,3.6885,0.1019,0.0138,16.7357,1.77,3.0927,0.0003,0.0003,0.3147,0.0215,0.1955,0.0046,0.0612,0.0019,0.0232,0.0155,0.0543,0.0684,0.0753,0.0663,0.0302,0.0559,0.2803,0.0
KAZ_C17_18,0.8965,0.0042,0.1562,0.0563,0.0029,8.3215,0.0129,0.003,7.0363,0.0615,0.2233,0.272,0.1353,0.5741,0.0463,0.0118,0.0137,0.0266,0.0034,0.009,0.0029,0.2,0.0735,0.1837,0.1986,100.7038,1.4472,0.0275,0.1227,0.0512,1.0817,0.9507,12.3429,0.3465,3.6644,1.1106,0.2072,12.9991,1.5587,1.9989,5.7946,2.3736,0.6116,0.1396,0.0
KAZ_C19,196.4099,1.0483,103.5225,63.1778,23.8144,14.2279,4.9232,0.5282,1.2885,4.7673,9.519,0.0741,0.9344,24.965,207.0593,0.9545,0.0557,0.3192,0.7018,0.6624,1.6557,5.4422,30.0825,11.0767,34.5018,74.2547,295.4209,8.8107,119.7261,5.5825,2.5103,6.8964,2.7003,2.4636,1.825,2.6897,1.3017,9.9063,19.8604,26.6002,13.9279,42.4437,3.8161,8.2334,0.0
KAZ_C20,31.5599,0.0256,27.8852,14.7271,3.3984,3.5606,1.7505,0.3567,2.8238,5.8653,19.7696,5.1638,32.2881,5.1223,9.2846,1.0006,0.325,1.2071,0.5485,0.0277,0.205,3.139,2.1236,4.025,4.0848,0.8924,3.4267,0.0622,0.4423,0.2107,0.0326,6.5455,2.6393,0.3965,0.6551,0.7482,0.4558,18.8552,6.5849,2.1936,22.8343,26.818,0.8388,4.6757,0.0
KAZ_C21,0.2586,0.0,0.0036,0.0009,0.0007,0.0489,0.0001,0.0,0.0002,0.0043,0.0001,0.1491,0.0,0.0006,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0003,0.0001,0.0033,0.0,0.0077,0.0004,0.0011,0.0005,0.0354,0.0042,0.0,0.0014,0.0,0.0014,0.0058,0.0933,0.0014,0.0734,0.4839,36.5702,0.0175,0.0,0.0
KAZ_C22,6.2574,0.1348,4.7878,6.2215,0.9798,6.7509,0.0468,0.0947,0.8594,0.9457,0.7185,0.0165,0.9953,0.4992,2.4774,0.8037,0.042,0.0791,1.7489,1.3676,0.2885,1.1263,1.339,1.2443,65.9669,54.675,18.399,0.2495,0.1577,1.2123,0.0744,1.4501,0.101,0.5289,0.0586,0.361,1.1329,10.1177,8.0265,0.1256,2.0314,10.1431,0.9697,0.2335,0.0
KAZ_C23,2.2174,0.0303,5.322,2.9406,3.7789,6.9592,0.0367,0.1626,0.0046,0.1726,1.4578,0.5928,0.8122,34.6213,1.4009,0.2377,0.1725,0.1145,0.1221,0.0023,0.2995,2.4852,2.5633,0.8111,335.8124,8.2569,9.0197,1.3861,0.0974,15.7384,0.056,0.7661,0.0235,0.3121,0.0124,0.8029,103.1977,4.0447,3.406,0.7384,4.3036,11.7059,0.6311,0.6147,0.0
KAZ_C24,3.7034,0.0244,780.0475,116.2008,20.4881,5.4415,0.1445,0.0072,0.1419,12.9578,1.9361,0.1053,2.4604,23.4129,1140.8159,87.5156,5.6329,39.9123,44.5626,8.7415,34.2919,60.8457,114.0061,33.3496,466.4902,12.128,141.9667,0.0603,5.6233,48.1335,0.0001,0.0092,0.6567,6.0269,0.2196,102.1636,44.8088,4.6738,13.7404,0.2608,0.0816,5.0161,0.2429,0.8199,0.0
KAZ_C25,1.7321,0.0051,19.6694,7.0031,0.9604,1.4972,0.0976,0.1587,0.0815,0.4633,0.1373,0.0173,0.1781,3.6305,3.6381,2.486,0.0106,0.7222,3.7048,1.6371,1.6508,7.9956,2.575,0.3729,111.1998,22.9164,6.2767,0.0727,0.0033,5.7079,0.0854,2.162,0.0217,0.8257,0.0138,0.0299,0.246,0.8264,2.7499,0.1692,1.398,2.8457,0.4512,0.5557,0.0
KAZ_C26,0.0001,0.0001,0.0515,0.0328,0.002,0.0029,0.0,0.0001,0.0066,0.0164,0.003,0.0001,0.0001,0.0064,0.1317,0.0038,0.2573,0.0012,0.2151,0.0006,0.2983,0.2467,0.8299,0.0009,0.2451,8.6306,0.1258,0.0289,0.0013,0.0089,0.0025,0.002,0.3611,2.1336,0.3517,0.0138,0.0195,0.404,0.5194,0.0881,0.1333,0.275,0.2186,0.4951,0.0
KAZ_C27,0.3452,0.0006,0.3589,0.3971,0.2096,0.1186,0.0032,0.0035,0.0058,0.0609,0.0613,0.0002,0.0066,0.0248,0.5392,0.0145,0.2144,1.2593,0.0395,0.0182,0.0372,0.4917,2.1752,0.0829,3.0657,0.8155,2.2385,0.0064,0.001,0.7183,0.0,0.0708,0.0113,3.9103,0.0079,0.0084,0.0925,0.2685,0.2249,0.6108,0.5047,0.117,0.0622,0.2381,0.0
