V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T
ROW_A01_02,60674.578,473.0757,468.0748,204.8081,207.2799,54806.0183,3444.1869,2438.5734,895.4597,272.8425,478.1252,380.0992,742.0351,111.3815,97.0644,78.2032,34.3374,29.0429,56.1808,44.8514,20.2152,371.0487,274.8695,78.8445,1959.157,3269.3644,312.0661,159.443,146.6443,175.8217,16.0501,5088.0577,99.9691,124.6861,37.405,203.0244,371.2385,220.9334,249.7316,3395.967,712.9383,1760.4659,240.5673,452.8508,0.0
ROW_A03,161.7347,3246.945,25.2617,6.9057,3.5318,3593.6378,14.5464,5.2032,5.7383,19.9899,12.107,8.3557,3.3201,6.721,5.6841,3.2408,2.9538,2.2552,3.8884,3.1372,1.2817,10.8088,7.1707,3.0365,40.2808,118.2994,22.145,26.9219,23.1798,9.8871,1.1309,958.5077,8.8533,11.6072,3.2554,7.2812,9.0747,13.2991,9.7418,119.8255,47.6313,98.2514,16.0486,22.8428,0.0
ROW_B05_06,542.9812,59.1673,37236.2405,992.5298,1130.7504,883.5841,173.7548,44.9039,173.64,48369.6114,1715.4865,94.8409,86.7689,635.8959,954.0059,91.1684,53.7338,53.4317,136.7486,45.0195,18.6125,100.4252,10836.8397,119.8795,1931.4512,1757.1374,1396.017,270.1223,480.8837,424.1092,66.4421,220.8373,58.4881,219.726,65.4734,127.8319,448.8298,211.2112,152.0654,678.8866,330.8486,246.0524,54.8461,146.0482,0.0
ROW_B07_08,495.7101,59.3353,4726.9299,14802.3597,1729.3782,533.2684,47.1446,14.3058,137.6824,911.9721,3641.1414,97.612,53.8623,4045.8609,10462.0087,249.0156,39.9012,81.5447,106.1887,28.3356,9.8853,191.3687,438.9028,149.6896,9862.7511,188.62,76.6192,10.944,10.109,87.9581,3.4712,97.3718,14.383,18.3519,6.5141,16.1212,302.9264,45.0517,32.8526,418.4396,52.1195,50.801,28.0808,85.8396,0.0
ROW_B09,457.0084,58.2278,27679.1091,1454.0993,1803.784,52.7642,5.277,6.8597,28.4808,1218.4867,113.6971,5.4134,7.0516,287.5294,522.9801,38.1289,1.8087,1.596,5.5573,2.734,0.8416,24.4714,471.5194,14.6247,1165.8022,35.2509,79.8758,12.0355,7.2938,53.2346,0.9737,14.5514,3.2435,5.3182,2.6619,14.3044,48.1495,15.1072,10.4537,81.5486,16.727,17.3917,14.658,11.5469,0.0
ROW_C10T12,13792.3135,982.9037,304.9598,63.395,52.9789,24543.7894,505.7831,52.8304,144.3714,780.8264,648.5302,354.5965,105.1461,91.9933,67.0109,47.1808,42.0576,29.0942,39.7464,21.9341,12.0741,74.4154,101.0867,43.8653,395.6997,2038.5236,269.6542,169.7098,260.8496,167.6267,11.0793,13832.0785,88.4567,92.9511,42.1278,235.8381,277.4411,220.6119,177.8251,3020.487,1487.0452,2069.0772,342.2085,583.0406,0.0
ROW_C13T15,258.505,160.6287,558.4542,69.8069,49.0504,312.9723,17263.6669,41.8103,156.1453,84.2001,171.6784,83.8419,278.5406,84.1404,76.3446,85.6355,58.1581,47.4254,64.0636,344.7566,28.8338,1088.3322,114.9925,100.0692,908.8793,1461.306,218.0374,71.7737,89.7814,92.8507,32.3956,397.6395,84.396,154.2346,68.4466,112.2269,92.2327,181.5231,222.2269,1722.7357,331.3669,663.9769,223.0648,655.9727,0.0
ROW_C16,213.0815,25.0967,99.7338,45.466,15.3717,229.695,44.4166,2018.7417,223.8542,13.8655,81.2271,21.7275,43.1281,92.4226,42.2563,52.3039,20.6597,28.1321,42.1881,52.1069,26.0806,1798.4854,44.9459,14.9671,4845.0836,303.49,39.1954,7.1275,5.3851,39.9357,3.5158,50.2534,24.0364,14.9621,6.927,13.7722,271.4277,49.9048,42.328,79.7024,72.6749,30.117,27.8082,173.6337,0.0
ROW_C17_18,307.1332,31.4329,160.6685,64.6601,22.729,2310.1087,316.1108,129.4179,4998.5193,80.7966,464.9699,320.0618,178.2886,411.4813,82.6022,108.3971,89.3354,181.9965,78.9501,84.1068,10.3854,222.7482,101.2787,65.6021,359.6009,1684.5821,178.0022,34.0139,57.1079,115.4459,69.9244,282.8231,2149.4144,227.3217,137.5099,776.2659,142.6548,688.6849,372.2681,937.7354,748.5292,356.2139,158.5619,400.9337,0.0
ROW_C19,3139.0936,758.8467,5297.0943,1236.202,574.4006,1065.8332,326.4317,154.3534,247.9652,9232.3996,2832.9355,203.918,319.5049,923.4931,812.52,190.5977,102.3328,127.5526,154.9798,115.5729,40.4162,245.6634,2320.4464,317.0007,2858.4216,2769.3705,10841.7574,1942.0012,3741.1434,773.5321,152.5313,431.063,142.9588,282.0936,96.297,342.046,305.1009,465.6259,564.3714,1907.0361,635.688,566.0011,152.9238,518.1367,0.0
ROW_C20,4907.3531,75.7584,1744.7484,540.5233,245.4753,1143.6784,1681.7043,281.7363,924.8097,2179.9914,12798.9964,1290.4652,4206.7115,942.1607,577.9722,284.209,277.1023,481.5727,206.7785,298.5715,53.6453,536.7793,223.7796,211.4699,1800.145,878.375,278.5758,64.9057,74.7925,90.2718,11.4636,223.8417,252.962,58.7118,39.1243,94.8692,186.2222,299.9215,250.2964,646.8108,329.6195,1597.9852,100.538,703.9887,0.0
ROW_C21,449.1655,21.0256,153.9564,63.9672,41.0857,304.993,126.1832,22.6136,88.4904,120.8619,709.4125,3766.7537,171.8824,102.9317,54.2304,23.2998,22.0424,25.4144,30.086,34.192,10.1297,54.57,17.2581,19.093,307.2167,339.2664,43.5063,12.8587,16.2755,19.594,3.1366,43.2461,33.6209,18.183,8.9812,29.7143,14.3745,95.648,22.9479,397.8532,260.0587,3217.5984,37.9691,90.3317,0.0
ROW_C22,503.719,86.6768,563.8287,127.7232,75.5084,1928.7474,543.3798,84.9179,288.5948,397.7836,782.3724,267.484,1777.9113,182.3,115.9114,206.9849,268.2497,344.0953,373.2081,707.0069,87.019,734.9384,73.7728,98.2653,2434.7196,1353.414,2586.3872,36.5539,76.7683,98.0796,20.9874,279.6777,79.1518,85.6042,22.8066,58.4474,115.8823,146.1042,123.5742,235.1069,79.6479,225.0132,41.9858,266.5707,0.0
