V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_A01_02,5159.4952,5.4212,5.7504,1.0252,13.884,9091.6258,88.1116,617.1789,318.8591,9.1316,19.0165,5.5029,42.4906,6.5509,17.8899,5.7687,1.4716,1.5904,2.1674,2.5709,2.1524,287.1387,38.0758,3.2787,39.1035,267.946,26.9516,3.6971,4.0653,25.9692,0.9465,162.6796,2.8697,1.7885,0.303,37.0712,12.7223,19.588,5.0076,352.3558,49.9403,88.5082,6.6629,25.8194,0.0
RUS_A03,234.6302,124.1719,1.0766,0.4803,2.2324,618.7407,0.4918,1.1253,0.7546,2.1611,1.7888,0.0995,0.3284,1.2477,3.0218,1.6075,0.3641,0.2268,0.4188,0.6004,0.3163,1.1953,1.8191,0.3088,4.1064,11.9622,2.6076,1.2156,0.7603,1.7298,0.0619,72.5557,0.5168,0.2576,0.0595,2.0414,0.68,1.3491,1.8163,15.1441,2.3253,6.1493,0.2943,0.583,0.0
RUS_B05_06,145.2861,24.9511,2657.8694,8.9348,650.2777,220.1034,5.8592,11.9064,22.207,21383.9947,178.389,1.4754,5.7793,105.0152,1017.5069,12.3,4.1761,5.231,43.3432,7.6442,6.971,33.2955,9573.2476,166.4722,182.5414,2046.6315,747.2504,16.4311,88.6355,62.7532,4.9812,5.2325,4.3967,8.8423,1.1433,87.7947,18.2137,34.2037,11.1268,73.8766,15.9189,64.8793,82.2533,5.2461,0.0
RUS_B07_08,15.4732,1.0365,11.3509,10.7068,41.7111,22.3815,0.9909,1.3399,2.3571,5.0347,155.4331,0.5084,1.9242,174.5946,518.7996,21.887,1.6149,2.7143,4.9897,4.0227,6.2326,135.7288,11.7363,11.281,190.8586,16.5886,17.8208,0.7944,3.0834,28.2553,0.5402,2.1218,0.6282,0.9509,0.1959,1.4834,6.1728,7.5074,2.4841,13.1067,3.8238,2.8298,1.9039,8.1933,0.0
RUS_B09,12.7109,0.9743,5241.682,3.3136,20176.7531,29.3893,2.1839,2.2623,3.2385,3938.4923,11.5471,0.7076,2.8873,9.094,24.8885,8.2778,8.8065,3.6458,7.9289,4.5013,3.493,12.5105,69.7304,6.9311,221.3472,52.4872,41.4172,0.9176,4.5598,9.3668,1.488,2.8144,1.7027,4.6484,1.9404,5.1897,36.9159,267.1858,11.1254,55.8762,17.1517,17.5401,8.725,2.4569,0.0
RUS_C10T12,1035.4456,26.4482,14.0532,1.6314,22.1038,6185.6563,18.7936,5.4889,8.7824,57.1283,58.4714,9.2823,8.676,10.8822,42.97,14.6521,5.9717,4.9043,6.4014,6.3506,4.3618,36.8998,49.3854,8.1084,39.039,395.2742,45.2356,4.1633,11.3569,28.3916,0.9836,648.0076,6.9623,2.8753,0.839,126.2609,9.5775,20.8335,15.7584,476.8525,133.5597,336.1852,7.0858,15.9436,0.0
RUS_C13T15,11.7516,5.2357,7.8591,1.1331,16.8789,27.5633,300.3753,6.1602,3.5014,8.5444,13.2515,1.0978,16.9431,6.8256,20.2279,6.4506,2.6487,2.6944,5.5193,7.2375,4.0173,23.6901,13.7179,3.1454,24.5561,34.2916,31.6588,0.8835,1.2037,4.9253,3.4452,7.5405,1.0881,1.2295,0.1113,14.2256,2.6019,8.4741,3.1871,95.9623,6.5327,21.7695,6.9999,9.4222,0.0
RUS_C16,25.3221,0.4845,20.3292,0.4767,2.97,80.2783,2.2715,244.0806,24.2678,3.8735,34.9989,1.0818,1.8504,31.6084,28.9164,12.2551,0.9616,4.0003,8.0551,2.7287,2.6983,122.8809,10.3101,1.336,259.2675,131.0768,42.3516,0.6389,0.5387,11.9625,0.1254,0.942,0.8772,0.5374,0.0731,22.4338,72.6945,173.1033,31.8796,10.2911,4.3097,11.762,2.0586,10.6447,0.0
RUS_C17_18,79.3176,10.7047,7.9161,1.0933,9.2312,701.0216,17.412,55.9006,821.267,11.3,40.9828,25.8805,27.2823,55.3626,20.8306,19.5625,8.3125,10.0447,7.8931,6.3849,3.2636,40.3871,22.4736,10.2686,50.4156,826.2147,19.8998,1.4628,3.2309,19.2291,45.4628,72.5318,539.7861,14.3306,12.9191,126.2062,63.3828,97.7168,40.0684,535.1962,68.1853,48.412,24.5069,106.9243,0.0
RUS_C19,723.9735,423.9007,365.6837,94.0309,712.3186,449.4602,36.3779,100.5102,80.1162,5074.3734,1340.8212,15.8101,104.4683,221.6239,1216.0374,83.6305,24.6997,36.1912,61.8906,40.2554,33.7225,86.9747,2659.3005,221.1082,693.0103,920.1405,1775.5977,251.174,1374.2368,722.9019,24.5142,19.4911,37.8321,11.6043,2.2006,72.004,46.9054,121.1647,94.5462,493.8787,33.7625,58.5796,23.404,38.5226,0.0
RUS_C20,442.8651,2.3213,102.5312,6.6378,182.4165,197.3511,111.2058,80.4926,141.0494,82.569,1096.4885,34.9267,842.6238,126.7359,232.5003,100.0937,33.5763,78.8399,44.6138,54.1973,23.4155,83.2284,73.3188,28.9206,156.7845,147.701,98.9272,1.6014,5.0883,17.5638,1.2104,9.0904,18.7122,2.1396,0.8619,19.6439,32.4244,70.8451,17.8256,32.4853,14.26,109.5261,7.1291,20.5519,0.0
RUS_C21,32.2509,0.0929,0.4451,0.0697,0.6932,12.3842,0.2173,0.2099,0.2279,1.9382,1.163,90.389,0.2913,0.5657,1.2717,0.444,0.6459,0.1707,0.208,0.2076,0.2243,0.406,1.7153,0.2379,1.1011,3.5709,0.8045,0.0357,0.0826,0.2714,0.0519,0.4203,0.1025,0.1553,0.0486,0.2995,0.4948,7.902,0.182,63.7681,13.6945,323.9876,0.6177,0.2976,0.0
RUS_C22,120.797,10.456,26.3519,12.4367,37.2662,578.1864,170.5109,37.6431,62.6226,11.2921,103.1968,22.9775,223.8769,57.4967,47.1621,110.1785,35.1165,94.3347,91.7787,303.5009,20.4234,188.3428,40.1982,26.5531,934.4724,325.6926,98.153,1.073,4.3397,40.4811,10.7073,28.6929,2.9405,2.556,2.0605,5.9916,220.089,30.4975,12.6916,32.7631,17.3645,16.9305,3.5171,10.9574,0.0
RUS_C23,107.2283,3.8777,58.7726,11.8951,168.1093,306.176,6.2748,28.0714,8.6132,15.6795,77.1617,28.8202,78.8407,1525.4958,445.9787,147.9876,25.3983,58.4275,54.5334,132.3557,23.6507,83.4666,102.079,101.3228,6261.7655,296.4858,235.7372,14.3213,3.2673,160.5189,0.7323,18.5719,5.3149,2.6014,0.5173,5.7889,350.4489,53.8417,10.0307,49.4538,28.485,50.9016,13.54,63.4948,0.0
RUS_C24,38.5897,10.0895,277.0122,48.7878,1361.0762,223.3923,14.8142,43.7321,64.7157,52.8387,320.0021,5.8267,61.7264,412.9709,15267.3833,4615.3539,239.8451,1369.2795,1103.0417,747.1543,480.9241,762.8133,339.1044,777.7015,2534.2919,313.222,495.0847,7.1951,1.9653,73.86,0.3446,2.1869,5.0793,2.3171,0.37,1.6937,66.3897,147.052,15.5369,29.5559,11.5918,10.8464,8.1526,67.7081,0.0
RUS_C25,244.947,37.4337,93.4075,56.5457,407.7973,751.0485,39.0569,68.2745,47.9214,26.2746,138.5683,5.136,63.9524,202.7579,295.4307,1051.9079,161.2527,174.1232,701.2889,489.5497,262.3967,483.6055,387.5328,46.6444,3587.913,455.3636,214.8599,13.5344,2.9635,121.0623,1.3689,20.186,3.1272,10.7905,1.3882,13.2899,190.7299,213.4254,26.1484,108.0203,24.84,16.6481,6.0368,34.5456,0.0
RUS_C26,19.9083,4.9948,17.8415,2.411,131.3868,26.7609,3.4231,2.8172,20.2994,15.5285,17.5167,3.8773,3.7788,8.6305,51.8997,25.3995,1154.738,28.4462,30.9659,28.1619,62.2967,87.6744,44.4471,8.6722,87.7156,98.1573,49.848,2.0456,4.1403,17.8519,21.8014,3.6255,29.0254,142.6292,53.5061,18.3782,13.203,463.5626,12.4534,129.7693,33.1014,130.5818,9.6887,33.2163,0.0
RUS_C27,27.469,1.3224,58.9709,7.0334,209.5145,11.8806,1.4805,1.9955,5.8488,8.9578,18.9218,0.5784,3.6464,23.0112,128.909,67.7663,138.0122,281.9536,166.8338,119.0287,85.4281,106.1935,247.5186,11.0754,488.47,223.1594,202.876,9.8788,15.5079,73.4585,1.4528,11.331,8.2735,41.2028,7.1129,28.3697,49.8127,208.8684,16.6631,97.046,17.2594,9.8471,6.8429,50.5686,0.0
RUS_C28,174.1902,24.8207,99.2143,27.6055,240.6129,151.4672,15.0281,22.8733,33.8502,78.2922,71.3805,3.0462,18.1977,46.225,304.9734,86.2565,35.9555,37.5244,169.6364,55.9352,55.5244,95.5772,191.0612,44.1891,365.7284,165.58,260.5185,6.9927,13.7644,54.6701,8.574,10.2375,14.3703,22.817,3.1914,50.7619,63.624,98.0279,12.2998,76.8839,23.3218,49.6084,10.0474,15.8148,0.0
RUS_C29,40.6122,0.6704,3.9309,4.6937,24.552,11.1581,1.8105,3.3508,4.0271,2.3118,3.0739,0.1488,6.4712,5.0977,35.3065,8.8858,4.8302,5.8324,17.0949,1580.4001,4.5046,12.6383,11.0413,11.3972,31.399,241.1099,138.128,0.8872,0.8881,39.0896,5.5847,1.1018,0.7958,1.619,0.2525,3.3273,4.5253,11.447,5.9233,22.784,3.7763,4.6145,1.2347,3.6303,0.0
RUS_C30,1.6892,15.7867,7.4964,30.9258,28.4126,7.8422,0.0112,0.3462,1.4345,0.2149,7.382,0.0348,1.1717,4.2181,46.188,3.2477,13.0966,0.8169,3.0682,2.3162,554.4861,59.7758,132.3954,0.5138,41.486,31.2168,1021.0681,53.9033,272.0061,259.6146,0.5372,0.0361,2.1497,0.0543,0.0,0.0,0.9208,288.3734,20.6202,879.9358,8.564,0.4497,2.5601,0.6836,0.0
RUS_C31T33,683.9083,107.8605,142.3156,35.4925,477.8871,317.6844,31.5623,30.305,86.7399,42.6064,210.1427,4.0921,26.0644,60.5453,463.7236,88.8171,23.6897,18.0622,112.611,65.9558,81.1069,349.4617,315.8673,79.9946,275.3011,247.0838,465.4873,7.641,15.9265,178.8242,42.8228,23.7613,92.7954,98.9272,9.2929,77.8791,192.0249,373.9538,89.0514,175.2573,54.4327,209.1534,75.6947,78.5497,0.0
RUS_D,1215.055,36.3712,1033.5362,300.5868,3952.9615,1467.9011,341.6311,278.6829,548.2675,973.5218,2217.5818,33.559,307.1823,1086.4915,5332.1786,482.3329,182.0331,149.0879,372.9487,302.2146,245.7279,307.2505,10703.945,1305.3268,700.3107,1041.2444,3955.9664,18.5366,36.7092,273.706,82.8445,367.5439,151.9198,223.0903,19.7952,342.8027,1573.2609,614.1245,92.2049,1765.9619,2062.2272,805.5198,509.1229,315.4161,0.0
RUS_E,76.9333,2.4707,12.9598,3.9528,101.1538,138.0617,15.6409,9.9607,40.8801,21.8477,54.5856,4.5919,17.6426,36.8616,706.3913,95.8939,19.1309,19.1074,22.7678,43.3309,27.5243,12.0679,314.9855,234.2732,67.6773,153.5691,184.9572,3.1601,8.6965,16.649,5.9295,36.3291,3.1372,7.6549,1.0535,8.0596,231.0354,117.8258,11.3864,542.8917,201.7735,196.7713,34.2288,25.3143,0.0
RUS_F,202.3219,11.169,212.8149,60.5083,439.0675,234.5113,21.9453,23.3667,44.3339,138.8789,150.7943,11.8036,33.5402,116.9727,513.1273,133.1823,88.9654,82.6388,63.2941,46.4374,87.2398,73.6256,336.8157,312.7819,1468.9697,405.1457,1438.0095,21.5851,26.5856,186.8034,85.9314,82.2971,39.3498,132.3444,19.3396,98.5509,1853.9471,354.7397,57.0453,4446.8686,1401.0794,724.6552,388.4787,58.6701,0.0
RUS_G,3350.9966,219.2468,1296.9605,123.6822,1512.7338,8400.7156,811.1401,537.996,791.3058,7202.7897,1492.9165,237.0408,611.098,930.708,4330.0401,1562.1308,815.8848,622.9438,716.9971,1939.6581,519.8297,909.1131,5706.8154,466.5825,4452.7846,3539.1387,2402.8604,101.9917,422.466,598.3628,88.1753,798.3795,293.593,242.3142,86.1262,462.1476,571.2933,1339.4252,220.0041,2010.1099,463.7607,1147.4824,194.6384,302.2782,0.0
RUS_H49,1290.1655,30.0442,1525.3195,183.8067,2434.3608,1559.3098,142.6755,283.3812,233.593,1949.7604,1147.6087,19.7024,168.7361,859.0979,3798.6229,478.6456,213.8163,145.2323,301.4838,540.0915,118.5268,331.3981,3397.5597,381.8213,2944.5243,8868.3886,3129.7987,41.2382,138.7988,2337.8011,133.1685,62.7607,190.5301,89.8719,27.0895,580.0653,120.7258,796.0331,115.7842,955.5773,129.1073,371.9136,148.1716,264.9194,0.0
RUS_H50,90.5761,197.7505,56.1937,32.1247,69.7387,117.4228,11.7013,73.0577,39.5754,66.3065,77.6844,2.0712,13.4162,76.3316,146.866,24.1965,15.8593,8.6007,17.9011,32.4982,14.6182,27.0697,36.923,8.5991,227.154,166.3626,56.071,80.0356,15.0077,72.3192,2.2453,3.4789,1.2477,2.7611,0.9048,2.1683,23.7047,39.7407,3.5009,26.7976,4.0662,8.5066,1.3746,5.02,0.0
RUS_H51,30.152,6.2085,41.2791,4.4283,293.7798,64.4074,9.374,4.3916,7.9541,44.2933,20.0675,4.4547,8.7989,12.6624,94.2866,20.6891,22.904,9.9878,17.4212,31.3578,14.4523,39.9639,45.7273,5.3398,97.5297,157.2771,106.3985,6.4921,152.6118,97.2842,62.9336,8.8805,5.6709,11.584,7.8729,27.2706,8.634,73.5645,261.0187,728.5773,41.8502,62.9457,34.6673,18.6121,0.0
RUS_H52,297.3644,17.8703,195.7196,71.8536,427.3632,392.4648,22.2848,57.8289,64.9865,695.1312,367.7577,7.1751,26.022,169.1987,630.8512,85.0764,33.9444,27.6028,54.01,101.6133,24.1749,203.7228,108.5885,44.355,239.958,1846.688,1051.4849,295.7393,1356.1774,997.5975,27.1327,9.5114,12.8172,15.6367,4.6525,5.1184,26.5035,55.1436,29.9772,1160.9901,13.4454,22.8106,9.2581,7.9616,0.0
RUS_H53,25.4792,1.3516,1.7148,0.9616,6.0533,29.308,4.4322,1.5695,4.8844,2.1495,6.9846,1.7661,3.8006,4.2021,9.2704,7.1395,7.0927,3.7318,6.7487,6.4435,1.8778,7.4764,24.4744,7.1976,17.7646,139.4555,16.8078,1.2592,2.5256,22.5261,144.866,5.2858,39.8653,35.1065,15.8675,54.3913,10.0768,61.2342,9.5168,394.9937,22.8293,22.4462,6.6421,33.5309,0.0
RUS_I,7.5117,0.7577,11.5501,1.5689,63.1239,31.7003,2.4839,1.5902,4.0808,4.7953,9.7676,1.6771,3.3126,5.3646,17.6001,10.9641,10.0972,5.616,12.4807,6.5828,6.5824,17.397,18.2341,2.2906,55.7024,56.3746,65.6443,1.2555,42.1415,9.8936,2.7765,13.7098,7.9854,9.8427,6.0796,41.2006,7.816,79.7372,87.6809,387.3043,174.8645,82.5488,57.0933,66.8038,0.0
RUS_J58T60,11.363,2.7371,6.638,1.8324,16.7626,153.655,10.6801,3.1677,14.0303,10.1793,20.9929,6.1947,8.7854,6.7807,19.8879,12.9403,5.0973,4.3946,7.7254,8.9415,3.5738,8.0979,11.5468,7.8001,30.0251,406.806,39.2795,1.4722,8.3743,9.9808,6.7602,30.4757,269.5492,45.3526,10.1356,119.8205,27.9531,586.3854,25.6637,180.5528,127.7318,96.2623,53.8516,73.8298,0.0
RUS_J61,42.1467,5.9159,14.6608,2.7435,71.8531,69.9099,12.2609,6.9909,19.5544,8.6668,20.1505,3.0092,11.5815,13.3949,39.8004,21.5142,16.6816,9.4702,18.5639,7.3221,6.0631,18.2008,65.1677,20.358,66.6819,262.6822,354.5604,5.4193,67.025,43.5208,52.4795,27.3102,329.6295,3859.5168,108.9128,245.5388,68.8917,172.2057,32.6726,784.6794,171.8526,67.7839,27.7632,44.2921,0.0
RUS_J62_63,15.0988,1.6348,23.1255,2.7293,82.7542,78.5442,4.0968,2.144,9.0059,36.9211,14.7585,2.3431,5.4941,6.8811,51.3848,12.8803,40.4624,5.8001,12.1944,12.2796,5.0267,18.8169,51.2911,10.8707,30.3092,163.4143,45.2567,1.3069,11.952,28.0073,17.1111,9.8887,24.8447,122.3281,222.5078,250.9649,67.6222,192.6778,16.1327,797.1613,135.0709,58.0767,30.1839,34.1624,0.0
RUS_K,1035.2095,56.2386,242.3391,67.0625,845.0196,1102.4724,131.7653,101.8474,173.3603,356.1146,312.1092,38.1848,164.26,186.2038,973.1067,376.9104,137.7308,166.0062,152.6508,330.6322,108.0602,178.765,473.939,170.0978,883.3774,1211.0248,933.7291,23.0306,157.3175,360.6702,65.9377,313.1033,108.5922,132.1935,68.3493,1580.0907,358.5119,446.8575,144.4464,1278.8912,80.905,113.9887,64.1322,153.8053,0.0
RUS_L,101.9515,22.3271,394.9571,6.5371,1793.1054,461.3168,151.1167,55.7987,133.5937,58.1402,110.4483,19.3599,99.7661,97.7838,199.0805,224.5807,77.2325,51.1516,120.1876,59.4706,30.4316,292.134,266.1377,114.4842,299.4307,4147.2518,3554.8487,41.2393,96.3925,621.6269,37.6525,671.0841,173.1159,448.9706,161.569,811.028,2773.1411,493.2148,304.2636,822.7846,333.728,240.0317,244.7048,449.9504,0.0
RUS_M,189.949,16.4789,326.8731,60.8832,1052.2764,2112.9581,67.3825,28.1651,102.0979,215.6914,363.1415,143.0221,146.4586,133.3786,638.9612,195.1344,334.0412,105.7255,156.2214,270.8638,157.8322,204.1406,292.0956,135.5587,570.229,2843.9695,407.9157,11.41,99.7391,205.6178,97.8571,378.3681,335.4169,601.6252,176.3319,597.8938,772.1226,3435.1342,190.2029,2013.588,355.818,301.6941,141.5838,121.1223,0.0
RUS_N,229.1624,50.3259,90.2104,42.5839,1610.729,547.6414,94.0378,54.5759,112.9983,123.7431,153.817,28.2199,112.4132,117.4705,317.2756,176.9233,48.6118,48.6046,62.3502,150.5034,60.9252,121.1378,243.9482,151.9771,629.0239,865.7596,1832.7427,57.2224,518.4679,444.2911,52.9309,179.863,107.4702,327.865,43.4579,223.362,366.594,555.5691,226.9442,816.73,302.9204,126.2542,164.3509,73.6171,0.0
RUS_O,49.1338,15.1803,37.5635,9.1393,55.8607,145.4546,23.9485,17.9426,32.7193,117.8663,38.9558,11.0369,27.7368,33.8854,104.8174,49.5192,30.8665,15.5336,31.2931,62.8078,36.7371,26.1106,44.506,29.351,320.8892,631.3169,197.7062,10.8595,105.7754,62.3687,18.5802,44.9791,59.6417,222.1839,28.5837,160.8072,126.4761,301.291,136.6569,315.3232,42.5338,46.8081,32.3228,14.9073,0.0
RUS_P,6.5544,0.6501,6.9562,1.8602,53.09,16.9351,1.4789,1.1324,3.9302,2.6832,7.9533,1.1163,1.9696,4.1446,23.2047,8.0061,4.2579,3.5385,9.834,4.9933,4.512,8.9661,19.6725,5.3138,22.7206,30.288,58.4824,1.8732,15.8689,10.015,3.0679,2.8496,1.8529,26.616,5.5726,16.4429,5.1376,37.817,9.0593,253.3363,607.3554,62.2607,13.9636,33.4489,0.0
RUS_Q,2.2117,4.8061,4.1187,1.1756,10.3305,6.4327,0.6348,0.4654,0.7847,2.3119,2.6639,0.517,0.6363,1.2195,9.8865,1.7476,1.1119,0.7296,1.3941,1.0959,1.3175,1.7919,5.3357,2.2085,4.3038,7.2936,24.6886,0.4875,3.5561,4.7214,1.5521,3.2617,1.6993,1.3294,0.3953,9.4177,3.9806,10.6318,2.1918,199.9729,44.0894,140.8038,3.0595,9.1916,0.0
RUS_R,0.3703,0.0384,1.5119,0.0445,2.546,8.1544,0.6456,0.1541,2.1267,2.9985,0.9856,0.38,0.1938,0.557,2.1884,0.2435,0.4558,0.2589,0.4481,2.2201,0.2264,0.2469,0.8248,0.0746,2.7809,43.376,26.7192,0.0139,0.1331,0.8254,0.3414,1.8851,107.3723,1.692,0.1852,11.7924,1.2868,31.8692,0.9907,114.0287,62.3619,83.8985,157.3454,97.0719,0.0
RUS_S,9.2426,0.8035,2.166,0.7124,10.3732,11.0519,1.0881,0.8653,1.8454,2.4343,2.258,0.7073,1.0544,1.8472,9.2862,2.5233,1.1569,0.8885,1.6416,2.0177,2.9623,2.5925,3.8845,3.1825,17.8771,26.3875,20.712,0.5425,1.8301,3.1018,0.4407,14.5717,1.7975,1.2416,0.5496,2.7743,16.1564,18.8618,3.3751,39.42,24.5541,74.4142,11.5594,11.8155,0.0
RUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
