V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_J62_63,18.3166,0.248,2.2708,0.509,0.1687,62.1362,2.4681,4.3222,13.8862,1.2073,17.8139,107.8542,6.0929,9.973,1.3111,14.1403,49.6591,32.5275,92.0828,2.2852,3.5218,33.1587,12.4652,84.6362,71.4238,351.6454,22.163,5.7942,8.8402,77.1812,39.6284,21.6998,179.6395,210.209,696.1495,619.4669,201.9686,590.7884,144.6514,522.1177,267.2435,348.178,55.6767,142.4569,0.0
DNK_K,646.5015,22.745,24.745,4.6624,1.8485,294.3501,23.2607,23.5372,39.8111,26.3702,47.1875,76.5432,43.2783,54.6221,14.075,60.0518,47.548,24.2538,136.901,11.0476,20.002,88.4661,198.2879,40.6268,357.4083,805.1238,186.4407,223.1315,28.3525,62.1468,31.8113,77.7036,67.8316,92.8442,194.5979,3085.6218,1616.1264,433.2402,220.1788,385.889,142.1505,133.7991,47.9226,58.1819,0.0
DNK_L,10.2937,7.4712,9.7856,1.4797,0.4871,152.1021,38.2963,33.0329,80.8953,5.4238,33.2344,87.8335,75.0445,32.6541,16.7405,115.4932,79.8575,35.9296,200.7423,9.7507,16.5033,126.856,9.4139,22.1446,123.0855,3074.6564,99.3678,7.7573,60.3533,155.2504,26.7846,613.3861,135.0424,100.654,254.8027,711.6032,289.1908,767.6672,293.0529,843.9523,269.0591,371.4216,152.9555,418.1227,0.0
DNK_M,308.1586,1.0443,32.4974,4.9836,2.485,484.6672,13.3719,25.1049,108.8176,8.1658,126.836,458.0559,57.8225,54.6345,5.953,79.3524,77.99,64.035,242.9915,11.0738,10.3805,170.9874,56.7029,337.8574,3411.6738,2060.2171,122.7518,18.547,21.1646,279.592,77.1092,62.4161,229.1226,415.0459,682.1811,503.7602,818.8851,1671.9452,651.7778,665.8599,283.947,356.7486,200.6955,286.3759,0.0
DNK_N,101.7195,2.2019,22.8792,5.7769,3.3094,239.4766,10.9728,11.2136,28.2433,5.2383,64.4835,288.6397,33.3437,33.8811,2.7434,49.9548,54.7003,41.3606,200.6967,9.5022,12.3276,152.6865,31.0769,148.9887,480.6542,1182.3017,190.6035,5.3285,30.7473,330.096,27.2873,73.5473,217.2848,136.7373,437.65,249.9538,271.3342,766.6893,438.248,390.7107,309.4166,719.8248,261.8304,155.649,0.0
DNK_O,18.5449,0.7102,0.6362,0.1425,0.1577,32.3709,0.9026,1.3528,4.2329,1.1505,5.6732,37.3192,3.8431,4.5393,0.4118,7.043,8.7465,4.8301,20.4923,1.2158,3.6234,8.6616,27.3402,47.2295,24.7074,214.5424,72.5466,1.3139,49.1535,37.7768,16.8351,22.5961,24.3118,71.5852,102.9038,103.1652,39.4665,175.1725,179.271,59.0305,44.9062,407.9734,14.8758,39.308,0.0
DNK_P,3.4962,0.1111,0.217,0.0308,0.1036,5.7084,0.3461,0.4122,1.4069,0.115,2.1845,34.5051,1.6486,1.5199,0.1282,2.6185,3.6143,1.8443,8.2425,0.3759,0.7497,3.7025,1.0421,4.9067,8.189,40.232,11.0193,0.5759,0.384,7.7247,4.2277,3.8339,6.6231,14.709,25.895,48.1283,9.737,91.1383,44.6202,101.2107,194.1494,58.7704,6.8566,19.0045,0.0
DNK_Q,0.215,0.0062,0.0909,0.0227,0.0717,0.5007,0.032,0.0326,0.0849,0.0077,0.1473,45.9132,0.0666,0.1121,0.0136,0.1294,1.4207,0.1722,0.6162,0.0225,0.031,0.3064,0.0897,0.55,1.4339,2.6092,0.1474,0.1434,0.0369,0.8007,0.1716,0.1796,3.3714,0.9194,39.8314,2.5935,0.8025,34.5464,0.9778,50.1573,111.927,266.554,0.6039,2.5972,0.0
DNK_R,1.1711,0.3755,0.336,0.0623,0.0345,5.5428,0.2324,0.3081,1.1734,0.0765,1.7547,4.604,0.9021,0.9698,0.0757,1.2439,1.4128,0.7879,4.1952,0.2326,0.2392,2.7973,0.8768,2.1835,2.9685,33.46,0.9956,0.6342,0.1533,1.9216,0.5322,8.0908,123.6423,2.8573,31.7356,6.4272,4.6703,85.4886,21.2566,20.1543,131.0389,206.31,199.8279,12.9212,0.0
DNK_S,36.1075,1.9702,2.9501,0.7595,0.2435,50.3625,3.0219,5.8596,10.6403,2.1252,7.8056,34.5298,8.498,12.6073,2.8971,18.1207,22.6532,8.9636,36.2846,2.325,4.0436,28.6438,28.215,40.4657,29.9396,141.4471,22.5564,15.9442,13.3626,40.6694,20.3734,23.1147,21.4923,78.1323,90.2045,88.0512,264.193,152.0713,661.0078,64.8573,17.5448,128.7347,9.8932,26.721,0.0
DNK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
