V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_A01_02,2372.0337,0.2353,0.9061,3.8969,0.5799,2508.1053,18.5665,2707.3568,1862.2757,2.0775,4.5447,1.9064,11.2976,5.2345,36.5838,8.3179,9.5062,3.9486,8.4692,10.6348,2.8731,20.9658,77.1049,12.0214,123.3976,25.5868,8.8032,5.9193,2.6295,63.8441,0.5481,85.9827,125.9574,5.7978,9.4665,8.0996,202.3603,25.1273,27.7177,96.327,27.2442,56.7718,253.5418,42.1184,0.0
SWE_A03,0.2048,1.9778,0.0,0.0004,0.0,28.158,0.0009,0.0008,0.0029,0.0002,3.9698,1.3542,0.0009,0.0006,0.0021,0.0017,0.0058,0.0017,0.0033,0.0058,0.0007,0.0364,0.002,0.0018,0.021,1.9736,0.005,0.8143,0.0036,0.0395,0.0003,12.0448,0.0042,0.003,0.0028,0.0018,0.0033,0.0119,0.0719,0.1543,0.1816,0.5096,1.14,0.0014,0.0
SWE_B05_06,64.8321,0.0009,0.1585,0.1847,0.0183,0.3176,0.0096,0.1838,6.7376,38.0086,0.0767,0.0085,0.3756,21.7173,3.0336,0.219,0.0492,0.0125,0.0458,2.6966,0.0306,17.6075,1.6414,0.5058,7.1098,0.1853,2.099,0.011,0.0412,11.109,0.7125,0.0245,0.0665,0.0314,0.03,0.0311,4.2071,0.21,0.3921,0.0705,0.0615,0.0809,0.3249,0.03,0.0
SWE_B07_08,1.4785,0.024,0.1729,9.5917,0.3539,0.5792,0.0529,0.7263,7.2143,1.1483,4.2395,0.0044,0.4216,17.9626,1756.3924,2.15,0.0268,0.1346,1.194,0.2512,0.0444,0.8598,0.8295,10.9462,91.7241,0.0434,29.652,0.0326,0.0,27.3071,1.3931,0.045,0.0,0.0,0.0432,0.0,5.0541,1.0053,0.5125,0.4663,0.012,0.0487,1.0482,0.1925,0.0
SWE_B09,0.2416,0.0069,0.0844,2.4435,0.2106,0.0828,0.0,0.067,1.6626,0.0568,0.5814,0.0006,0.0873,1.3956,4.1121,0.2373,0.0004,0.004,0.1628,0.0226,0.001,0.0028,0.1736,0.1868,7.7139,0.0027,0.161,0.002,0.0,1.6272,0.0,0.0056,0.0,0.0,0.0054,0.0,1.053,0.1625,0.025,0.1267,0.002,0.0121,0.0763,0.0296,0.0
SWE_C10T12,323.807,5.0792,0.0,0.0,0.0,1802.5399,11.1553,0.0,38.9343,4.7403,118.4959,6.5155,1.4671,0.3737,0.1241,0.0454,0.2218,0.852,0.0488,1.1205,0.0787,2.1995,2.3633,1.1919,0.3381,765.8735,12.655,55.0424,5.0198,2.3909,0.1232,1651.9871,0.23,0.0,1.2324,6.2356,1.3339,16.2495,16.7485,63.2052,130.4004,431.211,17.9675,2.5573,0.0
SWE_C13T15,10.161,2.4168,0.333,0.4496,0.029,4.1014,48.7921,2.1156,22.7268,0.968,1.515,0.3142,5.6673,8.4261,3.1891,8.8176,2.7456,1.1375,12.6221,24.1563,2.5998,32.7147,1.5286,1.8213,19.794,7.5782,4.0731,1.1551,0.6884,6.4322,1.8754,10.0653,5.4049,2.835,4.9708,1.4725,0.8784,10.0903,3.5917,15.8862,8.3693,71.0901,8.7742,2.2717,0.0
SWE_C16,130.9526,6.5295,20.1412,5.5615,0.3242,23.3621,2.5049,1241.6804,391.555,3.1175,8.4154,1.1324,13.4119,27.2731,43.8842,66.8838,22.3497,44.6416,80.4726,40.4442,73.4033,312.0429,358.0245,3.4529,2180.3793,135.1588,35.9895,4.9962,2.0798,66.1958,3.0192,7.1312,16.715,2.0042,22.5269,3.1037,597.3658,44.4632,16.9123,18.7411,18.9325,14.4314,33.9645,81.2445,0.0
SWE_C17_18,42.5726,0.8357,0.4525,5.8855,0.3274,283.0342,9.2571,65.0547,2270.3194,6.3788,46.7142,26.4097,53.8021,44.3036,66.6961,39.1645,102.0413,43.7427,95.7946,80.1977,11.5117,45.4498,37.7877,25.8799,66.5878,205.0204,62.2895,8.6537,3.8499,74.58,80.1742,27.1581,2155.6405,46.7107,190.6132,71.6989,126.4511,404.8787,142.62,79.1052,179.2564,128.2306,82.0699,73.0856,0.0
SWE_C19,544.1937,8.333,2.8128,26.2567,1.6073,42.6507,4.3466,25.4731,81.309,103.1192,223.7184,3.2594,12.1837,60.0423,155.4594,40.9429,11.0454,8.3081,33.0153,43.1452,5.6757,17.6135,303.2003,88.6727,305.6131,180.2514,680.3342,169.0754,160.686,80.4307,24.8619,9.7074,17.8546,7.3898,13.5524,13.4756,77.1861,46.0571,23.2845,56.5282,20.435,60.3102,15.8854,19.9173,0.0
SWE_C20,231.7982,1.1323,0.5139,17.2167,0.9013,70.1647,54.8459,53.1965,418.9549,32.1949,1140.7959,276.372,584.0743,63.6962,148.3822,76.9098,104.5564,54.1,91.4498,144.0231,23.7318,89.4211,112.0378,24.0813,161.0562,76.4461,29.8891,6.5488,2.9996,35.7903,2.7941,14.0869,126.622,8.4113,20.471,5.6584,51.7483,61.8395,30.4935,20.7179,24.1866,195.5182,24.4279,40.1595,0.0
SWE_C21,10.449,0.1329,0.2205,5.7013,0.2992,24.184,16.5218,5.9763,17.479,2.1109,51.996,96.0182,13.9094,2.6705,51.7852,9.846,18.1874,4.8357,14.1051,14.5367,6.8784,10.1112,5.1476,14.6998,51.5043,37.648,41.7281,7.4,39.6438,33.2499,1.7653,6.5562,25.8229,19.0574,15.3621,9.2129,6.8745,45.1732,12.762,18.2271,11.8935,266.0497,3.384,9.3323,0.0
SWE_C22,7.2091,0.2697,1.5169,3.0325,0.2148,102.847,6.108,23.5698,49.6464,3.0253,62.9271,5.3358,88.7309,18.0882,19.1921,35.9355,66.3353,55.5865,137.2317,350.2909,21.5381,52.3295,3.1098,14.1358,109.7616,610.97,22.9985,0.8964,1.5019,10.4504,1.2757,18.5784,22.0745,6.2131,41.4685,6.845,45.8123,39.2391,12.0452,30.524,10.3357,57.1848,5.6386,16.6205,0.0
