V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_J62_63,8.3897,1.427,43.2315,0.542,1.1198,59.0811,22.6089,2.0105,8.7037,159.4056,77.8384,3.7212,0.5469,24.884,9.6402,2.2235,1.5246,2.9247,5.9148,1.497,0.3971,6.4125,74.3784,4.0895,22.8527,76.4513,51.9427,0.3387,57.5011,22.5842,9.3552,6.3859,13.5738,535.1406,388.3692,80.5869,1.2323,26.3097,18.5337,1196.7256,78.3844,146.8,3.5242,12.9036,0.0
SAU_K,293.8991,41.9828,485.5083,9.5999,8.1068,253.586,109.3373,9.6226,40.4563,960.4042,343.1503,11.3607,48.7402,90.0778,57.2581,25.553,4.5734,19.421,25.262,8.6422,3.4869,72.7528,238.1752,42.7169,973.1568,1449.9639,70.0693,2.7579,256.0634,82.2092,4.773,227.1289,37.6974,235.8418,33.7563,3477.3647,491.3119,49.4317,80.9082,1066.1235,216.9011,196.0911,23.8071,107.2253,0.0
SAU_L,4.6112,1.2702,4.1859,1.2759,0.0894,58.4866,16.1117,1.6607,4.3817,35.1455,68.9689,2.5867,9.4191,23.0044,4.2359,5.2175,1.5651,3.3529,4.4623,1.3665,0.7927,59.0057,43.7306,0.9333,184.2393,1142.1122,6.7964,0.1324,1.7576,30.7154,2.7596,162.3642,13.9661,128.4451,12.108,35.675,8.8113,21.9565,35.2448,277.8379,251.321,173.6264,16.1696,81.035,0.0
SAU_M,14.3425,1.9792,104.0937,3.3915,2.8898,122.051,38.1865,1.784,15.0944,135.3649,176.7031,10.3042,17.2829,29.9454,8.8284,7.3407,2.1585,7.2727,7.3752,2.8282,1.6036,21.5284,48.0856,14.0655,145.2322,412.355,4.7939,1.0701,13.8197,10.9263,2.1014,23.0935,18.4605,124.8739,10.596,31.7913,14.1887,19.4773,10.8323,351.3611,41.9883,77.2083,8.0967,24.4762,0.0
SAU_N,12.2045,4.6674,798.8996,7.3359,20.2821,172.7122,68.3329,4.2026,30.6638,239.2241,264.2739,14.8184,33.4092,74.5785,19.0151,16.8699,4.1114,13.4996,15.7793,5.5415,2.0183,50.8108,99.3427,25.4409,277.9545,715.2776,19.9327,2.5668,286.4442,44.3041,9.1864,50.9245,33.5086,317.9198,28.1496,66.5214,38.5237,32.5253,65.0883,969.5411,155.5873,208.2778,25.5488,57.071,0.0
SAU_O,21.4171,4.6856,318.8394,1.3523,7.1126,72.4668,28.2326,2.6331,7.2924,203.2186,151.2248,6.0406,13.602,21.7902,47.0573,6.0769,0.6095,2.449,2.8883,1.9586,1.0057,9.0692,51.8199,6.2372,27.508,185.1148,4.0639,0.1409,7.3367,3.5055,2.5829,25.8555,13.0474,63.734,2.3772,4.7637,2.2886,17.1853,14.1711,218.7553,164.4891,52.2477,1.6709,13.8042,0.0
SAU_P,28.0272,6.1317,520.4324,1.7697,7.9963,94.89,36.9462,3.4458,8.824,265.9389,193.6318,14.0759,17.8,28.5154,61.61,7.9525,0.7976,3.2048,3.7798,2.563,1.3192,12.1248,67.8134,8.1622,35.9979,242.2477,5.3182,0.1844,9.6011,4.5874,2.6792,33.741,17.4761,84.1168,3.1109,6.2339,2.9572,22.0174,19.7009,286.2709,215.2561,68.2342,2.4888,17.8127,0.0
SAU_Q,174.2317,4.8642,9.4695,1.5363,0.2912,58.6998,2.0222,2.3291,0.4374,43.5648,65.5005,4.3781,7.7962,9.3204,2.1868,0.0,0.5291,1.9729,1.9093,1.3489,0.5357,11.2685,19.6698,13.3126,266.9095,355.8884,4.1053,0.1422,0.0,1.1175,5.8394,42.4742,7.0405,141.7056,5.4431,6.761,1.9213,20.9464,30.0044,300.1266,59.0084,1744.5105,8.2341,9.9728,0.0
SAU_R,0.0,0.0,6.2962,0.2136,0.308,10.9958,0.0,0.0,1.919,42.6705,5.6922,0.289,1.9738,0.0,0.0,0.0,0.0,0.0,0.3261,0.8731,0.3431,0.0,0.0,2.6551,0.0,11.7609,0.085,0.0807,8.3306,6.5865,0.8321,21.5855,73.7865,25.3563,0.0,2.8378,0.4771,62.8334,73.7366,118.1296,2.5366,3.4178,175.4881,3.7319,0.0
SAU_S,16.653,6.7406,8.8678,0.2655,0.5121,33.0252,1.6836,1.0786,5.2052,90.5247,85.0811,3.9428,2.9714,13.7821,6.6628,3.1712,0.2501,0.8665,1.4841,0.967,0.1916,30.161,35.5138,6.2023,0.1058,94.3769,7.4555,0.5536,0.0,5.0435,0.6177,46.8105,8.7113,12.0067,7.404,49.2091,3.3726,34.0575,42.1656,16.4393,20.1405,161.892,14.1954,84.8011,0.0
SAU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
