V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_C27,3.4586,1.6045,6.0641,0.6054,1.4593,3.2177,2.8292,0.7511,0.755,0.5523,0.7391,0.121,0.9731,1.1318,1.8937,3.1931,46.5019,109.9714,24.0948,4.2025,1.9519,8.9576,13.8923,1.1862,105.5627,18.5256,2.9841,1.8451,0.4313,0.9377,0.0324,3.9022,3.2688,94.2027,0.4665,1.3536,1.5311,8.3593,1.9707,1.5579,2.8077,3.9844,0.8715,5.7555,0.0
VNM_C28,4.5893,4.4018,34.8189,0.4412,0.0404,2.868,1.0177,0.9542,0.3295,1.2131,0.28,0.0858,0.5131,0.895,12.5137,1.7065,6.0662,0.5462,60.0106,13.3193,2.0721,7.3974,1.8564,0.4894,46.2838,8.5583,3.0986,1.0592,1.0775,0.5052,0.0138,0.9073,0.3678,1.2631,0.1625,1.2919,0.2612,2.2433,0.7054,1.3129,1.1063,0.8753,0.2771,1.2949,0.0
VNM_C29,0.4228,0.0461,1.033,0.1176,0.0017,0.0695,0.0301,0.061,0.0028,0.2334,0.0051,0.0029,0.0211,0.05,20.2477,9.9384,0.1182,0.2342,8.339,412.5865,0.0204,0.8174,0.0191,0.2216,1.0495,104.2138,1.7236,0.0748,0.0008,0.1743,0.0,0.0305,0.01,0.1114,0.0093,0.2408,0.0418,0.1013,0.0734,0.3702,0.0468,0.084,0.105,0.1231,0.0
VNM_C30,0.4957,0.0291,0.0189,0.0329,0.0009,0.0776,0.2695,0.0621,0.0818,0.0025,0.0582,0.0007,0.0589,0.0363,0.0323,0.0177,0.0014,0.0255,0.0745,0.0032,153.4191,0.0627,0.0111,0.1379,0.6123,2.7945,0.1441,1.1505,0.0002,0.6418,0.0001,0.0586,0.0067,0.008,0.0006,0.016,0.022,0.0098,1.1322,0.0154,0.0034,0.0064,0.0019,0.0025,0.0
VNM_C31T33,61.1939,19.423,82.4437,6.6573,5.0892,80.7936,45.6092,11.4748,32.3067,7.2219,13.5896,4.6523,9.455,15.8605,37.0006,33.8227,33.1046,12.9185,23.8937,12.6755,31.151,270.7305,38.1108,10.2489,89.9429,73.3745,6.4096,32.0233,79.7524,42.672,0.5335,18.6961,2.0495,8.3756,2.3921,17.5689,9.4707,16.9958,29.7361,17.4706,17.2689,40.8311,5.0345,6.8941,0.0
VNM_D,117.4927,38.8775,100.4975,18.6409,4.758,128.5796,55.5872,28.1528,33.5663,10.1007,37.8597,3.6923,41.9291,84.597,107.7314,60.261,7.1873,6.8005,20.9278,12.2485,15.9119,53.0826,54.2979,13.1999,37.5135,109.6288,4.4003,0.9303,0.8237,11.2239,0.3403,46.7748,5.9673,17.4804,2.287,27.189,12.205,9.5183,2.0801,6.6078,8.6982,12.9501,5.3714,11.2841,0.0
VNM_E,10.871,5.7795,4.8536,0.3694,0.0295,19.08,4.6692,1.5287,1.9585,7.8775,4.5543,0.7936,3.2647,4.4183,5.2221,3.2618,0.6066,0.5788,3.1026,1.106,1.102,4.0273,1.4196,18.18,9.0875,9.738,2.1918,0.5815,0.1192,1.8585,0.0132,8.3278,0.385,1.1437,0.2062,1.1726,4.3398,1.2214,0.6101,1.7252,2.0649,3.1022,0.5886,3.1234,0.0
VNM_F,12.3184,1.2397,7.0427,0.4868,0.0034,1.2667,2.3101,0.4324,0.4061,0.1039,1.1509,0.0776,0.5179,0.3856,0.7104,0.8098,0.1653,0.1297,1.8509,0.0842,0.0578,6.9988,1.4995,0.3539,183.6739,20.4253,5.3169,0.1848,0.0773,0.934,0.0015,3.1934,0.2048,2.4672,0.0853,0.5929,32.7904,2.2804,0.6412,3.7609,3.8282,2.8922,1.0348,0.7536,0.0
VNM_G,348.507,140.7465,64.1115,8.7554,1.6067,942.8983,314.721,50.7108,68.4712,49.6641,85.2084,16.0884,122.2711,101.1084,77.1495,73.9938,136.1155,208.7554,44.5368,63.8506,46.5551,130.6524,13.5541,4.2161,409.6828,70.4374,19.2204,3.4381,2.0083,8.478,0.4918,76.9632,12.0624,34.0351,2.8174,10.4412,18.4403,17.9323,6.4816,9.9461,9.1843,29.5769,13.8702,11.6343,0.0
VNM_H49,82.6224,31.4341,29.5168,3.5212,0.3914,159.4575,59.7294,13.6059,15.2517,33.4054,28.6395,4.1686,27.1278,33.2774,28.7587,25.8317,25.1637,38.0166,15.0272,19.2442,10.9194,29.7411,6.641,1.339,102.1497,20.5868,13.5187,4.5275,3.2541,6.8089,0.1763,18.618,1.8227,6.9806,0.9265,3.0778,4.4242,5.9845,3.0233,3.6526,3.1326,7.4931,2.4169,2.8345,0.0
