V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_A01_02,4998.2628,1.9948,19.1273,1.3937,0.7468,2797.7412,28.0364,105.0588,97.9203,1.3677,11.2101,9.8609,0.3111,3.1251,5.1672,0.3385,0.1448,0.5116,1.1743,0.0899,1.9846,11.95,2.6563,34.9538,13.0043,262.0477,4.1623,1.4091,0.652,2.2813,0.037,14.7101,0.0488,0.0757,0.1573,1.3197,13.2115,0.8956,9.6647,59.0463,119.7617,85.0621,2.8038,1.9369,0.0
UKR_A03,0.1988,1.8058,0.0035,0.0003,0.0002,4.3944,0.0488,0.145,0.1525,0.0021,0.0171,0.0151,0.0005,0.0048,0.008,0.0005,0.0002,0.0008,0.0018,0.0001,0.0029,0.0183,0.004,0.0023,0.0089,1.8187,0.008,0.0058,0.0033,0.0044,0.0001,0.3606,0.0001,0.0,0.0001,0.0,0.0036,0.0006,0.003,0.0127,0.1988,1.4746,0.0196,0.0133,0.0
UKR_B05_06,28.6963,0.3837,308.9985,7.6216,4.5505,439.1157,8.2184,15.5586,35.1502,1150.5561,186.5176,0.9459,1.3903,125.8878,237.1435,1.8839,0.5942,2.2274,8.0457,0.9166,5.2238,28.621,907.7192,57.5389,6.1296,132.0552,157.3047,16.5146,19.4991,45.3748,3.3909,1.5059,0.2966,0.8931,0.4721,0.3823,24.0205,1.5218,4.1703,19.6503,22.4284,10.8959,1.7301,2.6102,0.0
UKR_B07_08,9.5137,0.1162,31.9532,24.5306,7.0853,277.6092,5.6136,12.2994,20.2151,3.1701,322.8146,0.8405,0.4028,170.8255,688.2907,0.6544,1.0749,3.7125,3.8148,0.0916,2.5871,18.5454,93.0686,17.5151,104.7906,43.6588,41.5766,4.2038,9.9212,17.2215,1.6944,0.4718,0.1596,0.1203,0.0377,0.127,7.6992,0.5529,1.3229,0.0,0.0477,3.6104,0.568,0.8603,0.0
UKR_B09,0.4337,0.0054,5.3964,2.7198,2.4126,5.3558,0.122,0.2156,0.4093,0.6032,7.6051,0.1336,0.0872,11.3901,83.3929,1.2963,0.0253,0.1524,0.6136,0.0227,0.2387,0.379,3.7481,1.1445,12.2463,2.0034,2.1299,0.1201,0.2572,0.7957,0.0,0.0217,0.0012,0.0,0.011,0.0058,0.3968,0.0521,0.0557,0.0,0.018,0.1647,0.025,0.0415,0.0
UKR_C10T12,549.7526,9.02,118.0647,57.2207,15.8379,2673.5762,1.7739,3.9671,7.1394,1.9663,8.311,3.6739,0.1594,0.5239,3.5174,0.3327,0.7227,0.4648,1.8531,0.0921,1.4767,0.5288,62.1117,75.4081,7.9806,470.029,158.4937,57.328,60.7234,77.8262,0.238,84.0439,3.3509,6.9665,26.4286,40.9928,84.6346,33.3477,57.711,42.9015,233.6598,143.3641,17.6839,17.8959,0.0
UKR_C13T15,8.3777,0.1342,3.025,2.3614,0.8427,2.1401,26.333,0.2323,0.6129,0.3142,0.4044,0.2053,0.8258,0.3383,0.9448,0.0979,0.0329,0.1431,0.4019,0.117,0.4691,5.0159,2.7218,1.4299,38.3314,7.0932,8.3382,1.5754,1.6013,4.1268,0.247,1.3431,0.0677,0.2431,0.0629,0.6273,1.8182,0.7227,1.0162,3.3732,5.5997,2.1929,0.152,0.412,0.0
UKR_C16,79.9134,1.243,24.4445,12.9714,5.2336,82.9942,1.4604,225.9417,30.195,0.2598,6.0621,1.7808,4.1154,13.147,2.6572,2.1454,0.5099,5.8016,3.5411,0.5995,0.9245,35.447,11.8305,10.5167,99.1108,66.879,25.8448,4.3623,2.6123,23.2975,0.3413,12.1916,9.4685,0.993,8.755,5.9762,3.3236,6.7115,1.0329,9.6693,8.5271,20.928,1.2991,4.0902,0.0
UKR_C17_18,97.9084,1.527,19.8925,16.4318,7.343,215.2002,3.5746,17.1103,175.4814,0.5483,11.5528,11.2473,6.8777,13.596,2.7092,1.2311,1.1244,10.331,3.3254,0.6125,0.7965,15.0302,13.8705,12.6236,6.7742,83.0519,50.1457,4.6303,7.6848,35.3546,1.8813,14.9121,74.1387,1.979,24.6965,7.3456,1.2467,14.2855,1.3771,26.849,25.9435,25.6541,3.0419,3.4584,0.0
UKR_C19,240.6172,4.2349,62.5056,71.4287,26.888,250.648,5.9447,13.8236,15.6847,94.8919,265.0455,6.8845,9.3774,59.7524,2068.9419,12.9515,2.9515,22.158,21.727,8.121,36.2705,21.1576,53.3097,34.0579,334.2311,201.7083,189.4839,21.6506,47.1432,21.524,0.9729,38.3224,1.7437,26.5701,6.4342,17.9171,22.897,20.8368,34.3133,6.6241,3.0863,62.6237,4.545,11.7449,0.0
