V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_A01_02,726.2228,13.8131,0.0888,0.2344,0.0065,3253.3669,0.5755,91.6879,0.3548,0.002,0.4146,11.1662,0.4519,0.4828,0.0666,0.4093,1.1894,0.1,0.4494,0.0833,0.0439,1.3216,1.8057,1.5247,27.9411,7.8948,0.2278,0.2679,0.3139,0.2912,0.2354,71.1316,2.9305,0.6809,1.4712,1.3851,3.0559,4.3632,2.662,1.5973,21.2623,14.461,1.9618,10.8638,0.0
IRL_A03,0.0,13.2064,0.0005,0.0002,0.0,134.3886,0.0,0.0,0.0,0.0,0.0014,0.0379,0.002,0.0031,0.0,0.0001,0.0047,0.0,0.0,0.0,0.0,0.3993,0.0,0.0,0.0,0.0417,0.0,0.198,0.0,0.0,0.0,10.7103,0.0008,0.0,0.0,0.0018,0.0132,0.0,0.0,0.0007,0.0,0.0496,0.0,0.072,0.0
IRL_B05_06,0.0204,0.0,0.0611,0.0454,0.0642,0.0378,0.0246,0.0,0.0504,56.1585,0.0034,0.0831,0.0057,0.3022,0.8693,0.0019,0.0002,0.0014,0.0042,0.0052,0.0019,0.7661,12.5867,0.0002,0.006,0.0076,0.0052,0.0013,0.0,0.0183,0.0,0.0048,0.0087,0.0,0.0009,0.002,0.0002,0.0017,0.0023,0.1887,0.0263,1.356,0.0062,0.0025,0.0
IRL_B07_08,35.8826,0.0578,0.3748,146.1206,0.7164,14.9718,0.279,0.4145,2.3384,20.9919,2.522,59.6772,3.4606,148.2319,141.007,2.1687,8.8866,0.6668,2.8774,0.1329,0.4226,22.0481,0.6796,4.7898,506.482,11.1107,1.1862,0.0152,0.2489,3.32,0.2756,3.897,4.5087,1.9957,1.8397,0.7714,30.6002,3.1515,1.1544,2.0423,0.3338,2.3977,3.1662,1.1291,0.0
IRL_B09,0.1612,0.0506,0.1713,1.1753,0.2718,0.3254,0.001,0.0127,0.1032,0.8907,0.6516,0.6167,0.0238,0.5428,0.082,0.0714,0.0115,0.0007,0.0116,0.0007,0.0002,0.0036,1.6659,0.052,6.2035,0.0846,0.1428,0.0022,0.0006,0.09,0.0001,0.0156,0.001,0.0,0.0158,0.0167,0.3029,0.0415,0.0283,0.0151,0.0091,0.0572,0.0271,0.0065,0.0
IRL_C10T12,686.8074,15.4301,0.0139,1.0093,0.1232,2771.0271,6.5627,0.9851,3.1939,0.3305,10.652,203.8157,4.2365,1.5457,0.3169,0.99,30.101,0.2739,1.2935,0.1604,0.043,2.2,5.7597,6.525,23.7934,165.9217,9.7878,0.8412,6.0617,9.4257,5.1772,1682.6622,8.9865,10.4959,42.7321,30.8849,1.3416,123.852,38.0538,10.9601,2.5963,59.2743,31.5221,19.6535,0.0
IRL_C13T15,1.9743,1.2833,0.0058,0.1278,0.033,2.2988,70.7163,2.0938,2.6793,0.2204,0.6449,7.5326,1.0292,0.6722,0.159,0.5161,9.7627,0.1051,1.1387,0.1363,0.0273,12.099,0.3538,0.8405,30.7486,15.2717,0.7027,0.031,0.3403,0.2499,0.5907,7.5737,3.8618,1.0602,3.7015,1.616,8.3992,15.1096,2.9313,3.2711,0.3959,17.2159,3.3405,3.9179,0.0
IRL_C16,1.3599,0.0621,0.0217,0.0791,0.0899,26.98,0.6306,203.7719,3.7596,0.3315,0.39,6.657,17.7702,4.8683,0.5999,4.9899,15.9523,0.1152,3.2277,0.3509,0.0191,288.2627,1.0724,0.4925,421.1683,5.6109,0.7793,0.0345,0.2264,0.6162,0.3728,6.8249,4.2365,3.2096,3.9847,2.1932,66.9716,10.5273,2.3579,0.7177,7.3892,3.148,2.4587,2.5498,0.0
IRL_C17_18,6.7391,0.2686,0.0049,0.2968,0.0619,131.077,2.3798,4.0491,240.9626,0.2639,7.8153,104.7434,3.3007,6.6883,0.8633,2.1688,123.1986,0.331,3.5932,0.5678,0.0856,20.5501,11.4997,15.8403,120.2994,110.2748,8.6238,0.0713,1.0965,13.9199,7.5463,26.939,668.3739,9.9913,53.6265,105.5072,25.7697,352.6437,10.1267,17.5554,82.628,43.4073,23.0397,15.6234,0.0
IRL_C19,131.8683,18.0098,0.1878,25.1722,2.1048,145.4262,3.9247,5.5603,2.0318,127.0633,0.9107,29.9474,29.6043,38.3011,73.9778,3.3276,41.8872,4.8989,7.3623,1.3273,0.0475,341.1103,425.9932,10.5357,207.7539,188.6673,237.9725,6.9513,119.7263,33.2078,4.6266,78.4716,2.7945,32.8579,15.7508,17.3876,16.9095,29.8924,12.1868,31.9255,13.3948,53.3457,9.8453,9.2424,0.0
IRL_C20,9.4573,0.02,0.0038,0.1071,0.0324,4.2311,0.4286,1.9112,2.3263,0.1433,11.5675,74.9576,3.2109,1.2489,0.3547,0.6253,41.3337,0.2917,0.9413,0.2117,0.0125,1.7276,0.4137,0.5754,6.612,1.6028,0.2206,0.0048,0.0783,0.116,0.0402,0.6539,2.7983,0.1759,0.966,0.6242,0.2818,2.9947,0.7035,0.368,0.2287,8.4088,0.6197,0.8162,0.0
IRL_C21,43.2413,0.223,0.0472,1.413,0.0853,50.7726,5.7162,3.728,13.2636,2.7326,57.0605,734.3531,7.6374,3.2594,4.8202,2.9155,99.5924,0.7505,4.6314,0.8221,0.1709,29.7702,3.5701,5.7952,39.9921,8.3061,1.8486,0.0573,0.8792,0.5095,0.363,6.8759,34.5798,1.5751,13.6221,4.8257,3.2746,35.7497,2.2691,3.756,4.6195,192.0331,3.0862,2.4794,0.0
IRL_C22,4.0436,1.3314,0.0364,1.3247,0.1879,79.6893,1.2096,4.4456,5.2065,1.8018,0.6038,49.5442,92.6178,5.5156,1.7497,6.4703,170.7057,2.9668,20.4016,6.5832,0.3541,47.8154,6.0256,4.4703,190.525,31.1471,11.1945,0.1599,1.8131,2.0037,2.1205,2.835,2.5361,27.7561,13.9091,3.0573,13.9909,27.3492,4.3025,3.6222,1.2056,72.9761,1.9325,2.8067,0.0
IRL_C23,13.5496,0.1667,0.1492,42.0054,0.6626,53.2159,1.5102,2.402,4.674,6.8053,1.6521,37.4076,20.8643,268.6899,4.0754,13.5911,40.0929,1.7239,12.6687,0.7074,0.1148,130.5427,3.0119,12.1325,1286.145,40.1644,4.4941,0.069,1.2495,1.9417,0.7884,5.6671,12.3869,12.2541,5.6628,1.3335,141.7409,6.1306,1.1781,9.1572,1.2551,6.5141,8.7682,2.5768,0.0
