V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_A01_02,9146.4624,99.1786,3512.4255,0.0019,0.0645,7120.1721,216.9431,40.9332,0.9265,0.0098,22.1139,6.933,0.1986,0.0257,0.0226,0.0645,0.0006,0.0013,0.0037,0.003,0.0001,2.3332,0.1823,0.0799,6405.0849,8435.9159,0.1301,0.0,0.324,0.0177,0.0,648.31,1.1083,0.6998,0.7216,0.0157,0.0809,29.5709,0.0219,0.004,5.3878,0.14,0.0687,0.2516,0.0
NGA_A03,0.1129,90.9618,0.0,0.0,0.0,1.3992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0003,0.0003,0.0,10.4535,0.0004,0.0002,0.0012,0.0021,0.0,5.4759,0.0015,0.0,0.0,0.0028,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_B05_06,4.0753,0.1132,4200.7876,3.4216,7.9985,4.4097,1.6669,0.3467,0.1916,631.8102,0.0255,0.0052,154.828,493.0888,12.0493,3.7518,0.001,0.0031,0.0292,0.079,0.0078,1.5095,6.2446,0.0996,4.1882,2348.879,0.5128,0.0031,0.1009,0.0085,0.0059,0.4976,1.8041,0.2319,0.1328,0.1103,0.2538,0.1627,0.0262,1.4236,1.8518,0.2711,0.0548,0.66,0.0
NGA_B07_08,0.0,0.0,0.115,31.2789,1.6226,0.6828,1.9492,0.005,3.3354,0.0,1.6579,0.0863,0.0022,29.0618,7.2435,4.6143,0.0455,0.1261,0.3058,16.6518,1.2659,1.9357,98.7158,0.2225,20.8004,4.8753,0.0025,0.0,0.0001,0.0165,0.0,0.0,0.0008,1.0831,0.95,0.0001,0.0004,0.0,0.0,4.9498,0.0001,0.0291,0.0,0.0,0.0
NGA_B09,0.0317,0.0275,30.2849,0.1308,0.0569,0.0092,0.0082,0.0086,0.0043,3.9628,0.0004,0.0,0.0001,0.026,0.0043,0.0027,0.0,0.0,0.0001,0.0,0.0,0.0007,0.5371,0.0055,0.0431,0.0088,0.1962,0.0001,0.0003,0.0048,0.0,0.0004,0.0161,0.0,0.0183,0.0102,1.6872,0.0314,0.0003,0.0032,0.0104,0.0024,0.0014,0.0183,0.0
NGA_C10T12,0.7201,23.2263,460.5284,0.0576,0.0466,1340.6785,0.5089,14.6165,20.3122,0.0,8.2455,2.1211,0.0121,4.5447,0.0115,0.0348,0.0175,0.0129,0.0313,4.4322,0.2966,4.8446,8.4463,1.5749,0.2535,1607.9117,1.7708,4.5854,6.652,9.7606,0.1955,229.742,992.5716,66.5048,39.4418,40.745,35.1063,23.2809,10.1122,95.4827,137.4654,210.4508,23.8723,404.9003,0.0
NGA_C13T15,0.0002,0.0011,4.139,0.1836,0.0044,0.0124,246.9546,0.9686,0.0474,0.0,0.0013,0.0003,0.0029,0.0367,0.0866,0.3467,0.0008,0.0023,0.0445,0.0144,0.0012,1.0921,0.0466,0.2186,0.0107,6.0233,4.5765,0.0138,0.0205,0.0524,0.0006,0.0317,0.1515,0.0499,0.0379,0.124,0.0742,0.3879,0.0296,0.0673,0.023,0.8781,0.01,0.1587,0.0
NGA_C16,0.3311,0.0004,37.1238,1.5302,0.1499,0.1965,3.2318,151.2104,7.5152,0.0018,0.0789,0.0096,0.1526,1.2404,1.6018,5.6056,0.1166,0.3233,1.3953,0.9649,0.0496,67.5426,19.706,1.1429,50.6752,47.7877,0.1408,0.0047,0.4075,0.3932,0.0083,0.0023,6.2751,3.3905,2.7926,1.5162,38.7191,11.5133,1.5144,44.7775,22.8926,0.2517,0.9472,6.1787,0.0
NGA_C17_18,0.0004,0.027,0.9827,0.0023,0.0012,0.0655,0.0656,0.1542,0.2162,0.001,0.0049,0.0015,0.0008,0.0883,0.0459,0.2647,0.0033,0.006,0.0186,0.0223,0.0012,0.0964,0.3875,0.1129,0.0053,3.3855,0.3833,0.0028,0.0581,0.1781,0.2051,0.0031,29.7113,5.905,4.8546,0.8923,0.5376,1.4401,0.1122,0.795,1.1759,1.042,0.2149,1.3101,0.0
NGA_C19,0.0,0.0006,3.7552,0.0804,0.0139,0.0192,1.1374,0.1439,0.0527,0.0757,0.0003,0.0,0.0005,0.0235,0.3382,0.1813,0.0085,0.0026,0.0074,0.0007,0.0,0.1416,1.9637,0.9236,0.0222,4.259,12.5814,0.0714,0.5442,0.0144,0.0133,0.0028,4.2562,39.2617,24.9221,0.2568,2.0773,0.2338,0.0242,0.0628,0.4261,0.2235,0.0604,0.0953,0.0
NGA_C20,0.0501,0.0153,2.7209,0.0048,0.0028,0.0491,1.0343,0.6801,0.4182,0.0008,0.0024,0.0002,0.004,0.0663,0.0588,0.1674,0.0015,0.0032,0.0096,0.0077,0.0003,0.2605,0.4734,0.2074,0.006,1.1648,0.3379,0.0001,0.8413,0.046,0.0001,0.0091,2.8647,1.8169,1.8736,0.0406,0.0198,0.5021,0.0567,0.0087,13.9898,0.3604,0.1781,0.6473,0.0
