V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_A01_02,2.7827,0.3707,0.0053,0.0222,0.0078,54.2715,1.2106,0.0062,0.1613,0.0017,0.0657,0.2176,0.1045,0.088,0.0004,0.0157,0.2568,0.0161,0.0114,0.001,0.0386,0.2373,0.5771,0.0666,0.4958,0.6582,0.0621,0.028,0.0447,0.5677,0.021,8.5039,0.0297,0.0252,0.0218,0.1177,0.0388,0.079,0.3088,0.0688,0.172,0.1665,0.1259,0.2061,0.0
MLT_A03,0.2298,13.5266,0.0047,0.0203,0.0135,1.0404,0.5103,0.0463,0.1421,0.0024,0.1827,0.6704,0.1008,0.0754,0.0004,0.0159,0.2164,0.0152,0.0167,0.0008,0.035,0.289,0.4844,0.0394,0.4243,0.1798,0.033,0.0249,0.0393,0.0325,0.0168,3.7432,0.027,0.0246,0.031,0.0628,0.0363,0.067,0.0426,0.0744,0.0527,0.1458,0.0456,0.0509,0.0
MLT_B05_06,0.0,0.0015,0.1503,0.002,0.0518,0.0,0.0,0.0,0.0007,0.0,0.006,0.0001,0.0,0.0,0.0013,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,3.9085,0.0,0.0,0.001,0.0,0.0018,0.0003,0.0019,0.0,0.0005,0.0008,0.0181,0.0,0.0,0.0001,0.0003,0.0007,0.0056,0.0009,0.003,0.0012,0.0,0.0
MLT_B07_08,0.0148,0.0137,0.0087,0.5606,0.6149,0.3978,0.0572,0.0028,0.0465,0.0001,0.0537,0.0158,0.0276,7.7094,0.9744,0.0264,0.3825,0.0058,0.0168,0.0003,0.0853,0.073,0.0082,0.1199,19.9216,0.1476,0.6105,0.0075,0.0265,0.0576,0.0623,0.1931,0.1018,0.0449,0.0077,0.1848,0.4226,0.385,0.0792,0.1135,0.0375,0.0792,0.1441,0.0241,0.0
MLT_B09,0.2418,0.3637,1.4139,4.5875,6.8339,0.3807,0.0152,0.0094,0.2733,0.0584,0.2788,0.1087,0.1175,1.8609,0.0128,0.1921,0.0086,0.0017,0.0106,0.0002,0.001,0.0171,12.7472,0.4938,12.3483,0.1342,0.3187,0.0263,0.0035,0.6016,0.0004,0.1029,0.0013,0.0,0.0108,0.015,0.3451,0.0818,0.0477,0.12,0.0239,0.0407,0.3138,0.0224,0.0
MLT_C10T12,14.5747,3.1913,0.3518,0.0498,0.0066,70.3997,0.1603,0.0051,0.0093,0.0,0.1206,0.6,0.0,0.4569,0.0,0.0204,0.0003,0.003,0.0,0.0,0.0,0.0538,0.0,0.0,0.1971,0.5463,0.0292,1.6698,0.5075,0.0912,0.0,59.9196,0.3377,0.0113,0.0,0.1757,0.003,0.1405,0.0885,0.0007,0.0182,0.7753,0.5529,0.2354,0.0
MLT_C13T15,0.3468,0.0719,0.0005,0.0044,0.0229,0.2239,26.524,0.0073,0.6006,0.0006,0.0154,0.0261,0.1203,0.0109,0.0004,0.0228,0.1694,0.0689,0.0429,0.0057,0.0648,1.1024,0.1107,0.0349,0.3511,0.5794,0.0076,0.0019,0.0112,0.0391,0.0128,0.3339,0.0172,0.0633,0.0086,0.086,0.0294,0.0577,0.1747,0.5813,0.0317,0.1556,0.2718,0.2084,0.0
MLT_C16,0.0321,0.0199,0.0113,0.0592,0.0114,0.4434,0.113,1.4403,0.1899,0.0351,0.0099,0.0768,0.0617,0.0561,0.003,0.03,0.0559,0.0135,0.0328,0.0037,0.1444,5.2291,0.0539,0.0912,0.8399,0.3194,0.0849,0.0208,0.0516,0.2112,0.0557,0.1721,0.0488,0.068,0.0181,0.1715,0.1068,0.0901,0.1601,0.1142,0.0327,0.0432,0.1443,0.0442,0.0
MLT_C17_18,0.0221,0.0071,0.0018,0.0133,0.0147,1.7438,0.2141,0.0318,10.9168,0.0055,0.043,0.3009,0.0801,0.0449,0.0016,0.0366,0.1597,0.0234,0.0174,0.0026,0.1937,0.8016,0.0607,0.1303,0.2274,7.9012,0.0454,0.013,0.0241,0.0903,1.0267,2.2998,2.2722,1.064,0.407,3.9782,0.0732,2.6642,0.4588,1.2022,1.2819,0.2052,1.7253,1.2232,0.0
MLT_C19,0.0161,0.0088,0.0002,0.0153,0.003,0.0133,0.0003,0.0003,0.0008,0.0001,0.0023,0.0012,0.0008,0.0091,0.0,0.0017,0.0101,0.0002,0.0005,0.0,0.0008,0.008,0.4181,0.0084,0.0658,0.0478,0.0415,0.0113,0.0348,0.0154,0.0062,0.0146,0.0006,0.0004,0.0019,0.0046,0.0008,0.0065,0.0148,0.0071,0.0006,0.0079,0.0028,0.0016,0.0
MLT_C20,0.2101,0.0371,0.0036,0.0611,0.0326,1.3679,1.1472,0.0354,1.1066,0.058,1.7884,4.6696,3.2708,0.1281,0.0009,0.1429,1.3423,0.1406,0.0727,0.0022,0.1233,0.5976,0.0042,0.16,0.591,0.424,0.003,0.0009,0.0024,0.015,0.0074,0.5926,0.0724,0.0037,0.0052,0.025,0.0689,0.2201,0.053,0.2907,0.2381,0.7663,0.2512,1.5044,0.0
